partnerid,MaxSameIpCount,NoOfUniqueIp,IpClickRatio,IpVariance,MaxSameAgentCount,NoOfUniqueAgent,AgentClickRatio,AgentVariance,MaxSameCidCount,NoOfUniqueCid,CidClickRatio,CidVariance,MaxSameCntrCount,NoOfUniqueCntr,CntrClickRatio,CntrVariance,TotalClicks,NoOfUniqueReferer,RefererClickRatio,NonRefererClickRatio,AvgClickPer1Min,AvgClickPer5Min,AvgClickPer3Hr,AvgClickPer6Hr,MaxClickPer1Min,MaxClickPer5Min,MaxClickPer3Hr,MaxClickPer6Hr,TimeatVariance1Min,TimeatVariance5Min,TimeatVariance3Hr,TimeatVariance6Hr,Skew1Min,Skew5Min,Skew3Hr,Skew6Hr,EntropyIplong,EntropyCid,EntropyAgent,EntropyCntr,CategoryPrior,status
8i7wv,10,58,0.35,4.58,95,24,0.15,345.53,13,47,0.28,11.57,163,3,0.02,5832,165,7,0.04,0.96,1.07,1.31,6.6,12.69,4,5,20,34,0.12,0.42,28,89.91,5.91,2.92,0.88,1.22,5.5,4.98,2.68,0.11,165,OK
8i7xd,90,155,0.43,52.28,66,96,0.27,55.6,28,67,0.19,55.01,340,7,0.02,13883.67,360,37,0.1,0.9,1.57,3.13,18.95,30,7,21,111,130,1.1,13.26,912.16,1814.83,2.21,2.4,1.97,1.56,5.97,5.02,5.46,0.43,360,Observation
8i7yy,1,3,1,0,3,1,0.33,0,2,2,0.67,0.25,3,1,0.33,0,3,1,0.33,0.67,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,0.92,0,0,3,OK
8i7z7,12,46,0.58,3.06,31,32,0.4,27.63,10,25,0.31,5.44,77,3,0.04,1266.89,80,10,0.13,0.88,1.03,1.13,4.71,7.27,2,2,14,14,0.03,0.11,10.09,16.38,6,2.24,1.63,0.55,5.12,4.31,3.82,0.27,80,OK
8i7zf,2,2,0.67,0.25,1,3,1,0,1,3,1,0,2,2,0.67,0.25,3,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.92,1.58,1.58,0.92,3,OK
8i7zk,173,710,0.6,46.59,144,114,0.1,509.82,129,131,0.11,445.57,1137,10,0.01,115465.41,1177,353,0.3,0.7,1.2,2,47.08,90.54,5,7,108,178,0.23,1.56,779.35,2469.79,2.81,1.36,0.65,0.24,8.21,5.24,5.19,0.3,1177,OK
8i7zl,213,953,0.6,61.09,282,109,0.07,1525.42,391,69,0.04,2839.13,1581,6,0,346459.47,1589,336,0.21,0.79,1.32,2.68,63.56,122.23,6,14,210,332,0.41,3.9,2686.01,9229.41,2.37,1.66,1.45,1.05,8.46,4.36,4.64,0.06,1589,OK
8i804,11,13,0.46,7.21,5,18,0.64,1.14,5,13,0.46,1.82,7,13,0.46,3.51,28,2,0.07,0.93,1.17,1.17,2.33,2.8,2,2,5,6,0.14,0.14,1.56,2.56,1.79,1.79,0.64,0.62,3.02,3.45,3.91,3.26,28,OK
8i806,238,331,0.39,172.02,111,212,0.25,71.93,185,148,0.18,275.4,460,37,0.04,6074.35,845,18,0.02,0.98,1.18,1.81,33.8,65,3,9,80,126,0.2,1.46,298.8,984.77,2.48,2.22,1.1,0.16,6.5,5.48,6.67,2.38,845,OK
8i80a,308,324,0.43,290.83,63,210,0.28,32.52,41,203,0.27,26.12,479,60,0.08,3744.97,757,80,0.11,0.89,1.14,1.65,30.28,58.23,5,7,65,94,0.17,1,234.92,697.87,3.52,1.92,0.49,-0.66,5.73,6.86,6.86,2.74,757,OK
8i80j,1,2,1,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,OK
8i81d,5,10,0.71,1.44,2,12,0.86,0.14,2,13,0.93,0.07,13,2,0.14,36,14,12,0.86,0.14,1.17,1.17,1.56,2.33,2,2,4,5,0.14,0.14,0.91,2.22,1.79,1.79,1.75,0.63,2.98,3.66,3.52,0.37,14,OK
8i81i,3,8,0.8,0.44,3,7,0.7,0.53,3,8,0.8,0.44,4,4,0.4,2.25,10,3,0.3,0.7,1,1,1.25,1.25,1,1,2,2,0,0,0.19,0.19,0,0,1.15,1.15,2.85,2.85,2.65,1.72,10,OK
8i828,1246,513,0.15,3064.24,501,258,0.08,1500.7,347,268,0.08,1770.9,2775,23,0.01,317924.94,3417,100,0.03,0.97,1.91,4.5,136.68,262.85,11,34,635,797,2.37,31.45,23646.54,49438.9,2.39,2.57,2.47,1.45,5.85,5.67,6.24,1.17,3417,OK
8i82g,7,7,0.5,4.29,3,11,0.79,0.38,2,13,0.93,0.07,10,5,0.36,12.96,14,13,0.93,0.07,1,1.08,1.27,2,1,2,2,3,0,0.07,0.2,0.29,0,3.18,1.02,0,2.26,3.66,3.32,1.43,14,OK
8i82r,2,4,0.67,0.25,2,5,0.83,0.16,2,4,0.67,0.25,3,2,0.33,0,6,3,0.5,0.5,1,1,1.2,1.2,1,1,2,2,0,0,0.16,0.16,0,0,1.5,1.5,1.92,1.92,2.25,1,6,OK
8i82x,1,3,1,0,1,3,1,0,1,3,1,0,2,2,0.67,0.25,3,3,1,0,1,1,1.5,3,1,1,2,3,0,0,0.25,0,0,0,0,0,1.58,1.58,1.58,0.92,3,OK
8i830,1,2,1,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,2,1,0,1,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,2,OK
8i833,8,34,0.81,1.42,11,22,0.52,5.36,6,28,0.67,1.25,37,3,0.07,266,42,24,0.57,0.43,1.02,1.08,2.63,3.82,2,2,9,14,0.02,0.07,4.48,15.79,6.17,3.18,1.72,1.58,4.77,4.53,3.83,0.61,42,OK
8i83a,1,2,1,0,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0.5,1,1,2,2,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,OK
8i83y,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i84n,2,15,0.88,0.12,4,9,0.53,1.21,3,12,0.71,0.41,17,1,0.06,0,17,16,0.94,0.06,1,1,1.7,2.13,1,1,4,4,0,0,1.01,1.36,0,0,1.22,0.23,3.85,3.45,2.94,0,17,OK
8i84o,6,17,0.74,1.4,3,17,0.74,0.46,3,18,0.78,0.31,19,5,0.22,51.84,23,4,0.17,0.83,1,1.05,1.77,2.3,1,2,3,4,0,0.04,0.49,1.21,0,4.36,0.35,0.29,3.76,4.06,3.94,1.01,23,OK
8i84w,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i85v,30,70,0.56,11.96,71,30,0.24,155.63,13,54,0.43,6.85,62,6,0.05,800.33,126,15,0.12,0.88,1.04,1.19,5.48,10.5,2,3,18,27,0.04,0.17,24.16,56.92,4.61,1.98,1.16,0.72,5.34,5.16,2.97,1.23,126,OK
8i86i,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i88w,6,32,0.65,1.06,30,8,0.16,85.11,8,22,0.45,4.27,28,9,0.18,67.8,49,1,0.02,0.98,1.04,1.04,2.88,4.9,2,2,5,8,0.04,0.04,1.87,5.89,4.53,4.53,-0.06,-0.47,4.76,4,1.91,2.1,49,OK
8i89m,2,3,0.75,0.22,2,3,0.75,0.22,2,3,0.75,0.22,2,2,0.5,0,4,1,0.25,0.75,1.33,1.33,1.33,1.33,2,2,2,2,0.22,0.22,0.22,0.22,0.71,0.71,0.71,0.71,1.5,1.5,1.5,1,4,OK
8i8ar,6,7,0.5,2.86,7,5,0.36,4.96,2,12,0.86,0.14,5,7,0.5,1.71,14,1,0.07,0.93,1,1.08,1.4,2,1,2,3,3,0,0.07,0.44,0.57,0,3.18,1.4,0,2.41,3.52,1.92,2.55,14,OK
8i8bx,25,39,0.53,14.47,4,51,0.7,0.76,5,49,0.67,0.74,21,18,0.25,26.83,73,22,0.3,0.7,1.01,1.07,3.17,6.08,2,3,8,13,0.01,0.1,4.49,15.24,8.31,4.59,0.84,0.64,4.29,5.42,5.47,3.36,73,OK
8i8cj,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8do,2,1,0.5,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,OK
8i8e5,52,13,0.19,183.05,17,9,0.13,37.36,11,24,0.36,6.83,50,4,0.06,384.69,67,1,0.01,0.99,1.16,1.34,2.91,5.15,2,5,8,12,0.13,0.5,3.38,9.51,1.9,3.09,1.26,0.56,1.55,4.09,2.64,1.09,67,OK
8i8e7,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8ef,2,8,0.89,0.11,7,2,0.22,6.25,3,7,0.78,0.49,9,1,0.11,0,9,1,0.11,0.89,1,1,1.5,1.8,1,1,2,4,0,0,0.25,1.36,0,0,0,1.15,2.95,2.64,0.76,0,9,OK
8i8en,2,2,0.67,0.25,3,1,0.33,0,1,3,1,0,3,1,0.33,0,3,1,0.33,0.67,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.92,1.58,0,0,3,OK
8i8fk,14,14,0.45,11.17,8,12,0.39,4.24,3,20,0.65,0.45,9,6,0.19,4.81,31,1,0.03,0.97,1.11,1.15,1.72,2.58,3,3,3,6,0.17,0.2,0.53,2.41,3.9,3.1,0.48,0.71,2.93,4.2,3.2,2.46,31,OK
8i8fm,117,80,0.3,166.16,105,15,0.06,647.47,46,63,0.23,83.19,144,11,0.04,1609.16,270,3,0.01,0.99,1.08,1.3,12.27,22.5,4,5,33,52,0.09,0.4,73.2,242.25,5.2,2.79,0.83,0.66,4.35,4.53,2.91,2.18,270,Observation
8i8fn,10,16,0.57,4.69,9,9,0.32,7.65,4,19,0.68,0.67,12,7,0.25,12,28,1,0.04,0.96,1.12,1.17,2.33,2.8,2,2,3,5,0.11,0.14,0.39,0.76,2.34,1.79,-0.38,1.3,3.41,4.07,2.68,2.36,28,OK
8i8fq,30,13,0.18,74.56,22,11,0.15,44.43,11,30,0.42,4.1,36,6,0.08,171.14,71,1,0.01,0.99,1.18,1.31,3.74,6.45,2,3,11,20,0.15,0.25,8.09,30.79,1.64,1.23,1.02,1.21,2.51,4.52,2.76,1.77,71,OK
8i8ft,9,13,0.45,4.49,9,9,0.31,5.73,4,17,0.59,1.15,18,5,0.17,38.96,29,1,0.03,0.97,1.04,1.04,2.64,3.22,2,2,7,10,0.03,0.03,3.5,9.28,5,5,1.12,1.25,3.24,3.84,2.81,1.64,29,OK
8i8g3,1,2,1,0,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,OK
8i8go,285,43,0.13,1828.46,80,10,0.03,946.36,45,57,0.17,92.42,284,13,0.04,5554.67,342,2,0.01,0.99,1.21,1.73,13.68,26.31,4,7,30,53,0.27,1.8,74.62,273.14,2.92,2.33,0.04,0.1,1.51,4.68,2.63,1.17,342,Observation
8i8gu,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8gx,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8gz,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8h2,2,1,0.5,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,OK
8i8h7,238,81,0.21,680.93,120,8,0.02,1722,99,32,0.08,396.98,338,3,0.01,22597.56,380,1,0,1,1.31,1.62,15.83,29.23,5,7,48,85,0.32,1.03,162.56,487.41,2.26,2.37,1,0.93,3.27,3.73,2.42,0.52,380,Fraud
8i8hw,3,5,0.63,0.64,5,3,0.38,2.89,3,4,0.5,0.5,8,1,0.13,0,8,1,0.13,0.88,1,1.14,1.6,1.6,1,2,2,2,0,0.12,0.24,0.24,0,2.04,-0.41,-0.41,2.16,1.91,1.3,0,8,OK
8i8ih,1,2,1,0,2,1,0.5,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,OK
8i8is,44,65,0.28,33.85,113,14,0.06,798.68,34,46,0.2,48.28,162,11,0.05,2012.55,231,1,0,1,1.08,1.34,10.04,19.25,3,5,23,39,0.09,0.42,41.09,125.19,3.53,2.22,0.57,0.17,5.17,4.57,2.5,1.75,231,OK
8i8iv,19,17,0.43,17.64,20,8,0.2,38.25,4,23,0.58,0.89,13,8,0.2,21,40,1,0.03,0.98,1.11,1.18,2.22,3.64,2,2,4,6,0.1,0.15,1.06,3.87,2.47,1.7,0.16,-0.2,3.04,4.33,2.13,2.44,40,OK
8i8j2,5,31,0.61,1.2,29,8,0.16,77.98,12,18,0.35,7.36,44,7,0.14,224.78,51,1,0.02,0.98,1.02,1.06,2.55,4.25,2,2,5,9,0.02,0.06,1.95,6.02,6.86,3.61,0.5,0.32,4.69,3.68,2.02,0.92,51,OK
8i8jl,1,3,1,0,2,2,0.67,0.25,1,3,1,0,2,2,0.67,0.25,3,1,0.33,0.67,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,1.58,0.92,0.92,3,OK
8i8k3,3,8,0.73,0.48,6,3,0.27,2.89,3,7,0.64,0.53,8,3,0.27,9.56,11,1,0.09,0.91,1,1,1.38,1.38,1,1,3,3,0,0,0.48,0.48,0,0,1.56,1.56,2.85,2.66,1.44,1.1,11,OK
8i8kg,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8ku,1,7,1,0,7,1,0.14,0,2,5,0.71,0.24,7,1,0.14,0,7,1,0.14,0.86,1,1,1.17,1.4,1,1,2,3,0,0,0.14,0.64,0,0,1.79,1.5,2.81,2.24,0,0,7,OK
8i8le,8,7,0.44,5.63,3,12,0.75,0.39,7,9,0.56,3.51,4,7,0.44,1.35,16,6,0.38,0.63,1,1.07,1.6,2.29,1,2,4,5,0,0.06,0.84,1.92,0,3.47,1.65,0.77,2.25,2.65,3.45,2.61,16,OK
8i8lx,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8m6,200,271,0.46,149.09,51,94,0.16,79.95,508,56,0.09,4499.75,320,21,0.04,5153.46,591,249,0.42,0.58,1.1,1.43,24.63,49.25,4,6,52,98,0.12,0.59,116.4,332.02,3.68,2.26,0.83,1.3,5.98,1.37,5.55,2.17,591,OK
8i8mq,1,4,1,0,2,2,0.5,0,4,1,0.25,0,4,1,0.25,0,4,3,0.75,0.25,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,4,OK
8i8mr,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,OK
8i8n6,2,7,0.78,0.2,2,8,0.89,0.11,2,8,0.89,0.11,9,1,0.11,0,9,1,0.11,0.89,1,1.13,1.5,1.5,1,2,2,2,0,0.11,0.25,0.25,0,2.27,0,0,2.73,2.95,2.95,0,9,OK
8i8no,15,33,0.57,5.94,16,30,0.52,7.46,12,23,0.4,9.03,55,2,0.03,676,58,5,0.09,0.91,1.09,1.29,3.87,5.27,2,4,18,19,0.09,0.38,23.98,29.65,2.78,2.53,1.95,1.57,4.42,3.84,4.23,0.29,58,OK
8i8nq,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8nr,344,565,0.53,211.03,238,162,0.15,409.19,491,134,0.13,1785.76,987,27,0.03,34527.34,1070,384,0.36,0.64,1.2,1.99,42.8,82.31,4,7,93,146,0.21,1.5,545.92,1236.06,2.32,1.34,0.23,-0.31,6.86,4.41,5.59,0.72,1070,OK
8i8oh,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8p1,3,15,0.68,0.52,3,15,0.68,0.52,6,11,0.5,2.91,22,1,0.05,0,22,3,0.14,0.86,1,1.16,2.2,2.75,1,2,6,6,0,0.13,2.56,2.94,0,1.88,1.28,0.84,3.75,3.04,3.75,0,22,OK
8i8pz,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8q4,7,25,0.68,1.53,10,20,0.54,4.83,11,8,0.22,13.98,36,2,0.05,306.25,37,5,0.14,0.86,1.12,1.23,3.7,5.29,3,3,13,13,0.17,0.31,18.21,21.63,3.52,2.3,1.4,0.85,4.33,2.54,3.71,0.18,37,OK
8i8qk,2,4,0.8,0.19,3,3,0.6,0.89,1,5,1,0,3,3,0.6,0.89,5,3,0.6,0.4,1,1.25,1.67,1.67,1,2,3,3,0,0.19,0.89,0.89,0,1.15,0.71,0.71,1.92,2.32,1.37,1.37,5,OK
8i8qn,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8rs,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8s9,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8t2,1,2,1,0,1,2,1,0,1,2,1,0,2,1,0.5,0,2,1,0.5,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,OK
8i8tt,105,54,0.33,196.29,16,53,0.32,11.75,41,42,0.26,42.37,117,16,0.1,768.69,164,2,0.01,0.99,1.02,1.15,6.83,13.67,2,3,18,32,0.02,0.17,22.47,55.39,7.12,2.86,0.84,1,2.98,4.4,5.08,1.83,164,Observation
8i8tw,1,3,1,0,1,3,1,0,1,3,1,0,1,3,1,0,3,3,1,0,1,1,1,1.5,1,1,1,2,0,0,0,0.25,0,0,0,0,1.58,1.58,1.58,1.58,3,OK
8i8u1,1,3,1,0,1,3,1,0,1,3,1,0,2,2,0.67,0.25,3,2,0.67,0.33,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.58,1.58,1.58,0.92,3,OK
8i8u7,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,OK
8i8u8,20,35,0.53,10.27,11,26,0.39,6.56,21,22,0.33,17.09,65,2,0.03,1024,66,13,0.2,0.8,1.12,1.22,3.3,5.5,2,3,17,23,0.1,0.28,12.41,30.75,2.36,2.35,2.88,2.52,4.3,3.73,4.17,0.11,66,OK
8i8ub,8,17,0.63,2.71,5,20,0.74,0.83,9,11,0.41,5.52,27,1,0.04,0,27,3,0.11,0.89,1.04,1.17,2.25,3,2,2,6,8,0.04,0.14,3.02,4.89,4.8,1.72,1.04,1.11,3.64,2.96,4.1,0,27,OK
8i8ui,3,5,0.56,0.56,3,5,0.56,0.56,4,6,0.67,1.25,3,5,0.56,0.56,9,4,0.44,0.56,1,1.13,1.5,1.5,1,2,2,2,0,0.11,0.25,0.25,0,2.27,0,0,2.2,2.28,2.2,2.2,9,OK
8i8wd,5,2,0.29,2.25,3,4,0.57,0.69,2,6,0.86,0.14,6,2,0.29,6.25,7,2,0.29,0.71,1,1.17,1.75,1.75,1,2,3,3,0,0.14,0.69,0.69,0,1.79,0.49,0.49,0.86,2.52,1.84,0.59,7,OK
8i8xq,292,317,0.52,266.29,19,319,0.52,3.04,43,190,0.31,23.57,101,13,0.02,1722.95,608,50,0.08,0.92,1,1.13,24.32,46.77,1,3,62,110,0,0.12,138.06,577.1,0,2.75,1.79,1.41,5.31,6.72,7.94,3,608,OK
8i8ye,1307,2321,0.49,745.51,367,555,0.12,702.03,454,396,0.08,1123.05,2923,91,0.02,93018.38,4705,202,0.04,0.96,1.82,5.61,188.2,361.92,17,39,440,725,1.71,16.29,8649.2,30781.3,3.64,1.91,1,0.24,8.4,6.67,7.24,2.85,4705,OK
8i8yi,2,9,0.75,0.22,3,7,0.58,0.49,3,10,0.83,0.36,7,3,0.25,4.67,12,9,0.75,0.25,1.2,1.33,1.33,1.71,2,2,2,4,0.16,0.22,0.22,1.06,1.5,0.71,0.71,1.38,3.08,3.19,2.69,1.38,12,OK
8i8yn,10,31,0.67,2.77,9,25,0.54,2.69,5,23,0.5,1.74,22,12,0.26,32.97,46,26,0.57,0.43,1.1,1.24,2.42,3.54,3,3,7,9,0.13,0.29,2.56,5.33,4.07,2.15,1.45,0.95,4.49,4.24,4.27,2.6,46,OK
8i8yu,7,21,0.55,2.15,14,13,0.34,20.38,6,18,0.47,2.1,38,1,0.03,0,38,3,0.08,0.92,1.09,1.27,2.71,3.8,2,4,7,13,0.08,0.46,4.2,12.56,2.96,2.79,0.88,1.59,4.04,3.87,2.58,0,38,OK
8i8z4,83,126,0.55,53.01,16,93,0.41,8.23,197,26,0.11,1417.64,168,21,0.09,1258.31,228,44,0.19,0.81,1.06,1.22,9.12,17.54,3,5,18,28,0.07,0.34,13.95,42.86,4.48,3.44,0.27,-0.63,5.31,1.19,5.89,1.71,228,OK
8i8zd,4,1,0.25,0,4,1,0.25,0,2,3,0.75,0.22,4,1,0.25,0,4,1,0.25,0.75,1,1,1.33,1.33,1,1,2,2,0,0,0.22,0.22,0,0,0.71,0.71,0,1.5,0,0,4,OK
8i8ze,26,75,0.59,8.58,11,54,0.42,5.64,16,54,0.42,9.12,62,15,0.12,225.05,128,36,0.28,0.72,1.03,1.19,5.82,10.67,2,4,12,18,0.03,0.28,9.15,18.72,5.29,3.15,0.26,-0.46,5.53,5.02,5.23,2.63,128,OK
8i8zi,3,11,0.65,0.79,3,13,0.76,0.52,5,13,0.76,1.14,7,5,0.29,5.04,17,13,0.76,0.24,1.06,1.13,1.7,2.13,2,3,4,5,0.06,0.25,1.01,1.86,3.61,3.47,1.22,0.96,3.25,3.4,3.53,1.99,17,OK
8i903,39,10,0.21,129.96,7,25,0.52,1.99,6,25,0.52,2.15,25,10,0.21,57.76,48,22,0.46,0.54,1.07,1.3,3.69,6,2,3,12,14,0.06,0.43,12.06,21.25,3.47,1.95,1.17,0.58,1.29,4.3,4.33,2.08,48,OK
