"partnerid","distinct category","partnerid_cnt","category_prior"
"8i8ui","1","9","9.000000000"
"8i8wd","1","7","7.000000000"
"8i8xq","1","608","608.000000000"
"8i8ye","1","4705","4705.000000000"
"8i8yi","1","12","12.000000000"
"8i8yn","1","46","46.000000000"
"8i8yu","1","38","38.000000000"
"8i8z4","1","228","228.000000000"
"8i8zd","1","4","4.000000000"
"8i8ze","1","128","128.000000000"
"8i8zi","1","17","17.000000000"
"8i903","1","48","48.000000000"
"8i90i","1","2","2.000000000"
"8i90k","1","2310","2310.000000000"
"8i90m","1","945","945.000000000"
"8i91i","1","9085","9085.000000000"
"8i922","1","15783","15783.000000000"
"8i92t","1","9894","9894.000000000"
"8i92u","1","1","1.000000000"
"8i930","1","560","560.000000000"
"8i932","1","5","5.000000000"
"8i936","1","746","746.000000000"
"8i93o","1","22","22.000000000"
"8i93q","1","443","443.000000000"
"8i941","1","156","156.000000000"
"8i949","1","551","551.000000000"
"8i94e","1","2","2.000000000"
"8i94n","1","1","1.000000000"
"8i94y","1","73","73.000000000"
"8i95z","1","97","97.000000000"
"8i969","1","422","422.000000000"
"8i96u","1","70","70.000000000"
"8i96x","1","14","14.000000000"
"8i98h","1","5","5.000000000"
"8i99h","1","18","18.000000000"
"8i9a2","1","1","1.000000000"
"8i9at","1","15","15.000000000"
"8i9aw","1","630","630.000000000"
"8i9b4","1","6","6.000000000"
"8i9bj","1","16","16.000000000"
"8i9bm","1","305","305.000000000"
"8i9bs","1","8","8.000000000"
"8i9bw","1","25","25.000000000"
"8i9bx","1","14","14.000000000"
"8i9cn","1","68","68.000000000"
"8i9co","1","29","29.000000000"
"8i9cr","1","28","28.000000000"
"8i9d0","1","5","5.000000000"
"8i9d1","1","1","1.000000000"
"8i9d5","1","49","49.000000000"
"8i9da","1","230","230.000000000"
"8i9db","1","1","1.000000000"
"8i9dg","1","3","3.000000000"
"8i9dp","1","1","1.000000000"
"8i9dv","1","33","33.000000000"
"8i9e1","1","1","1.000000000"
"8i9e9","1","166","166.000000000"
"8i9ed","1","1","1.000000000"
"8i9eg","1","1","1.000000000"
"8i9eq","1","3","3.000000000"
"8i9f0","1","4","4.000000000"
"8i9fl","1","5","5.000000000"
"8i9fv","1","1","1.000000000"
"8i9g2","1","47","47.000000000"
"8i9gl","1","4","4.000000000"
"8i9h8","1","1","1.000000000"
"8i9hj","1","1","1.000000000"
"8i9hm","1","108","108.000000000"
"8i9hn","1","27","27.000000000"
"8i9ht","1","435","435.000000000"
"8i9hu","1","551","551.000000000"
"8i9hw","1","2","2.000000000"
"8i9hx","1","596","596.000000000"
"8i9hz","1","1","1.000000000"
"8i9i1","1","2729","2729.000000000"
"8i9i3","1","3651","3651.000000000"
"8i9i4","1","27","27.000000000"
"8i9i5","1","652","652.000000000"
"8i9i7","1","114","114.000000000"
"8i9i9","1","37","37.000000000"
"8i9ia","1","715","715.000000000"
"8i9ib","1","17","17.000000000"
"8i9ic","1","319","319.000000000"
"8i9id","1","165","165.000000000"
"8i9ie","1","83","83.000000000"
"8i9ig","1","859","859.000000000"
"8i9ih","1","131","131.000000000"
"8i9ii","1","1808","1808.000000000"
"8i9ij","1","60","60.000000000"
"8i9ik","1","459","459.000000000"
"8i9im","1","524","524.000000000"
"8i9in","1","1305","1305.000000000"
"8i9ip","1","5","5.000000000"
"8i9j4","1","1694","1694.000000000"
"8i9j6","1","18461","18461.000000000"
"8i9jf","1","2","2.000000000"
"8i9jg","1","458","458.000000000"
"8i9ji","1","19","19.000000000"
"8i9jj","1","504","504.000000000"
"8i9jr","1","2","2.000000000"
"8i9kq","1","167","167.000000000"
"8i9ky","1","1","1.000000000"
"8i9nd","1","3","3.000000000"
"8i9ng","1","14","14.000000000"
"8i9np","1","98","98.000000000"
"8i9os","1","1","1.000000000"
"8i9ot","1","1922","1922.000000000"
"8i9p1","1","8","8.000000000"
"8i9p3","1","10","10.000000000"
"8i9p4","1","5","5.000000000"
"8i9p7","1","34","34.000000000"
"8i9p8","1","23","23.000000000"
"8i9pt","1","2","2.000000000"
"8i9q6","1","6","6.000000000"
"8i9ql","1","5457","5457.000000000"
"8i9qu","1","63","63.000000000"
"8i9s9","1","252","252.000000000"
"8i9sm","1","23","23.000000000"
"8i9t0","1","3","3.000000000"
"8i9tt","1","38","38.000000000"
"8i9u6","1","5","5.000000000"
"8i9vn","1","688","688.000000000"
"8i9ws","1","341","341.000000000"
"8i9xb","1","42","42.000000000"
"8i9z5","1","60","60.000000000"
"8i9z6","1","8","8.000000000"
"8i9z7","1","2","2.000000000"
"8i9zb","1","52","52.000000000"
"8i9zp","1","731","731.000000000"
"8i9zy","1","11","11.000000000"
"8ia0j","1","27","27.000000000"
"8ia0n","1","24","24.000000000"
"8ia11","1","25","25.000000000"
"8ia16","1","184","184.000000000"
"8ia19","1","5","5.000000000"
"8ia1e","1","9","9.000000000"
"8ia25","1","2","2.000000000"
"8ia51","1","11","11.000000000"
"8ia54","1","1","1.000000000"
"8ia62","1","8","8.000000000"
"8ia6z","1","44","44.000000000"
"8ia7h","1","46","46.000000000"
"8ia7p","1","55","55.000000000"
"8ia7z","1","5","5.000000000"
"8ia80","1","720","720.000000000"
"8ia8k","1","1","1.000000000"
"8ia8u","1","125","125.000000000"
"8ia99","1","4","4.000000000"
"8ia9b","1","41","41.000000000"
"8ia9d","1","1","1.000000000"
"8ia9m","1","170","170.000000000"
"8ia9n","1","2","2.000000000"
"8iaa6","1","1","1.000000000"
"8iaar","1","21","21.000000000"
"8iaay","1","108","108.000000000"
"8iaaz","1","18","18.000000000"
"8iab9","1","188","188.000000000"
"8iabd","1","60","60.000000000"
"8iabk","1","8","8.000000000"
"8iabp","1","51","51.000000000"
"8iac5","1","1","1.000000000"
"8iac6","1","336","336.000000000"
"8iact","1","23","23.000000000"
"8iadk","1","46","46.000000000"
"8iadn","1","1","1.000000000"
"8iadr","1","14269","14269.000000000"
"8iadt","1","1993","1993.000000000"
"8iae2","1","1","1.000000000"
"8iae4","1","1","1.000000000"
"8iaeq","1","1","1.000000000"
"8iafg","1","59","59.000000000"
"8iafi","1","191","191.000000000"
"8iagk","1","84","84.000000000"
"8iagn","1","1","1.000000000"
"8iagp","1","14","14.000000000"
"8iagv","1","36","36.000000000"
"8iah0","1","15","15.000000000"
"8iaim","1","1","1.000000000"
"8iaj2","1","202","202.000000000"
"8iajv","1","1","1.000000000"
"8iak0","1","94","94.000000000"
"8iaks","1","7","7.000000000"
"8ial7","1","1","1.000000000"
"8ialk","1","2","2.000000000"
"8ialy","1","324","324.000000000"
"8iam0","1","13","13.000000000"
"8iam4","1","11","11.000000000"
"8iamd","1","12476","12476.000000000"
"8iaml","1","6","6.000000000"
"8iaob","1","2","2.000000000"
"8iaps","1","2","2.000000000"
"8iaqk","1","2","2.000000000"
"8iaqp","1","25","25.000000000"
"8iaqy","1","3","3.000000000"
"8iar6","1","7","7.000000000"
"8iark","1","22","22.000000000"
"8iaru","1","24","24.000000000"
"8iasq","1","14","14.000000000"
"8iasz","1","992","992.000000000"
"8iata","1","220","220.000000000"
"8iatv","1","208","208.000000000"
"8iau4","1","41","41.000000000"
"8iau5","1","25","25.000000000"
"8iau7","1","31","31.000000000"
"8iauu","1","10605","10605.000000000"
"8iavq","1","3791","3791.000000000"
"8iavx","1","127","127.000000000"
"8iawe","1","2","2.000000000"
"8iawh","1","25","25.000000000"
"8iaxa","1","4","4.000000000"
"8iaxj","1","39598","39598.000000000"
"8iayy","1","1","1.000000000"
"8iazm","1","603","603.000000000"
"8ib0l","1","504","504.000000000"
"8ib0m","1","1","1.000000000"
"8ib12","1","42","42.000000000"
"8ib14","1","6","6.000000000"
"8ib16","1","250","250.000000000"
"8ib1i","1","2","2.000000000"
"8ib1j","1","2","2.000000000"
"8ib1t","1","13","13.000000000"
"8ib1v","1","3","3.000000000"
"8ib1x","1","1","1.000000000"
"8ib25","1","24","24.000000000"
"8ib26","1","11","11.000000000"
"8ib2d","1","1","1.000000000"
"8ib2w","1","34","34.000000000"
"8ib34","1","3","3.000000000"
"8ib46","1","2","2.000000000"
"8ib4v","1","3","3.000000000"
"8ib4y","1","19","19.000000000"
"8ib4z","1","502","502.000000000"
"8ib56","1","2065","2065.000000000"
"8ib5i","1","1934","1934.000000000"
"8ib63","1","4","4.000000000"
"8ib6f","1","5","5.000000000"
"8ib6i","1","6","6.000000000"
"8ib6x","1","454","454.000000000"
"8ib7h","1","33","33.000000000"
"8ib7i","1","1","1.000000000"
"8ib9m","1","1","1.000000000"
"8ib9o","1","3","3.000000000"
"8ib9v","1","2","2.000000000"
"8ibah","1","1921","1921.000000000"
"8ibam","1","1","1.000000000"
"8ibay","1","1","1.000000000"
"8ibbr","1","57","57.000000000"
"8ibbv","1","1","1.000000000"
"8ibcb","1","1","1.000000000"
"8ibcv","1","73","73.000000000"
"8ibdg","1","177","177.000000000"
"8ibdl","1","10","10.000000000"
"8ibdm","1","3014","3014.000000000"
"8iber","1","2","2.000000000"
"8ibf5","1","2","2.000000000"
"8ibfa","1","1","1.000000000"
"8ibg2","1","22","22.000000000"
"8ibg6","1","1","1.000000000"
"8ibgj","1","9","9.000000000"
"8ibgo","1","5","5.000000000"
"8ibgx","1","49","49.000000000"
"8ibhn","1","7","7.000000000"
"8ibid","1","9","9.000000000"
"8ibiw","1","9","9.000000000"
"8ibjf","1","427","427.000000000"
"8ibjo","1","78","78.000000000"
"8ibke","1","1","1.000000000"
"8ibkr","1","983","983.000000000"
"8ibl1","1","1","1.000000000"
"8ibmd","1","2","2.000000000"
"8ibmq","1","1","1.000000000"
"8ibmx","1","7","7.000000000"
"8ibn2","1","1","1.000000000"
"8ibnz","1","2","2.000000000"
"8ibo7","1","6","6.000000000"
"8ibop","1","7","7.000000000"
"8ibp0","1","57","57.000000000"
"8ibp7","1","2","2.000000000"
"8ibp9","1","18","18.000000000"
"8ibpi","1","3","3.000000000"
"8ibr7","1","2","2.000000000"
"8ibt9","1","33","33.000000000"
"8ibtd","1","2","2.000000000"
"8ibub","1","2","2.000000000"
"8ibug","1","108","108.000000000"
"8ibum","1","83","83.000000000"
"8ibup","1","591","591.000000000"
"8ibv4","1","2206","2206.000000000"
"8ibw8","1","510","510.000000000"
"8ibxb","1","143","143.000000000"
"8ic07","1","56","56.000000000"
"8ic0m","1","1352","1352.000000000"
"8ic0y","1","82","82.000000000"
"8ic1s","1","16","16.000000000"
"8ic1t","1","144","144.000000000"
"8ic1x","1","1","1.000000000"
"8ic26","1","933","933.000000000"
"8ic2e","1","3","3.000000000"
"8ic2q","1","3","3.000000000"
"8ic3a","1","17","17.000000000"
"8ic3g","1","1","1.000000000"
"8ic3o","1","58","58.000000000"
"8ic3r","1","1","1.000000000"
"8ic3w","1","4","4.000000000"
"8ic46","1","35","35.000000000"
"8ic4i","1","26","26.000000000"
"8ic4v","1","968","968.000000000"
"8ic50","1","1","1.000000000"
"8ic51","1","6","6.000000000"
"8ic55","1","2","2.000000000"
"8ic56","1","3004","3004.000000000"
"8ic59","1","1","1.000000000"
"8ic5b","1","11","11.000000000"
"8ic6b","1","77","77.000000000"
"8ic6d","1","9","9.000000000"
"8ic6r","1","1","1.000000000"
"8ic78","1","1","1.000000000"
"8ic7z","1","3","3.000000000"
"8ic8g","1","6","6.000000000"
"8ic9a","1","5","5.000000000"
"8ic9l","1","24","24.000000000"
"8ic9r","1","3","3.000000000"
"8ica0","1","24","24.000000000"
"8icam","1","17","17.000000000"
"8icaw","1","45","45.000000000"
"8icb3","1","4","4.000000000"
"8icb9","1","2","2.000000000"
"8icbb","1","25","25.000000000"
"8iccd","1","218","218.000000000"
"8iccn","1","121","121.000000000"
"8icdb","1","160","160.000000000"
"8icdj","1","4","4.000000000"
"8ice8","1","917","917.000000000"
"8icee","1","26","26.000000000"
"8icef","1","56","56.000000000"
"8icfc","1","1","1.000000000"
"8icfe","1","4432","4432.000000000"
"8icff","1","1724","1724.000000000"
"8icfm","1","1","1.000000000"
"8icgh","1","2","2.000000000"
"8ich8","1","2","2.000000000"
"8ichd","1","371","371.000000000"
"8ichj","1","8","8.000000000"
"8ichk","1","510","510.000000000"
"8ichs","1","1","1.000000000"
"8ichw","1","11","11.000000000"
"8icia","1","264","264.000000000"
"8icim","1","13","13.000000000"
"8icin","1","2449","2449.000000000"
"8icix","1","2","2.000000000"
"8icoz","1","3","3.000000000"
"8icp7","1","331","331.000000000"
"8icq7","1","17","17.000000000"
"8ictc","1","20","20.000000000"
"8ictf","1","1","1.000000000"
"8ictz","1","163","163.000000000"
"8icu9","1","26","26.000000000"
"8icuy","1","165","165.000000000"
"8icv3","1","1","1.000000000"
"8icvc","1","26","26.000000000"
"8icwe","1","8","8.000000000"
"8icx6","1","1","1.000000000"
"8icxc","1","9","9.000000000"
"8icxd","1","2","2.000000000"
"8icxf","1","8","8.000000000"
"8icxl","1","76","76.000000000"
"8icyy","1","12","12.000000000"
"8icz2","1","339","339.000000000"
"8iczh","1","787","787.000000000"
"8id02","1","1212","1212.000000000"
"8id03","1","351","351.000000000"
"8id0y","1","10","10.000000000"
"8id0z","1","52","52.000000000"
"8id1a","1","9","9.000000000"
"8id2f","1","1","1.000000000"
"8id2s","1","2","2.000000000"
"8id2w","1","11","11.000000000"
"8id2z","1","35","35.000000000"
"8id56","1","1","1.000000000"
"8id57","1","583","583.000000000"
"8id5b","1","3","3.000000000"
"8id5p","1","561","561.000000000"
"8id6y","1","1153","1153.000000000"
"8id6z","1","19","19.000000000"
"8id7o","1","125","125.000000000"
"8id7z","1","1","1.000000000"
"8id89","1","5","5.000000000"
"8id8z","1","1","1.000000000"
"8id9y","1","31","31.000000000"
"8ida1","1","1953","1953.000000000"
"8idam","1","2","2.000000000"
"8idbx","1","84","84.000000000"
"8idc4","1","11","11.000000000"
"8iddj","1","40","40.000000000"
"8iddv","1","1","1.000000000"
"8iddw","1","15","15.000000000"
"8ide1","1","10","10.000000000"
"8ide5","1","1","1.000000000"
"8idem","1","5","5.000000000"
"8idf6","1","1","1.000000000"
"8idfl","1","6","6.000000000"
"8idg8","1","2","2.000000000"
"8idgb","1","1","1.000000000"
"8idh3","1","1","1.000000000"
"8idhm","1","443","443.000000000"
"8idhn","1","23","23.000000000"
"8idhp","1","86","86.000000000"
"8idhs","1","7","7.000000000"
"8idht","1","1","1.000000000"
"8idhw","1","2","2.000000000"
"8idi0","1","2","2.000000000"
"8idi1","1","16","16.000000000"
"8idi4","1","3","3.000000000"
"8idi5","1","11","11.000000000"
"8idi7","1","34","34.000000000"
"8idib","1","1","1.000000000"
"8idit","1","329","329.000000000"
"8idmr","1","6","6.000000000"
"8idn9","1","10","10.000000000"
"8idnv","1","1","1.000000000"
"8idny","1","1","1.000000000"
"8ido2","1","31","31.000000000"
"8idoa","1","16","16.000000000"
"8idob","1","3","3.000000000"
"8idoc","1","5","5.000000000"
"8idou","1","12","12.000000000"
"8idp1","1","2","2.000000000"
"8idp3","1","1","1.000000000"
"8ie57","1","1","1.000000000"
"8ie5k","1","2","2.000000000"
"8ie7p","1","3","3.000000000"
"8ie82","1","4","4.000000000"
"8ie98","1","7","7.000000000"
"8ie9s","1","5","5.000000000"
"8iea1","1","6","6.000000000"
"8ieaq","1","43","43.000000000"
"8ieaz","1","143","143.000000000"
"8ieb4","1","4","4.000000000"
"8iebt","1","1","1.000000000"
"8iebx","1","9","9.000000000"
"8ief6","1","9","9.000000000"
"8iefb","1","137","137.000000000"
"8iefl","1","531","531.000000000"
"8iefo","1","1","1.000000000"
"8iefs","1","4","4.000000000"
"8ieg2","1","79","79.000000000"
"8iegi","1","1","1.000000000"
"8ieh3","1","9","9.000000000"
"8iehk","1","19","19.000000000"
"8ieht","1","35130","35130.000000000"
"8iejt","1","4","4.000000000"
"8iel9","1","428","428.000000000"
"8ielc","1","15","15.000000000"
"8iem5","1","589","589.000000000"
"8iemj","1","1","1.000000000"
"8ien9","1","12","12.000000000"
"8ieo7","1","2","2.000000000"
"8ieol","1","19","19.000000000"
"8ieqn","1","16","16.000000000"
"8iequ","1","1","1.000000000"
"8ies6","1","11","11.000000000"
"8ies8","1","223","223.000000000"
"8ieso","1","1","1.000000000"
"8iet9","1","11900","11900.000000000"
"8ietw","1","10","10.000000000"
"8ieuh","1","2","2.000000000"
"8iev9","1","1","1.000000000"
"8ievj","1","14","14.000000000"
"8ievt","1","33","33.000000000"
"8ievz","1","217","217.000000000"
"8iex1","1","39","39.000000000"
"8iex9","1","2563","2563.000000000"
"8iexi","1","8","8.000000000"
"8iext","1","8","8.000000000"
"8if13","1","50","50.000000000"
"8if2b","1","5","5.000000000"
"8if3m","1","25","25.000000000"
"8if4w","1","1","1.000000000"
"8if5c","1","1","1.000000000"
"8if5p","1","25","25.000000000"
"8if6n","1","2","2.000000000"
"8if7b","1","1","1.000000000"
"8if9o","1","1957","1957.000000000"
"8ifa1","1","42049","42049.000000000"
"8ifan","1","37","37.000000000"
"8ifcw","1","715","715.000000000"
"8ifem","1","3","3.000000000"
"8iff5","1","5","5.000000000"
"8iff6","1","1","1.000000000"
"8iffk","1","292","292.000000000"
"8ifg0","1","1","1.000000000"
"8ifg9","1","3","3.000000000"
"8ifgn","1","5","5.000000000"
"8ifik","1","151","151.000000000"
"8ifm5","1","3","3.000000000"
"8ifma","1","172","172.000000000"
"8ifmk","1","2","2.000000000"
"8ifna","1","9","9.000000000"
"8ifnd","1","1","1.000000000"
"8ifog","1","143","143.000000000"
"8ifov","1","43","43.000000000"
"8ifqc","1","99","99.000000000"
"8ifqi","1","1967","1967.000000000"
"8ifqk","1","121","121.000000000"
"8ifvn","1","1","1.000000000"
"8ifwd","1","4","4.000000000"
"8ifzw","1","7","7.000000000"
"8ig0z","1","4","4.000000000"
"8ig13","1","60","60.000000000"
"8ig4x","1","4","4.000000000"
"8ig5c","1","7","7.000000000"
"8ig76","1","194","194.000000000"
"8ig8i","1","26","26.000000000"
"8igb7","1","17","17.000000000"
"8igbs","1","6","6.000000000"
"8igbt","1","8","8.000000000"
"8igbu","1","8","8.000000000"
"8igc1","1","37","37.000000000"
"8igcb","1","11","11.000000000"
"8igdb","1","4","4.000000000"
"8igdp","1","1","1.000000000"
"8igem","1","11","11.000000000"
"8igew","1","3","3.000000000"
"8igfs","1","50","50.000000000"
"8igh8","1","8","8.000000000"
"8igih","1","2","2.000000000"
"8igj2","1","45","45.000000000"
"8igji","1","7","7.000000000"
"8igkk","1","2","2.000000000"
"8igkp","1","26","26.000000000"
"8igl1","1","42","42.000000000"
"8igl7","1","5","5.000000000"
"8iglk","1","22","22.000000000"
"8igm1","1","4","4.000000000"
"8igm8","1","13","13.000000000"
"8igmr","1","12","12.000000000"
"8ign1","1","1","1.000000000"
"8ignc","1","3","3.000000000"
"8igne","1","5","5.000000000"
"8igo3","1","19","19.000000000"
"8igo7","1","192","192.000000000"
"8igox","1","18","18.000000000"
"8igpd","1","4","4.000000000"
"8igpr","1","5","5.000000000"
"8igql","1","13","13.000000000"
"8igqx","1","2","2.000000000"
"8igr1","1","1","1.000000000"
"8igsh","1","1","1.000000000"
"8igsi","1","5","5.000000000"
"8igts","1","3","3.000000000"
"8igv1","1","22","22.000000000"
"8igvd","1","5","5.000000000"
"8igy3","1","19","19.000000000"
"8igyy","1","1381","1381.000000000"
"8igz8","1","19","19.000000000"
"8igzo","1","2","2.000000000"
"8igzs","1","2","2.000000000"
"8igzy","1","2","2.000000000"
"8igzz","1","2","2.000000000"
"8ih09","1","377","377.000000000"
"8ih1h","1","9","9.000000000"
"8ih1j","1","1","1.000000000"
"8ih20","1","13","13.000000000"
"8ih2n","1","61","61.000000000"
"8ih3o","1","4","4.000000000"
"8ih4k","1","5","5.000000000"
"8ih6i","1","3","3.000000000"
"8iha2","1","935","935.000000000"
"8ihab","1","13","13.000000000"
"8ihac","1","6","6.000000000"
"8ihaj","1","21","21.000000000"
"8ihba","1","551","551.000000000"
"8ihbr","1","1","1.000000000"
"8ihbx","1","6336","6336.000000000"
"8ihc4","1","1328","1328.000000000"
"8ihcj","1","1","1.000000000"
"8ihck","1","28","28.000000000"
"8ihcm","1","2","2.000000000"
"8ihct","1","3","3.000000000"
"8ihcu","1","17","17.000000000"
"8ihd5","1","7","7.000000000"
"8ihdv","1","49","49.000000000"
"8ihe5","1","358","358.000000000"
"8ihhk","1","2","2.000000000"
"8ihij","1","6","6.000000000"
"8ihik","1","52","52.000000000"
"8ihk7","1","4782","4782.000000000"
"8ihkj","1","1","1.000000000"
"8ihkt","1","240","240.000000000"
"8ihl1","1","3","3.000000000"
"8ihl9","1","224","224.000000000"
"8ihlr","1","47","47.000000000"
"8ihn7","1","61","61.000000000"
"8ihna","1","176","176.000000000"
"8ihnk","1","15","15.000000000"
"8ihot","1","6","6.000000000"
"8ihpi","1","75376","75376.000000000"
"8ihqx","1","178","178.000000000"
"8ihrz","1","13","13.000000000"
"8ihs5","1","32","32.000000000"
"8ihsd","1","83","83.000000000"
"8ihsp","1","49","49.000000000"
"8ihth","1","14","14.000000000"
"8ihtk","1","1","1.000000000"
"8ihtv","1","88","88.000000000"
"8ihue","1","3","3.000000000"
"8ihuk","1","4","4.000000000"
"8ihup","1","347","347.000000000"
"8ihuv","1","1","1.000000000"
"8ihuy","1","3","3.000000000"
"8ihv1","1","107","107.000000000"
"8ihvb","1","1","1.000000000"
"8ihwi","1","1","1.000000000"
"8ihwm","1","5","5.000000000"
"8ihxc","1","1","1.000000000"
"8ihxl","1","2","2.000000000"
"8ihxp","1","1","1.000000000"
"8ihxy","1","1","1.000000000"
"8ihy6","1","3","3.000000000"
"8ihyb","1","8","8.000000000"
"8ihyi","1","1","1.000000000"
"8ihz5","1","11","11.000000000"
"8ihzv","1","2","2.000000000"
"8ihzw","1","7","7.000000000"
"8ihzy","1","159","159.000000000"
"8ii07","1","12","12.000000000"
"8ii0g","1","175","175.000000000"
"8ii0i","1","160","160.000000000"
"8ii0k","1","87","87.000000000"
"8ii11","1","469","469.000000000"
"8ii14","1","36","36.000000000"
"8ii1p","1","10","10.000000000"
"8ii1r","1","570","570.000000000"
"8ii26","1","176","176.000000000"
"8ii2b","1","742","742.000000000"
"8ii2l","1","3","3.000000000"
"8ii2n","1","2","2.000000000"
"8ii3a","1","224","224.000000000"
"8ii4l","1","7","7.000000000"
"8ii4n","1","2","2.000000000"
"8ii4y","1","2","2.000000000"
"8ii58","1","65","65.000000000"
"8ii5a","1","35","35.000000000"
"8ii5u","1","1","1.000000000"
"8ii6o","1","9","9.000000000"
"8ii7u","1","183","183.000000000"
"8ii9a","1","301","301.000000000"
"8iiai","1","3","3.000000000"
"8iiby","1","6","6.000000000"
"8iic8","1","2","2.000000000"
"8iicn","1","6","6.000000000"
"8iid3","1","816","816.000000000"
"8iid4","1","6416","6416.000000000"
"8iidh","1","34","34.000000000"
"8iidk","1","928","928.000000000"
"8iidm","1","2395","2395.000000000"
"8iidn","1","1843","1843.000000000"
"8iidr","1","2267","2267.000000000"
"8iie9","1","13","13.000000000"
"8iieo","1","3","3.000000000"
"8iig5","1","1462","1462.000000000"
"8iigf","1","2","2.000000000"
"8iigk","1","1","1.000000000"
"8iigl","1","1375","1375.000000000"
"8iigz","1","59","59.000000000"
"8iih9","1","160","160.000000000"
"8iiii","1","3","3.000000000"
"8iiiv","1","4","4.000000000"
"8iij1","1","1","1.000000000"
"8iijd","1","3","3.000000000"
"8iijk","1","142","142.000000000"
"8iijt","1","1554","1554.000000000"
"8iik1","1","1553","1553.000000000"
"8iilm","1","2","2.000000000"
"8iim7","1","2","2.000000000"
"8iimi","1","2","2.000000000"
"8iina","1","1355","1355.000000000"
"8iinm","1","2","2.000000000"
"8iiov","1","9","9.000000000"
"8iiq8","1","5","5.000000000"
"8iiqq","1","2","2.000000000"
"8iir0","1","49","49.000000000"
"8iird","1","71","71.000000000"
"8iitn","1","1","1.000000000"
"8iitu","1","337","337.000000000"
"8iitv","1","33","33.000000000"
"8iivd","1","398","398.000000000"
"8iivr","1","134","134.000000000"
"8iiwo","1","4","4.000000000"
"8iix3","1","1","1.000000000"
"8iixo","1","44","44.000000000"
"8iixv","1","36","36.000000000"
"8iixy","1","6","6.000000000"
"8iixz","1","5","5.000000000"
"8iiy4","1","569","569.000000000"
"8iiyk","1","43","43.000000000"
"8ij00","1","3","3.000000000"
"8ij02","1","17","17.000000000"
"8ij0g","1","9359","9359.000000000"
"8ij0y","1","87","87.000000000"
"8ij1v","1","1","1.000000000"
