"partnerid","AvgClickPer5Min","AvgClickPer3Hr","AvgClickPer6Hr","status"
"8i8fq","1.31","3.74","6.45","OK"
"8i8ft","1.04","2.64","3.22","OK"
"8i8g3","1.00","1.00","1.00","OK"
"8i8go","1.73","13.68","26.31","Observation"
"8i8gu","1.00","1.00","1.00","OK"
"8i8gx","1.00","1.00","1.00","OK"
"8i8gz","1.00","1.00","1.00","OK"
"8i8h2","1.00","1.00","1.00","OK"
"8i8h7","1.62","15.83","29.23","Fraud"
"8i8hw","1.14","1.60","1.60","OK"
"8i8ih","1.00","1.00","1.00","OK"
"8i8is","1.34","10.04","19.25","OK"
"8i8iv","1.18","2.22","3.64","OK"
"8i8j2","1.06","2.55","4.25","OK"
"8i8jl","1.00","1.00","1.00","OK"
"8i8k3","1.00","1.38","1.38","OK"
"8i8kg","1.00","1.00","1.00","OK"
"8i8ku","1.00","1.17","1.40","OK"
"8i8le","1.07","1.60","2.29","OK"
"8i8lx","1.00","1.00","1.00","OK"
"8i8m6","1.43","24.63","49.25","OK"
"8i8mq","1.00","1.00","1.00","OK"
"8i8mr","1.00","1.00","1.00","OK"
"8i8n6","1.13","1.50","1.50","OK"
"8i8no","1.29","3.87","5.27","OK"
"8i8nq","1.00","1.00","1.00","OK"
"8i8nr","1.99","42.80","82.31","OK"
"8i8oh","1.00","1.00","1.00","OK"
"8i8p1","1.16","2.20","2.75","OK"
"8i8pz","1.00","1.00","1.00","OK"
"8i8q4","1.23","3.70","5.29","OK"
"8i8qk","1.25","1.67","1.67","OK"
"8i8qn","1.00","1.00","1.00","OK"
"8i8rs","1.00","1.00","1.00","OK"
"8i8s9","1.00","1.00","1.00","OK"
"8i8t2","1.00","1.00","1.00","OK"
"8i8tt","1.15","6.83","13.67","Observation"
"8i8tw","1.00","1.00","1.50","OK"
"8i8u1","1.00","1.00","1.00","OK"
"8i8u7","1.00","1.00","1.00","OK"
"8i8u8","1.22","3.30","5.50","OK"
"8i8ub","1.17","2.25","3.00","OK"
"8i8ui","1.13","1.50","1.50","OK"
"8i8wd","1.17","1.75","1.75","OK"
"8i8xq","1.13","24.32","46.77","OK"
"8i8ye","5.61","188.20","361.92","OK"
"8i8yi","1.33","1.33","1.71","OK"
"8i8yn","1.24","2.42","3.54","OK"
"8i8yu","1.27","2.71","3.80","OK"
"8i8z4","1.22","9.12","17.54","OK"
"8i8zd","1.00","1.33","1.33","OK"
"8i8ze","1.19","5.82","10.67","OK"
"8i8zi","1.13","1.70","2.13","OK"
"8i903","1.30","3.69","6.00","OK"
"8i90i","1.00","1.00","1.00","OK"
"8i90k","3.03","92.40","177.69","Fraud"
"8i90m","1.86","37.80","72.69","OK"
"8i91i","10.52","363.40","698.85","OK"
"8i922","18.27","631.32","1214.08","OK"
"8i92t","11.86","395.76","761.08","OK"
"8i92u","1.00","1.00","1.00","OK"
"8i930","1.60","22.40","43.08","Observation"
"8i932","1.00","1.25","1.25","OK"
"8i936","1.78","29.84","57.38","OK"
"8i93o","1.16","2.44","4.40","OK"
"8i93q","1.37","17.72","34.08","OK"
"8i941","1.15","6.24","12.00","OK"
"8i949","1.52","22.04","42.38","OK"
"8i94e","1.00","1.00","1.00","OK"
"8i94n","1.00","1.00","1.00","OK"
"8i94y","1.11","3.32","5.62","OK"
"8i95z","1.08","4.04","7.46","OK"
"8i969","1.45","16.88","32.46","OK"
"8i96u","1.11","3.18","5.38","OK"
"8i96x","1.08","1.27","1.75","OK"
"8i98h","1.67","1.67","1.67","OK"
"8i99h","1.06","1.80","2.00","OK"
"8i9a2","1.00","1.00","1.00","OK"
"8i9at","1.25","1.50","1.67","OK"
"8i9aw","1.58","25.20","48.46","OK"
"8i9b4","1.00","1.20","1.50","OK"
"8i9bj","1.07","2.67","2.67","OK"
"8i9bm","1.63","13.26","23.46","OK"
"8i9bs","1.00","1.60","2.00","OK"
"8i9bw","1.14","1.47","2.50","OK"
"8i9bx","1.08","1.27","1.56","OK"
"8i9cn","1.15","3.24","5.23","OK"
"8i9co","1.16","1.81","2.90","OK"
"8i9cr","1.12","1.75","2.80","OK"
"8i9d0","1.25","1.25","1.25","OK"
"8i9d1","1.00","1.00","1.00","OK"
"8i9d5","1.09","2.88","4.45","OK"
"8i9da","1.84","10.45","20.91","OK"
"8i9db","1.00","1.00","1.00","OK"
"8i9dg","1.00","1.00","1.00","OK"
"8i9dp","1.00","1.00","1.00","OK"
"8i9dv","1.27","2.36","3.30","OK"
"8i9e1","1.00","1.00","1.00","OK"
"8i9e9","1.24","6.64","12.77","OK"
"8i9ed","1.00","1.00","1.00","OK"
"8i9eg","1.00","1.00","1.00","OK"
"8i9eq","1.00","1.00","1.00","OK"
"8i9f0","1.00","1.00","1.00","OK"
"8i9fl","1.00","1.25","1.67","OK"
"8i9fv","1.00","1.00","1.00","OK"
"8i9g2","1.07","2.61","3.92","OK"
"8i9gl","1.00","1.33","2.00","OK"
"8i9h8","1.00","1.00","1.00","OK"
"8i9hj","1.00","1.00","1.00","OK"
"8i9hm","1.16","4.50","8.31","OK"
"8i9hn","1.04","1.50","2.25","OK"
"8i9ht","1.88","18.91","33.46","OK"
"8i9hu","2.81","34.44","55.10","OK"
"8i9hw","1.00","2.00","2.00","OK"
"8i9hx","2.88","25.91","45.85","OK"
"8i9hz","1.00","1.00","1.00","OK"
"8i9i1","3.89","109.16","209.92","OK"
"8i9i3","5.47","146.04","280.85","OK"
"8i9i4","1.42","6.75","9.00","OK"
"8i9i5","2.13","31.05","50.15","Observation"
"8i9i7","1.18","4.96","8.77","OK"
"8i9i9","1.48","18.50","37.00","OK"
"8i9ia","2.89","59.58","102.14","OK"
"8i9ib","1.21","3.40","4.25","OK"
"8i9ic","1.55","13.87","26.58","OK"
"8i9id","1.22","8.68","16.50","OK"
"8i9ie","1.80","20.75","41.50","OK"
"8i9ig","1.86","34.36","66.08","OK"
"8i9ih","1.21","7.71","11.91","OK"
"8i9ii","2.77","72.32","139.08","Observation"
"8i9ij","2.50","60.00","60.00","OK"
"8i9ik","1.75","19.96","35.31","OK"
"8i9im","1.47","21.83","40.31","OK"
"8i9in","3.82","65.25","108.75","OK"
"8i9ip","1.00","1.00","1.25","OK"
"8i9j4","4.35","70.58","130.31","OK"
"8i9j6","21.69","738.44","1420.08","Observation"
"8i9jf","1.00","1.00","1.00","OK"
"8i9jg","3.44","76.33","152.67","OK"
"8i9ji","1.36","1.90","2.38","OK"
"8i9jj","7.64","38.77","50.40","OK"
"8i9jr","1.00","1.00","1.00","OK"
"8i9kq","1.23","6.68","12.85","OK"
"8i9ky","1.00","1.00","1.00","OK"
"8i9nd","1.00","1.00","1.50","OK"
"8i9ng","1.08","1.75","2.33","OK"
"8i9np","1.26","4.67","8.17","OK"
"8i9os","1.00","1.00","1.00","OK"
"8i9ot","2.28","76.88","147.85","OK"
"8i9p1","1.00","1.14","1.14","OK"
"8i9p3","1.00","1.43","1.43","OK"
"8i9p4","1.25","1.25","1.25","OK"
"8i9p7","1.03","2.27","3.40","OK"
"8i9p8","1.05","1.44","2.09","OK"
"8i9pt","1.00","1.00","1.00","OK"
"8i9q6","1.00","1.20","1.50","OK"
"8i9ql","6.60","218.28","419.77","OK"
"8i9qu","1.26","4.20","7.00","OK"
"8i9s9","1.35","10.50","19.38","OK"
"8i9sm","1.05","1.77","2.09","OK"
"8i9t0","1.00","1.00","1.00","OK"
"8i9tt","1.06","2.38","3.17","OK"
"8i9u6","1.00","1.00","1.25","OK"
"8i9vn","1.70","27.52","52.92","OK"
"8i9ws","1.99","28.42","48.71","Fraud"
"8i9xb","1.05","2.80","3.50","OK"
"8i9z5","1.05","2.86","5.00","OK"
"8i9z6","1.14","1.33","1.60","OK"
"8i9z7","1.00","1.00","1.00","OK"
"8i9zb","1.13","2.89","4.00","OK"
"8i9zp","1.62","29.24","56.23","OK"
"8i9zy","1.00","1.22","1.57","OK"
"8ia0j","1.08","2.45","2.45","OK"
"8ia0n","1.00","2.18","3.00","OK"
"8ia11","1.09","2.08","2.78","OK"
"8ia16","1.16","7.67","14.15","OK"
"8ia19","1.00","1.25","1.25","OK"
"8ia1e","1.00","1.29","1.50","OK"
"8ia25","1.00","2.00","2.00","OK"
"8ia51","1.38","1.83","1.83","OK"
"8ia54","1.00","1.00","1.00","OK"
"8ia62","1.00","1.00","1.33","OK"
"8ia6z","1.13","2.44","4.00","OK"
"8ia7h","1.18","2.42","3.83","OK"
"8ia7p","1.08","2.50","4.58","OK"
"8ia7z","1.00","1.00","1.25","OK"
"8ia80","2.55","60.00","102.86","OK"
"8ia8k","1.00","1.00","1.00","OK"
"8ia8u","1.10","5.43","10.42","OK"
"8ia99","1.00","1.33","1.33","OK"
"8ia9b","1.14","3.15","4.56","OK"
"8ia9d","1.00","1.00","1.00","OK"
"8ia9m","1.20","7.39","14.17","OK"
"8ia9n","1.00","1.00","1.00","OK"
"8iaa6","1.00","1.00","1.00","OK"
"8iaar","1.05","1.31","1.91","OK"
"8iaay","1.17","4.32","8.31","OK"
"8iaaz","1.29","3.00","3.60","OK"
"8iab9","1.15","7.52","14.46","OK"
"8iabd","1.07","2.61","5.00","OK"
"8iabk","1.60","1.60","1.60","OK"
"8iabp","1.11","2.55","4.25","OK"
"8iac5","1.00","1.00","1.00","OK"
"8iac6","1.35","14.00","25.85","OK"
"8iact","1.21","1.77","2.56","OK"
"8iadk","1.24","5.75","9.20","OK"
"8iadn","1.00","1.00","1.00","OK"
"8iadr","16.52","570.76","1097.62","Observation"
"8iadt","2.83","79.72","153.31","OK"
"8iae2","1.00","1.00","1.00","OK"
"8iae4","1.00","1.00","1.00","OK"
"8iaeq","1.00","1.00","1.00","OK"
"8iafg","1.18","3.28","5.36","OK"
"8iafi","1.41","13.64","21.22","OK"
"8iagk","1.20","4.20","7.64","OK"
"8iagn","1.00","1.00","1.00","OK"
"8iagp","1.27","1.75","2.00","OK"
"8iagv","1.06","2.12","3.27","OK"
"8iah0","1.25","1.67","1.88","OK"
"8iaim","1.00","1.00","1.00","OK"
"8iaj2","1.24","9.18","15.54","OK"
"8iajv","1.00","1.00","1.00","OK"
"8iak0","1.13","6.27","11.75","OK"
"8iaks","1.40","2.33","2.33","OK"
"8ial7","1.00","1.00","1.00","OK"
"8ialk","2.00","2.00","2.00","OK"
"8ialy","1.33","12.96","24.92","OK"
"8iam0","1.00","1.44","1.86","OK"
"8iam4","1.00","1.10","1.38","OK"
"8iamd","14.46","499.04","959.69","Observation"
"8iaml","1.00","1.20","1.20","OK"
"8iaob","2.00","2.00","2.00","OK"
"8iaps","1.00","1.00","1.00","OK"
"8iaqk","1.00","1.00","1.00","OK"
"8iaqp","1.09","1.79","2.78","OK"
"8iaqy","1.00","1.50","1.50","OK"
"8iar6","1.00","1.40","1.75","OK"
"8iark","1.05","1.83","2.20","OK"
"8iaru","1.26","3.00","3.43","OK"
"8iasq","1.08","1.56","2.33","OK"
"8iasz","2.08","39.68","76.31","Observation"
"8iata","1.26","9.17","18.33","OK"
"8iatv","1.42","9.04","16.00","OK"
"8iau4","1.03","2.28","3.73","OK"
"8iau5","1.04","1.92","2.78","OK"
"8iau7","1.07","2.38","3.10","OK"
"8iauu","12.29","424.20","815.77","OK"
"8iavq","5.39","151.64","291.62","OK"
"8iavx","1.84","21.17","25.40","OK"
"8iawe","1.00","1.00","1.00","OK"
"8iawh","1.19","1.79","2.50","OK"
"8iaxa","1.00","1.00","1.00","OK"
"8iaxj","45.83","1583.92","3046.00","Fraud"
"8iayy","1.00","1.00","1.00","OK"
"8iazm","1.53","24.12","46.38","OK"
"8ib0l","1.41","20.16","38.77","OK"
"8ib0m","1.00","1.00","1.00","OK"
"8ib12","1.08","2.00","3.50","OK"
"8ib14","1.50","1.50","1.50","OK"
"8ib16","1.30","10.00","19.23","OK"
"8ib1i","1.00","1.00","1.00","OK"
"8ib1j","1.00","1.00","1.00","OK"
"8ib1t","1.00","1.30","1.63","OK"
"8ib1v","1.00","1.00","1.00","OK"
"8ib1x","1.00","1.00","1.00","OK"
"8ib25","1.04","1.85","2.40","OK"
"8ib26","1.00","1.10","1.38","OK"
"8ib2d","1.00","1.00","1.00","OK"
"8ib2w","1.17","2.27","3.40","OK"
"8ib34","1.00","1.00","1.50","OK"
"8ib46","1.00","1.00","1.00","OK"
"8ib4v","1.00","1.50","1.50","OK"
"8ib4y","1.12","2.11","3.17","OK"
"8ib4z","1.48","20.08","38.62","OK"
"8ib56","2.95","82.60","158.85","OK"
"8ib5i","2.80","77.36","148.77","OK"
"8ib63","1.00","1.33","1.33","OK"
"8ib6f","1.25","1.67","2.50","OK"
"8ib6i","1.00","1.20","1.50","OK"
"8ib6x","1.38","18.16","34.92","OK"
"8ib7h","1.18","2.75","3.30","OK"
"8ib7i","1.00","1.00","1.00","OK"
"8ib9m","1.00","1.00","1.00","OK"
"8ib9o","3.00","3.00","3.00","OK"
"8ib9v","1.00","1.00","1.00","OK"
"8ibah","2.62","76.84","147.77","OK"
"8ibam","1.00","1.00","1.00","OK"
"8ibay","1.00","1.00","1.00","OK"
"8ibbr","1.10","2.71","5.18","OK"
"8ibbv","1.00","1.00","1.00","OK"
"8ibcb","1.00","1.00","1.00","OK"
"8ibcv","1.09","3.17","6.08","OK"
"8ibdg","1.24","7.08","13.62","OK"
"8ibdl","1.43","2.00","2.00","OK"
"8ibdm","3.80","120.56","231.85","OK"
"8iber","1.00","1.00","1.00","OK"
"8ibf5","1.00","1.00","1.00","OK"
"8ibfa","1.00","1.00","1.00","OK"
"8ibg2","1.05","1.47","2.44","OK"
"8ibg6","1.00","1.00","1.00","OK"
"8ibgj","1.00","1.13","1.50","OK"
"8ibgo","1.00","1.25","1.67","OK"
"8ibgx","1.04","2.72","4.45","OK"
"8ibhn","1.00","1.17","1.17","OK"
"8ibid","1.00","1.13","1.29","OK"
"8ibiw","1.29","2.25","3.00","OK"
"8ibjf","1.29","17.08","32.85","OK"
"8ibjo","1.18","3.71","6.50","OK"
"8ibke","1.00","1.00","1.00","OK"
"8ibkr","2.61","39.32","75.62","Fraud"
"8ibl1","1.00","1.00","1.00","OK"
"8ibmd","1.00","1.00","1.00","OK"
"8ibmq","1.00","1.00","1.00","OK"
"8ibmx","1.00","1.40","1.40","OK"
"8ibn2","1.00","1.00","1.00","OK"
"8ibnz","2.00","2.00","2.00","OK"
"8ibo7","1.00","1.00","1.00","OK"
"8ibop","1.00","1.17","1.40","OK"
"8ibp0","1.16","6.33","9.50","OK"
"8ibp7","1.00","1.00","1.00","OK"
"8ibp9","1.50","2.25","2.57","OK"
"8ibpi","1.00","1.00","1.00","OK"
"8ibr7","1.00","1.00","1.00","OK"
"8ibt9","1.03","1.65","2.75","OK"
"8ibtd","1.00","1.00","1.00","OK"
"8ibub","1.00","1.00","1.00","OK"
"8ibug","1.29","5.14","9.00","OK"
"8ibum","1.28","4.37","6.38","OK"
"8ibup","1.54","23.64","45.46","OK"
"8ibv4","3.27","88.24","169.69","OK"
"8ibw8","1.74","20.40","39.23","OK"
"8ibxb","1.14","6.22","11.92","OK"
"8ic07","1.17","2.55","4.31","OK"
"8ic0m","2.10","54.08","104.00","OK"
"8ic0y","1.12","3.73","6.83","OK"
"8ic1s","1.00","1.60","1.78","OK"
"8ic1t","1.07","5.76","11.08","OK"
"8ic1x","1.00","1.00","1.00","OK"
"8ic26","1.76","37.32","71.77","OK"
"8ic2e","1.50","1.50","1.50","OK"
"8ic2q","1.00","1.50","1.50","OK"
"8ic3a","1.06","1.55","2.13","OK"
"8ic3g","1.00","1.00","1.00","OK"
"8ic3o","1.05","3.41","5.80","OK"
"8ic3r","1.00","1.00","1.00","OK"
"8ic3w","1.00","1.00","1.00","OK"
"8ic46","1.06","2.19","3.18","OK"
"8ic4i","1.24","2.00","2.36","OK"
"8ic4v","1.85","38.72","74.46","OK"
"8ic50","1.00","1.00","1.00","OK"
"8ic51","1.00","1.50","2.00","OK"
"8ic55","1.00","1.00","1.00","OK"
"8ic56","3.82","120.16","231.08","OK"
"8ic59","1.00","1.00","1.00","OK"
"8ic5b","1.00","1.22","1.22","OK"
"8ic6b","1.12","3.50","6.42","OK"
"8ic6d","1.00","1.29","1.50","OK"
"8ic6r","1.00","1.00","1.00","OK"
"8ic78","1.00","1.00","1.00","OK"
"8ic7z","1.00","1.00","1.00","OK"
"8ic8g","1.00","1.00","1.20","OK"
"8ic9a","1.25","1.25","1.25","OK"
"8ic9l","1.04","1.50","2.00","OK"
"8ic9r","1.00","1.00","1.00","OK"
"8ica0","2.40","3.43","3.43","OK"
"8icam","1.00","1.42","2.13","OK"
"8icaw","1.07","2.37","4.09","OK"
"8icb3","1.00","1.33","2.00","OK"
"8icb9","1.00","1.00","1.00","OK"
"8icbb","1.14","1.92","2.78","OK"
"8iccd","1.14","8.72","16.77","OK"
"8iccn","1.07","4.84","9.31","OK"
"8icdb","1.28","13.33","22.86","OK"
"8icdj","1.00","1.00","1.00","OK"
"8ice8","1.82","36.68","70.54","OK"
"8icee","1.18","2.17","2.60","OK"
"8icef","1.08","2.80","4.67","OK"
"8icfc","1.00","1.00","1.00","OK"
"8icfe","9.63","177.28","340.92","Observation"
"8icff","2.88","68.96","132.62","Observation"
"8icfm","1.00","1.00","1.00","OK"
"8icgh","1.00","1.00","2.00","OK"
"8ich8","1.00","1.00","2.00","OK"
"8ichd","1.33","14.84","28.54","OK"
"8ichj","1.00","1.60","2.00","OK"
"8ichk","1.54","20.40","39.23","OK"
"8ichs","1.00","1.00","1.00","OK"
"8ichw","1.00","1.22","1.83","OK"
"8icia","1.29","10.56","20.31","OK"
"8icim","1.00","1.63","2.17","OK"
"8icin","3.52","97.96","188.38","OK"
"8icix","1.00","1.00","1.00","OK"
"8icoz","1.00","1.50","1.50","OK"
"8icp7","1.32","13.24","25.46","OK"
"8icq7","1.21","2.83","4.25","OK"
"8ictc","1.00","1.67","2.22","OK"
"8ictf","1.00","1.00","1.00","OK"
"8ictz","1.20","7.09","13.58","OK"
"8icu9","1.30","2.36","3.71","OK"
"8icuy","1.15","6.60","12.69","OK"
"8icv3","1.00","1.00","1.00","OK"
"8icvc","1.37","2.60","3.71","OK"
"8icwe","1.00","1.14","1.60","OK"
"8icx6","1.00","1.00","1.00","OK"
"8icxc","1.00","1.29","1.80","OK"
"8icxd","1.00","1.00","1.00","OK"
"8icxf","1.60","2.00","4.00","OK"
"8icxl","1.07","3.62","6.33","OK"
"8icyy","1.00","1.33","1.50","OK"
"8icz2","1.36","14.13","28.25","OK"
"8iczh","1.61","31.48","60.54","Fraud"
"8id02","2.12","48.48","93.23","OK"
"8id03","1.32","14.04","27.00","OK"
"8id0y","1.00","1.11","1.43","OK"
"8id0z","1.04","2.36","4.00","OK"
"8id1a","1.29","1.50","2.25","OK"
"8id2f","1.00","1.00","1.00","OK"
"8id2s","2.00","2.00","2.00","OK"
"8id2w","1.10","1.38","1.57","OK"
"8id2z","1.03","2.19","3.50","OK"
"8id56","1.00","1.00","1.00","OK"
"8id57","1.51","23.32","44.85","OK"
"8id5b","1.50","1.50","1.50","OK"
"8id5p","1.59","22.44","43.15","Fraud"
"8id6y","1.98","46.12","88.69","OK"
"8id6z","1.19","2.11","3.80","OK"
"8id7o","1.14","5.43","10.42","OK"
"8id7z","1.00","1.00","1.00","OK"
"8id89","1.00","1.67","1.67","OK"
"8id8z","1.00","1.00","1.00","OK"
"8id9y","1.07","2.21","3.10","OK"
"8ida1","2.59","78.12","150.23","OK"
"8idam","1.00","1.00","1.00","OK"
"8idbx","1.08","3.82","6.46","OK"
"8idc4","1.00","1.22","1.83","OK"
"8iddj","1.67","2.67","4.44","OK"
"8iddv","1.00","1.00","1.00","OK"
"8iddw","1.07","1.67","1.88","OK"
"8ide1","1.11","1.25","1.67","OK"
"8ide5","1.00","1.00","1.00","OK"
"8idem","1.00","1.67","1.67","OK"
"8idf6","1.00","1.00","1.00","OK"
"8idfl","1.20","1.20","2.00","OK"
"8idg8","2.00","2.00","2.00","OK"
"8idgb","1.00","1.00","1.00","OK"
"8idh3","1.00","1.00","1.00","OK"
"8idhm","1.45","17.72","34.08","Fraud"
"8idhn","1.10","1.77","2.56","OK"
"8idhp","1.23","4.10","6.62","OK"
"8idhs","1.00","1.17","1.17","OK"
"8idht","1.00","1.00","1.00","OK"
"8idhw","2.00","2.00","2.00","OK"
"8idi0","1.00","1.00","1.00","OK"
"8idi1","1.14","2.00","2.67","OK"
"8idi4","1.00","1.00","1.00","OK"
"8idi5","1.00","1.57","2.20","OK"
"8idi7","1.06","2.43","3.40","OK"
"8idib","1.00","1.00","1.00","OK"
"8idit","1.34","15.67","29.91","Fraud"
"8idmr","1.00","1.50","2.00","OK"
"8idn9","1.11","1.11","1.11","OK"
"8idnv","1.00","1.00","1.00","OK"
"8idny","1.00","1.00","1.00","OK"
"8ido2","1.24","3.10","5.17","OK"
"8idoa","1.23","1.60","2.29","OK"
"8idob","1.50","1.50","1.50","OK"
"8idoc","1.25","1.67","1.67","OK"
"8idou","1.09","1.33","2.00","OK"
"8idp1","2.00","2.00","2.00","OK"
"8idp3","1.00","1.00","1.00","OK"
"8ie57","1.00","1.00","1.00","OK"
"8ie5k","2.00","2.00","2.00","OK"
"8ie7p","1.00","1.00","1.50","OK"
"8ie82","1.33","1.33","1.33","OK"
"8ie98","2.33","7.00","7.00","OK"
"8ie9s","1.00","1.00","1.25","OK"
"8iea1","1.50","1.50","2.00","OK"
"8ieaq","1.13","2.39","3.91","OK"
"8ieaz","1.51","6.22","11.00","OK"
"8ieb4","1.33","1.33","1.33","OK"
"8iebt","1.00","1.00","1.00","OK"
"8iebx","1.00","1.29","1.50","OK"
"8ief6","1.00","1.50","1.80","OK"
"8iefb","1.28","5.71","10.54","OK"
"8iefl","1.44","21.24","40.85","OK"
"8iefo","1.00","1.00","1.00","OK"
"8iefs","1.00","1.00","1.00","OK"
"8ieg2","1.07","3.43","6.58","OK"
"8iegi","1.00","1.00","1.00","OK"
"8ieh3","1.00","1.29","1.50","OK"
"8iehk","1.12","1.73","2.11","OK"
"8ieht","40.71","1405.20","2702.31","Observation"
"8iejt","1.00","1.00","1.00","OK"
"8iel9","1.39","17.12","32.92","OK"
"8ielc","1.00","1.36","1.88","OK"
"8iem5","1.89","23.56","45.31","Fraud"
"8iemj","1.00","1.00","1.00","OK"
"8ien9","1.00","1.71","2.00","OK"
"8ieo7","1.00","2.00","2.00","OK"
"8ieol","1.00","1.19","1.90","OK"
"8ieqn","1.00","1.33","2.00","OK"
"8iequ","1.00","1.00","1.00","OK"
"8ies6","1.22","1.22","1.38","OK"
"8ies8","1.23","8.92","17.15","OK"
"8ieso","1.00","1.00","1.00","OK"
"8iet9","13.77","476.00","915.38","OK"
"8ietw","1.00","1.25","1.67","OK"
"8ieuh","1.00","1.00","1.00","OK"
"8iev9","1.00","1.00","1.00","OK"
"8ievj","1.08","7.00","7.00","OK"
"8ievt","1.18","2.20","3.30","OK"
"8ievz","2.71","12.76","18.08","Fraud"
"8iex1","2.60","9.75","13.00","OK"
"8iex9","3.27","102.52","197.15","OK"
"8iexi","1.00","1.33","1.60","OK"
"8iext","1.00","1.33","1.60","OK"
"8if13","1.39","2.63","4.17","OK"
"8if2b","1.00","1.25","1.25","OK"
"8if3m","1.19","2.08","2.78","OK"
"8if4w","1.00","1.00","1.00","OK"
"8if5c","1.00","1.00","1.00","OK"
"8if5p","2.08","25.00","25.00","OK"
"8if6n","1.00","1.00","1.00","OK"
"8if7b","1.00","1.00","1.00","OK"
"8if9o","8.94","81.54","150.54","Fraud"
"8ifa1","48.67","1681.96","3234.54","Observation"
"8ifan","1.03","2.31","3.70","OK"
"8ifcw","1.85","28.60","55.00","Fraud"
"8ifem","1.00","1.00","1.00","OK"
"8iff5","1.25","2.50","2.50","OK"
"8iff6","1.00","1.00","1.00","OK"
"8iffk","1.31","11.68","22.46","OK"
"8ifg0","1.00","1.00","1.00","OK"
"8ifg9","1.00","3.00","3.00","OK"
"8ifgn","1.25","1.67","2.50","OK"
"8ifik","1.20","6.04","11.62","OK"
"8ifm5","1.00","1.00","1.00","OK"
"8ifma","1.16","6.88","13.23","OK"
"8ifmk","1.00","1.00","1.00","OK"
"8ifna","1.00","1.00","1.29","OK"
"8ifnd","1.00","1.00","1.00","OK"
"8ifog","1.22","5.96","11.92","OK"
"8ifov","1.05","2.39","4.30","OK"
"8ifqc","1.09","4.13","7.62","OK"
"8ifqi","2.92","78.68","151.31","Fraud"
"8ifqk","2.81","7.12","12.10","OK"
"8ifvn","1.00","1.00","1.00","OK"
"8ifwd","1.00","1.33","1.33","OK"
"8ifzw","1.00","1.17","1.40","OK"
"8ig0z","1.00","1.00","1.00","OK"
"8ig13","1.67","7.50","10.00","OK"
"8ig4x","1.00","1.33","1.33","OK"
"8ig5c","1.00","1.00","1.17","OK"
"8ig76","1.19","7.76","14.92","OK"
"8ig8i","1.37","2.17","2.60","OK"
"8igb7","1.00","1.55","1.89","OK"
"8igbs","1.00","1.50","2.00","OK"
"8igbt","1.00","1.33","1.60","OK"
"8igbu","1.14","1.60","2.00","OK"
"8igc1","1.23","2.47","3.36","OK"
"8igcb","1.10","1.38","1.83","OK"
"8igdb","1.00","1.00","1.33","OK"
"8igdp","1.00","1.00","1.00","OK"
"8igem","1.38","1.83","1.83","OK"
"8igew","1.00","1.00","1.50","OK"
"8igfs","1.11","2.78","4.17","OK"
"8igh8","1.00","1.14","1.33","OK"
