"partnerid","CntrVariance","status"
"8i94e","0.00","OK"
"8i94n","0.00","OK"
"8i94y","0.00","OK"
"8i95z","31.18","OK"
"8i969","1145.35","OK"
"8i96u","0.00","OK"
"8i96x","4.29","OK"
"8i98h","2.25","OK"
"8i99h","8.24","OK"
"8i9a2","0.00","OK"
"8i9at","24.67","OK"
"8i9aw","26959.58","OK"
"8i9b4","0.16","OK"
"8i9bj","37.56","OK"
"8i9bm","16540.69","OK"
"8i9bs","9.00","OK"
"8i9bw","4.24","OK"
"8i9bx","18.75","OK"
"8i9cn","32.56","OK"
"8i9co","182.25","OK"
"8i9cr","81.00","OK"
"8i9d0","0.00","OK"
"8i9d1","0.00","OK"
"8i9d5","552.25","OK"
"8i9da","6600.89","OK"
"8i9db","0.00","OK"
"8i9dg","0.00","OK"
"8i9dp","0.00","OK"
"8i9dv","10.92","OK"
"8i9e1","0.00","OK"
"8i9e9","663.47","OK"
"8i9ed","0.00","OK"
"8i9eg","0.00","OK"
"8i9eq","0.00","OK"
"8i9f0","1.00","OK"
"8i9fl","0.89","OK"
"8i9fv","0.00","OK"
"8i9g2","0.00","OK"
"8i9gl","0.00","OK"
"8i9h8","0.00","OK"
"8i9hj","0.00","OK"
"8i9hm","2809.00","OK"
"8i9hn","132.25","OK"
"8i9ht","0.00","OK"
"8i9hu","55726.22","OK"
"8i9hw","0.00","OK"
"8i9hx","0.00","OK"
"8i9hz","0.00","OK"
"8i9i1","0.00","OK"
"8i9i3","999999.99","OK"
"8i9i4","0.00","OK"
"8i9i5","105625.00","Observation"
"8i9i7","3136.00","OK"
"8i9i9","0.00","OK"
"8i9ia","122150.25","OK"
"8i9ib","0.00","OK"
"8i9ic","25122.25","OK"
"8i9id","0.00","OK"
"8i9ie","0.00","OK"
"8i9ig","0.00","OK"
"8i9ih","0.00","OK"
"8i9ii","0.00","Observation"
"8i9ij","0.00","OK"
"8i9ik","0.00","OK"
"8i9im","58939.56","OK"
"8i9in","124367.67","OK"
"8i9ip","0.00","OK"
"8i9j4","712336.00","OK"
"8i9j6","0.00","Observation"
"8i9jf","0.00","OK"
"8i9jg","31401.84","OK"
"8i9ji","0.00","OK"
"8i9jj","0.00","OK"
"8i9jr","0.00","OK"
"8i9kq","121.91","OK"
"8i9ky","0.00","OK"
"8i9nd","0.00","OK"
"8i9ng","0.00","OK"
"8i9np","706.77","OK"
"8i9os","0.00","OK"
"8i9ot","18359.06","OK"
"8i9p1","1.56","OK"
"8i9p3","16.00","OK"
"8i9p4","0.89","OK"
"8i9p7","23.22","OK"
"8i9p8","4.11","OK"
"8i9pt","0.00","OK"
"8i9q6","0.00","OK"
"8i9ql","637494.30","OK"
"8i9qu","231.56","OK"
"8i9s9","12492.67","OK"
"8i9sm","1.41","OK"
"8i9t0","0.00","OK"
"8i9tt","26.56","OK"
"8i9u6","2.25","OK"
"8i9vn","3362.52","OK"
"8i9ws","494.15","Fraud"
"8i9xb","361.00","OK"
"8i9z5","0.00","OK"
"8i9z6","9.00","OK"
"8i9z7","0.00","OK"
"8i9zb","0.00","OK"
"8i9zp","1517.80","OK"
"8i9zy","1.10","OK"
"8ia0j","35.44","OK"
"8ia0n","100.00","OK"
"8ia11","22.69","OK"
"8ia16","2665.25","OK"
"8ia19","0.00","OK"
"8ia1e","0.00","OK"
"8ia25","0.00","OK"
"8ia51","20.25","OK"
"8ia54","0.00","OK"
"8ia62","9.00","OK"
"8ia6z","0.00","OK"
"8ia7h","6.20","OK"
"8ia7p","85.91","OK"
"8ia7z","0.00","OK"
"8ia80","21233.40","OK"
"8ia8k","0.00","OK"
"8ia8u","88.62","OK"
"8ia99","0.00","OK"
"8ia9b","342.25","OK"
"8ia9d","0.00","OK"
"8ia9m","317.84","OK"
"8ia9n","0.00","OK"
"8iaa6","0.00","OK"
"8iaar","9.14","OK"
"8iaay","179.75","OK"
"8iaaz","13.33","OK"
"8iab9","316.39","OK"
"8iabd","27.89","OK"
"8iabk","5.56","OK"
"8iabp","209.36","OK"
"8iac5","0.00","OK"
"8iac6","4724.67","OK"
"8iact","0.00","OK"
"8iadk","60.77","OK"
"8iadn","0.00","OK"
"8iadr","999999.99","Observation"
"8iadt","125334.18","OK"
"8iae2","0.00","OK"
"8iae4","0.00","OK"
"8iaeq","0.00","OK"
"8iafg","0.00","OK"
"8iafi","177.80","OK"
"8iagk","1681.00","OK"
"8iagn","0.00","OK"
"8iagp","7.25","OK"
"8iagv","3.87","OK"
"8iah0","1.11","OK"
"8iaim","0.00","OK"
"8iaj2","3784.44","OK"
"8iajv","0.00","OK"
"8iak0","135.49","OK"
"8iaks","2.25","OK"
"8ial7","0.00","OK"
"8ialk","0.00","OK"
"8ialy","10301.00","OK"
"8iam0","0.00","OK"
"8iam4","0.00","OK"
"8iamd","999999.99","Observation"
"8iaml","0.25","OK"
"8iaob","0.00","OK"
"8iaps","0.00","OK"
"8iaqk","0.00","OK"
"8iaqp","7.60","OK"
"8iaqy","0.00","OK"
"8iar6","2.25","OK"
"8iark","18.24","OK"
"8iaru","60.67","OK"
"8iasq","3.76","OK"
"8iasz","1028.46","Observation"
"8iata","128.90","OK"
"8iatv","3754.50","OK"
"8iau4","320.89","OK"
"8iau5","0.00","OK"
"8iau7","210.25","OK"
"8iauu","101357.31","OK"
"8iavq","43269.98","OK"
"8iavx","0.00","OK"
"8iawe","0.00","OK"
"8iawh","0.00","OK"
"8iaxa","1.00","OK"
"8iaxj","999999.99","Fraud"
"8iayy","0.00","OK"
"8iazm","55792.24","OK"
"8ib0l","1727.76","OK"
"8ib0m","0.00","OK"
"8ib12","25.43","OK"
"8ib14","4.00","OK"
"8ib16","1457.91","OK"
"8ib1i","0.00","OK"
"8ib1j","0.00","OK"
"8ib1t","22.22","OK"
"8ib1v","0.00","OK"
"8ib1x","0.00","OK"
"8ib25","0.00","OK"
"8ib26","0.00","OK"
"8ib2d","0.00","OK"
"8ib2w","3.82","OK"
"8ib34","0.25","OK"
"8ib46","0.00","OK"
"8ib4v","0.25","OK"
"8ib4y","4.69","OK"
"8ib4z","6370.37","OK"
"8ib56","91620.33","OK"
"8ib5i","512429.89","OK"
"8ib63","0.22","OK"
"8ib6f","0.25","OK"
"8ib6i","4.00","OK"
"8ib6x","1157.84","OK"
"8ib7h","114.00","OK"
"8ib7i","0.00","OK"
"8ib9m","0.00","OK"
"8ib9o","0.00","OK"
"8ib9v","0.00","OK"
"8ibah","20977.93","OK"
"8ibam","0.00","OK"
"8ibay","0.00","OK"
"8ibbr","17.58","OK"
"8ibbv","0.00","OK"
"8ibcb","0.00","OK"
"8ibcv","31.24","OK"
"8ibdg","195.51","OK"
"8ibdl","4.25","OK"
"8ibdm","35146.70","OK"
"8iber","0.00","OK"
"8ibf5","0.00","OK"
"8ibfa","0.00","OK"
"8ibg2","100.00","OK"
"8ibg6","0.00","OK"
"8ibgj","4.67","OK"
"8ibgo","2.25","OK"
"8ibgx","309.76","OK"
"8ibhn","0.00","OK"
"8ibid","1.25","OK"
"8ibiw","1.19","OK"
"8ibjf","847.76","OK"
"8ibjo","79.90","OK"
"8ibke","0.00","OK"
"8ibkr","27617.94","Fraud"
"8ibl1","0.00","OK"
"8ibmd","0.00","OK"
"8ibmq","0.00","OK"
"8ibmx","0.64","OK"
"8ibn2","0.00","OK"
"8ibnz","0.00","OK"
"8ibo7","0.16","OK"
"8ibop","0.64","OK"
"8ibp0","475.19","OK"
"8ibp7","0.00","OK"
"8ibp9","64.00","OK"
"8ibpi","0.25","OK"
"8ibr7","0.00","OK"
"8ibt9","6.61","OK"
"8ibtd","0.00","OK"
"8ibub","0.00","OK"
"8ibug","2401.00","OK"
"8ibum","78.28","OK"
"8ibup","1122.85","OK"
"8ibv4","25688.87","OK"
"8ibw8","12932.67","OK"
"8ibxb","420.77","OK"
"8ic07","93.56","OK"
"8ic0m","7151.08","OK"
"8ic0y","20.76","OK"
"8ic1s","10.89","OK"
"8ic1t","846.44","OK"
"8ic1x","0.00","OK"
"8ic26","1241.63","OK"
"8ic2e","0.00","OK"
"8ic2q","0.00","OK"
"8ic3a","25.69","OK"
"8ic3g","0.00","OK"
"8ic3o","17.73","OK"
"8ic3r","0.00","OK"
"8ic3w","0.00","OK"
"8ic46","51.23","OK"
"8ic4i","90.75","OK"
"8ic4v","3064.41","OK"
"8ic50","0.00","OK"
"8ic51","0.00","OK"
"8ic55","0.00","OK"
"8ic56","39467.62","OK"
"8ic59","0.00","OK"
"8ic5b","20.25","OK"
"8ic6b","108.79","OK"
"8ic6d","0.00","OK"
"8ic6r","0.00","OK"
"8ic78","0.00","OK"
"8ic7z","0.25","OK"
"8ic8g","0.67","OK"
"8ic9a","0.22","OK"
"8ic9l","15.96","OK"
"8ic9r","0.25","OK"
"8ica0","98.00","OK"
"8icam","2.61","OK"
"8icaw","30.81","OK"
"8icb3","0.22","OK"
"8icb9","0.00","OK"
"8icbb","46.19","OK"
"8iccd","114.51","OK"
"8iccn","252.98","OK"
"8icdb","557.09","OK"
"8icdj","0.00","OK"
"8ice8","1203.93","OK"
"8icee","33.22","OK"
"8icef","126.89","OK"
"8icfc","0.00","OK"
"8icfe","491536.40","Observation"
"8icff","56147.94","Observation"
"8icfm","0.00","OK"
"8icgh","0.00","OK"
"8ich8","0.00","OK"
"8ichd","9265.11","OK"
"8ichj","0.00","OK"
"8ichk","1737.30","OK"
"8ichs","0.00","OK"
"8ichw","0.00","OK"
"8icia","1075.17","OK"
"8icim","0.00","OK"
"8icin","27533.39","OK"
"8icix","0.00","OK"
"8icoz","0.00","OK"
"8icp7","922.15","OK"
"8icq7","2.86","OK"
"8ictc","7.00","OK"
"8ictf","0.00","OK"
"8ictz","98.48","OK"
"8icu9","14.84","OK"
"8icuy","65.46","OK"
"8icv3","0.00","OK"
"8icvc","10.99","OK"
"8icwe","1.44","OK"
"8icx6","0.00","OK"
"8icxc","1.69","OK"
"8icxd","0.00","OK"
"8icxf","5.56","OK"
"8icxl","252.69","OK"
"8icyy","1.00","OK"
"8icz2","170.49","OK"
"8iczh","5934.82","Fraud"
"8id02","10823.17","OK"
"8id03","1054.90","OK"
"8id0y","0.56","OK"
"8id0z","52.17","OK"
"8id1a","12.25","OK"
"8id2f","0.00","OK"
"8id2s","0.00","OK"
"8id2w","0.00","OK"
"8id2z","5.69","OK"
"8id56","0.00","OK"
"8id57","1042.39","OK"
"8id5b","0.00","OK"
"8id5p","53036.69","Fraud"
"8id6y","19229.73","OK"
"8id6z","3.81","OK"
"8id7o","355.93","OK"
"8id7z","0.00","OK"
"8id89","2.25","OK"
"8id8z","0.00","OK"
"8id9y","0.00","OK"
"8ida1","17977.07","OK"
"8idam","0.00","OK"
"8idbx","92.67","OK"
"8idc4","0.00","OK"
"8iddj","361.00","OK"
"8iddv","0.00","OK"
"8iddw","32.00","OK"
"8ide1","0.80","OK"
"8ide5","0.00","OK"
"8idem","0.25","OK"
"8idf6","0.00","OK"
"8idfl","0.67","OK"
"8idg8","0.00","OK"
"8idgb","0.00","OK"
"8idh3","0.00","OK"
"8idhm","3362.41","Fraud"
"8idhn","4.11","OK"
"8idhp","66.25","OK"
"8idhs","3.56","OK"
"8idht","0.00","OK"
"8idhw","0.00","OK"
"8idi0","0.00","OK"
"8idi1","3.89","OK"
"8idi4","0.25","OK"
"8idi5","5.56","OK"
"8idi7","32.41","OK"
"8idib","0.00","OK"
"8idit","15038.96","Fraud"
"8idmr","4.00","OK"
"8idn9","2.75","OK"
"8idnv","0.00","OK"
"8idny","0.00","OK"
"8ido2","138.89","OK"
"8idoa","22.89","OK"
"8idob","0.25","OK"
"8idoc","0.25","OK"
"8idou","1.00","OK"
"8idp1","0.00","OK"
"8idp3","0.00","OK"
"8ie57","0.00","OK"
"8ie5k","0.00","OK"
"8ie7p","0.00","OK"
"8ie82","1.00","OK"
"8ie98","0.00","OK"
"8ie9s","0.00","OK"
"8iea1","0.67","OK"
"8ieaq","31.36","OK"
"8ieaz","492.18","OK"
"8ieb4","1.00","OK"
"8iebt","0.00","OK"
"8iebx","8.00","OK"
"8ief6","8.00","OK"
"8iefb","1178.86","OK"
"8iefl","6422.18","OK"
"8iefo","0.00","OK"
"8iefs","0.00","OK"
"8ieg2","238.84","OK"
"8iegi","0.00","OK"
"8ieh3","8.00","OK"
"8iehk","26.16","OK"
"8ieht","999999.99","Observation"
"8iejt","1.00","OK"
"8iel9","991.81","OK"
"8ielc","8.67","OK"
"8iem5","74370.89","Fraud"
"8iemj","0.00","OK"
"8ien9","5.50","OK"
"8ieo7","0.00","OK"
"8ieol","9.06","OK"
"8ieqn","15.36","OK"
"8iequ","0.00","OK"
"8ies6","5.76","OK"
"8ies8","535.46","OK"
"8ieso","0.00","OK"
"8iet9","256689.76","OK"
"8ietw","0.00","OK"
"8ieuh","0.00","OK"
"8iev9","0.00","OK"
"8ievj","0.00","OK"
"8ievt","68.67","OK"
"8ievz","1558.69","Fraud"
"8iex1","137.19","OK"
"8iex9","24040.40","OK"
"8iexi","5.56","OK"
"8iext","5.56","OK"
"8if13","23.82","OK"
"8if2b","0.00","OK"
"8if3m","48.22","OK"
"8if4w","0.00","OK"
"8if5c","0.00","OK"
"8if5p","0.00","OK"
"8if6n","0.00","OK"
"8if7b","0.00","OK"
"8if9o","28508.82","Fraud"
"8ifa1","999999.99","Observation"
"8ifan","188.19","OK"
"8ifcw","6442.19","Fraud"
"8ifem","0.00","OK"
"8iff5","2.25","OK"
"8iff6","0.00","OK"
"8iffk","236.20","OK"
"8ifg0","0.00","OK"
"8ifg9","0.00","OK"
"8ifgn","2.25","OK"
"8ifik","480.13","OK"
"8ifm5","0.25","OK"
"8ifma","1165.05","OK"
"8ifmk","0.00","OK"
"8ifna","0.00","OK"
"8ifnd","0.00","OK"
"8ifog","137.17","OK"
"8ifov","50.08","OK"
"8ifqc","1038.96","OK"
"8ifqi","97931.29","Fraud"
"8ifqk","705.09","OK"
"8ifvn","0.00","OK"
"8ifwd","0.00","OK"
"8ifzw","0.00","OK"
"8ig0z","1.00","OK"
"8ig13","0.00","OK"
"8ig4x","0.00","OK"
"8ig5c","1.56","OK"
"8ig76","490.31","OK"
"8ig8i","0.00","OK"
"8igb7","26.89","OK"
"8igbs","4.00","OK"
"8igbt","5.56","OK"
"8igbu","5.56","OK"
"8igc1","129.04","OK"
"8igcb","0.48","OK"
"8igdb","1.00","OK"
"8igdp","0.00","OK"
"8igem","0.00","OK"
"8igew","0.00","OK"
"8igfs","61.20","OK"
"8igh8","5.56","OK"
"8igih","0.00","OK"
"8igj2","90.45","OK"
"8igji","0.00","OK"
"8igkk","0.00","OK"
"8igkp","4.04","OK"
"8igl1","113.14","OK"
"8igl7","0.25","OK"
"8iglk","0.00","OK"
"8igm1","1.00","OK"
"8igm8","7.44","OK"
"8igmr","16.00","OK"
"8ign1","0.00","OK"
"8ignc","0.00","OK"
"8igne","0.00","OK"
"8igo3","9.36","OK"
"8igo7","419.83","OK"
"8igox","0.00","OK"
"8igpd","0.00","OK"
"8igpr","0.19","OK"
"8igql","7.44","OK"
"8igqx","0.00","OK"
"8igr1","0.00","OK"
"8igsh","0.00","OK"
"8igsi","0.19","OK"
"8igts","0.25","OK"
"8igv1","14.56","OK"
"8igvd","0.22","OK"
"8igy3","1.43","OK"
"8igyy","7906.03","Observation"
"8igz8","6.19","OK"
"8igzo","0.00","OK"
"8igzs","0.00","OK"
"8igzy","0.00","OK"
"8igzz","0.00","OK"
"8ih09","1802.54","Fraud"
"8ih1h","2.69","OK"
"8ih1j","0.00","OK"
"8ih20","0.98","OK"
"8ih2n","51.28","OK"
"8ih3o","0.00","OK"
"8ih4k","0.89","OK"
"8ih6i","0.25","OK"
"8iha2","5692.99","Observation"
"8ihab","30.25","OK"
"8ihac","4.00","OK"
"8ihaj","72.00","OK"
"8ihba","4972.09","Observation"
"8ihbr","0.00","OK"
"8ihbx","200646.28","OK"
"8ihc4","5893.43","OK"
"8ihcj","0.00","OK"
"8ihck","50.00","OK"
"8ihcm","0.00","OK"
"8ihct","0.25","OK"
"8ihcu","2.21","OK"
"8ihd5","2.25","OK"
"8ihdv","29.34","OK"
"8ihe5","1605.34","OK"
"8ihhk","0.00","OK"
"8ihij","1.00","OK"
"8ihik","34.22","OK"
"8ihk7","194179.60","Observation"
"8ihkj","0.00","OK"
"8ihkt","3067.50","OK"
"8ihl1","0.00","Fraud"
"8ihl9","420.38","OK"
"8ihlr","110.49","OK"
"8ihn7","171.73","OK"
"8ihna","172.25","OK"
"8ihnk","0.00","OK"
"8ihot","0.16","OK"
"8ihpi","999999.99","OK"
"8ihqx","0.00","OK"
"8ihrz","0.00","OK"
"8ihs5","6.47","OK"
"8ihsd","0.00","OK"
"8ihsp","199.36","OK"
"8ihth","7.36","OK"
"8ihtk","0.00","OK"
"8ihtv","114.00","OK"
"8ihue","0.00","OK"
"8ihuk","0.00","OK"
"8ihup","518.19","OK"
"8ihuv","0.00","OK"
"8ihuy","0.00","OK"
"8ihv1","684.41","OK"
"8ihvb","0.00","OK"
"8ihwi","0.00","OK"
"8ihwm","0.22","OK"
"8ihxc","0.00","OK"
"8ihxl","0.00","OK"
"8ihxp","0.00","OK"
"8ihxy","0.00","OK"
"8ihy6","0.25","OK"
"8ihyb","0.00","OK"
"8ihyi","0.00","OK"
"8ihz5","0.00","OK"
"8ihzv","0.00","OK"
"8ihzw","2.25","OK"
"8ihzy","452.25","OK"
"8ii07","8.50","OK"
"8ii0g","7482.25","OK"
"8ii0i","6084.00","OK"
"8ii0k","1806.25","OK"
"8ii11","39617.69","OK"
"8ii14","0.00","OK"
"8ii1p","0.19","OK"
"8ii1r","21090.08","OK"
"8ii26","5461.50","OK"
"8ii2b","3368.54","OK"
"8ii2l","0.00","OK"
"8ii2n","0.00","OK"
"8ii3a","0.00","OK"
"8ii4l","0.00","OK"
"8ii4n","0.00","OK"
"8ii4y","0.00","OK"
"8ii58","46.62","OK"
"8ii5a","11.21","OK"
"8ii5u","0.00","OK"
"8ii6o","1.19","OK"
"8ii7u","0.00","OK"
"8ii9a","7136.73","OK"
"8iiai","0.00","OK"
"8iiby","2.00","OK"
"8iic8","0.00","OK"
"8iicn","1.00","OK"
"8iid3","7374.24","OK"
"8iid4","161500.60","Fraud"
"8iidh","50.12","OK"
"8iidk","3839.13","OK"
"8iidm","20641.55","OK"
"8iidn","8976.04","OK"
"8iidr","21895.50","OK"
"8iie9","20.25","OK"
"8iieo","0.00","OK"
"8iig5","8707.57","OK"
"8iigf","0.00","OK"
"8iigk","0.00","OK"
"8iigl","6170.17","OK"
"8iigz","331.10","OK"
"8iih9","4870.22","OK"
"8iiii","0.00","OK"
"8iiiv","0.00","OK"
"8iij1","0.00","OK"
"8iijd","0.00","OK"
"8iijk","109.74","OK"
"8iijt","9687.07","OK"
"8iik1","9517.94","OK"
"8iilm","0.00","OK"
"8iim7","0.00","OK"
"8iimi","0.00","OK"
"8iina","17394.00","OK"
"8iinm","0.00","OK"
"8iiov","0.19","OK"
"8iiq8","0.00","OK"
"8iiqq","0.00","OK"
"8iir0","470.22","OK"
"8iird","346.36","OK"
"8iitn","0.00","OK"
"8iitu","4974.93","OK"
"8iitv","28.19","OK"
"8iivd","2003.43","OK"
"8iivr","0.00","OK"
"8iiwo","0.00","OK"
"8iix3","0.00","OK"
"8iixo","63.22","OK"
"8iixv","289.00","OK"
"8iixy","4.00","OK"
"8iixz","0.22","OK"
"8iiy4","3491.58","OK"
"8iiyk","29.24","OK"
"8ij00","0.25","OK"
"8ij02","0.00","OK"
"8ij0g","456840.76","OK"
"8ij0y","0.00","OK"
"8ij1v","0.00","OK"
"8ij22","0.00","OK"
"8ij28","0.25","OK"
"8ij2q","138.81","OK"
"8ij2z","1332.25","OK"
"8ij34","0.00","OK"
"8ij3p","0.00","OK"
"8ij42","3695.70","OK"
"8ij4e","0.22","OK"
"8ij4s","0.00","OK"
"8ij4w","0.67","OK"
"8ij4y","40.38","OK"
"8ij4z","0.25","OK"
"8ij59","1031.75","OK"
"8ij5w","784.00","OK"
"8ij62","0.00","OK"
"8ij63","25.00","OK"
"8ij6x","22.22","OK"
"8ij77","0.00","OK"
"8ij7g","0.00","OK"
"8ij8t","0.00","OK"
"8ij92","5120.91","OK"
"8ij9m","589.56","OK"
"8ijat","0.00","OK"
"8ijb4","0.47","OK"
"8ijb7","1.28","OK"
"8ijb8","25012.09","OK"
"8ijba","19345.80","OK"
"8ijbf","2609.19","OK"
"8ijcm","34.91","OK"
"8ijd3","48.00","OK"
"8ijdf","0.00","OK"
"8ije6","3.56","OK"
"8ijed","0.00","OK"
"8ijei","2.67","OK"
"8ijeq","1.00","OK"
"8ijf6","0.16","OK"
"8ijfb","200.45","OK"
"8ijfd","9304.86","OK"
"8ijfl","0.00","OK"
"8ijgn","0.25","OK"
"8ijj1","0.00","OK"
"8ijjb","0.89","OK"
"8ijlc","0.22","OK"
"8ijmb","0.00","OK"
"8ijod","7.99","OK"
"8ijq9","1.96","OK"
"8ijql","446.16","Observation"
"8ijqm","0.00","OK"
"8ijqn","0.00","OK"
"8ijqw","0.69","OK"
"8ijro","25.51","OK"
"8ijs4","0.00","OK"
"8ijsn","10.89","OK"
"8ijsu","2.25","OK"
"8ijtd","0.00","OK"
"8ijub","13.47","OK"
"8ijva","1.00","OK"
"8ijw3","35.91","OK"
"8ijwf","0.00","OK"
"8ijx4","0.53","OK"
"8ijy9","115.25","OK"
"8ijyd","5905.86","OK"
"8ijzd","1097.40","Observation"
"8ijze","47.53","OK"
"8ijzf","0.20","OK"
"8ijzi","11284.71","OK"
"8ijzj","2933.08","Fraud"
"8ijzx","475825.96","OK"
"8ik0f","0.00","OK"
"8ik0g","0.00","OK"
"8ik0y","0.00","OK"
"8ik15","0.00","OK"
"8ik16","0.00","OK"
"8ik1o","0.00","OK"
"8ik1t","0.50","OK"
"8ik2b","29.11","OK"
"8ik2u","11.00","OK"
"8ik4w","2.69","OK"
"8ik58","226530.50","OK"
"8ik59","85.04","OK"
"8ik67","0.00","OK"
"8ik6c","0.00","OK"
"8ik6x","0.00","OK"
"8ik7d","6086.89","OK"
"8ik7m","0.00","OK"
"8ik7q","0.00","OK"
"8ik9c","2.25","OK"
"8ik9l","0.00","OK"
"8ik9s","0.22","OK"
"8ik9t","932.67","OK"
"8ika3","36.00","OK"
"8ikah","37354.00","OK"
"8ikap","0.00","OK"
"8ikaq","0.00","OK"
"8ikb5","0.00","OK"
"8ikba","0.00","OK"
"8ikc8","0.00","OK"
"8ikdj","16.69","OK"
"8ikdw","64.36","OK"
"8ike2","18.64","OK"
"8ikf1","0.00","OK"
"8ikfo","49.00","OK"
"8ikg6","0.00","OK"
"8ikg9","0.00","OK"
"8iki8","0.00","OK"
"8ikip","985.65","OK"
"8ikjp","22.22","OK"
"8iklg","0.00","OK"
"8ikm9","64.09","OK"
"8ikme","569.56","OK"
"8ikmz","0.00","OK"
"8ikn6","97.12","OK"
"8ikna","0.00","OK"
"8ikou","0.00","OK"
"8ikpq","486.00","Observation"
"8ikr4","65522.67","OK"
"8iks0","34.33","OK"
"8ikt9","110313.71","Fraud"
"8ikuf","0.00","OK"
"8ikvr","56.79","OK"
"8ikyc","0.00","OK"
"8ikzq","1664.61","OK"
"8il0o","197988.80","Fraud"
"8il17","0.22","OK"
"8il1w","15574.80","OK"
"8il22","184.22","OK"
"8il2j","50.00","OK"
"8il2x","7940.73","OK"
"8il3g","924.95","OK"
"8il3o","0.19","OK"
"8il3v","340.64","OK"
"8il4c","190.64","OK"
"8il4n","3063.76","OK"
"8il4r","0.00","OK"
"8il6b","512.89","OK"
"8il79","10.09","OK"
"8il7m","0.00","OK"
"8il8k","1.44","OK"
"8ilbu","2173.27","OK"
"8ilbx","485888.72","OK"
"8ilc9","0.00","OK"
"8ildb","82.69","OK"
"8ildi","90060.76","OK"
"8ildn","0.19","OK"
"8ilee","0.00","OK"
"8ilel","1.06","OK"
"8ilf9","1165.76","OK"
"8ilff","64.00","OK"
"8ilfu","16949.50","OK"
"8ilh8","0.00","OK"
"8ili5","0.00","OK"
"8iljx","108455.74","OK"
"8iljy","209.25","OK"
"8ill4","1.00","OK"
"8ilm3","0.00","OK"
"8ilm4","15.88","OK"
"8ilma","0.22","OK"
