"partnerid","EntropyIplong","EntropyCid","EntropyAgent","EntropyCntr","status"
"8i9ic","3.93","3.15","6.13","0.03","OK"
"8i9id","5.11","3.00","4.86","0.00","OK"
"8i9ie","3.66","2.09","4.91","0.00","OK"
"8i9ig","4.39","3.38","6.44","0.00","OK"
"8i9ih","5.76","3.29","4.98","0.00","OK"
"8i9ii","0.00","0.17","5.38","0.00","Observation"
"8i9ij","5.64","1.48","2.71","0.00","OK"
"8i9ik","0.18","0.50","1.91","0.00","OK"
"8i9im","4.87","1.39","6.58","0.10","OK"
"8i9in","6.23","2.46","4.73","0.88","OK"
"8i9ip","2.32","1.92","1.92","0.00","OK"
"8i9j4","5.57","0.98","6.32","0.02","OK"
"8i9j6","6.39","3.55","6.15","0.00","Observation"
"8i9jf","1.00","0.00","1.00","0.00","OK"
"8i9jg","6.03","1.51","6.33","0.22","OK"
"8i9ji","2.88","2.91","4.04","0.00","OK"
"8i9jj","4.66","1.31","6.07","0.00","OK"
"8i9jr","1.00","0.00","1.00","0.00","OK"
"8i9kq","5.25","3.50","5.98","3.41","OK"
"8i9ky","0.00","0.00","0.00","0.00","OK"
"8i9nd","1.58","1.58","1.58","1.58","OK"
"8i9ng","2.98","0.73","2.90","0.00","OK"
"8i9np","4.89","3.90","4.70","0.86","OK"
"8i9os","0.00","0.00","0.00","0.00","OK"
"8i9ot","6.03","6.50","8.50","2.94","OK"
"8i9p1","2.75","2.41","0.54","1.41","OK"
"8i9p3","2.85","2.92","1.57","0.47","OK"
"8i9p4","2.32","1.92","2.32","1.37","OK"
"8i9p7","3.91","4.05","4.08","2.06","OK"
"8i9p8","2.35","3.97","3.85","2.65","OK"
"8i9pt","1.00","1.00","1.00","0.00","OK"
"8i9q6","2.58","2.58","2.58","0.00","OK"
"8i9ql","7.56","6.31","6.35","0.83","OK"
"8i9qu","3.29","4.69","3.22","1.33","OK"
"8i9s9","5.62","5.90","3.92","0.26","OK"
"8i9sm","3.85","2.21","4.52","3.33","OK"
"8i9t0","1.58","0.92","0.00","0.00","OK"
"8i9tt","3.37","4.42","4.22","2.12","OK"
"8i9u6","1.37","1.92","1.92","0.72","OK"
"8i9vn","7.21","5.41","6.03","2.57","OK"
"8i9ws","5.77","4.63","0.60","3.31","Fraud"
"8i9xb","4.13","3.02","3.38","0.28","OK"
"8i9z5","4.17","4.00","4.88","0.00","OK"
"8i9z6","2.50","2.50","2.16","0.54","OK"
"8i9z7","1.00","1.00","1.00","0.00","OK"
"8i9zb","4.37","4.40","4.27","0.00","OK"
"8i9zp","6.94","5.05","6.46","3.75","OK"
"8i9zy","3.46","3.46","3.46","2.55","OK"
"8ia0j","3.62","3.94","4.16","1.59","OK"
"8ia0n","2.28","0.41","3.69","0.41","OK"
"8ia11","3.04","4.29","3.94","1.52","OK"
"8ia16","5.20","2.45","5.29","0.82","OK"
"8ia19","1.92","2.32","2.32","0.00","OK"
"8ia1e","3.17","2.95","2.95","0.00","OK"
"8ia25","1.00","0.00","0.00","1.00","OK"
"8ia51","1.67","2.40","2.05","0.44","OK"
"8ia54","0.00","0.00","0.00","0.00","OK"
"8ia62","3.00","3.00","2.41","0.54","OK"
"8ia6z","4.28","4.66","4.47","0.00","OK"
"8ia7h","3.82","2.47","4.12","3.41","OK"
"8ia7p","3.37","0.52","4.77","2.09","OK"
"8ia7z","0.00","2.32","2.32","2.32","OK"
"8ia80","6.58","5.49","6.10","0.60","OK"
"8ia8k","0.00","0.00","0.00","0.00","OK"
"8ia8u","5.62","2.90","5.82","3.20","OK"
"8ia99","1.50","1.50","1.50","0.00","OK"
"8ia9b","4.40","3.31","2.87","0.28","OK"
"8ia9d","0.00","0.00","0.00","0.00","OK"
"8ia9m","5.26","6.09","6.08","2.58","OK"
"8ia9n","1.00","1.00","1.00","1.00","OK"
"8iaa6","0.00","0.00","0.00","0.00","OK"
"8iaar","3.56","4.20","3.74","2.24","OK"
"8iaay","5.08","5.46","5.87","2.36","OK"
"8iaaz","3.46","3.79","3.68","1.79","OK"
"8iab9","1.48","4.70","5.17","2.70","OK"
"8iabd","4.52","1.20","4.94","3.14","OK"
"8iabk","0.54","2.41","1.06","1.06","OK"
"8iabp","1.68","4.05","2.69","1.21","OK"
"8iac5","0.00","0.00","0.00","0.00","OK"
"8iac6","5.74","3.91","6.35","0.85","OK"
"8iact","3.94","0.26","2.78","0.00","OK"
"8iadk","3.33","2.91","4.44","1.93","OK"
"8iadn","0.00","0.00","0.00","0.00","OK"
"8iadr","9.63","6.76","7.21","2.39","Observation"
"8iadt","1.68","2.23","7.06","1.41","OK"
"8iae2","0.00","0.00","0.00","0.00","OK"
"8iae4","0.00","0.00","0.00","0.00","OK"
"8iaeq","0.00","0.00","0.00","0.00","OK"
"8iafg","4.60","4.36","3.25","0.00","OK"
"8iafi","5.64","4.54","6.06","3.54","OK"
"8iagk","4.93","3.78","4.25","0.09","OK"
"8iagn","0.00","0.00","0.00","0.00","OK"
"8iagp","3.24","3.04","2.09","1.61","OK"
"8iagv","3.13","3.97","4.44","3.37","OK"
"8iah0","3.24","0.00","3.24","2.79","OK"
"8iaim","0.00","0.00","0.00","0.00","OK"
"8iaj2","4.36","4.45","5.60","0.55","OK"
"8iajv","0.00","0.00","0.00","0.00","OK"
"8iak0","4.54","0.94","5.14","2.44","OK"
"8iaks","1.15","2.24","1.15","0.86","OK"
"8ial7","0.00","0.00","0.00","0.00","OK"
"8ialk","0.00","0.00","1.00","0.00","OK"
"8ialy","3.68","2.99","5.86","0.38","OK"
"8iam0","2.93","2.51","2.35","0.00","OK"
"8iam4","3.28","1.62","3.28","0.00","OK"
"8iamd","7.04","4.35","7.49","2.64","Observation"
"8iaml","2.25","0.65","2.25","1.92","OK"
"8iaob","1.00","1.00","1.00","0.00","OK"
"8iaps","1.00","1.00","1.00","0.00","OK"
"8iaqk","1.00","1.00","1.00","0.00","OK"
"8iaqp","3.04","2.24","3.78","2.12","OK"
"8iaqy","0.00","1.58","1.58","1.58","OK"
"8iar6","2.81","1.15","2.52","0.86","OK"
"8iark","2.66","3.97","2.88","1.64","OK"
"8iaru","3.21","3.94","3.49","0.94","OK"
"8iasq","2.26","3.52","2.84","1.99","OK"
"8iasz","6.31","5.05","5.75","4.33","Observation"
"8iata","2.37","5.54","3.60","3.56","OK"
"8iatv","2.80","2.73","5.74","0.68","OK"
"8iau4","3.78","4.32","3.45","0.33","OK"
"8iau5","3.50","3.99","3.06","0.00","OK"
"8iau7","3.84","4.61","3.76","0.21","OK"
"8iauu","6.20","5.47","6.37","4.48","OK"
"8iavq","6.33","5.62","4.76","3.54","OK"
"8iavx","0.26","1.94","3.08","0.00","OK"
"8iawe","1.00","1.00","1.00","1.00","OK"
"8iawh","2.96","3.19","4.13","0.00","OK"
"8iaxa","1.50","0.81","2.00","0.81","OK"
"8iaxj","6.56","5.55","7.26","3.76","Fraud"
"8iayy","0.00","0.00","0.00","0.00","OK"
"8iazm","5.35","3.32","5.94","0.15","OK"
"8ib0l","7.08","2.42","5.80","2.82","OK"
"8ib0m","0.00","0.00","0.00","0.00","OK"
"8ib12","3.56","0.91","4.74","2.35","OK"
"8ib14","2.25","2.58","2.25","0.65","OK"
"8ib16","5.61","5.45","5.97","1.67","OK"
"8ib1i","1.00","1.00","1.00","1.00","OK"
"8ib1j","1.00","1.00","1.00","1.00","OK"
"8ib1t","2.35","0.39","3.70","0.77","OK"
"8ib1v","0.00","0.92","0.92","0.00","OK"
"8ib1x","0.00","0.00","0.00","0.00","OK"
"8ib25","4.08","3.52","1.22","0.00","OK"
"8ib26","2.40","3.10","2.22","0.00","OK"
"8ib2d","0.00","0.00","0.00","0.00","OK"
"8ib2w","3.19","4.20","3.58","3.42","OK"
"8ib34","0.92","0.92","1.58","0.92","OK"
"8ib46","1.00","1.00","1.00","0.00","OK"
"8ib4v","0.92","1.58","1.58","0.92","OK"
"8ib4y","3.30","3.43","3.20","1.85","OK"
"8ib4z","6.26","5.74","5.93","1.71","OK"
"8ib56","6.00","5.18","6.53","1.12","OK"
"8ib5i","8.37","5.84","5.93","0.06","OK"
"8ib63","2.00","2.00","2.00","1.50","OK"
"8ib6f","1.37","1.92","1.37","0.97","OK"
"8ib6i","2.25","1.79","0.65","0.65","OK"
"8ib6x","5.01","2.63","6.31","3.08","OK"
"8ib7h","3.87","4.19","3.59","0.93","OK"
"8ib7i","0.00","0.00","0.00","0.00","OK"
"8ib9m","0.00","0.00","0.00","0.00","OK"
"8ib9o","1.58","0.00","0.00","0.00","OK"
"8ib9v","1.00","1.00","1.00","0.00","OK"
"8ibah","7.42","6.30","6.93","2.70","OK"
"8ibam","0.00","0.00","0.00","0.00","OK"
"8ibay","0.00","0.00","0.00","0.00","OK"
"8ibbr","3.39","5.26","4.68","3.43","OK"
"8ibbv","0.00","0.00","0.00","0.00","OK"
"8ibcb","0.00","0.00","0.00","0.00","OK"
"8ibcv","4.20","5.60","4.99","2.98","OK"
"8ibdg","3.06","6.20","5.28","3.32","OK"
"8ibdl","2.32","3.12","2.65","1.57","OK"
"8ibdm","7.76","6.95","7.08","3.06","OK"
"8iber","1.00","1.00","1.00","0.00","OK"
"8ibf5","1.00","1.00","1.00","1.00","OK"
"8ibfa","0.00","0.00","0.00","0.00","OK"
"8ibg2","3.37","2.88","3.36","0.27","OK"
"8ibg6","0.00","0.00","0.00","0.00","OK"
"8ibgj","2.64","2.50","1.45","1.22","OK"
"8ibgo","0.00","2.32","2.32","0.72","OK"
"8ibgx","5.08","3.95","4.40","0.57","OK"
"8ibhn","1.84","2.52","2.52","0.00","OK"
"8ibid","2.64","1.88","2.73","2.28","OK"
"8ibiw","2.06","2.95","2.06","1.84","OK"
"8ibjf","5.95","3.05","6.22","3.14","OK"
"8ibjo","3.39","5.10","4.61","2.53","OK"
"8ibke","0.00","0.00","0.00","0.00","OK"
"8ibkr","3.49","4.87","5.03","1.28","Fraud"
"8ibl1","0.00","0.00","0.00","0.00","OK"
"8ibmd","0.00","1.00","1.00","0.00","OK"
"8ibmq","0.00","0.00","0.00","0.00","OK"
"8ibmx","2.13","2.81","2.81","2.13","OK"
"8ibn2","0.00","0.00","0.00","0.00","OK"
"8ibnz","1.00","1.00","0.00","0.00","OK"
"8ibo7","2.58","1.79","2.25","2.25","OK"
"8ibop","2.52","2.52","2.81","2.13","OK"
"8ibp0","5.23","4.54","4.93","0.56","OK"
"8ibp7","1.00","1.00","0.00","0.00","OK"
"8ibp9","1.86","2.97","2.34","0.31","OK"
"8ibpi","0.92","1.58","0.92","0.92","OK"
"8ibr7","0.00","0.00","1.00","1.00","OK"
"8ibt9","4.06","4.57","4.80","2.88","OK"
"8ibtd","1.00","1.00","1.00","1.00","OK"
"8ibub","1.00","1.00","1.00","1.00","OK"
"8ibug","4.99","5.48","3.45","0.27","OK"
"8ibum","4.65","5.71","4.79","2.80","OK"
"8ibup","6.04","3.45","5.94","3.74","OK"
"8ibv4","8.34","6.24","6.81","2.85","OK"
"8ibw8","7.67","5.59","5.79","0.74","OK"
"8ibxb","2.66","2.33","4.67","2.14","OK"
"8ic07","4.02","3.48","3.69","1.82","OK"
"8ic0m","6.41","4.35","6.80","3.19","OK"
"8ic0y","4.04","5.44","5.49","3.73","OK"
"8ic1s","3.15","3.50","3.25","1.80","OK"
"8ic1t","4.48","3.13","5.89","1.69","OK"
"8ic1x","0.00","0.00","0.00","0.00","OK"
"8ic26","6.45","7.04","7.39","4.19","OK"
"8ic2e","0.92","1.58","0.00","0.00","OK"
"8ic2q","1.58","0.00","0.92","0.00","OK"
"8ic3a","3.81","3.34","3.57","1.14","OK"
"8ic3g","0.00","0.00","0.00","0.00","OK"
"8ic3o","4.12","4.29","4.65","3.30","OK"
"8ic3r","0.00","0.00","0.00","0.00","OK"
"8ic3w","2.00","2.00","2.00","0.00","OK"
"8ic46","3.76","4.21","4.71","1.77","OK"
"8ic4i","3.27","3.44","2.90","0.70","OK"
"8ic4v","6.58","6.15","6.85","3.31","OK"
"8ic50","0.00","0.00","0.00","0.00","OK"
"8ic51","2.25","2.58","1.79","0.00","OK"
"8ic55","0.00","1.00","1.00","0.00","OK"
"8ic56","7.12","6.25","6.97","2.80","OK"
"8ic59","0.00","0.00","0.00","0.00","OK"
"8ic5b","3.28","3.28","3.10","0.44","OK"
"8ic6b","4.58","1.31","5.46","2.41","OK"
"8ic6d","2.95","0.99","2.95","0.00","OK"
"8ic6r","0.00","0.00","0.00","0.00","OK"
"8ic78","0.00","0.00","0.00","0.00","OK"
"8ic7z","1.58","1.58","0.92","0.92","OK"
"8ic8g","2.25","2.58","2.25","1.46","OK"
"8ic9a","1.92","2.32","1.92","1.52","OK"
"8ic9l","3.68","4.08","3.72","2.10","OK"
"8ic9r","1.58","1.58","1.58","0.92","OK"
"8ica0","4.25","3.20","0.50","0.50","OK"
"8icam","3.18","3.85","3.57","2.66","OK"
"8icaw","4.43","1.93","4.36","2.62","OK"
"8icb3","2.00","2.00","2.00","1.50","OK"
"8icb9","1.00","1.00","1.00","1.00","OK"
"8icbb","3.67","3.97","3.78","1.29","OK"
"8iccd","5.65","2.26","6.08","3.88","OK"
"8iccn","5.60","4.64","5.32","2.26","OK"
"8icdb","4.65","6.08","5.71","2.07","OK"
"8icdj","2.00","0.81","0.00","0.00","OK"
"8ice8","6.37","3.83","7.25","4.25","OK"
"8icee","3.30","3.50","4.06","1.64","OK"
"8icef","4.41","5.47","4.78","1.80","OK"
"8icfc","0.00","0.00","0.00","0.00","OK"
"8icfe","3.05","3.81","4.07","0.47","Observation"
"8icff","6.32","4.84","5.42","1.36","Observation"
"8icfm","0.00","0.00","0.00","0.00","OK"
"8icgh","0.00","1.00","0.00","0.00","OK"
"8ich8","1.00","0.00","1.00","1.00","OK"
"8ichd","5.64","6.63","6.08","0.69","OK"
"8ichj","1.06","2.75","2.16","0.00","OK"
"8ichk","6.11","6.91","6.24","2.88","OK"
"8ichs","0.00","0.00","0.00","0.00","OK"
"8ichw","2.05","0.00","0.00","0.00","OK"
"8icia","6.09","4.80","3.94","2.32","OK"
"8icim","0.39","3.03","3.55","0.00","OK"
"8icin","7.79","2.18","6.70","2.61","OK"
"8icix","1.00","1.00","1.00","1.00","OK"
"8icoz","0.00","0.00","0.00","0.00","OK"
"8icp7","5.90","6.23","6.54","2.95","OK"
"8icq7","3.38","3.73","3.01","2.62","OK"
"8ictc","3.45","4.12","4.22","2.40","OK"
"8ictf","0.00","0.00","0.00","0.00","OK"
"8ictz","5.16","5.24","5.97","3.72","OK"
"8icu9","2.49","4.29","2.28","2.39","OK"
"8icuy","5.03","4.92","2.72","3.68","OK"
"8icv3","0.00","0.00","0.00","0.00","OK"
"8icvc","3.18","2.23","3.44","2.42","OK"
"8icwe","2.75","0.00","2.50","2.00","OK"
"8icx6","0.00","0.00","0.00","0.00","OK"
"8icxc","2.95","3.17","2.95","1.75","OK"
"8icxd","1.00","1.00","1.00","0.00","OK"
"8icxf","1.91","3.00","2.50","1.06","OK"
"8icxl","4.75","1.73","4.77","1.67","OK"
"8icyy","3.42","2.92","3.42","2.75","OK"
"8icz2","5.29","6.49","6.60","4.20","OK"
"8iczh","5.78","3.45","6.04","2.38","Fraud"
"8id02","7.88","6.46","6.72","2.58","OK"
"8id03","6.24","1.22","6.04","2.70","OK"
"8id0y","1.96","2.92","3.12","2.45","OK"
"8id0z","2.73","2.18","3.10","2.28","OK"
"8id1a","3.17","2.50","0.99","0.50","OK"
"8id2f","0.00","0.00","0.00","0.00","OK"
"8id2s","0.00","0.00","0.00","0.00","OK"
"8id2w","2.85","3.28","3.10","0.00","OK"
"8id2z","3.61","3.87","4.74","3.37","OK"
"8id56","0.00","0.00","0.00","0.00","OK"
"8id57","6.73","4.14","6.40","3.41","OK"
"8id5b","0.00","0.92","0.92","0.00","OK"
"8id5p","1.98","3.73","5.24","0.28","Fraud"
"8id6y","6.94","6.89","6.29","1.75","OK"
"8id6z","2.75","4.14","3.62","2.33","OK"
"8id7o","5.26","3.46","5.34","2.10","OK"
"8id7z","0.00","0.00","0.00","0.00","OK"
"8id89","2.32","2.32","1.92","0.72","OK"
"8id8z","0.00","0.00","0.00","0.00","OK"
"8id9y","2.55","1.77","4.61","0.00","OK"
"8ida1","7.24","6.54","7.16","2.89","OK"
"8idam","1.00","1.00","1.00","1.00","OK"
"8idbx","2.54","2.17","4.47","2.56","OK"
"8idc4","3.10","2.73","0.95","0.00","OK"
"8iddj","2.85","2.62","2.06","0.17","OK"
"8iddv","0.00","0.00","0.00","0.00","OK"
"8iddw","2.28","2.68","2.33","0.70","OK"
"8ide1","1.57","2.92","1.77","2.17","OK"
"8ide5","0.00","0.00","0.00","0.00","OK"
"8idem","1.92","2.32","1.52","0.97","OK"
"8idf6","0.00","0.00","0.00","0.00","OK"
"8idfl","1.79","2.25","1.25","1.46","OK"
"8idg8","0.00","0.00","1.00","0.00","OK"
"8idgb","0.00","0.00","0.00","0.00","OK"
"8idh3","0.00","0.00","0.00","0.00","OK"
"8idhm","3.17","4.90","2.72","2.25","Fraud"
"8idhn","2.43","3.88","2.79","2.65","OK"
"8idhp","3.44","4.68","2.66","2.69","OK"
"8idhs","0.59","1.66","2.13","1.15","OK"
"8idht","0.00","0.00","0.00","0.00","OK"
"8idhw","0.00","0.00","1.00","0.00","OK"
"8idi0","0.00","0.00","1.00","0.00","OK"
"8idi1","1.80","3.75","2.22","2.27","OK"
"8idi4","0.92","1.58","0.92","0.92","OK"
"8idi5","3.10","3.28","1.94","1.31","OK"
"8idi7","1.61","3.95","2.78","2.02","OK"
"8idib","0.00","0.00","0.00","0.00","OK"
"8idit","5.76","3.86","1.18","0.39","Fraud"
"8idmr","2.58","1.92","1.25","0.65","OK"
"8idn9","0.72","3.12","1.96","1.69","OK"
"8idnv","0.00","0.00","0.00","0.00","OK"
"8idny","0.00","0.00","0.00","0.00","OK"
"8ido2","4.45","3.89","1.66","0.68","OK"
"8idoa","0.00","3.08","1.91","1.01","OK"
"8idob","0.92","0.92","1.58","0.92","OK"
"8idoc","0.00","1.92","1.37","0.97","OK"
"8idou","2.29","3.25","2.05","2.42","OK"
"8idp1","1.00","0.00","1.00","0.00","OK"
"8idp3","0.00","0.00","0.00","0.00","OK"
"8ie57","0.00","0.00","0.00","0.00","OK"
"8ie5k","0.00","0.00","0.00","0.00","OK"
"8ie7p","1.58","1.58","1.58","1.58","OK"
"8ie82","2.00","1.50","1.50","0.81","OK"
