"partnerid","TotalClicks","NoOfUniqueReferer","RefererClickRatio","NonRefererClickRatio","status"
"8i9d1","1","1","1.00","0.00","OK"
"8i9d5","49","11","0.22","0.78","OK"
"8i9da","230","25","0.11","0.89","OK"
"8i9db","1","1","1.00","0.00","OK"
"8i9dg","3","2","0.67","0.33","OK"
"8i9dp","1","1","1.00","0.00","OK"
"8i9dv","33","26","0.79","0.21","OK"
"8i9e1","1","1","1.00","0.00","OK"
"8i9e9","166","109","0.66","0.34","OK"
"8i9ed","1","1","1.00","0.00","OK"
"8i9eg","1","1","1.00","0.00","OK"
"8i9eq","3","1","0.33","0.67","OK"
"8i9f0","4","1","0.25","0.75","OK"
"8i9fl","5","3","0.60","0.40","OK"
"8i9fv","1","1","1.00","0.00","OK"
"8i9g2","47","35","0.74","0.26","OK"
"8i9gl","4","2","0.50","0.50","OK"
"8i9h8","1","1","1.00","0.00","OK"
"8i9hj","1","1","1.00","0.00","OK"
"8i9hm","108","45","0.42","0.58","OK"
"8i9hn","27","16","0.59","0.41","OK"
"8i9ht","435","133","0.31","0.69","OK"
"8i9hu","551","106","0.19","0.81","OK"
"8i9hw","2","2","1.00","0.00","OK"
"8i9hx","596","58","0.10","0.90","OK"
"8i9hz","1","1","1.00","0.00","OK"
"8i9i1","2729","1100","0.40","0.60","OK"
"8i9i3","3651","1811","0.50","0.50","OK"
"8i9i4","27","19","0.70","0.30","OK"
"8i9i5","652","377","0.58","0.42","Observation"
"8i9i7","114","45","0.39","0.61","OK"
"8i9i9","37","31","0.84","0.16","OK"
"8i9ia","715","174","0.24","0.76","OK"
"8i9ib","17","6","0.35","0.65","OK"
"8i9ic","319","193","0.61","0.39","OK"
"8i9id","165","47","0.28","0.72","OK"
"8i9ie","83","8","0.10","0.90","OK"
"8i9ig","859","571","0.66","0.34","OK"
"8i9ih","131","64","0.49","0.51","OK"
"8i9ii","1808","624","0.35","0.65","Observation"
"8i9ij","60","57","0.95","0.05","OK"
"8i9ik","459","43","0.09","0.91","OK"
"8i9im","524","305","0.58","0.42","OK"
"8i9in","1305","521","0.40","0.60","OK"
"8i9ip","5","1","0.20","0.80","OK"
"8i9j4","1694","507","0.30","0.70","OK"
"8i9j6","18461","7936","0.43","0.57","Observation"
"8i9jf","2","2","1.00","0.00","OK"
"8i9jg","458","112","0.24","0.76","OK"
"8i9ji","19","10","0.53","0.47","OK"
"8i9jj","504","272","0.54","0.46","OK"
"8i9jr","2","1","0.50","0.50","OK"
"8i9kq","167","58","0.35","0.65","OK"
"8i9ky","1","1","1.00","0.00","OK"
"8i9nd","3","3","1.00","0.00","OK"
"8i9ng","14","3","0.21","0.79","OK"
"8i9np","98","18","0.18","0.82","OK"
"8i9os","1","1","1.00","0.00","OK"
"8i9ot","1922","7","0.00","1.00","OK"
"8i9p1","8","2","0.25","0.75","OK"
"8i9p3","10","1","0.10","0.90","OK"
"8i9p4","5","1","0.20","0.80","OK"
"8i9p7","34","32","0.94","0.06","OK"
"8i9p8","23","18","0.78","0.22","OK"
"8i9pt","2","2","1.00","0.00","OK"
"8i9q6","6","4","0.67","0.33","OK"
"8i9ql","5457","1575","0.29","0.71","OK"
"8i9qu","63","12","0.19","0.81","OK"
"8i9s9","252","32","0.13","0.87","OK"
"8i9sm","23","10","0.43","0.57","OK"
"8i9t0","3","1","0.33","0.67","OK"
"8i9tt","38","25","0.66","0.34","OK"
"8i9u6","5","5","1.00","0.00","OK"
"8i9vn","688","349","0.51","0.49","OK"
"8i9ws","341","6","0.02","0.98","Fraud"
"8i9xb","42","3","0.07","0.93","OK"
"8i9z5","60","24","0.40","0.60","OK"
"8i9z6","8","3","0.38","0.63","OK"
"8i9z7","2","1","0.50","0.50","OK"
"8i9zb","52","17","0.33","0.67","OK"
"8i9zp","731","38","0.05","0.95","OK"
"8i9zy","11","7","0.64","0.36","OK"
"8ia0j","27","18","0.67","0.33","OK"
"8ia0n","24","5","0.21","0.79","OK"
"8ia11","25","17","0.68","0.32","OK"
"8ia16","184","79","0.43","0.57","OK"
"8ia19","5","4","0.80","0.20","OK"
"8ia1e","9","3","0.33","0.67","OK"
"8ia25","2","1","0.50","0.50","OK"
"8ia51","11","4","0.36","0.64","OK"
"8ia54","1","1","1.00","0.00","OK"
"8ia62","8","3","0.38","0.63","OK"
"8ia6z","44","34","0.77","0.23","OK"
"8ia7h","46","33","0.72","0.28","OK"
"8ia7p","55","36","0.65","0.35","OK"
"8ia7z","5","5","1.00","0.00","OK"
"8ia80","720","302","0.42","0.58","OK"
"8ia8k","1","1","1.00","0.00","OK"
"8ia8u","125","36","0.29","0.71","OK"
"8ia99","4","2","0.50","0.50","OK"
"8ia9b","41","7","0.17","0.83","OK"
"8ia9d","1","1","1.00","0.00","OK"
"8ia9m","170","84","0.49","0.51","OK"
"8ia9n","2","2","1.00","0.00","OK"
"8iaa6","1","1","1.00","0.00","OK"
"8iaar","21","12","0.57","0.43","OK"
"8iaay","108","4","0.04","0.96","OK"
"8iaaz","18","8","0.44","0.56","OK"
"8iab9","188","141","0.75","0.25","OK"
"8iabd","60","34","0.57","0.43","OK"
"8iabk","8","5","0.63","0.38","OK"
"8iabp","51","1","0.02","0.98","OK"
"8iac5","1","1","1.00","0.00","OK"
"8iac6","336","103","0.31","0.69","OK"
"8iact","23","8","0.35","0.65","OK"
"8iadk","46","24","0.52","0.48","OK"
"8iadn","1","1","1.00","0.00","OK"
"8iadr","14269","2889","0.20","0.80","Observation"
"8iadt","1993","1072","0.54","0.46","OK"
"8iae2","1","1","1.00","0.00","OK"
"8iae4","1","1","1.00","0.00","OK"
"8iaeq","1","1","1.00","0.00","OK"
"8iafg","59","14","0.24","0.76","OK"
"8iafi","191","7","0.04","0.96","OK"
"8iagk","84","4","0.05","0.95","OK"
"8iagn","1","1","1.00","0.00","OK"
"8iagp","14","5","0.36","0.64","OK"
"8iagv","36","22","0.61","0.39","OK"
"8iah0","15","10","0.67","0.33","OK"
"8iaim","1","1","1.00","0.00","OK"
"8iaj2","202","9","0.04","0.96","OK"
"8iajv","1","1","1.00","0.00","OK"
"8iak0","94","7","0.07","0.93","OK"
"8iaks","7","2","0.29","0.71","OK"
"8ial7","1","1","1.00","0.00","OK"
"8ialk","2","1","0.50","0.50","OK"
"8ialy","324","122","0.38","0.62","OK"
"8iam0","13","4","0.31","0.69","OK"
"8iam4","11","9","0.82","0.18","OK"
"8iamd","12476","55","0.00","1.00","Observation"
"8iaml","6","3","0.50","0.50","OK"
"8iaob","2","2","1.00","0.00","OK"
"8iaps","2","2","1.00","0.00","OK"
"8iaqk","2","2","1.00","0.00","OK"
"8iaqp","25","15","0.60","0.40","OK"
"8iaqy","3","2","0.67","0.33","OK"
"8iar6","7","3","0.43","0.57","OK"
"8iark","22","19","0.86","0.14","OK"
"8iaru","24","13","0.54","0.46","OK"
"8iasq","14","1","0.07","0.93","OK"
"8iasz","992","6","0.01","0.99","Observation"
"8iata","220","173","0.79","0.21","OK"
"8iatv","208","89","0.43","0.57","OK"
"8iau4","41","27","0.66","0.34","OK"
"8iau5","25","18","0.72","0.28","OK"
"8iau7","31","16","0.52","0.48","OK"
"8iauu","10605","1146","0.11","0.89","OK"
"8iavq","3791","1624","0.43","0.57","OK"
"8iavx","127","26","0.20","0.80","OK"
"8iawe","2","2","1.00","0.00","OK"
"8iawh","25","2","0.08","0.92","OK"
"8iaxa","4","4","1.00","0.00","OK"
"8iaxj","39598","31163","0.79","0.21","Fraud"
"8iayy","1","1","1.00","0.00","OK"
"8iazm","603","122","0.20","0.80","OK"
"8ib0l","504","60","0.12","0.88","OK"
"8ib0m","1","1","1.00","0.00","OK"
"8ib12","42","12","0.29","0.71","OK"
"8ib14","6","4","0.67","0.33","OK"
"8ib16","250","120","0.48","0.52","OK"
"8ib1i","2","2","1.00","0.00","OK"
"8ib1j","2","2","1.00","0.00","OK"
"8ib1t","13","4","0.31","0.69","OK"
"8ib1v","3","1","0.33","0.67","OK"
"8ib1x","1","1","1.00","0.00","OK"
"8ib25","24","20","0.83","0.17","OK"
"8ib26","11","4","0.36","0.64","OK"
"8ib2d","1","1","1.00","0.00","OK"
"8ib2w","34","8","0.24","0.76","OK"
"8ib34","3","1","0.33","0.67","OK"
"8ib46","2","2","1.00","0.00","OK"
"8ib4v","3","3","1.00","0.00","OK"
"8ib4y","19","5","0.26","0.74","OK"
"8ib4z","502","311","0.62","0.38","OK"
"8ib56","2065","204","0.10","0.90","OK"
"8ib5i","1934","576","0.30","0.70","OK"
"8ib63","4","4","1.00","0.00","OK"
"8ib6f","5","2","0.40","0.60","OK"
"8ib6i","6","3","0.50","0.50","OK"
"8ib6x","454","335","0.74","0.26","OK"
"8ib7h","33","5","0.15","0.85","OK"
"8ib7i","1","1","1.00","0.00","OK"
"8ib9m","1","1","1.00","0.00","OK"
"8ib9o","3","1","0.33","0.67","OK"
"8ib9v","2","2","1.00","0.00","OK"
"8ibah","1921","816","0.42","0.58","OK"
"8ibam","1","1","1.00","0.00","OK"
"8ibay","1","1","1.00","0.00","OK"
"8ibbr","57","1","0.02","0.98","OK"
"8ibbv","1","1","1.00","0.00","OK"
"8ibcb","1","1","1.00","0.00","OK"
"8ibcv","73","29","0.40","0.60","OK"
"8ibdg","177","5","0.03","0.97","OK"
"8ibdl","10","2","0.20","0.80","OK"
"8ibdm","3014","1177","0.39","0.61","OK"
"8iber","2","2","1.00","0.00","OK"
"8ibf5","2","2","1.00","0.00","OK"
"8ibfa","1","1","1.00","0.00","OK"
"8ibg2","22","5","0.23","0.77","OK"
"8ibg6","1","1","1.00","0.00","OK"
"8ibgj","9","3","0.33","0.67","OK"
"8ibgo","5","3","0.60","0.40","OK"
"8ibgx","49","41","0.84","0.16","OK"
"8ibhn","7","3","0.43","0.57","OK"
"8ibid","9","4","0.44","0.56","OK"
"8ibiw","9","3","0.33","0.67","OK"
"8ibjf","427","179","0.42","0.58","OK"
"8ibjo","78","49","0.63","0.37","OK"
"8ibke","1","1","1.00","0.00","OK"
"8ibkr","983","504","0.51","0.49","Fraud"
"8ibl1","1","1","1.00","0.00","OK"
"8ibmd","2","2","1.00","0.00","OK"
"8ibmq","1","1","1.00","0.00","OK"
"8ibmx","7","5","0.71","0.29","OK"
"8ibn2","1","1","1.00","0.00","OK"
"8ibnz","2","1","0.50","0.50","OK"
"8ibo7","6","4","0.67","0.33","OK"
"8ibop","7","4","0.57","0.43","OK"
"8ibp0","57","34","0.60","0.40","OK"
"8ibp7","2","1","0.50","0.50","OK"
"8ibp9","18","10","0.56","0.44","OK"
"8ibpi","3","3","1.00","0.00","OK"
"8ibr7","2","1","0.50","0.50","OK"
"8ibt9","33","7","0.21","0.79","OK"
"8ibtd","2","2","1.00","0.00","OK"
"8ibub","2","2","1.00","0.00","OK"
"8ibug","108","9","0.08","0.92","OK"
"8ibum","83","10","0.12","0.88","OK"
"8ibup","591","194","0.33","0.67","OK"
"8ibv4","2206","148","0.07","0.93","OK"
"8ibw8","510","86","0.17","0.83","OK"
"8ibxb","143","29","0.20","0.80","OK"
"8ic07","56","10","0.18","0.82","OK"
"8ic0m","1352","521","0.39","0.61","OK"
"8ic0y","82","56","0.68","0.32","OK"
"8ic1s","16","1","0.06","0.94","OK"
"8ic1t","144","56","0.39","0.61","OK"
"8ic1x","1","1","1.00","0.00","OK"
"8ic26","933","511","0.55","0.45","OK"
"8ic2e","3","1","0.33","0.67","OK"
"8ic2q","3","2","0.67","0.33","OK"
"8ic3a","17","3","0.18","0.82","OK"
"8ic3g","1","1","1.00","0.00","OK"
"8ic3o","58","16","0.28","0.72","OK"
"8ic3r","1","1","1.00","0.00","OK"
"8ic3w","4","1","0.25","0.75","OK"
"8ic46","35","25","0.71","0.29","OK"
"8ic4i","26","9","0.35","0.65","OK"
"8ic4v","968","52","0.05","0.95","OK"
"8ic50","1","1","1.00","0.00","OK"
"8ic51","6","6","1.00","0.00","OK"
"8ic55","2","1","0.50","0.50","OK"
"8ic56","3004","46","0.02","0.98","OK"
"8ic59","1","1","1.00","0.00","OK"
"8ic5b","11","7","0.64","0.36","OK"
"8ic6b","77","7","0.09","0.91","OK"
"8ic6d","9","3","0.33","0.67","OK"
"8ic6r","1","1","1.00","0.00","OK"
"8ic78","1","1","1.00","0.00","OK"
"8ic7z","3","2","0.67","0.33","OK"
"8ic8g","6","6","1.00","0.00","OK"
"8ic9a","5","4","0.80","0.20","OK"
"8ic9l","24","14","0.58","0.42","OK"
"8ic9r","3","3","1.00","0.00","OK"
"8ica0","24","2","0.08","0.92","OK"
"8icam","17","15","0.88","0.12","OK"
"8icaw","45","6","0.13","0.87","OK"
"8icb3","4","2","0.50","0.50","OK"
"8icb9","2","2","1.00","0.00","OK"
"8icbb","25","6","0.24","0.76","OK"
"8iccd","218","147","0.67","0.33","OK"
"8iccn","121","51","0.42","0.58","OK"
"8icdb","160","8","0.05","0.95","OK"
"8icdj","4","1","0.25","0.75","OK"
"8ice8","917","180","0.20","0.80","OK"
"8icee","26","3","0.12","0.88","OK"
"8icef","56","19","0.34","0.66","OK"
"8icfc","1","1","1.00","0.00","OK"
"8icfe","4432","659","0.15","0.85","Observation"
"8icff","1724","577","0.33","0.67","Observation"
"8icfm","1","1","1.00","0.00","OK"
"8icgh","2","2","1.00","0.00","OK"
"8ich8","2","1","0.50","0.50","OK"
"8ichd","371","123","0.33","0.67","OK"
"8ichj","8","3","0.38","0.63","OK"
"8ichk","510","313","0.61","0.39","OK"
"8ichs","1","1","1.00","0.00","OK"
"8ichw","11","3","0.27","0.73","OK"
"8icia","264","87","0.33","0.67","OK"
"8icim","13","4","0.31","0.69","OK"
"8icin","2449","233","0.10","0.90","OK"
"8icix","2","2","1.00","0.00","OK"
"8icoz","3","1","0.33","0.67","OK"
"8icp7","331","53","0.16","0.84","OK"
"8icq7","17","7","0.41","0.59","OK"
"8ictc","20","8","0.40","0.60","OK"
"8ictf","1","1","1.00","0.00","OK"
"8ictz","163","63","0.39","0.61","OK"
"8icu9","26","7","0.27","0.73","OK"
"8icuy","165","5","0.03","0.97","OK"
"8icv3","1","1","1.00","0.00","OK"
"8icvc","26","11","0.42","0.58","OK"
"8icwe","8","4","0.50","0.50","OK"
"8icx6","1","1","1.00","0.00","OK"
"8icxc","9","3","0.33","0.67","OK"
"8icxd","2","1","0.50","0.50","OK"
"8icxf","8","2","0.25","0.75","OK"
"8icxl","76","14","0.18","0.82","OK"
"8icyy","12","6","0.50","0.50","OK"
"8icz2","339","251","0.74","0.26","OK"
"8iczh","787","181","0.23","0.77","Fraud"
"8id02","1212","74","0.06","0.94","OK"
"8id03","351","222","0.63","0.37","OK"
"8id0y","10","10","1.00","0.00","OK"
"8id0z","52","45","0.87","0.13","OK"
"8id1a","9","2","0.22","0.78","OK"
"8id2f","1","1","1.00","0.00","OK"
"8id2s","2","1","0.50","0.50","OK"
"8id2w","11","6","0.55","0.45","OK"
"8id2z","35","32","0.91","0.09","OK"
"8id56","1","1","1.00","0.00","OK"
"8id57","583","136","0.23","0.77","OK"
"8id5b","3","3","1.00","0.00","OK"
"8id5p","561","83","0.15","0.85","Fraud"
"8id6y","1153","506","0.44","0.56","OK"
"8id6z","19","16","0.84","0.16","OK"
"8id7o","125","48","0.38","0.62","OK"
"8id7z","1","1","1.00","0.00","OK"
"8id89","5","2","0.40","0.60","OK"
"8id8z","1","1","1.00","0.00","OK"
"8id9y","31","2","0.06","0.94","OK"
"8ida1","1953","635","0.33","0.67","OK"
"8idam","2","2","1.00","0.00","OK"
"8idbx","84","13","0.15","0.85","OK"
"8idc4","11","1","0.09","0.91","OK"
"8iddj","40","1","0.03","0.98","OK"
"8iddv","1","1","1.00","0.00","OK"
"8iddw","15","1","0.07","0.93","OK"
"8ide1","10","1","0.10","0.90","OK"
"8ide5","1","1","1.00","0.00","OK"
"8idem","5","1","0.20","0.80","OK"
"8idf6","1","1","1.00","0.00","OK"
"8idfl","6","1","0.17","0.83","OK"
"8idg8","2","1","0.50","0.50","OK"
"8idgb","1","1","1.00","0.00","OK"
"8idh3","1","1","1.00","0.00","OK"
"8idhm","443","2","0.00","1.00","Fraud"
"8idhn","23","1","0.04","0.96","OK"
"8idhp","86","1","0.01","0.99","OK"
"8idhs","7","1","0.14","0.86","OK"
"8idht","1","1","1.00","0.00","OK"
"8idhw","2","1","0.50","0.50","OK"
"8idi0","2","1","0.50","0.50","OK"
"8idi1","16","1","0.06","0.94","OK"
"8idi4","3","1","0.33","0.67","OK"
"8idi5","11","1","0.09","0.91","OK"
"8idi7","34","1","0.03","0.97","OK"
"8idib","1","1","1.00","0.00","OK"
"8idit","329","2","0.01","0.99","Fraud"
"8idmr","6","1","0.17","0.83","OK"
"8idn9","10","1","0.10","0.90","OK"
"8idnv","1","1","1.00","0.00","OK"
"8idny","1","1","1.00","0.00","OK"
"8ido2","31","1","0.03","0.97","OK"
"8idoa","16","1","0.06","0.94","OK"
"8idob","3","1","0.33","0.67","OK"
"8idoc","5","1","0.20","0.80","OK"
"8idou","12","1","0.08","0.92","OK"
"8idp1","2","1","0.50","0.50","OK"
"8idp3","1","1","1.00","0.00","OK"
"8ie57","1","1","1.00","0.00","OK"
"8ie5k","2","1","0.50","0.50","OK"
"8ie7p","3","3","1.00","0.00","OK"
"8ie82","4","3","0.75","0.25","OK"
"8ie98","7","5","0.71","0.29","OK"
"8ie9s","5","3","0.60","0.40","OK"
"8iea1","6","1","0.17","0.83","OK"
"8ieaq","43","1","0.02","0.98","OK"
"8ieaz","143","1","0.01","0.99","OK"
"8ieb4","4","1","0.25","0.75","OK"
"8iebt","1","1","1.00","0.00","OK"
"8iebx","9","3","0.33","0.67","OK"
"8ief6","9","4","0.44","0.56","OK"
"8iefb","137","26","0.19","0.81","OK"
"8iefl","531","318","0.60","0.40","OK"
"8iefo","1","1","1.00","0.00","OK"
"8iefs","4","1","0.25","0.75","OK"
"8ieg2","79","44","0.56","0.44","OK"
"8iegi","1","1","1.00","0.00","OK"
"8ieh3","9","4","0.44","0.56","OK"
"8iehk","19","9","0.47","0.53","OK"
"8ieht","35130","4033","0.11","0.89","Observation"
"8iejt","4","3","0.75","0.25","OK"
"8iel9","428","135","0.32","0.68","OK"
"8ielc","15","1","0.07","0.93","OK"
"8iem5","589","526","0.89","0.11","Fraud"
"8iemj","1","1","1.00","0.00","OK"
"8ien9","12","5","0.42","0.58","OK"
"8ieo7","2","2","1.00","0.00","OK"
"8ieol","19","7","0.37","0.63","OK"
"8ieqn","16","4","0.25","0.75","OK"
"8iequ","1","1","1.00","0.00","OK"
"8ies6","11","7","0.64","0.36","OK"
"8ies8","223","88","0.39","0.61","OK"
"8ieso","1","1","1.00","0.00","OK"
"8iet9","11900","89","0.01","0.99","OK"
"8ietw","10","1","0.10","0.90","OK"
"8ieuh","2","1","0.50","0.50","OK"
"8iev9","1","1","1.00","0.00","OK"
"8ievj","14","1","0.07","0.93","OK"
"8ievt","33","2","0.06","0.94","OK"
"8ievz","217","5","0.02","0.98","Fraud"
"8iex1","39","2","0.05","0.95","OK"
"8iex9","2563","276","0.11","0.89","OK"
"8iexi","8","4","0.50","0.50","OK"
"8iext","8","3","0.38","0.63","OK"
"8if13","50","24","0.48","0.52","OK"
"8if2b","5","2","0.40","0.60","OK"
"8if3m","25","10","0.40","0.60","OK"
"8if4w","1","1","1.00","0.00","OK"
"8if5c","1","1","1.00","0.00","OK"
"8if5p","25","3","0.12","0.88","OK"
"8if6n","2","1","0.50","0.50","OK"
"8if7b","1","1","1.00","0.00","OK"
"8if9o","1957","125","0.06","0.94","Fraud"
"8ifa1","42049","24485","0.58","0.42","Observation"
"8ifan","37","6","0.16","0.84","OK"
"8ifcw","715","397","0.56","0.44","Fraud"
"8ifem","3","3","1.00","0.00","OK"
"8iff5","5","1","0.20","0.80","OK"
"8iff6","1","1","1.00","0.00","OK"
"8iffk","292","20","0.07","0.93","OK"
"8ifg0","1","1","1.00","0.00","OK"
"8ifg9","3","1","0.33","0.67","OK"
"8ifgn","5","2","0.40","0.60","OK"
"8ifik","151","6","0.04","0.96","OK"
"8ifm5","3","2","0.67","0.33","OK"
"8ifma","172","136","0.79","0.21","OK"
"8ifmk","2","2","1.00","0.00","OK"
"8ifna","9","8","0.89","0.11","OK"
"8ifnd","1","1","1.00","0.00","OK"
"8ifog","143","94","0.66","0.34","OK"
"8ifov","43","32","0.74","0.26","OK"
"8ifqc","99","68","0.69","0.31","OK"
"8ifqi","1967","806","0.41","0.59","Fraud"
"8ifqk","121","24","0.20","0.80","OK"
"8ifvn","1","1","1.00","0.00","OK"
"8ifwd","4","1","0.25","0.75","OK"
"8ifzw","7","4","0.57","0.43","OK"
"8ig0z","4","1","0.25","0.75","OK"
"8ig13","60","2","0.03","0.97","OK"
"8ig4x","4","3","0.75","0.25","OK"
"8ig5c","7","5","0.71","0.29","OK"
"8ig76","194","84","0.43","0.57","OK"
"8ig8i","26","14","0.54","0.46","OK"
"8igb7","17","17","1.00","0.00","OK"
"8igbs","6","2","0.33","0.67","OK"
"8igbt","8","4","0.50","0.50","OK"
"8igbu","8","3","0.38","0.63","OK"
"8igc1","37","11","0.30","0.70","OK"
"8igcb","11","4","0.36","0.64","OK"
"8igdb","4","3","0.75","0.25","OK"
"8igdp","1","1","1.00","0.00","OK"
"8igem","11","5","0.45","0.55","OK"
