"partnerid","IpVariance","status"
"8i9ii","0.00","Observation"
"8i9ij","0.13","OK"
"8i9ik","20000.00","OK"
"8i9im","293.38","OK"
"8i9in","229.18","OK"
"8i9ip","0.00","OK"
"8i9j4","783.76","OK"
"8i9j6","17487.38","Observation"
"8i9jf","0.00","OK"
"8i9jg","59.42","OK"
"8i9ji","4.02","OK"
"8i9jj","331.96","OK"
"8i9jr","0.00","OK"
"8i9kq","28.81","OK"
"8i9ky","0.00","OK"
"8i9nd","0.00","OK"
"8i9ng","1.44","OK"
"8i9np","10.12","OK"
"8i9os","0.00","OK"
"8i9ot","923.49","OK"
"8i9p1","0.12","OK"
"8i9p3","0.44","OK"
"8i9p4","0.00","OK"
"8i9p7","4.16","OK"
"8i9p8","12.81","OK"
"8i9pt","0.00","OK"
"8i9q6","0.00","OK"
"8i9ql","1930.04","OK"
"8i9qu","31.32","OK"
"8i9s9","10.50","OK"
"8i9sm","1.31","OK"
"8i9t0","0.00","OK"
"8i9tt","11.58","OK"
"8i9u6","0.89","OK"
"8i9vn","58.41","OK"
"8i9ws","74.13","Fraud"
"8i9xb","4.54","OK"
"8i9z5","10.59","OK"
"8i9z6","0.22","OK"
"8i9z7","0.00","OK"
"8i9zb","4.41","OK"
"8i9zp","101.39","OK"
"8i9zy","0.00","OK"
"8ia0j","3.36","OK"
"8ia0n","15.04","OK"
"8ia11","6.60","OK"
"8ia16","33.89","OK"
"8ia19","0.19","OK"
"8ia1e","0.00","OK"
"8ia25","0.00","OK"
"8ia51","5.76","OK"
"8ia54","0.00","OK"
"8ia62","0.00","OK"
"8ia6z","3.67","OK"
"8ia7h","9.49","OK"
"8ia7p","24.04","OK"
"8ia7z","0.00","OK"
"8ia80","125.92","OK"
"8ia8k","0.00","OK"
"8ia8u","10.57","OK"
"8ia99","0.22","OK"
"8ia9b","2.32","OK"
"8ia9d","0.00","OK"
"8ia9m","27.86","OK"
"8ia9n","0.00","OK"
"8iaa6","0.00","OK"
"8iaar","1.57","OK"
"8iaay","14.65","OK"
"8iaaz","0.85","OK"
"8iab9","851.87","OK"
"8iabd","7.22","OK"
"8iabk","9.00","OK"
"8iabp","103.69","OK"
"8iac5","0.00","OK"
"8iac6","41.52","OK"
"8iact","0.46","OK"
"8iadk","17.26","OK"
"8iadn","0.00","OK"
"8iadr","2375.32","Observation"
"8iadt","11749.61","OK"
"8iae2","0.00","OK"
"8iae4","0.00","OK"
"8iaeq","0.00","OK"
"8iafg","2.47","OK"
"8iafi","27.38","OK"
"8iagk","6.86","OK"
"8iagn","0.00","OK"
"8iagp","0.74","OK"
"8iagv","13.33","OK"
"8iah0","0.78","OK"
"8iaim","0.00","OK"
"8iaj2","96.11","OK"
"8iajv","0.00","OK"
"8iak0","18.62","OK"
"8iaks","3.56","OK"
"8ial7","0.00","OK"
"8ialk","0.00","OK"
"8ialy","348.52","OK"
"8iam0","0.91","OK"
"8iam4","0.09","OK"
"8iamd","8568.82","Observation"
"8iaml","0.16","OK"
"8iaob","0.00","OK"
"8iaps","0.00","OK"
"8iaqk","0.00","OK"
"8iaqp","6.60","OK"
"8iaqy","0.00","OK"
"8iar6","0.00","OK"
"8iark","5.36","OK"
"8iaru","3.21","OK"
"8iasq","4.29","OK"
"8iasz","284.80","Observation"
"8iata","497.72","OK"
"8iatv","340.02","OK"
"8iau4","7.79","OK"
"8iau5","3.54","OK"
"8iau7","3.05","OK"
"8iauu","8207.01","OK"
"8iavq","1467.37","OK"
"8iavx","2381.44","OK"
"8iawe","0.00","OK"
"8iawh","5.58","OK"
"8iaxa","0.22","OK"
"8iaxj","79903.02","Fraud"
"8iayy","0.00","OK"
"8iazm","151.89","OK"
"8ib0l","33.77","OK"
"8ib0m","0.00","OK"
"8ib12","11.52","OK"
"8ib14","0.16","OK"
"8ib16","48.48","OK"
"8ib1i","0.00","OK"
"8ib1j","0.00","OK"
"8ib1t","2.98","OK"
"8ib1v","0.00","OK"
"8ib1x","0.00","OK"
"8ib25","0.22","OK"
"8ib26","1.96","OK"
"8ib2d","0.00","OK"
"8ib2w","8.98","OK"
"8ib34","0.25","OK"
"8ib46","0.00","OK"
"8ib4v","0.25","OK"
"8ib4y","0.74","OK"
"8ib4z","87.45","OK"
"8ib56","1139.15","OK"
"8ib5i","116.80","OK"
"8ib63","0.00","OK"
"8ib6f","0.89","OK"
"8ib6i","0.16","OK"
"8ib6x","221.64","OK"
"8ib7h","2.51","OK"
"8ib7i","0.00","OK"
"8ib9m","0.00","OK"
"8ib9o","0.00","OK"
"8ib9v","0.00","OK"
"8ibah","399.38","OK"
"8ibam","0.00","OK"
"8ibay","0.00","OK"
"8ibbr","24.85","OK"
"8ibbv","0.00","OK"
"8ibcb","0.00","OK"
"8ibcv","16.83","OK"
"8ibdg","211.88","OK"
"8ibdl","1.22","OK"
"8ibdm","642.68","OK"
"8iber","0.00","OK"
"8ibf5","0.00","OK"
"8ibfa","0.00","OK"
"8ibg2","3.05","OK"
"8ibg6","0.00","OK"
"8ibgj","0.49","OK"
"8ibgo","0.00","OK"
"8ibgx","0.75","OK"
"8ibhn","0.69","OK"
"8ibid","0.49","OK"
"8ibiw","1.36","OK"
"8ibjf","93.93","OK"
"8ibjo","44.29","OK"
"8ibke","0.00","OK"
"8ibkr","2530.44","Fraud"
"8ibl1","0.00","OK"
"8ibmd","0.00","OK"
"8ibmq","0.00","OK"
"8ibmx","0.64","OK"
"8ibn2","0.00","OK"
"8ibnz","0.00","OK"
"8ibo7","0.00","OK"
"8ibop","0.14","OK"
"8ibp0","1.40","OK"
"8ibp7","0.00","OK"
"8ibp9","8.24","OK"
"8ibpi","0.25","OK"
"8ibr7","0.00","OK"
"8ibt9","2.68","OK"
"8ibtd","0.00","OK"
"8ibub","0.00","OK"
"8ibug","6.76","OK"
"8ibum","11.99","OK"
"8ibup","123.96","OK"
"8ibv4","207.91","OK"
"8ibw8","15.95","OK"
"8ibxb","214.64","OK"
"8ic07","11.32","OK"
"8ic0m","474.60","OK"
"8ic0y","26.59","OK"
"8ic1s","1.34","OK"
"8ic1t","47.55","OK"
"8ic1x","0.00","OK"
"8ic26","237.87","OK"
"8ic2e","0.25","OK"
"8ic2q","0.00","OK"
"8ic3a","0.25","OK"
"8ic3g","0.00","OK"
"8ic3o","10.15","OK"
"8ic3r","0.00","OK"
"8ic3w","0.00","OK"
"8ic46","4.69","OK"
"8ic4i","5.00","OK"
"8ic4v","233.28","OK"
"8ic50","0.00","OK"
"8ic51","0.16","OK"
"8ic55","0.00","OK"
"8ic56","962.93","OK"
"8ic59","0.00","OK"
"8ic5b","0.09","OK"
"8ic6b","12.06","OK"
"8ic6d","0.11","OK"
"8ic6r","0.00","OK"
"8ic78","0.00","OK"
"8ic7z","0.00","OK"
"8ic8g","0.16","OK"
"8ic9a","0.19","OK"
"8ic9l","2.01","OK"
"8ic9r","0.00","OK"
"8ica0","0.16","OK"
"8icam","1.91","OK"
"8icaw","3.74","OK"
"8icb3","0.00","OK"
"8icb9","0.00","OK"
"8icbb","2.13","OK"
"8iccd","35.07","OK"
"8iccn","8.44","OK"
"8icdb","51.54","OK"
"8icdj","0.00","OK"
"8ice8","249.06","OK"
"8icee","4.33","OK"
"8icef","5.85","OK"
"8icfc","0.00","OK"
"8icfe","18846.96","Observation"
"8icff","494.89","Observation"
"8icfm","0.00","OK"
"8icgh","0.00","OK"
"8ich8","0.00","OK"
"8ichd","93.54","OK"
"8ichj","5.56","OK"
"8ichk","110.99","OK"
"8ichs","0.00","OK"
"8ichw","3.47","OK"
"8icia","9.24","OK"
"8icim","30.25","OK"
"8icin","395.69","OK"
"8icix","0.00","OK"
"8icoz","0.00","OK"
"8icp7","52.18","OK"
"8icq7","0.74","OK"
"8ictc","1.67","OK"
"8ictf","0.00","OK"
"8ictz","31.00","OK"
"8icu9","8.69","OK"
"8icuy","24.04","OK"
"8icv3","0.00","OK"
"8icvc","4.55","OK"
"8icwe","0.12","OK"
"8icx6","0.00","OK"
"8icxc","0.11","OK"
"8icxd","0.00","OK"
"8icxf","0.50","OK"
"8icxl","9.17","OK"
"8icyy","0.08","OK"
"8icz2","110.02","OK"
"8iczh","299.30","Fraud"
"8id02","68.13","OK"
"8id03","37.94","OK"
"8id0y","2.40","OK"
"8id0z","31.69","OK"
"8id1a","0.00","OK"
"8id2f","0.00","OK"
"8id2s","0.00","OK"
"8id2w","0.48","OK"
"8id2z","7.33","OK"
"8id56","0.00","OK"
"8id57","82.91","OK"
"8id5b","0.00","OK"
"8id5p","3389.90","Fraud"
"8id6y","221.13","OK"
"8id6z","5.29","OK"
"8id7o","15.74","OK"
"8id7z","0.00","OK"
"8id89","0.00","OK"
"8id8z","0.00","OK"
"8id9y","13.36","OK"
"8ida1","449.19","OK"
"8idam","0.00","OK"
"8idbx","103.65","OK"
"8idc4","0.17","OK"
"8iddj","21.30","OK"
"8iddv","0.00","OK"
"8iddw","2.58","OK"
"8ide1","4.25","OK"
"8ide5","0.00","OK"
"8idem","0.19","OK"
"8idf6","0.00","OK"
"8idfl","0.75","OK"
"8idg8","0.00","OK"
"8idgb","0.00","OK"
"8idh3","0.00","OK"
"8idhm","970.89","Fraud"
"8idhn","11.90","OK"
"8idhp","49.66","OK"
"8idhs","6.25","OK"
"8idht","0.00","OK"
"8idhw","0.00","OK"
"8idi0","0.00","OK"
"8idi1","10.89","OK"
"8idi4","0.25","OK"
"8idi5","0.17","OK"
"8idi7","56.40","OK"
"8idib","0.00","OK"
"8idit","12.88","Fraud"
"8idmr","0.00","OK"
"8idn9","9.00","OK"
"8idnv","0.00","OK"
"8idny","0.00","OK"
"8ido2","0.37","OK"
"8idoa","0.00","OK"
"8idob","0.25","OK"
"8idoc","0.00","OK"
"8idou","3.06","OK"
"8idp1","0.00","OK"
"8idp3","0.00","OK"
"8ie57","0.00","OK"
"8ie5k","0.00","OK"
"8ie7p","0.00","OK"
"8ie82","0.00","OK"
"8ie98","0.00","OK"
"8ie9s","0.00","OK"
"8iea1","0.00","OK"
"8ieaq","25.13","OK"
"8ieaz","178.63","OK"
"8ieb4","0.22","OK"
"8iebt","0.00","OK"
"8iebx","0.49","OK"
"8ief6","0.49","OK"
"8iefb","36.88","OK"
"8iefl","82.74","OK"
"8iefo","0.00","OK"
"8iefs","0.00","OK"
"8ieg2","8.52","OK"
"8iegi","0.00","OK"
"8ieh3","0.49","OK"
"8iehk","0.93","OK"
"8ieht","11394.42","Observation"
"8iejt","1.00","OK"
"8iel9","134.58","OK"
"8ielc","0.07","OK"
"8iem5","2219.43","Fraud"
"8iemj","0.00","OK"
"8ien9","1.92","OK"
"8ieo7","0.00","OK"
"8ieol","1.24","OK"
"8ieqn","0.33","OK"
"8iequ","0.00","OK"
"8ies6","5.76","OK"
"8ies8","34.85","OK"
"8ieso","0.00","OK"
"8iet9","3823.40","OK"
"8ietw","2.22","OK"
"8ieuh","0.00","OK"
"8iev9","0.00","OK"
"8ievj","0.00","OK"
"8ievt","23.94","OK"
"8ievz","1626.19","Fraud"
"8iex1","91.19","OK"
"8iex9","547.45","OK"
"8iexi","0.56","OK"
"8iext","0.56","OK"
"8if13","22.91","OK"
"8if2b","0.00","OK"
"8if3m","4.85","OK"
"8if4w","0.00","OK"
"8if5c","0.00","OK"
"8if5p","11.06","OK"
"8if6n","0.00","OK"
"8if7b","0.00","OK"
"8if9o","6966.41","Fraud"
"8ifa1","23277.94","Observation"
"8ifan","2.01","OK"
"8ifcw","895.77","Fraud"
"8ifem","0.00","OK"
"8iff5","0.00","OK"
"8iff6","0.00","OK"
"8iffk","422.70","OK"
"8ifg0","0.00","OK"
"8ifg9","0.00","OK"
"8ifgn","2.25","OK"
"8ifik","28.49","OK"
"8ifm5","0.00","OK"
"8ifma","23.14","OK"
"8ifmk","0.00","OK"
"8ifna","0.49","OK"
"8ifnd","0.00","OK"
"8ifog","25.06","OK"
"8ifov","3.03","OK"
"8ifqc","59.32","OK"
"8ifqi","1726.84","Fraud"
"8ifqk","327.61","OK"
"8ifvn","0.00","OK"
"8ifwd","0.00","OK"
"8ifzw","6.25","OK"
"8ig0z","1.00","OK"
"8ig13","0.00","OK"
"8ig4x","1.00","OK"
"8ig5c","0.00","OK"
"8ig76","13.26","OK"
"8ig8i","70.75","OK"
"8igb7","3.43","OK"
"8igbs","0.75","OK"
"8igbt","0.56","OK"
"8igbu","1.44","OK"
"8igc1","3.58","OK"
"8igcb","1.96","OK"
"8igdb","0.00","OK"
"8igdp","0.00","OK"
"8igem","0.96","OK"
"8igew","0.25","OK"
"8igfs","11.61","OK"
"8igh8","0.00","OK"
"8igih","0.00","OK"
"8igj2","6.86","OK"
"8igji","0.00","OK"
"8igkk","0.00","OK"
"8igkp","14.97","OK"
"8igl1","4.25","OK"
"8igl7","0.00","OK"
"8iglk","3.27","OK"
"8igm1","1.00","OK"
"8igm8","0.41","OK"
"8igmr","12.67","OK"
"8ign1","0.00","OK"
"8ignc","0.25","OK"
"8igne","0.89","OK"
"8igo3","3.21","OK"
"8igo7","394.64","OK"
"8igox","2.75","OK"
"8igpd","0.00","OK"
"8igpr","0.19","OK"
"8igql","3.14","OK"
"8igqx","0.00","OK"
"8igr1","0.00","OK"
"8igsh","0.00","OK"
"8igsi","0.89","OK"
"8igts","0.25","OK"
"8igv1","100.00","OK"
"8igvd","0.89","OK"
"8igy3","1.17","OK"
"8igyy","225.34","Observation"
"8igz8","2.47","OK"
"8igzo","0.00","OK"
"8igzs","0.00","OK"
"8igzy","0.00","OK"
"8igzz","0.00","OK"
"8ih09","2501.72","Fraud"
"8ih1h","4.67","OK"
"8ih1j","0.00","OK"
"8ih20","2.73","OK"
"8ih2n","0.51","OK"
"8ih3o","0.22","OK"
"8ih4k","0.89","OK"
"8ih6i","0.00","OK"
"8iha2","199.86","Observation"
"8ihab","1.58","OK"
"8ihac","0.16","OK"
"8ihaj","3.47","OK"
"8ihba","79.88","Observation"
"8ihbr","0.00","OK"
"8ihbx","1077.75","OK"
"8ihc4","282.31","OK"
"8ihcj","0.00","OK"
"8ihck","2.14","OK"
"8ihcm","0.00","OK"
"8ihct","0.00","OK"
"8ihcu","0.12","OK"
"8ihd5","1.69","OK"
"8ihdv","21.94","OK"
"8ihe5","124.71","OK"
"8ihhk","0.00","OK"
"8ihij","4.00","OK"
"8ihik","8.51","OK"
"8ihk7","1991.78","Observation"
"8ihkj","0.00","OK"
"8ihkt","101.04","OK"
"8ihl1","0.00","Fraud"
"8ihl9","23.83","OK"
"8ihlr","3.58","OK"
"8ihn7","14.71","OK"
"8ihna","12.28","OK"
"8ihnk","0.07","OK"
"8ihot","4.00","OK"
"8ihpi","94970.32","OK"
"8ihqx","1072.65","OK"
"8ihrz","0.08","OK"
"8ihs5","36.45","OK"
"8ihsd","24.31","OK"
"8ihsp","3.85","OK"
"8ihth","1.14","OK"
"8ihtk","0.00","OK"
"8ihtv","16.12","OK"
"8ihue","0.00","OK"
"8ihuk","0.00","OK"
"8ihup","78.85","OK"
"8ihuv","0.00","OK"
"8ihuy","0.25","OK"
"8ihv1","12.97","OK"
"8ihvb","0.00","OK"
"8ihwi","0.00","OK"
"8ihwm","0.89","OK"
"8ihxc","0.00","OK"
"8ihxl","0.00","OK"
"8ihxp","0.00","OK"
"8ihxy","0.00","OK"
"8ihy6","0.00","OK"
"8ihyb","0.22","OK"
"8ihyi","0.00","OK"
"8ihz5","0.98","OK"
"8ihzv","0.00","OK"
"8ihzw","6.25","OK"
"8ihzy","4.19","OK"
"8ii07","0.89","OK"
"8ii0g","31.66","OK"
"8ii0i","45.58","OK"
"8ii0k","393.19","OK"
"8ii11","7255.33","OK"
"8ii14","5.52","OK"
"8ii1p","0.44","OK"
"8ii1r","137.31","OK"
"8ii26","1612.86","OK"
"8ii2b","130.86","OK"
"8ii2l","0.25","OK"
"8ii2n","0.00","OK"
"8ii3a","11.46","OK"
"8ii4l","0.69","OK"
"8ii4n","0.00","OK"
"8ii4y","0.00","OK"
"8ii58","3.91","OK"
"8ii5a","10.16","OK"
"8ii5u","0.00","OK"
"8ii6o","1.19","OK"
"8ii7u","6806.25","OK"
"8ii9a","54.03","OK"
"8iiai","0.00","OK"
"8iiby","2.00","OK"
"8iic8","0.00","OK"
"8iicn","0.00","OK"
"8iid3","134.21","OK"
"8iid4","11842.93","Fraud"
"8iidh","3.19","OK"
"8iidk","198.55","OK"
"8iidm","404.03","OK"
"8iidn","366.98","OK"
"8iidr","519.82","OK"
"8iie9","0.33","OK"
"8iieo","0.25","OK"
"8iig5","258.74","OK"
"8iigf","0.00","OK"
"8iigk","0.00","OK"
"8iigl","250.45","OK"
"8iigz","23.76","OK"
"8iih9","10.86","OK"
"8iiii","0.00","OK"
"8iiiv","0.00","OK"
"8iij1","0.00","OK"
"8iijd","0.25","OK"
"8iijk","15.97","OK"
"8iijt","358.02","OK"
"8iik1","547.04","OK"
"8iilm","0.00","OK"
"8iim7","0.00","OK"
"8iimi","0.00","OK"
"8iina","324.18","OK"
"8iinm","0.00","OK"
"8iiov","0.11","OK"
"8iiq8","0.00","OK"
"8iiqq","0.00","OK"
"8iir0","204.69","OK"
"8iird","1.25","OK"
"8iitn","0.00","OK"
"8iitu","23.06","OK"
"8iitv","40.67","OK"
"8iivd","54.16","OK"
"8iivr","1.24","OK"
"8iiwo","1.00","OK"
"8iix3","0.00","OK"
"8iixo","8.37","OK"
"8iixv","3.73","OK"
"8iixy","0.75","OK"
"8iixz","0.22","OK"
"8iiy4","75.00","OK"
"8iiyk","13.95","OK"
"8ij00","0.00","OK"
"8ij02","0.58","OK"
"8ij0g","2048.54","OK"
"8ij0y","203.52","OK"
"8ij1v","0.00","OK"
"8ij22","27.06","OK"
"8ij28","0.00","OK"
"8ij2q","24.71","OK"
"8ij2z","7.82","OK"
"8ij34","0.00","OK"
"8ij3p","0.00","OK"
"8ij42","96.37","OK"
"8ij4e","0.00","OK"
"8ij4s","0.00","OK"
"8ij4w","0.75","OK"
"8ij4y","26.09","OK"
"8ij4z","4.69","OK"
"8ij59","667.18","OK"
"8ij5w","595.25","OK"
"8ij62","0.00","OK"
"8ij63","0.08","OK"
"8ij6x","6.81","OK"
"8ij77","0.00","OK"
"8ij7g","0.00","OK"
"8ij8t","0.00","OK"
"8ij92","151.93","OK"
"8ij9m","131.25","OK"
"8ijat","1.17","OK"
"8ijb4","0.74","OK"
"8ijb7","4.04","OK"
"8ijb8","7093.91","OK"
"8ijba","8944.08","OK"
"8ijbf","622.75","OK"
"8ijcm","55.59","OK"
"8ijd3","2.06","OK"
"8ijdf","0.00","OK"
"8ije6","0.64","OK"
"8ijed","0.00","OK"
"8ijei","1.92","OK"
"8ijeq","0.22","OK"
"8ijf6","0.75","OK"
"8ijfb","74.40","OK"
"8ijfd","32.84","OK"
"8ijfl","0.00","OK"
"8ijgn","0.00","OK"
"8ijj1","0.00","OK"
"8ijjb","0.19","OK"
"8ijlc","0.22","OK"
"8ijmb","0.00","OK"
"8ijod","5.93","OK"
"8ijq9","8.00","OK"
"8ijql","64.40","Observation"
"8ijqm","0.25","OK"
"8ijqn","0.00","OK"
"8ijqw","0.25","OK"
"8ijro","15.39","OK"
"8ijs4","0.00","OK"
"8ijsn","1.22","OK"
"8ijsu","0.00","OK"
"8ijtd","0.00","OK"
"8ijub","1.66","OK"
"8ijva","0.00","OK"
"8ijw3","22.93","OK"
"8ijwf","0.22","OK"
"8ijx4","2.22","OK"
"8ijy9","112.67","OK"
"8ijyd","118.38","OK"
"8ijzd","867.29","Observation"
"8ijze","7.06","OK"
"8ijzf","0.00","OK"
"8ijzi","563.87","OK"
"8ijzj","586.27","Fraud"
"8ijzx","2086.27","OK"
"8ik0f","0.00","OK"
"8ik0g","0.00","OK"
"8ik0y","29.56","OK"
"8ik15","0.00","OK"
"8ik16","0.58","OK"
"8ik1o","0.00","OK"
"8ik1t","0.56","OK"
"8ik2b","11.58","OK"
"8ik2u","3.97","OK"
"8ik4w","0.46","OK"
"8ik58","1591.02","OK"
"8ik59","2.24","OK"
"8ik67","0.00","OK"
"8ik6c","1.73","OK"
"8ik6x","0.00","OK"
"8ik7d","22.30","OK"
"8ik7m","0.00","OK"
"8ik7q","0.00","OK"
"8ik9c","2.25","OK"
"8ik9l","0.00","OK"
"8ik9s","3.00","OK"
"8ik9t","1.92","OK"
"8ika3","4.29","OK"
"8ikah","86.09","OK"
"8ikap","0.00","OK"
"8ikaq","1.00","OK"
"8ikb5","192.84","OK"
"8ikba","11.43","OK"
"8ikc8","0.00","OK"
"8ikdj","4.36","OK"
"8ikdw","1.88","OK"
"8ike2","3.21","OK"
"8ikf1","1.25","OK"
"8ikfo","12.50","OK"
"8ikg6","0.08","OK"
"8ikg9","0.00","OK"
"8iki8","0.22","OK"
"8ikip","172.25","OK"
"8ikjp","3.47","OK"
"8iklg","0.00","OK"
"8ikm9","114.11","OK"
"8ikme","7.49","OK"
"8ikmz","0.00","OK"
"8ikn6","30.57","OK"
"8ikna","12.02","OK"
"8ikou","3.07","OK"
"8ikpq","178.09","Observation"
"8ikr4","482.54","OK"
"8iks0","5.23","OK"
"8ikt9","8435.41","Fraud"
"8ikuf","0.00","OK"
"8ikvr","29.39","OK"
"8ikyc","0.00","OK"
"8ikzq","99.97","OK"
"8il0o","54051.21","Fraud"
"8il17","0.00","OK"
"8il1w","417.49","OK"
"8il22","4.44","OK"
"8il2j","0.63","OK"
"8il2x","101.31","OK"
"8il3g","129.26","OK"
"8il3o","0.00","OK"
"8il3v","27.32","OK"
"8il4c","0.85","OK"
"8il4n","106.32","OK"
"8il4r","0.12","OK"
"8il6b","36.04","OK"
"8il79","10.34","OK"
"8il7m","0.00","OK"
"8il8k","0.00","OK"
"8ilbu","37.47","OK"
"8ilbx","6832.13","OK"
"8ilc9","0.00","OK"
"8ildb","0.04","OK"
"8ildi","1334.78","OK"
"8ildn","4.00","OK"
"8ilee","0.00","OK"
"8ilel","0.78","OK"
"8ilf9","59.18","OK"
"8ilff","9.33","OK"
"8ilfu","194.23","OK"
"8ilh8","0.00","OK"
"8ili5","3.69","OK"
"8iljx","2645.77","OK"
"8iljy","22.50","OK"
"8ill4","0.16","OK"
"8ilm3","0.00","OK"
"8ilm4","3.00","OK"
"8ilma","0.22","OK"
"8ilmh","0.25","OK"
"8ilnq","0.00","OK"
"8ilnu","7.26","OK"
"8iloh","0.56","OK"
"8ilok","1662.38","Observation"
"8ilp2","0.14","OK"
"8ilqt","945.79","OK"
"8ils4","0.00","OK"
"8ils9","987.80","Observation"
