"partnerid","Skew1Min","Skew5Min","Skew3Hr","Skew6Hr","status"
"8i8h2",0.00,0.00,0.00,0.00,"OK"
"8i8h7","2.26","2.37","1.00","0.93","Fraud"
"8i8hw",0.00,"2.04","-0.41","-0.41","OK"
"8i8ih",0.00,0.00,0.00,0.00,"OK"
"8i8is","3.53","2.22","0.57","0.17","OK"
"8i8iv","2.47","1.70","0.16","-0.20","OK"
"8i8j2","6.86","3.61","0.50","0.32","OK"
"8i8jl",0.00,0.00,0.00,0.00,"OK"
"8i8k3",0.00,0.00,"1.56","1.56","OK"
"8i8kg",0.00,0.00,0.00,0.00,"OK"
"8i8ku",0.00,0.00,"1.79","1.50","OK"
"8i8le",0.00,"3.47","1.65","0.77","OK"
"8i8lx",0.00,0.00,0.00,0.00,"OK"
"8i8m6","3.68","2.26","0.83","1.30","OK"
"8i8mq",0.00,0.00,0.00,0.00,"OK"
"8i8mr",0.00,0.00,0.00,0.00,"OK"
"8i8n6",0.00,"2.27","0.00","0.00","OK"
"8i8no","2.78","2.53","1.95","1.57","OK"
"8i8nq",0.00,0.00,0.00,0.00,"OK"
"8i8nr","2.32","1.34","0.23","-0.31","OK"
"8i8oh",0.00,0.00,0.00,0.00,"OK"
"8i8p1",0.00,"1.88","1.28","0.84","OK"
"8i8pz",0.00,0.00,0.00,0.00,"OK"
"8i8q4","3.52","2.30","1.40","0.85","OK"
"8i8qk",0.00,"1.15","0.71","0.71","OK"
"8i8qn",0.00,0.00,0.00,0.00,"OK"
"8i8rs",0.00,0.00,0.00,0.00,"OK"
"8i8s9",0.00,0.00,0.00,0.00,"OK"
"8i8t2",0.00,0.00,0.00,0.00,"OK"
"8i8tt","7.12","2.86","0.84","1.00","Observation"
"8i8tw",0.00,0.00,0.00,"0.00","OK"
"8i8u1",0.00,0.00,0.00,0.00,"OK"
"8i8u7",0.00,0.00,0.00,0.00,"OK"
"8i8u8","2.36","2.35","2.88","2.52","OK"
"8i8ub","4.80","1.72","1.04","1.11","OK"
"8i8ui",0.00,"2.27","0.00","0.00","OK"
"8i8wd",0.00,"1.79","0.49","0.49","OK"
"8i8xq",0.00,"2.75","1.79","1.41","OK"
"8i8ye","3.64","1.91","1.00","0.24","OK"
"8i8yi","1.50","0.71","0.71","1.38","OK"
"8i8yn","4.07","2.15","1.45","0.95","OK"
"8i8yu","2.96","2.79","0.88","1.59","OK"
"8i8z4","4.48","3.44","0.27","-0.63","OK"
"8i8zd",0.00,0.00,"0.71","0.71","OK"
"8i8ze","5.29","3.15","0.26","-0.46","OK"
"8i8zi","3.61","3.47","1.22","0.96","OK"
"8i903","3.47","1.95","1.17","0.58","OK"
"8i90i",0.00,0.00,0.00,0.00,"OK"
"8i90k","1.97","0.90","0.03","-1.01","Fraud"
"8i90m","2.93","1.98","1.90","0.98","OK"
"8i91i","1.29","1.01","0.30","-0.18","OK"
"8i922","1.34","1.35","0.58","0.07","OK"
"8i92t","1.40","0.93","0.69","0.58","OK"
"8i92u",0.00,0.00,0.00,0.00,"OK"
"8i930","3.32","1.66","0.65","0.07","Observation"
"8i932",0.00,0.00,"1.15","1.15","OK"
"8i936","2.73","3.50","1.88","0.85","OK"
"8i93o",0.00,"1.88","1.17","1.03","OK"
"8i93q","3.79","2.54","1.28","0.89","OK"
"8i941","7.09","3.58","1.05","0.55","OK"
"8i949","5.21","2.58","1.49","-0.13","OK"
"8i94e",0.00,0.00,0.00,0.00,"OK"
"8i94n",0.00,0.00,0.00,0.00,"OK"
"8i94y","3.78","3.52","0.74","-0.09","OK"
"8i95z","9.64","4.24","0.09","0.19","OK"
"8i969","3.08","2.53","1.63","0.50","OK"
"8i96u","8.12","2.47","0.85","0.31","OK"
"8i96x","3.18","3.18","2.08","1.34","OK"
"8i98h","1.15","0.71","0.71","0.71","OK"
"8i99h",0.00,"3.75","2.24","2.31","OK"
"8i9a2",0.00,0.00,0.00,0.00,"OK"
"8i9at",0.00,"1.15","0.00","0.50","OK"
"8i9aw","3.55","1.62","1.36","0.08","OK"
"8i9b4",0.00,0.00,"1.50","0.00","OK"
"8i9bj","3.47","3.47","0.68","0.68","OK"
"8i9bm","2.62","2.10","1.93","1.34","OK"
"8i9bs",0.00,0.00,"-0.41","0.00","OK"
"8i9bw","2.12","2.12","1.99","-0.38","OK"
"8i9bx","3.18","3.18","1.02","0.84","OK"
"8i9cn","4.33","4.05","1.22","1.42","OK"
"8i9co","5.00","1.85","1.15","0.46","OK"
"8i9cr","4.90","2.34","1.58","0.49","OK"
"8i9d0","1.15","1.15","1.15","1.15","OK"
"8i9d1",0.00,0.00,0.00,0.00,"OK"
"8i9d5","4.53","2.89","0.89","0.94","OK"
"8i9da","3.18","2.99","2.41","1.53","OK"
"8i9db",0.00,0.00,0.00,0.00,"OK"
"8i9dg",0.00,0.00,0.00,0.00,"OK"
"8i9dp",0.00,0.00,0.00,0.00,"OK"
"8i9dv","2.10","2.78","0.36","0.30","OK"
"8i9e1",0.00,0.00,0.00,0.00,"OK"
"8i9e9","4.99","2.92","0.55","-0.25","OK"
"8i9ed",0.00,0.00,0.00,0.00,"OK"
"8i9eg",0.00,0.00,0.00,0.00,"OK"
"8i9eq",0.00,0.00,0.00,0.00,"OK"
"8i9f0",0.00,0.00,0.00,0.00,"OK"
"8i9fl",0.00,0.00,"1.15","-0.71","OK"
"8i9fv",0.00,0.00,0.00,0.00,"OK"
"8i9g2","6.56","3.43","0.81","0.13","OK"
"8i9gl",0.00,0.00,"0.71","0.00","OK"
"8i9h8",0.00,0.00,0.00,0.00,"OK"
"8i9hj",0.00,0.00,0.00,0.00,"OK"
"8i9hm","4.80","2.35","0.20","-0.42","OK"
"8i9hn","4.80","4.80","1.03","0.45","OK"
"8i9ht","2.66","1.80","1.05","1.02","OK"
"8i9hu","1.96","1.82","1.68","1.05","OK"
"8i9hw",0.00,0.00,0.00,0.00,"OK"
"8i9hx","1.85","1.38","2.29","2.65","OK"
"8i9hz",0.00,0.00,0.00,0.00,"OK"
"8i9i1","1.92","1.01","0.22","-0.16","OK"
"8i9i3","2.16","1.98","0.76","0.86","OK"
"8i9i4","4.80","1.07","0.07","0.69","OK"
"8i9i5","2.68","1.64","0.83","0.61","Observation"
"8i9i7","4.95","2.63","2.83","1.71","OK"
"8i9i9","2.32","1.99","0.00",0.00,"OK"
"8i9ia","1.85","1.06","0.57","0.75","OK"
"8i9ib",0.00,"1.39","1.47","1.13","OK"
"8i9ic","3.82","3.73","2.90","2.05","OK"
"8i9id","3.14","2.10","0.61","0.88","OK"
"8i9ie","1.99","1.77","0.80","0.00","OK"
"8i9ig","2.47","2.29","0.64","0.76","OK"
"8i9ih","5.36","2.81","0.82","0.95","OK"
"8i9ii","1.88","1.11","-0.13","-0.09","Observation"
"8i9ij","1.03","0.86",0.00,0.00,"OK"
"8i9ik","2.72","2.36","0.69","0.64","OK"
"8i9im","3.88","1.87","0.22","0.26","OK"
"8i9in","1.87","0.98","0.99","0.97","OK"
"8i9ip",0.00,0.00,0.00,"1.15","OK"
"8i9j4","1.65","1.39","1.72","2.01","OK"
"8i9j6","1.08","0.93","0.91","1.21","Observation"
"8i9jf",0.00,0.00,0.00,0.00,"OK"
"8i9jg","1.56","0.72","0.60","0.58","OK"
"8i9ji","3.88","2.47","1.66","1.22","OK"
"8i9jj","0.99","1.13","3.12","2.65","OK"
"8i9jr",0.00,0.00,0.00,0.00,"OK"
"8i9kq","3.57","5.39","0.83","0.32","OK"
"8i9ky",0.00,0.00,0.00,0.00,"OK"
"8i9nd",0.00,0.00,0.00,"0.00","OK"
"8i9ng",0.00,"3.18","1.56","1.22","OK"
"8i9np","5.49","4.48","2.08","1.30","OK"
"8i9os",0.00,0.00,0.00,0.00,"OK"
"8i9ot","14.48","-0.04","-2.01","-2.39","OK"
"8i9p1",0.00,0.00,"2.04","2.04","OK"
"8i9p3",0.00,0.00,"2.04","2.04","OK"
"8i9p4",0.00,"1.15","1.15","1.15","OK"
"8i9p7",0.00,"5.48","1.62","2.10","OK"
"8i9p8",0.00,"4.36","1.30","0.37","OK"
"8i9pt",0.00,0.00,0.00,0.00,"OK"
"8i9q6",0.00,0.00,"1.50","1.15","OK"
"8i9ql","1.44","0.65","-0.06","-0.30","OK"
"8i9qu","2.57","2.05","0.99","-0.35","OK"
"8i9s9","4.31","3.27","0.52","-0.04","OK"
"8i9sm",0.00,"4.36","1.34","0.92","OK"
"8i9t0",0.00,0.00,0.00,0.00,"OK"
"8i9tt",0.00,"3.88","1.14","1.41","OK"
"8i9u6",0.00,0.00,0.00,"1.15","OK"
"8i9vn","3.26","3.23","1.12","0.49","OK"
"8i9ws","2.53","2.09","0.98","0.45","Fraud"
"8i9xb",0.00,"4.13","2.61","1.95","OK"
"8i9z5","7.49","4.01","0.52","0.27","OK"
"8i9z6","2.04","2.04","0.71","0.84","OK"
"8i9z7",0.00,0.00,0.00,0.00,"OK"
"8i9zb","6.93","2.20","1.40","0.40","OK"
"8i9zp","2.93","2.28","0.29","-0.06","OK"
"8i9zy",0.00,0.00,"1.34","1.66","OK"
"8ia0j","3.10","3.10","1.01","1.01","OK"
"8ia0n",0.00,0.00,"0.46","0.38","OK"
"8ia11","4.59","2.93","0.62","0.43","OK"
"8ia16","6.87","3.07","0.96","0.26","OK"
"8ia19",0.00,0.00,"1.15","1.15","OK"
"8ia1e",0.00,0.00,"0.95","1.12","OK"
"8ia25",0.00,0.00,0.00,0.00,"OK"
"8ia51","1.34","1.56","1.57","1.57","OK"
"8ia54",0.00,0.00,0.00,0.00,"OK"
"8ia62",0.00,0.00,0.00,"0.71","OK"
"8ia6z",0.00,"2.22","1.22","0.52","OK"
"8ia7h","4.36","1.67","1.13","0.49","OK"
"8ia7p",0.00,"3.14","1.63","0.66","OK"
"8ia7z",0.00,0.00,0.00,"1.15","OK"
"8ia80","2.60","1.29","0.58","0.50","OK"
"8ia8k",0.00,0.00,0.00,0.00,"OK"
"8ia8u","11.00","2.73","0.64","0.75","OK"
"8ia99",0.00,0.00,"0.71","0.71","OK"
"8ia9b","4.07","2.09","0.80","0.38","OK"
"8ia9d",0.00,0.00,0.00,0.00,"OK"
"8ia9m","4.94","2.75","0.94","1.48","OK"
"8ia9n",0.00,0.00,0.00,0.00,"OK"
"8iaa6",0.00,0.00,0.00,0.00,"OK"
"8iaar","4.13","4.13","1.71","0.61","OK"
"8iaay","4.20","2.19","1.08","0.03","OK"
"8iaaz","3.75","1.93","0.65","0.56","OK"
"8iab9","6.56","2.51","0.68","-0.08","OK"
"8iabd","7.49","3.33","1.25","1.00","OK"
"8iabk","0.71","1.50","1.50","1.50","OK"
"8iabp","3.61","2.51","1.29","0.72","OK"
"8iac5",0.00,0.00,0.00,0.00,"OK"
"8iac6","5.63","2.96","0.04","0.07","OK"
"8iact","2.76","3.47","1.27","0.43","OK"
"8iadk","4.36","1.87","0.93","0.55","OK"
"8iadn",0.00,0.00,0.00,0.00,"OK"
"8iadr","5.13","5.05","0.92","-0.43","Observation"
"8iadt","2.29","1.79","-0.22","-0.76","OK"
"8iae2",0.00,0.00,0.00,0.00,"OK"
"8iae4",0.00,0.00,0.00,0.00,"OK"
"8iaeq",0.00,0.00,0.00,0.00,"OK"
"8iafg","5.05","3.68","1.14","0.66","OK"
"8iafi","3.59","2.23","0.09","0.49","OK"
"8iagk","4.52","4.02","1.22","0.54","OK"
"8iagn",0.00,0.00,0.00,0.00,"OK"
"8iagp","2.08","2.08","0.49","0.70","OK"
"8iagv","3.75","3.75","0.85","0.62","OK"
"8iah0","3.33","3.02","1.50","1.70","OK"
"8iaim",0.00,0.00,0.00,0.00,"OK"
"8iaj2","5.45","3.04","0.88","0.75","OK"
"8iajv",0.00,0.00,0.00,0.00,"OK"
"8iak0","6.22","4.26","0.17","0.12","OK"
"8iaks",0.00,"0.41","0.71","0.71","OK"
"8ial7",0.00,0.00,0.00,0.00,"OK"
"8ialk",0.00,0.00,0.00,0.00,"OK"
"8ialy","5.84","8.84","1.15","0.54","OK"
"8iam0",0.00,0.00,"2.07","1.36","OK"
"8iam4",0.00,0.00,"2.67","0.52","OK"
"8iamd","1.26","0.91","0.26","-0.62","Observation"
"8iaml",0.00,0.00,"1.50","1.50","OK"
"8iaob",0.00,0.00,0.00,0.00,"OK"
"8iaps",0.00,0.00,0.00,0.00,"OK"
"8iaqk",0.00,0.00,0.00,0.00,"OK"
"8iaqp","4.59","2.93","0.43","0.12","OK"
"8iaqy",0.00,0.00,"0.00","0.00","OK"
"8iar6",0.00,0.00,"0.41","-1.15","OK"
"8iark",0.00,"4.25","0.23","1.12","OK"
"8iaru","2.85","3.04","0.31","1.16","OK"
"8iasq","3.18","3.18","1.75","0.63","OK"
"8iasz","2.31","1.90","0.91","0.77","Observation"
"8iata","3.43","2.94","0.65","0.96","OK"
"8iatv","4.69","4.04","0.58","0.50","OK"
"8iau4",0.00,"6.08","0.45","0.32","OK"
"8iau5",0.00,"4.59","0.90","0.12","OK"
"8iau7",0.00,"3.40","0.01","0.44","OK"
"8iauu","1.33","0.93","0.32","0.05","OK"
"8iavq","2.13","2.28","0.59","0.45","OK"
"8iavx","3.70","3.52","0.11","-0.04","OK"
"8iawe",0.00,0.00,0.00,0.00,"OK"
"8iawh","4.59","1.58","0.95","1.02","OK"
"8iaxa",0.00,0.00,0.00,0.00,"OK"
"8iaxj","0.72","0.31","-0.39","-0.43","Fraud"
"8iayy",0.00,0.00,0.00,0.00,"OK"
"8iazm","3.01","2.01","0.19","0.51","OK"
"8ib0l","3.28","2.14","0.59","-0.11","OK"
"8ib0m",0.00,0.00,0.00,0.00,"OK"
"8ib12","4.13","3.18","1.54","0.76","OK"
"8ib14","1.50","1.15","1.15","1.15","OK"
"8ib16","4.06","2.70","0.14","0.07","OK"
"8ib1i",0.00,0.00,0.00,0.00,"OK"
"8ib1j",0.00,0.00,0.00,0.00,"OK"
"8ib1t",0.00,0.00,"1.92","0.80","OK"
"8ib1v",0.00,0.00,0.00,0.00,"OK"
"8ib1x",0.00,0.00,0.00,0.00,"OK"
"8ib25",0.00,"4.48","0.18","0.24","OK"
"8ib26",0.00,0.00,"2.67","1.56","OK"
"8ib2d",0.00,0.00,0.00,0.00,"OK"
"8ib2w","4.14","2.72","0.25","0.74","OK"
"8ib34",0.00,0.00,0.00,"0.00","OK"
"8ib46",0.00,0.00,0.00,0.00,"OK"
"8ib4v",0.00,0.00,"0.00","0.00","OK"
"8ib4y",0.00,"2.37","0.56","0.66","OK"
"8ib4z","3.28","2.01","0.60","0.57","OK"
"8ib56","2.38","1.58","1.04","0.53","OK"
"8ib5i","3.14","1.75","0.51","-0.22","OK"
"8ib63",0.00,0.00,"0.71","0.71","OK"
"8ib6f",0.00,"1.15","0.71","0.00","OK"
"8ib6i",0.00,0.00,"1.50","1.15","OK"
"8ib6x","3.48","2.30","0.93","-0.70","OK"
"8ib7h","2.67","1.68","1.21","1.00","OK"
"8ib7i",0.00,0.00,0.00,0.00,"OK"
"8ib9m",0.00,0.00,0.00,0.00,"OK"
"8ib9o","0.00",0.00,0.00,0.00,"OK"
"8ib9v",0.00,0.00,0.00,0.00,"OK"
"8ibah","2.17","1.20","-0.31","-0.80","OK"
"8ibam",0.00,0.00,0.00,0.00,"OK"
"8ibay",0.00,0.00,0.00,0.00,"OK"
"8ibbr","4.95","3.93","1.78","1.09","OK"
"8ibbv",0.00,0.00,0.00,0.00,"OK"
"8ibcb",0.00,0.00,0.00,0.00,"OK"
"8ibcv","8.31","3.99","0.52","-0.53","OK"
"8ibdg","5.05","2.10","0.86","0.56","OK"
"8ibdl","2.47","0.29","0.00","0.00","OK"
"8ibdm","4.15","2.47","1.51","0.76","OK"
"8iber",0.00,0.00,0.00,0.00,"OK"
"8ibf5",0.00,0.00,0.00,0.00,"OK"
"8ibfa",0.00,0.00,0.00,0.00,"OK"
"8ibg2","4.25","4.25","1.20","0.80","OK"
"8ibg6",0.00,0.00,0.00,0.00,"OK"
"8ibgj",0.00,0.00,"2.27","1.12","OK"
"8ibgo",0.00,0.00,"1.15","0.71","OK"
"8ibgx",0.00,"4.53","1.09","0.71","OK"
"8ibhn",0.00,0.00,"1.79","1.79","OK"
"8ibid",0.00,0.00,"2.27","0.95","OK"
"8ibiw","2.27","0.95","0.65","0.71","OK"
"8ibjf","4.87","2.10","0.66","-0.14","OK"
"8ibjo","4.69","3.48","1.77","2.10","OK"
"8ibke",0.00,0.00,0.00,0.00,"OK"
"8ibkr","2.32","2.39","0.77","0.38","Fraud"
"8ibl1",0.00,0.00,0.00,0.00,"OK"
"8ibmd",0.00,0.00,0.00,0.00,"OK"
"8ibmq",0.00,0.00,0.00,0.00,"OK"
"8ibmx",0.00,0.00,"0.41","0.41","OK"
"8ibn2",0.00,0.00,0.00,0.00,"OK"
"8ibnz",0.00,0.00,0.00,0.00,"OK"
"8ibo7",0.00,0.00,0.00,0.00,"OK"
"8ibop",0.00,0.00,"1.79","1.50","OK"
"8ibp0","3.39","2.60","0.08","-0.29","OK"
"8ibp7",0.00,0.00,0.00,0.00,"OK"
"8ibp9","1.93","2.50","1.07","0.71","OK"
"8ibpi",0.00,0.00,0.00,0.00,"OK"
"8ibr7",0.00,0.00,0.00,0.00,"OK"
"8ibt9",0.00,"5.39","1.22","1.83","OK"
"8ibtd",0.00,0.00,0.00,0.00,"OK"
"8ibub",0.00,0.00,0.00,0.00,"OK"
"8ibug","3.14","4.86","2.86","2.04","OK"
"8ibum","3.44","2.65","1.48","0.83","OK"
"8ibup","3.84","2.14","0.63","-0.17","OK"
"8ibv4","2.22","1.66","1.19","0.85","OK"
"8ibw8","3.98","3.15","2.56","1.74","OK"
"8ibxb","5.64","2.48","-0.06","-0.41","OK"
"8ic07","4.90","2.87","1.55","0.76","OK"
"8ic0m","2.56","1.26","0.53","-0.12","OK"
"8ic0y","4.83","2.29","0.19","-0.24","OK"
"8ic1s",0.00,0.00,"0.84","0.41","OK"
"8ic1t","9.40","4.55","0.90","-0.68","OK"
"8ic1x",0.00,0.00,0.00,0.00,"OK"
"8ic26","3.64","2.77","0.33","-0.02","OK"
"8ic2e",0.00,"0.00","0.00","0.00","OK"
"8ic2q",0.00,0.00,"0.00","0.00","OK"
"8ic3a",0.00,"3.61","-0.18","0.39","OK"
"8ic3g",0.00,0.00,0.00,0.00,"OK"
"8ic3o","7.35","3.92","0.79","1.05","OK"
"8ic3r",0.00,0.00,0.00,0.00,"OK"
"8ic3w",0.00,0.00,0.00,0.00,"OK"
"8ic46","5.57","3.68","0.99","0.29","OK"
"8ic4i","3.02","2.15","0.73","0.91","OK"
"8ic4v","3.63","2.18","0.22","-0.30","OK"
"8ic50",0.00,0.00,0.00,0.00,"OK"
"8ic51",0.00,0.00,"0.00","0.00","OK"
"8ic55",0.00,0.00,0.00,0.00,"OK"
"8ic56","2.58","2.05","1.00","0.12","OK"
"8ic59",0.00,0.00,0.00,0.00,"OK"
"8ic5b",0.00,0.00,"1.34","1.34","OK"
"8ic6b","5.88","4.81","0.47","-0.08","OK"
"8ic6d",0.00,0.00,"0.95","0.00","OK"
"8ic6r",0.00,0.00,0.00,0.00,"OK"
"8ic78",0.00,0.00,0.00,0.00,"OK"
"8ic7z",0.00,0.00,0.00,0.00,"OK"
"8ic8g",0.00,0.00,0.00,"1.50","OK"
"8ic9a",0.00,"1.15","1.15","1.15","OK"
"8ic9l","4.48","4.48","1.73","0.82","OK"
"8ic9r",0.00,0.00,0.00,0.00,"OK"
"8ica0","1.77","0.96","0.86","0.86","OK"
"8icam",0.00,0.00,"0.34","0.39","OK"
"8icaw",0.00,"4.93","0.51","-0.06","OK"
"8icb3",0.00,0.00,"0.71",0.00,"OK"
"8icb9",0.00,0.00,0.00,0.00,"OK"
"8icbb","4.59","3.37","1.39","0.83","OK"
"8iccd","5.69","2.72","-0.19","-0.61","OK"
"8iccn","10.82","4.39","0.90","0.47","OK"
"8icdb","2.74","2.18","0.69","0.45","OK"
"8icdj",0.00,0.00,0.00,0.00,"OK"
"8ice8","2.79","1.53","0.35","0.12","OK"
"8icee","3.02","3.79","0.36","1.47","OK"
"8icef","4.90","3.18","1.01","0.07","OK"
"8icfc",0.00,0.00,0.00,0.00,"OK"
"8icfe","1.48","1.66","1.24","0.88","Observation"
"8icff","2.22","2.07","0.84","-0.43","Observation"
"8icfm",0.00,0.00,0.00,0.00,"OK"
"8icgh",0.00,0.00,0.00,0.00,"OK"
"8ich8",0.00,0.00,0.00,0.00,"OK"
"8ichd","4.98","3.38","1.12","-0.18","OK"
"8ichj",0.00,0.00,"1.50","0.82","OK"
"8ichk","3.82","2.49","0.81","0.35","OK"
"8ichs",0.00,0.00,0.00,0.00,"OK"
"8ichw",0.00,0.00,"1.34","0.33","OK"
"8icia","4.13","2.85","1.23","0.32","OK"
"8icim",0.00,0.00,"1.57","0.99","OK"
"8icin","2.28","1.61","0.92","0.87","OK"
"8icix",0.00,0.00,0.00,0.00,"OK"
"8icoz",0.00,0.00,"0.00","0.00","OK"
"8icp7","3.46","2.45","0.80","0.60","OK"
"8icq7","2.16","2.49","0.46","0.27","OK"
"8ictc",0.00,0.00,"0.63","0.16","OK"
"8ictf",0.00,0.00,0.00,0.00,"OK"
"8ictz","3.86","2.86","0.99","1.09","OK"
"8icu9","3.02","1.92","1.13","1.08","OK"
"8icuy","6.11","2.68","0.41","0.45","OK"
"8icv3",0.00,0.00,0.00,0.00,"OK"
"8icvc","2.67","4.01","2.56","1.79","OK"
"8icwe",0.00,0.00,"2.04","-0.41","OK"
"8icx6",0.00,0.00,0.00,0.00,"OK"
"8icxc",0.00,0.00,"2.04","0.34","OK"
"8icxd",0.00,0.00,0.00,0.00,"OK"
"8icxf","0.71","0.84","0.82","0.00","OK"
"8icxl","5.83","3.36","0.31","-0.45","OK"
"8icyy",0.00,0.00,"0.71","0.00","OK"
"8icz2","3.32","4.43","-0.20","0.23","OK"
"8iczh","2.74","1.60","-0.43","-1.47","Fraud"
"8id02","2.54","2.74","1.80","1.28","OK"
"8id03","6.23","2.88","0.23","-0.16","OK"
"8id0y",0.00,0.00,"2.47","1.36","OK"
"8id0z","6.93","4.69","1.06","0.44","OK"
"8id1a","2.27","0.95","1.12","-0.49","OK"
"8id2f",0.00,0.00,0.00,0.00,"OK"
"8id2s",0.00,0.00,0.00,0.00,"OK"
"8id2w",0.00,"2.67","0.52","0.86","OK"
"8id2z",0.00,"5.57","0.71","0.22","OK"
"8id56",0.00,0.00,0.00,0.00,"OK"
"8id57","3.72","1.92","0.57","-0.49","OK"
"8id5b",0.00,"0.00","0.00","0.00","OK"
"8id5p","2.94","2.03","0.74","0.21","Fraud"
"8id6y","2.60","1.55","-0.54","-0.65","OK"
"8id6z","3.88","1.60","1.93","0.62","OK"
"8id7o","6.14","5.22","0.51","0.89","OK"
"8id7z",0.00,0.00,0.00,0.00,"OK"
"8id89",0.00,0.00,"-0.71","-0.71","OK"
"8id8z",0.00,0.00,0.00,0.00,"OK"
"8id9y","5.20","3.40","1.29","1.18","OK"
"8ida1","2.66","1.67","0.18","-0.86","OK"
"8idam",0.00,0.00,0.00,0.00,"OK"
"8idbx",0.00,"3.18","0.23","-0.22","OK"
"8idc4",0.00,0.00,"1.34","0.33","OK"
"8iddj","-0.15","1.23","2.04","1.10","OK"
"8iddv",0.00,0.00,0.00,0.00,"OK"
"8iddw",0.00,"3.33","0.68","0.89","OK"
"8ide1",0.00,"2.47","1.15","0.63","OK"
"8ide5",0.00,0.00,0.00,0.00,"OK"
"8idem",0.00,0.00,"-0.71","-0.71","OK"
"8idf6",0.00,0.00,0.00,0.00,"OK"
"8idfl",0.00,"1.50","1.50",0.00,"OK"
"8idg8",0.00,0.00,0.00,0.00,"OK"
"8idgb",0.00,0.00,0.00,0.00,"OK"
"8idh3",0.00,0.00,0.00,0.00,"OK"
"8idhm","3.99","2.99","0.72","0.54","Fraud"
"8idhn","4.36","2.76","1.34","1.18","OK"
"8idhp","2.00","2.83","0.91","0.99","OK"
"8idhs",0.00,0.00,"1.79","1.79","OK"
"8idht",0.00,0.00,0.00,0.00,"OK"
"8idhw",0.00,0.00,0.00,0.00,"OK"
"8idi0",0.00,0.00,0.00,0.00,"OK"
"8idi1","2.04","2.04","1.15","-0.05","OK"
"8idi4",0.00,0.00,0.00,0.00,"OK"
"8idi5",0.00,0.00,"0.86","0.36","OK"
"8idi7","3.61","3.61","0.76","0.82","OK"
"8idib",0.00,0.00,0.00,0.00,"OK"
"8idit","2.91","2.03","1.08","0.48","Fraud"
"8idmr",0.00,0.00,"0.00","0.00","OK"
