"partnerid","AgentClickRatio","AgentVariance","MaxSameCidCount","NoOfUniqueCid","CidClickRatio","CidVariance","status"
"8i8h2","1.00","0.00","1","2","1.00","0.00","OK"
"8i8h7","0.02","1722.00","99","32","0.08","396.98","Fraud"
"8i8hw","0.38","2.89","3","4","0.50","0.50","OK"
"8i8ih","0.50","0.00","1","2","1.00","0.00","OK"
"8i8is","0.06","798.68","34","46","0.20","48.28","OK"
"8i8iv","0.20","38.25","4","23","0.58","0.89","OK"
"8i8j2","0.16","77.98","12","18","0.35","7.36","OK"
"8i8jl","0.67","0.25","1","3","1.00","0.00","OK"
"8i8k3","0.27","2.89","3","7","0.64","0.53","OK"
"8i8kg","1.00","0.00","1","1","1.00","0.00","OK"
"8i8ku","0.14","0.00","2","5","0.71","0.24","OK"
"8i8le","0.75","0.39","7","9","0.56","3.51","OK"
"8i8lx","1.00","0.00","1","1","1.00","0.00","OK"
"8i8m6","0.16","79.95","508","56","0.09","4499.75","OK"
"8i8mq","0.50","0.00","4","1","0.25","0.00","OK"
"8i8mr","1.00","0.00","1","2","1.00","0.00","OK"
"8i8n6","0.89","0.11","2","8","0.89","0.11","OK"
"8i8no","0.52","7.46","12","23","0.40","9.03","OK"
"8i8nq","1.00","0.00","1","1","1.00","0.00","OK"
"8i8nr","0.15","409.19","491","134","0.13","1785.76","OK"
"8i8oh","1.00","0.00","1","1","1.00","0.00","OK"
"8i8p1","0.68","0.52","6","11","0.50","2.91","OK"
"8i8pz","1.00","0.00","1","1","1.00","0.00","OK"
"8i8q4","0.54","4.83","11","8","0.22","13.98","OK"
"8i8qk","0.60","0.89","1","5","1.00","0.00","OK"
"8i8qn","1.00","0.00","1","1","1.00","0.00","OK"
"8i8rs","1.00","0.00","1","1","1.00","0.00","OK"
"8i8s9","1.00","0.00","1","1","1.00","0.00","OK"
"8i8t2","1.00","0.00","1","2","1.00","0.00","OK"
"8i8tt","0.32","11.75","41","42","0.26","42.37","Observation"
"8i8tw","1.00","0.00","1","3","1.00","0.00","OK"
"8i8u1","1.00","0.00","1","3","1.00","0.00","OK"
"8i8u7","1.00","0.00","1","1","1.00","0.00","OK"
"8i8u8","0.39","6.56","21","22","0.33","17.09","OK"
"8i8ub","0.74","0.83","9","11","0.41","5.52","OK"
"8i8ui","0.56","0.56","4","6","0.67","1.25","OK"
"8i8wd","0.57","0.69","2","6","0.86","0.14","OK"
"8i8xq","0.52","3.04","43","190","0.31","23.57","OK"
"8i8ye","0.12","702.03","454","396","0.08","1123.05","OK"
"8i8yi","0.58","0.49","3","10","0.83","0.36","OK"
"8i8yn","0.54","2.69","5","23","0.50","1.74","OK"
"8i8yu","0.34","20.38","6","18","0.47","2.10","OK"
"8i8z4","0.41","8.23","197","26","0.11","1417.64","OK"
"8i8zd","0.25","0.00","2","3","0.75","0.22","OK"
"8i8ze","0.42","5.64","16","54","0.42","9.12","OK"
"8i8zi","0.76","0.52","5","13","0.76","1.14","OK"
"8i903","0.52","1.99","6","25","0.52","2.15","OK"
"8i90i","1.00","0.00","1","2","1.00","0.00","OK"
"8i90k","0.12","351.72","193","154","0.07","871.16","Fraud"
"8i90m","0.24","79.66","131","198","0.21","116.80","OK"
"8i91i","0.08","1277.10","405","442","0.05","2009.05","OK"
"8i922","0.05","3662.13","1271","499","0.03","12007.10","OK"
"8i92t","0.09","639.80","1398","396","0.04","10480.05","OK"
"8i92u","1.00","0.00","1","1","1.00","0.00","OK"
"8i930","0.15","121.39","56","109","0.19","75.05","Observation"
"8i932","1.00","0.00","1","5","1.00","0.00","OK"
"8i936","0.27","35.39","122","228","0.31","79.36","OK"
"8i93o","0.73","0.61","2","21","0.95","0.05","OK"
"8i93q","0.37","11.21","39","114","0.26","44.29","OK"
"8i941","0.52","1.65","127","26","0.17","585.85","OK"
"8i949","0.35","17.94","333","104","0.19","1047.29","OK"
"8i94e","1.00","0.00","2","1","0.50","0.00","OK"
"8i94n","1.00","0.00","1","1","1.00","0.00","OK"
"8i94y","0.10","83.39","23","11","0.15","50.96","OK"
"8i95z","0.54","3.19","9","55","0.57","2.44","OK"
"8i969","0.32","18.64","12","182","0.43","5.26","OK"
"8i96u","0.47","24.65","7","26","0.37","2.67","OK"
"8i96x","0.64","0.91","2","13","0.93","0.07","OK"
"8i98h","0.60","0.89","2","4","0.80","0.19","OK"
"8i99h","0.72","1.78","2","15","0.83","0.16","OK"
"8i9a2","1.00","0.00","1","1","1.00","0.00","OK"
"8i9at","0.67","0.45","3","13","0.87","0.28","OK"
"8i9aw","0.18","203.97","166","84","0.13","382.51","OK"
"8i9b4","0.83","0.16","1","6","1.00","0.00","OK"
"8i9bj","0.81","0.33","4","9","0.56","1.28","OK"
"8i9bm","0.24","105.21","94","36","0.12","331.92","OK"
"8i9bs","0.25","9.00","6","3","0.38","5.56","OK"
"8i9bw","0.44","4.56","7","15","0.60","2.36","OK"
"8i9bx","0.29","6.75","4","9","0.64","0.91","OK"
"8i9cn","0.59","1.56","7","34","0.50","1.59","OK"
"8i9co","0.52","3.66","11","15","0.52","6.20","OK"
"8i9cr","0.57","3.06","10","11","0.39","6.79","OK"
"8i9d0","0.60","0.22","2","4","0.80","0.19","OK"
"8i9d1","1.00","0.00","1","1","1.00","0.00","OK"
"8i9d5","0.65","1.37","7","28","0.57","2.26","OK"
"8i9da","0.26","52.51","52","31","0.13","201.66","OK"
"8i9db","1.00","0.00","1","1","1.00","0.00","OK"
"8i9dg","1.00","0.00","1","3","1.00","0.00","OK"
"8i9dp","1.00","0.00","1","1","1.00","0.00","OK"
"8i9dv","0.39","1.94","5","19","0.58","1.56","OK"
"8i9e1","1.00","0.00","1","1","1.00","0.00","OK"
"8i9e9","0.42","9.06","8","85","0.51","2.30","OK"
"8i9ed","1.00","0.00","1","1","1.00","0.00","OK"
"8i9eg","1.00","0.00","1","1","1.00","0.00","OK"
"8i9eq","0.33","0.00","1","3","1.00","0.00","OK"
"8i9f0","0.50","1.00","3","2","0.50","1.00","OK"
"8i9fl","1.00","0.00","4","2","0.40","2.25","OK"
"8i9fv","1.00","0.00","1","1","1.00","0.00","OK"
"8i9g2","0.57","1.45","6","31","0.66","1.35","OK"
"8i9gl","1.00","0.00","1","4","1.00","0.00","OK"
"8i9h8","1.00","0.00","1","1","1.00","0.00","OK"
"8i9hj","1.00","0.00","1","1","1.00","0.00","OK"
"8i9hm","0.23","140.14","12","44","0.41","5.48","OK"
"8i9hn","0.30","10.98","3","21","0.78","0.39","OK"
"8i9ht","0.23","213.84","114","10","0.02","1119.45","OK"
"8i9hu","0.13","162.41","167","12","0.02","3271.58","OK"
"8i9hw","1.00","0.00","1","2","1.00","0.00","OK"
"8i9hx","0.17","91.19","567","3","0.01","67848.22","OK"
"8i9hz","1.00","0.00","1","1","1.00","0.00","OK"
"8i9i1","0.11","727.74","1535","27","0.01","97269.55","OK"
"8i9i3","0.07","1749.96","1356","52","0.01","46393.13","OK"
"8i9i4","0.56","0.83","13","5","0.19","18.24","OK"
"8i9i5","0.19","62.62","268","30","0.05","2659.60","Observation"
"8i9i7","0.38","8.79","14","32","0.28","11.75","OK"
"8i9i9","0.46","0.73","27","3","0.08","108.22","OK"
"8i9ia","0.24","56.79","413","5","0.01","27402.00","OK"
"8i9ib","0.76","0.37","12","4","0.24","20.19","OK"
"8i9ic","0.41","19.30","71","17","0.05","503.83","OK"
"8i9id","0.36","24.81","73","26","0.16","208.84","OK"
"8i9ie","0.46","2.68","31","7","0.08","128.69","OK"
"8i9ig","0.18","53.32","259","33","0.04","2794.70","OK"
"8i9ih","0.35","8.09","52","23","0.18","110.65","OK"
"8i9ii","0.11","1138.22","1773","6","0.00","433206.22","Observation"
"8i9ij","0.22","51.93","33","4","0.07","144.50","OK"
"8i9ik","0.12","2321.21","430","8","0.02","19840.48","OK"
"8i9im","0.31","17.69","249","6","0.01","11572.22","OK"
"8i9in","0.11","1277.33","559","20","0.02","18292.89","OK"
"8i9ip","0.80","0.19","2","4","0.80","0.19","OK"
"8i9j4","0.14","255.75","1370","9","0.01","179856.84","OK"
"8i9j6","0.03","25452.51","4926","73","0.00","642931.74","Observation"
"8i9jf","1.00","0.00","2","1","0.50","0.00","OK"
"8i9jg","0.29","20.52","203","3","0.01","2360.22","OK"
"8i9ji","0.89","0.10","6","10","0.53","2.69","OK"
"8i9jj","0.26","39.73","354","6","0.01","15584.33","OK"
"8i9jr","1.00","0.00","2","1","0.50","0.00","OK"
"8i9kq","0.51","3.54","89","50","0.30","150.94","OK"
"8i9ky","1.00","0.00","1","1","1.00","0.00","OK"
"8i9nd","1.00","0.00","1","3","1.00","0.00","OK"
"8i9ng","0.64","1.14","12","3","0.21","26.89","OK"
"8i9np","0.52","15.48","24","31","0.32","24.97","OK"
"8i9os","1.00","0.00","1","1","1.00","0.00","OK"
"8i9ot","0.30","15.98","157","259","0.13","315.80","OK"
"8i9p1","0.25","9.00","3","6","0.75","0.56","OK"
"8i9p3","0.40","4.25","2","8","0.80","0.19","OK"
"8i9p4","1.00","0.00","2","4","0.80","0.19","OK"
"8i9p7","0.65","1.98","7","21","0.62","1.85","OK"
"8i9p8","0.70","0.50","3","17","0.74","0.35","OK"
"8i9pt","1.00","0.00","1","2","1.00","0.00","OK"
"8i9q6","1.00","0.00","1","6","1.00","0.00","OK"
"8i9ql","0.08","2466.90","323","263","0.05","2039.40","OK"
"8i9qu","0.32","30.73","7","33","0.52","2.45","OK"
"8i9s9","0.22","206.24","18","88","0.35","9.07","OK"
"8i9sm","1.00","0.00","14","10","0.43","15.21","OK"
"8i9t0","0.33","0.00","2","2","0.67","0.25","OK"
"8i9tt","0.68","3.02","4","25","0.66","0.89","OK"
"8i9u6","0.80","0.19","2","4","0.80","0.19","OK"
"8i9vn","0.20","77.63","54","114","0.17","126.09","OK"
"8i9ws","0.01","14520.25","88","58","0.17","143.86","Fraud"
"8i9xb","0.40","9.31","19","16","0.38","18.61","OK"
"8i9z5","0.60","1.56","16","26","0.43","9.37","OK"
"8i9z6","0.63","0.64","2","6","0.75","0.22","OK"
"8i9z7","1.00","0.00","1","2","1.00","0.00","OK"
"8i9zb","0.48","3.35","7","29","0.56","2.99","OK"
"8i9zp","0.25","50.51","70","115","0.16","200.63","OK"
"8i9zy","1.00","0.00","1","11","1.00","0.00","OK"
"8ia0j","0.74","0.53","4","18","0.67","0.92","OK"
"8ia0n","0.63","0.91","22","2","0.08","100.00","OK"
"8ia11","0.68","0.48","3","21","0.84","0.25","OK"
"8ia16","0.39","18.94","123","34","0.18","422.07","OK"
"8ia19","1.00","0.00","1","5","1.00","0.00","OK"
"8ia1e","0.89","0.11","2","8","0.89","0.11","OK"
"8ia25","0.50","0.00","2","1","0.50","0.00","OK"
"8ia51","0.55","3.47","5","7","0.64","1.96","OK"
"8ia54","1.00","0.00","1","1","1.00","0.00","OK"
"8ia62","0.75","0.56","1","8","1.00","0.00","OK"
"8ia6z","0.59","1.06","3","28","0.64","0.53","OK"
"8ia7h","0.50","2.87","28","16","0.35","42.23","OK"
"8ia7p","0.58","1.20","51","5","0.09","400.00","OK"
"8ia7z","1.00","0.00","1","5","1.00","0.00","OK"
"8ia80","0.22","91.12","162","125","0.17","240.50","OK"
"8ia8k","1.00","0.00","1","1","1.00","0.00","OK"
"8ia8u","0.57","1.90","79","42","0.34","141.07","OK"
"8ia99","0.75","0.22","2","3","0.75","0.22","OK"
"8ia9b","0.37","21.80","10","16","0.39","8.12","OK"
"8ia9d","1.00","0.00","1","1","1.00","0.00","OK"
"8ia9m","0.49","2.09","10","91","0.54","2.93","OK"
"8ia9n","1.00","0.00","1","2","1.00","0.00","OK"
"8iaa6","1.00","0.00","1","1","1.00","0.00","OK"
"8iaar","0.76","0.96","2","19","0.90","0.09","OK"
"8iaay","0.64","1.03","7","58","0.54","2.50","OK"
"8iaaz","0.78","0.35","3","15","0.83","0.29","OK"
"8iab9","0.30","14.87","26","49","0.26","30.46","OK"
"8iabd","0.63","1.56","50","11","0.18","198.43","OK"
"8iabk","0.38","5.56","3","6","0.75","0.56","OK"
"8iabp","0.18","21.33","10","21","0.41","3.86","OK"
"8iac5","1.00","0.00","1","1","1.00","0.00","OK"
"8iac6","0.39","11.61","47","40","0.12","188.79","OK"
"8iact","0.43","5.01","22","2","0.09","110.25","OK"
"8iadk","0.57","1.33","18","13","0.28","20.71","OK"
"8iadn","1.00","0.00","1","1","1.00","0.00","OK"
"8iadr","0.05","4733.84","772","502","0.04","7197.03","Observation"
"8iadt","0.16","146.49","1502","112","0.06","19896.34","OK"
"8iae2","1.00","0.00","1","1","1.00","0.00","OK"
"8iae4","1.00","0.00","1","1","1.00","0.00","OK"
"8iaeq","1.00","0.00","1","1","1.00","0.00","OK"
"8iafg","0.39","29.98","9","28","0.47","3.60","OK"
"8iafi","0.46","3.76","81","83","0.43","76.23","OK"
"8iagk","0.32","7.88","18","25","0.30","20.79","OK"
"8iagn","1.00","0.00","1","1","1.00","0.00","OK"
"8iagp","0.50","6.00","3","9","0.64","0.47","OK"
"8iagv","0.75","1.41","6","19","0.53","1.67","OK"
"8iah0","0.73","0.78","15","1","0.07","0.00","OK"
"8iaim","1.00","0.00","1","1","1.00","0.00","OK"
"8iaj2","0.39","10.78","25","37","0.18","41.06","OK"
"8iajv","1.00","0.00","1","1","1.00","0.00","OK"
"8iak0","0.51","3.37","82","10","0.11","586.04","OK"
"8iaks","0.43","3.56","2","5","0.71","0.24","OK"
"8ial7","1.00","0.00","1","1","1.00","0.00","OK"
"8ialk","1.00","0.00","2","1","0.50","0.00","OK"
"8ialy","0.34","23.62","144","20","0.06","925.66","OK"
"8iam0","0.46","1.47","3","6","0.46","0.47","OK"
"8iam4","0.91","0.09","6","4","0.36","4.19","OK"
"8iamd","0.04","2291.13","3000","239","0.02","72181.82","Observation"
"8iaml","0.83","0.16","5","2","0.33","4.00","OK"
"8iaob","1.00","0.00","1","2","1.00","0.00","OK"
"8iaps","1.00","0.00","1","2","1.00","0.00","OK"
"8iaqk","1.00","0.00","1","2","1.00","0.00","OK"
"8iaqp","0.68","1.43","14","9","0.36","16.17","OK"
"8iaqy","1.00","0.00","1","3","1.00","0.00","OK"
"8iar6","0.86","0.14","5","3","0.43","3.56","OK"
"8iark","0.45","4.16","3","17","0.77","0.33","OK"
"8iaru","0.58","1.78","3","17","0.71","0.48","OK"
"8iasq","0.64","1.58","2","12","0.86","0.14","OK"
"8iasz","0.12","230.67","198","135","0.14","516.70","Observation"
"8iata","0.15","188.60","19","75","0.34","12.49","OK"
"8iatv","0.40","10.11","105","22","0.11","480.52","OK"
"8iau4","0.46","9.92","5","24","0.59","1.29","OK"
"8iau5","0.48","4.41","3","18","0.72","0.57","OK"
"8iau7","0.55","2.15","3","26","0.84","0.23","OK"
"8iauu","0.05","7677.88","1533","283","0.03","17174.80","OK"
"8iavq","0.04","7029.62","123","65","0.02","1337.42","OK"
"8iavx","0.28","138.69","45","4","0.03","86.69","OK"
"8iawe","1.00","0.00","1","2","1.00","0.00","OK"
"8iawh","0.76","0.32","6","11","0.44","2.20","OK"
"8iaxa","1.00","0.00","3","2","0.50","1.00","OK"
"8iaxj","0.02","31152.11","3583","451","0.01","121039.93","Fraud"
"8iayy","1.00","0.00","1","1","1.00","0.00","OK"
"8iazm","0.21","58.55","84","13","0.02","892.39","OK"
"8ib0l","0.25","53.92","372","81","0.16","1673.80","OK"
"8ib0m","1.00","0.00","1","1","1.00","0.00","OK"
"8ib12","0.71","0.57","36","6","0.14","168.33","OK"
"8ib14","0.83","0.16","1","6","1.00","0.00","OK"
"8ib16","0.38","9.18","19","76","0.30","17.76","OK"
"8ib1i","1.00","0.00","1","2","1.00","0.00","OK"
"8ib1j","1.00","0.00","1","2","1.00","0.00","OK"
"8ib1t","1.00","0.00","12","2","0.15","30.25","OK"
"8ib1v","0.67","0.25","2","2","0.67","0.25","OK"
"8ib1x","1.00","0.00","1","1","1.00","0.00","OK"
"8ib25","0.25","45.00","6","14","0.58","1.63","OK"
"8ib26","0.55","2.14","2","9","0.82","0.17","OK"
"8ib2d","1.00","0.00","1","1","1.00","0.00","OK"
"8ib2w","0.47","3.23","6","22","0.65","1.25","OK"
"8ib34","1.00","0.00","2","2","0.67","0.25","OK"
"8ib46","1.00","0.00","1","2","1.00","0.00","OK"
"8ib4v","1.00","0.00","1","3","1.00","0.00","OK"
"8ib4y","0.58","1.29","3","12","0.63","0.58","OK"
"8ib4z","0.23","46.44","108","134","0.27","99.37","OK"
"8ib56","0.12","338.68","243","167","0.08","1188.72","OK"
"8ib5i","0.10","588.62","258","196","0.10","645.82","OK"
"8ib63","1.00","0.00","1","4","1.00","0.00","OK"
"8ib6f","0.60","0.89","2","4","0.80","0.19","OK"
"8ib6i","0.33","4.00","3","4","0.67","0.75","OK"
"8ib6x","0.30","20.62","318","72","0.16","1370.27","OK"
"8ib7h","0.52","4.41","6","22","0.67","1.25","OK"
"8ib7i","1.00","0.00","1","1","1.00","0.00","OK"
"8ib9m","1.00","0.00","1","1","1.00","0.00","OK"
"8ib9o","0.33","0.00","3","1","0.33","0.00","OK"
"8ib9v","1.00","0.00","1","2","1.00","0.00","OK"
"8ibah","0.15","179.96","123","239","0.12","317.94","OK"
"8ibam","1.00","0.00","1","1","1.00","0.00","OK"
"8ibay","1.00","0.00","1","1","1.00","0.00","OK"
"8ibbr","0.56","1.86","4","42","0.74","0.42","OK"
"8ibbv","1.00","0.00","1","1","1.00","0.00","OK"
"8ibcb","1.00","0.00","1","1","1.00","0.00","OK"
"8ibcv","0.53","2.06","4","54","0.74","0.49","OK"
"8ibdg","0.36","13.05","10","97","0.55","2.66","OK"
"8ibdl","0.70","0.53","2","9","0.90","0.10","OK"
"8ibdm","0.14","356.06","148","347","0.12","317.92","OK"
"8iber","1.00","0.00","1","2","1.00","0.00","OK"
"8ibf5","1.00","0.00","1","2","1.00","0.00","OK"
"8ibfa","1.00","0.00","1","1","1.00","0.00","OK"
"8ibg2","0.55","1.14","8","10","0.45","4.16","OK"
"8ibg6","1.00","0.00","1","1","1.00","0.00","OK"
"8ibgj","0.44","4.69","2","6","0.67","0.25","OK"
"8ibgo","1.00","0.00","1","5","1.00","0.00","OK"
"8ibgx","0.61","3.23","16","26","0.53","8.33","OK"
"8ibhn","0.86","0.14","2","6","0.86","0.14","OK"
"8ibid","0.78","0.20","5","5","0.56","2.56","OK"
"8ibiw","0.56","1.36","2","8","0.89","0.11","OK"
"8ibjf","0.33","27.74","269","73","0.17","967.06","OK"
"8ibjo","0.47","6.47","11","48","0.62","3.23","OK"
"8ibke","1.00","0.00","1","1","1.00","0.00","OK"
"8ibkr","0.09","562.30","74","92","0.09","443.54","Fraud"
"8ibl1","1.00","0.00","1","1","1.00","0.00","OK"
"8ibmd","1.00","0.00","1","2","1.00","0.00","OK"
"8ibmq","1.00","0.00","1","1","1.00","0.00","OK"
"8ibmx","1.00","0.00","1","7","1.00","0.00","OK"
"8ibn2","1.00","0.00","1","1","1.00","0.00","OK"
"8ibnz","0.50","0.00","1","2","1.00","0.00","OK"
"8ibo7","0.83","0.16","3","4","0.67","0.75","OK"
"8ibop","1.00","0.00","2","6","0.86","0.14","OK"
"8ibp0","0.61","0.80","6","30","0.53","2.29","OK"
"8ibp7","0.50","0.00","1","2","1.00","0.00","OK"
"8ibp9","0.39","4.82","6","10","0.56","2.16","OK"
"8ibpi","0.67","0.25","1","3","1.00","0.00","OK"
"8ibr7","1.00","0.00","2","1","0.50","0.00","OK"
"8ibt9","0.88","0.12","3","26","0.79","0.35","OK"
"8ibtd","1.00","0.00","1","2","1.00","0.00","OK"
"8ibub","1.00","0.00","1","2","1.00","0.00","OK"
"8ibug","0.23","59.26","6","54","0.50","1.74","OK"
"8ibum","0.52","6.72","5","59","0.71","0.61","OK"
"8ibup","0.31","122.75","362","114","0.19","1130.12","OK"
"8ibv4","0.17","323.64","406","234","0.11","806.35","OK"
"8ibw8","0.26","62.31","80","98","0.19","84.43","OK"
"8ibxb","0.30","16.55","100","33","0.23","286.65","OK"
"8ic07","0.36","9.66","24","25","0.45","20.50","OK"
"8ic0m","0.18","91.94","754","263","0.19","2145.06","OK"
"8ic0y","0.66","1.14","8","54","0.66","1.58","OK"
"8ic1s","0.69","0.79","2","12","0.75","0.22","OK"
"8ic1t","0.51","2.11","78","34","0.24","167.71","OK"
"8ic1x","1.00","0.00","1","1","1.00","0.00","OK"
"8ic26","0.31","20.49","45","254","0.27","35.66","OK"
"8ic2e","0.33","0.00","1","3","1.00","0.00","OK"
"8ic2q","0.67","0.25","3","1","0.33","0.00","OK"
"8ic3a","0.76","0.37","4","12","0.71","0.91","OK"
"8ic3g","1.00","0.00","1","1","1.00","0.00","OK"
"8ic3o","0.55","2.34","9","27","0.47","3.98","OK"
"8ic3r","1.00","0.00","1","1","1.00","0.00","OK"
"8ic3w","1.00","0.00","1","4","1.00","0.00","OK"
"8ic46","0.83","0.44","6","23","0.66","1.47","OK"
"8ic4i","0.46","7.47","8","15","0.58","3.13","OK"
"8ic4v","0.24","47.84","58","192","0.20","111.29","OK"
"8ic50","1.00","0.00","1","1","1.00","0.00","OK"
"8ic51","0.67","0.75","1","6","1.00","0.00","OK"
"8ic55","1.00","0.00","1","2","1.00","0.00","OK"
"8ic56","0.13","403.92","744","355","0.12","1667.47","OK"
"8ic59","1.00","0.00","1","1","1.00","0.00","OK"
"8ic5b","0.82","0.17","2","10","0.91","0.09","OK"
"8ic6b","0.68","0.98","63","13","0.17","271.76","OK"
"8ic6d","0.89","0.11","7","3","0.33","8.00","OK"
"8ic6r","1.00","0.00","1","1","1.00","0.00","OK"
"8ic78","1.00","0.00","1","1","1.00","0.00","OK"
"8ic7z","0.67","0.25","1","3","1.00","0.00","OK"
"8ic8g","0.83","0.16","1","6","1.00","0.00","OK"
"8ic9a","0.80","0.19","1","5","1.00","0.00","OK"
"8ic9l","0.63","0.77","2","18","0.75","0.22","OK"
"8ic9r","1.00","0.00","1","3","1.00","0.00","OK"
"8ica0","0.13","98.00","5","11","0.46","1.79","OK"
"8icam","0.76","0.37","2","15","0.88","0.12","OK"
"8icaw","0.60","2.52","31","12","0.27","67.85","OK"
"8icb3","1.00","0.00","1","4","1.00","0.00","OK"
"8icb9","1.00","0.00","1","2","1.00","0.00","OK"
"8icbb","0.64","1.00","4","18","0.72","0.68","OK"
"8iccd","0.45","6.50","155","39","0.18","590.34","OK"
"8iccn","0.44","3.90","17","44","0.36","12.96","OK"
"8icdb","0.51","7.56","8","84","0.53","1.97","OK"
"8icdj","0.25","0.00","3","2","0.50","1.00","OK"
"8ice8","0.29","23.03","541","176","0.19","1645.18","OK"
"8icee","0.73","0.65","5","14","0.54","1.69","OK"
"8icef","0.59","1.36","3","47","0.84","0.20","OK"
"8icfc","1.00","0.00","1","1","1.00","0.00","OK"
"8icfe","0.06","18526.89","852","113","0.03","18220.19","Observation"
"8icff","0.14","1466.46","698","178","0.10","2743.09","Observation"
"8icfm","1.00","0.00","1","1","1.00","0.00","OK"
"8icgh","0.50","0.00","1","2","1.00","0.00","OK"
"8ich8","1.00","0.00","2","1","0.50","0.00","OK"
"8ichd","0.30","17.61","23","143","0.39","7.88","OK"
"8ichj","0.63","0.64","2","7","0.88","0.12","OK"
"8ichk","0.27","32.81","20","190","0.37","10.86","OK"
"8ichs","1.00","0.00","1","1","1.00","0.00","OK"
"8ichw","0.09","0.00","11","1","0.09","0.00","OK"
"8icia","0.19","230.73","77","68","0.26","87.75","OK"
"8icim","0.92","0.08","3","9","0.69","0.47","OK"
"8icin","0.14","452.89","1917","171","0.07","21315.59","OK"
"8icix","1.00","0.00","1","2","1.00","0.00","OK"
"8icoz","0.33","0.00","3","1","0.33","0.00","OK"
"8icp7","0.46","10.42","17","112","0.34","9.49","OK"
"8icq7","0.59","1.61","2","14","0.82","0.17","OK"
"8ictc","0.95","0.05","2","18","0.90","0.10","OK"
"8ictf","1.00","0.00","1","1","1.00","0.00","OK"
"8ictz","0.48","2.29","12","59","0.36","9.06","OK"
"8icu9","0.27","10.78","3","21","0.81","0.28","OK"
"8icuy","0.07","244.73","21","48","0.29","16.79","OK"
