"partnerid","distinct category","partnerid_cnt","CategoryPrior"
"du5xk","1","3","3.000000000"
"du5y1","1","141","141.000000000"
"du5y9","1","1","1.000000000"
"du5ye","1","1","1.000000000"
"du5yy","1","15","15.000000000"
"du5z0","1","2","2.000000000"
"du5zg","1","1301","1301.000000000"
"du5zi","1","869","869.000000000"
"du5zq","1","3","3.000000000"
"du5zs","1","3","3.000000000"
"du5zz","1","389","389.000000000"
"du602","1","2","2.000000000"
"du609","1","1","1.000000000"
"du60c","1","86","86.000000000"
"du60k","1","10","10.000000000"
"du60l","1","17","17.000000000"
"du60z","1","3","3.000000000"
"du61e","1","2","2.000000000"
"du61h","1","80","80.000000000"
"du626","1","1","1.000000000"
"du62c","1","2","2.000000000"
"du62h","1","3","3.000000000"
"du631","1","31","31.000000000"
"du63l","1","1","1.000000000"
"du63o","1","5","5.000000000"
"du63q","1","630","630.000000000"
"du644","1","1","1.000000000"
"du647","1","1","1.000000000"
"du64d","1","224","224.000000000"
"du64n","1","4","4.000000000"
"du650","1","95","95.000000000"
"du652","1","1","1.000000000"
"du654","1","3","3.000000000"
"du65k","1","16","16.000000000"
"du65l","1","1","1.000000000"
"du65n","1","4","4.000000000"
"du65o","1","51","51.000000000"
"du65p","1","20","20.000000000"
"du65r","1","23","23.000000000"
"du66b","1","7","7.000000000"
"du66x","1","1","1.000000000"
"du67b","1","15","15.000000000"
"du67g","1","99","99.000000000"
"du67h","1","1","1.000000000"
"du67l","1","1","1.000000000"
"du67t","1","5670","5670.000000000"
"du67x","1","37","37.000000000"
"du67z","1","19","19.000000000"
"du68u","1","2284","2284.000000000"
"du69e","1","46","46.000000000"
"du69v","1","21","21.000000000"
"du6a1","1","35","35.000000000"
"du6a3","1","5","5.000000000"
"du6ae","1","1","1.000000000"
"du6ag","1","53","53.000000000"
"du6au","1","2","2.000000000"
"du6b0","1","6","6.000000000"
"du6bp","1","1","1.000000000"
"du6bs","1","30","30.000000000"
"du6c2","1","6","6.000000000"
"du6c4","1","70","70.000000000"
"du6cw","1","5","5.000000000"
"du6d1","1","191","191.000000000"
"du6d2","1","4","4.000000000"
"du6ds","1","125","125.000000000"
"du6dt","1","280","280.000000000"
"du6du","1","14","14.000000000"
"du6dv","1","26","26.000000000"
"du6dx","1","742","742.000000000"
"du6e2","1","25","25.000000000"
"du6e5","1","1281","1281.000000000"
"du6ed","1","26","26.000000000"
"du6ej","1","4777","4777.000000000"
"du6eo","1","8","8.000000000"
"du6ey","1","25","25.000000000"
"du6f0","1","1","1.000000000"
"du6f7","1","1","1.000000000"
"du6fd","1","29","29.000000000"
"du6fe","1","74","74.000000000"
"du6fq","1","6","6.000000000"
"du6fu","1","9","9.000000000"
"du6fv","1","144","144.000000000"
"du6g1","1","241","241.000000000"
"du6g2","1","222","222.000000000"
"du6g3","1","654","654.000000000"
"du6ga","1","530","530.000000000"
"du6gb","1","2","2.000000000"
"du6gs","1","1140","1140.000000000"
"du6gt","1","179","179.000000000"
"du6gv","1","758","758.000000000"
"du6h5","1","2","2.000000000"
"du6hc","1","2","2.000000000"
"du6ho","1","22","22.000000000"
"du6hr","1","699","699.000000000"
"du6ht","1","1","1.000000000"
"du6ia","1","9","9.000000000"
"du6in","1","1","1.000000000"
"du6iq","1","5","5.000000000"
"du6iu","1","6","6.000000000"
"du6iy","1","4","4.000000000"
"du6j1","1","1","1.000000000"
"du6j8","1","1","1.000000000"
"du6je","1","64","64.000000000"
"du6ji","1","2","2.000000000"
"du6jq","1","7","7.000000000"
"du6k3","1","763","763.000000000"
"du6kd","1","461","461.000000000"
"du6ke","1","1","1.000000000"
"du6kv","1","59","59.000000000"
"du6ll","1","58","58.000000000"
"du6lw","1","7","7.000000000"
"du6m4","1","19","19.000000000"
"du6mn","1","6","6.000000000"
"du6ne","1","6","6.000000000"
"du6nq","1","9","9.000000000"
"du6pb","1","5","5.000000000"
"du6pd","1","12","12.000000000"
"du6ph","1","32","32.000000000"
"du6qw","1","548","548.000000000"
"du6rt","1","117","117.000000000"
"du6rz","1","79","79.000000000"
"du6s9","1","1","1.000000000"
"du6sc","1","2","2.000000000"
"du6se","1","2","2.000000000"
"du6sr","1","14626","14626.000000000"
"du6su","1","6","6.000000000"
"du6tb","1","4560","4560.000000000"
"du6tx","1","1","1.000000000"
"du6u1","1","30","30.000000000"
"du6uk","1","9","9.000000000"
"du6ul","1","52","52.000000000"
"du6um","1","1","1.000000000"
"du6vd","1","1","1.000000000"
"du6vf","1","6","6.000000000"
"du6wh","1","1","1.000000000"
"du6wu","1","28","28.000000000"
"du6x0","1","49","49.000000000"
"du6x2","1","526","526.000000000"
"du6x6","1","101","101.000000000"
"du6y8","1","1","1.000000000"
"du6yd","1","2","2.000000000"
"du6z1","1","232","232.000000000"
"du6z5","1","2079","2079.000000000"
"du70g","1","15","15.000000000"
"du70i","1","1","1.000000000"
"du70l","1","2669","2669.000000000"
"du70y","1","2","2.000000000"
"du71a","1","9","9.000000000"
"du71l","1","2504","2504.000000000"
"du72f","1","5","5.000000000"
"du72k","1","5","5.000000000"
"du736","1","39","39.000000000"
"du740","1","6","6.000000000"
"du74h","1","1","1.000000000"
"du74v","1","34","34.000000000"
"du74y","1","436","436.000000000"
"du74z","1","288","288.000000000"
"du75b","1","72","72.000000000"
"du766","1","7","7.000000000"
"du76a","1","1","1.000000000"
"du76l","1","10","10.000000000"
"du76n","1","39864","39864.000000000"
"du76p","1","720","720.000000000"
"du771","1","140","140.000000000"
"du779","1","7","7.000000000"
"du77a","1","6","6.000000000"
"du77c","1","170","170.000000000"
"du77i","1","570","570.000000000"
"du77k","1","1","1.000000000"
"du785","1","1034","1034.000000000"
"du786","1","30","30.000000000"
"du78e","1","139","139.000000000"
"du78p","1","4","4.000000000"
"du795","1","3","3.000000000"
"du797","1","6","6.000000000"
"du79d","1","402","402.000000000"
"du7ab","1","253","253.000000000"
"du7aj","1","106","106.000000000"
"du7av","1","1","1.000000000"
"du7b7","1","120","120.000000000"
"du7bu","1","4071","4071.000000000"
"du7ce","1","8","8.000000000"
"du7cw","1","802","802.000000000"
"du7dc","1","2","2.000000000"
"du7de","1","53188","53188.000000000"
"du7df","1","5","5.000000000"
"du7dj","1","4","4.000000000"
"du7dk","1","5291","5291.000000000"
"du7do","1","82","82.000000000"
"du7dp","1","3","3.000000000"
"du7dq","1","310","310.000000000"
"du7dr","1","145","145.000000000"
"du7eq","1","1","1.000000000"
"du7f0","1","8","8.000000000"
"du7f2","1","31","31.000000000"
"du7f9","1","89","89.000000000"
"du7g1","1","1","1.000000000"
"du7gd","1","19","19.000000000"
"du7go","1","166","166.000000000"
"du7gs","1","14","14.000000000"
"du7gv","1","53","53.000000000"
"du7h1","1","36","36.000000000"
"du7i2","1","5","5.000000000"
"du7i4","1","348","348.000000000"
"du7io","1","1","1.000000000"
"du7j1","1","2","2.000000000"
"du7j5","1","4","4.000000000"
"du7j6","1","22","22.000000000"
"du7ja","1","1","1.000000000"
"du7jf","1","957","957.000000000"
"du7jl","1","1283","1283.000000000"
"du7jn","1","1","1.000000000"
"du7js","1","2","2.000000000"
"du7l6","1","1","1.000000000"
"du7mo","1","3","3.000000000"
"du7mz","1","1","1.000000000"
"du7na","1","1","1.000000000"
"du7nz","1","8","8.000000000"
"du7ov","1","11640","11640.000000000"
"du7ow","1","248","248.000000000"
"du7pd","1","685","685.000000000"
"du7pv","1","1","1.000000000"
"du7q3","1","39","39.000000000"
"du7qa","1","1","1.000000000"
"du7ql","1","16","16.000000000"
"du7qq","1","1","1.000000000"
"du7ra","1","99","99.000000000"
"du7s4","1","4","4.000000000"
"du7sa","1","100","100.000000000"
"du7sj","1","125","125.000000000"
"du7st","1","20","20.000000000"
"du7uz","1","179","179.000000000"
"du7vq","1","617","617.000000000"
"du7vt","1","2","2.000000000"
"du7wi","1","12","12.000000000"
"du7wy","1","1022","1022.000000000"
"du7ys","1","57","57.000000000"
"du7yu","1","63","63.000000000"
"du7yv","1","46","46.000000000"
"du7yz","1","65","65.000000000"
"du7zv","1","22","22.000000000"
"du804","1","15","15.000000000"
"du806","1","56","56.000000000"
"du80i","1","1","1.000000000"
"du80k","1","25","25.000000000"
"du80n","1","41","41.000000000"
"du81q","1","13","13.000000000"
"du81v","1","2","2.000000000"
"du81x","1","1","1.000000000"
"du82l","1","212","212.000000000"
"du83b","1","33","33.000000000"
"du83f","1","52","52.000000000"
"du83r","1","9","9.000000000"
"du83t","1","1","1.000000000"
"du83u","1","1","1.000000000"
"du83w","1","2","2.000000000"
"du868","1","572","572.000000000"
"du87s","1","4859","4859.000000000"
"du88a","1","9","9.000000000"
"du88k","1","19","19.000000000"
"du892","1","94","94.000000000"
"du894","1","6","6.000000000"
"du89d","1","30","30.000000000"
"du8ah","1","11477","11477.000000000"
"du8b5","1","14","14.000000000"
"du8be","1","30","30.000000000"
"du8bm","1","411","411.000000000"
"du8bz","1","1302","1302.000000000"
"du8cc","1","48","48.000000000"
"du8cp","1","184","184.000000000"
"du8cq","1","152","152.000000000"
"du8d1","1","158","158.000000000"
"du8dg","1","2","2.000000000"
"du8dn","1","8","8.000000000"
"du8dp","1","2","2.000000000"
"du8e0","1","1282","1282.000000000"
"du8e1","1","130","130.000000000"
"du8e3","1","204","204.000000000"
"du8g2","1","2","2.000000000"
"du8g5","1","19","19.000000000"
"du8gp","1","1","1.000000000"
"du8hs","1","467","467.000000000"
"du8ie","1","28","28.000000000"
"du8il","1","11","11.000000000"
"du8jf","1","1","1.000000000"
"du8jl","1","305","305.000000000"
"du8jp","1","2","2.000000000"
"du8jr","1","485","485.000000000"
"du8l8","1","1905","1905.000000000"
"du8lc","1","166","166.000000000"
"du8lf","1","230","230.000000000"
"du8lg","1","15","15.000000000"
"du8ll","1","234","234.000000000"
"du8lu","1","166","166.000000000"
"du8lw","1","1","1.000000000"
"du8lz","1","286","286.000000000"
"du8m8","1","3","3.000000000"
"du8mc","1","350","350.000000000"
"du8ml","1","1","1.000000000"
"du8mp","1","394","394.000000000"
"du8mq","1","57","57.000000000"
"du8nk","1","42","42.000000000"
"du8nx","1","5","5.000000000"
"du8ny","1","219","219.000000000"
"du8p8","1","17","17.000000000"
"du8po","1","12","12.000000000"
"du8pp","1","2","2.000000000"
"du8q4","1","94","94.000000000"
"du8qr","1","2","2.000000000"
"du8qu","1","1057","1057.000000000"
"du8qv","1","112","112.000000000"
"du8rj","1","11","11.000000000"
"du8s1","1","4138","4138.000000000"
"du8sq","1","1","1.000000000"
"du8t4","1","8","8.000000000"
"du8tt","1","396","396.000000000"
"du8tv","1","15","15.000000000"
"du8ui","1","146","146.000000000"
"du8uj","1","147","147.000000000"
"du8wb","1","825","825.000000000"
"du8x7","1","11","11.000000000"
"du8y2","1","458","458.000000000"
"du8y3","1","5","5.000000000"
"du8z4","1","9","9.000000000"
"du8zg","1","1","1.000000000"
"du8zw","1","9","9.000000000"
"du900","1","241","241.000000000"
"du908","1","1280","1280.000000000"
"du909","1","167","167.000000000"
"du90k","1","159","159.000000000"
"du90n","1","999","999.000000000"
"du917","1","4","4.000000000"
"du91b","1","1","1.000000000"
"du91g","1","3","3.000000000"
"du91p","1","46","46.000000000"
"du920","1","3","3.000000000"
"du92d","1","13","13.000000000"
"du92e","1","7","7.000000000"
"du92l","1","59","59.000000000"
"du93j","1","1","1.000000000"
"du93r","1","102","102.000000000"
"du93x","1","5","5.000000000"
"du943","1","8","8.000000000"
"du94i","1","3","3.000000000"
"du94j","1","1","1.000000000"
"du94o","1","4","4.000000000"
"du94q","1","385","385.000000000"
"du94r","1","3","3.000000000"
"du94s","1","3","3.000000000"
"du94t","1","3","3.000000000"
"du94u","1","3","3.000000000"
"du94y","1","6","6.000000000"
"du957","1","18","18.000000000"
"du960","1","58","58.000000000"
"du964","1","64","64.000000000"
"du966","1","23","23.000000000"
"du969","1","4","4.000000000"
"du96a","1","184","184.000000000"
"du97x","1","147","147.000000000"
"du98a","1","2","2.000000000"
"du98s","1","1","1.000000000"
"du98z","1","5","5.000000000"
"du995","1","4","4.000000000"
"du99z","1","1491","1491.000000000"
"du9am","1","241","241.000000000"
"du9au","1","12","12.000000000"
"du9bo","1","70","70.000000000"
"du9bp","1","77","77.000000000"
"du9bq","1","90","90.000000000"
"du9br","1","100","100.000000000"
"du9bs","1","50","50.000000000"
"du9bt","1","85","85.000000000"
"du9bu","1","58","58.000000000"
"du9bx","1","55","55.000000000"
"du9c9","1","122","122.000000000"
"du9cl","1","2","2.000000000"
"du9cn","1","5789","5789.000000000"
"du9cs","1","5","5.000000000"
"du9d4","1","34","34.000000000"
"du9d7","1","1","1.000000000"
"du9dp","1","1","1.000000000"
"du9e6","1","1","1.000000000"
"du9e8","1","4","4.000000000"
"du9eb","1","77","77.000000000"
"du9ej","1","4","4.000000000"
"du9ek","1","15","15.000000000"
"du9ew","1","5","5.000000000"
"du9fa","1","1","1.000000000"
"du9fl","1","36","36.000000000"
"du9gd","1","6331","6331.000000000"
"du9gq","1","1","1.000000000"
"du9h8","1","16","16.000000000"
"du9i2","1","149","149.000000000"
"du9ig","1","7","7.000000000"
"du9ir","1","1","1.000000000"
"du9iw","1","14","14.000000000"
"du9j0","1","8","8.000000000"
"du9j1","1","1","1.000000000"
"du9kp","1","18","18.000000000"
"du9ly","1","7","7.000000000"
"du9n4","1","2","2.000000000"
"du9nn","1","441","441.000000000"
"du9ns","1","9","9.000000000"
"du9px","1","3","3.000000000"
"du9qd","1","1","1.000000000"
"du9sx","1","3236","3236.000000000"
"du9t6","1","30","30.000000000"
"du9tr","1","21","21.000000000"
"du9u0","1","15","15.000000000"
"du9vi","1","4","4.000000000"
"du9vt","1","49","49.000000000"
"du9w4","1","5","5.000000000"
"du9wq","1","16","16.000000000"
"du9ww","1","57","57.000000000"
"du9x3","1","18","18.000000000"
"du9x4","1","75","75.000000000"
"du9x7","1","21","21.000000000"
"du9xl","1","9","9.000000000"
"du9xo","1","42","42.000000000"
"du9xq","1","3","3.000000000"
"du9yb","1","2","2.000000000"
"du9zv","1","1","1.000000000"
"dua05","1","8","8.000000000"
"dua1r","1","1","1.000000000"
"dua2j","1","21949","21949.000000000"
"dua2v","1","3","3.000000000"
"dua38","1","25","25.000000000"
"dua39","1","2201","2201.000000000"
"dua3a","1","1","1.000000000"
"dua3s","1","9","9.000000000"
"dua4e","1","1","1.000000000"
"dua4x","1","2460","2460.000000000"
"dua6l","1","1","1.000000000"
"dua6m","1","40","40.000000000"
"dua7f","1","10","10.000000000"
"dua80","1","1","1.000000000"
"dua89","1","2","2.000000000"
"dua9b","1","41","41.000000000"
"dua9x","1","8","8.000000000"
"dua9z","1","3","3.000000000"
"duaac","1","22","22.000000000"
"duaao","1","17","17.000000000"
"duaap","1","1","1.000000000"
"duack","1","4","4.000000000"
"duacs","1","1","1.000000000"
"duacv","1","29","29.000000000"
"duad0","1","4","4.000000000"
"duadb","1","967","967.000000000"
"duadg","1","216","216.000000000"
"duafi","1","47","47.000000000"
"duahs","1","6","6.000000000"
"duaip","1","305","305.000000000"
"duaj2","1","1","1.000000000"
"duaju","1","3","3.000000000"
"duak0","1","1","1.000000000"
"duaka","1","6","6.000000000"
"duao1","1","2","2.000000000"
"duaog","1","2","2.000000000"
"duaoj","1","7","7.000000000"
"duapi","1","12","12.000000000"
"duas5","1","24","24.000000000"
"duask","1","1","1.000000000"
"duaso","1","12","12.000000000"
"duasp","1","1","1.000000000"
"duauo","1","23","23.000000000"
"duauq","1","1","1.000000000"
"duav0","1","2","2.000000000"
"duaw9","1","3","3.000000000"
"duaxb","1","4","4.000000000"
"duaxn","1","448","448.000000000"
"dunny","1","144","144.000000000"
"dunpn","1","11","11.000000000"
"dunrj","1","12","12.000000000"
"dunrl","1","6","6.000000000"
"dunry","1","440","440.000000000"
"dunsq","1","16292","16292.000000000"
"dunt1","1","1","1.000000000"
"dunun","1","2","2.000000000"
"dunv8","1","13560","13560.000000000"
"dunvb","1","20947","20947.000000000"
"dunvo","1","12","12.000000000"
"dunvq","1","87","87.000000000"
"duo0s","1","29","29.000000000"
"duo2t","1","4867","4867.000000000"
"duo3s","1","13","13.000000000"
"duo43","1","11116","11116.000000000"
"duo7c","1","6","6.000000000"
"duo7d","1","3","3.000000000"
"duo7z","1","42","42.000000000"
"duo8v","1","1","1.000000000"
"duo9h","1","3","3.000000000"
"duoa8","1","775","775.000000000"
"duob9","1","3","3.000000000"
"duobl","1","12","12.000000000"
"duobz","1","244","244.000000000"
"duocr","1","36","36.000000000"
"duocw","1","213","213.000000000"
"duodu","1","322","322.000000000"
"duof4","1","400","400.000000000"
"duoja","1","17","17.000000000"
"duoji","1","37","37.000000000"
"duomy","1","1","1.000000000"
"duopw","1","4","4.000000000"
"duoql","1","14","14.000000000"
"duos4","1","157","157.000000000"
"duos9","1","56822","56822.000000000"
"duost","1","1","1.000000000"
"duota","1","234","234.000000000"
"duotk","1","12","12.000000000"
"duovp","1","5","5.000000000"
"dup17","1","2","2.000000000"
"dup1d","1","2","2.000000000"
"dup25","1","498","498.000000000"
"dup3b","1","3056","3056.000000000"
"dup4j","1","1","1.000000000"
"dup4q","1","3","3.000000000"
"dup58","1","1","1.000000000"
"dup5m","1","1","1.000000000"
"dup7q","1","510","510.000000000"
"dup7t","1","2","2.000000000"
"dup88","1","371","371.000000000"
"dup8a","1","168","168.000000000"
"dup8b","1","43","43.000000000"
"dup8d","1","7","7.000000000"
"dup90","1","26","26.000000000"
"dup9f","1","153","153.000000000"
"dupbg","1","1","1.000000000"
"dupfq","1","2","2.000000000"
"dupfr","1","1","1.000000000"
"dupgf","1","6888","6888.000000000"
"duphn","1","270","270.000000000"
"dupi4","1","5","5.000000000"
"dupic","1","84","84.000000000"
"dupir","1","18","18.000000000"
"dupkw","1","2","2.000000000"
"dupm1","1","9","9.000000000"
"dupmc","1","1","1.000000000"
"dupml","1","5","5.000000000"
"dupmv","1","17","17.000000000"
"dupn2","1","14","14.000000000"
"dupn6","1","312","312.000000000"
"dupo4","1","1835","1835.000000000"
"dupp4","1","74","74.000000000"
"dupph","1","125","125.000000000"
"dupqh","1","10","10.000000000"
"dupqj","1","5","5.000000000"
"dupsb","1","71","71.000000000"
"dupsq","1","11","11.000000000"
"dupt1","1","39","39.000000000"
"duptv","1","8859","8859.000000000"
"duptx","1","2","2.000000000"
"dupu1","1","918","918.000000000"
"dupu2","1","157","157.000000000"
"dupud","1","1","1.000000000"
"dupvj","1","1","1.000000000"
"dupvt","1","5","5.000000000"
"dupzg","1","4","4.000000000"
"dupzp","1","24","24.000000000"
"dupzq","1","55","55.000000000"
"duq0t","1","1059","1059.000000000"
"duq19","1","251","251.000000000"
"duq1e","1","1","1.000000000"
"duq1j","1","1203","1203.000000000"
"duq22","1","20","20.000000000"
"duq46","1","179","179.000000000"
"duq4f","1","31","31.000000000"
"duq4r","1","164","164.000000000"
"duq5l","1","1672","1672.000000000"
"duq6l","1","527","527.000000000"
"duq6y","1","1","1.000000000"
"duq70","1","1253","1253.000000000"
"duq75","1","8","8.000000000"
"duq7h","1","116768","116768.000000000"
"duq7i","1","666","666.000000000"
"duq88","1","1","1.000000000"
"duq9n","1","1","1.000000000"
"duq9z","1","1","1.000000000"
"duqb6","1","2","2.000000000"
"duqb8","1","1024","1024.000000000"
"duqcm","1","544","544.000000000"
"duqd5","1","291","291.000000000"
"duqgj","1","10","10.000000000"
"duqhx","1","360","360.000000000"
"duqid","1","244","244.000000000"
"duqk0","1","21","21.000000000"
"duqkz","1","4","4.000000000"
"duqm1","1","1","1.000000000"
"duqnl","1","5","5.000000000"
"duqnq","1","10","10.000000000"
"duqo3","1","16","16.000000000"
"duqoh","1","462","462.000000000"
"duqok","1","4349","4349.000000000"
"duqom","1","2339","2339.000000000"
"duqon","1","1077","1077.000000000"
"duqpy","1","23","23.000000000"
"duqqg","1","390","390.000000000"
"duqqp","1","1","1.000000000"
"duqr5","1","1","1.000000000"
