"partnerid","MaxClickPer1Min","MaxClickPer5Min","MaxClickPer3Hr","MaxClickPer6Hr","status"
"8i8gz","1","1","1","1","OK"
"8i8h2","1","1","1","1","OK"
"8i8h7","5","7","48","85","Fraud"
"8i8hw","1","2","2","2","OK"
"8i8ih","1","1","1","1","OK"
"8i8is","3","5","23","39","OK"
"8i8iv","2","2","4","6","OK"
"8i8j2","2","2","5","9","OK"
"8i8jl","1","1","1","1","OK"
"8i8k3","1","1","3","3","OK"
"8i8kg","1","1","1","1","OK"
"8i8ku","1","1","2","3","OK"
"8i8le","1","2","4","5","OK"
"8i8lx","1","1","1","1","OK"
"8i8m6","4","6","52","98","OK"
"8i8mq","1","1","1","1","OK"
"8i8mr","1","1","1","1","OK"
"8i8n6","1","2","2","2","OK"
"8i8no","2","4","18","19","OK"
"8i8nq","1","1","1","1","OK"
"8i8nr","4","7","93","146","OK"
"8i8oh","1","1","1","1","OK"
"8i8p1","1","2","6","6","OK"
"8i8pz","1","1","1","1","OK"
"8i8q4","3","3","13","13","OK"
"8i8qk","1","2","3","3","OK"
"8i8qn","1","1","1","1","OK"
"8i8rs","1","1","1","1","OK"
"8i8s9","1","1","1","1","OK"
"8i8t2","1","1","1","1","OK"
"8i8tt","2","3","18","32","Observation"
"8i8tw","1","1","1","2","OK"
"8i8u1","1","1","1","1","OK"
"8i8u7","1","1","1","1","OK"
"8i8u8","2","3","17","23","OK"
"8i8ub","2","2","6","8","OK"
"8i8ui","1","2","2","2","OK"
"8i8wd","1","2","3","3","OK"
"8i8xq","1","3","62","110","OK"
"8i8ye","17","39","440","725","OK"
"8i8yi","2","2","2","4","OK"
"8i8yn","3","3","7","9","OK"
"8i8yu","2","4","7","13","OK"
"8i8z4","3","5","18","28","OK"
"8i8zd","1","1","2","2","OK"
"8i8ze","2","4","12","18","OK"
"8i8zi","2","3","4","5","OK"
"8i903","2","3","12","14","OK"
"8i90i","1","1","1","1","OK"
"8i90k","5","10","157","273","Fraud"
"8i90m","4","9","121","179","OK"
"8i91i","11","39","640","1192","OK"
"8i922","18","61","1229","2114","OK"
"8i92t","13","42","966","1792","OK"
"8i92u","1","1","1","1","OK"
"8i930","3","6","60","90","Observation"
"8i932","1","1","2","2","OK"
"8i936","4","14","95","132","OK"
"8i93o","1","2","6","8","OK"
"8i93q","3","6","51","84","OK"
"8i941","3","4","17","25","OK"
"8i949","5","8","57","76","OK"
"8i94e","1","1","1","1","OK"
"8i94n","1","1","1","1","OK"
"8i94y","2","3","8","11","OK"
"8i95z","2","3","8","14","OK"
"8i969","3","6","46","61","OK"
"8i96u","2","2","8","11","OK"
"8i96x","2","2","3","4","OK"
"8i98h","2","3","3","3","OK"
"8i99h","1","2","6","8","OK"
"8i9a2","1","1","1","1","OK"
"8i9at","1","2","2","3","OK"
"8i9aw","4","5","65","86","OK"
"8i9b4","1","1","2","2","OK"
"8i9bj","2","2","6","6","OK"
"8i9bm","3","6","64","77","OK"
"8i9bs","1","1","2","3","OK"
"8i9bw","2","2","4","4","OK"
"8i9bx","2","2","2","3","OK"
"8i9cn","2","4","9","17","OK"
"8i9co","2","2","4","5","OK"
"8i9cr","2","2","5","6","OK"
"8i9d0","2","2","2","2","OK"
"8i9d1","1","1","1","1","OK"
"8i9d5","2","2","7","11","OK"
"8i9da","4","11","70","80","OK"
"8i9db","1","1","1","1","OK"
"8i9dg","1","1","1","1","OK"
"8i9dp","1","1","1","1","OK"
"8i9dv","2","4","5","7","OK"
"8i9e1","1","1","1","1","OK"
"8i9e9","4","4","15","23","OK"
"8i9ed","1","1","1","1","OK"
"8i9eg","1","1","1","1","OK"
"8i9eq","1","1","1","1","OK"
"8i9f0","1","1","1","1","OK"
"8i9fl","1","1","2","2","OK"
"8i9fv","1","1","1","1","OK"
"8i9g2","2","2","6","7","OK"
"8i9gl","1","1","2","3","OK"
"8i9h8","1","1","1","1","OK"
"8i9hj","1","1","1","1","OK"
"8i9hm","2","3","9","14","OK"
"8i9hn","2","2","3","4","OK"
"8i9ht","4","8","67","112","OK"
"8i9hu","4","15","169","198","OK"
"8i9hw","1","1","2","2","OK"
"8i9hx","5","11","183","347","OK"
"8i9hz","1","1","1","1","OK"
"8i9i1","6","15","266","407","OK"
"8i9i3","12","38","438","803","OK"
"8i9i4","2","3","13","23","OK"
"8i9i5","5","9","114","152","Observation"
"8i9i7","2","3","27","32","OK"
"8i9i9","2","4","29","37","OK"
"8i9ia","4","10","163","277","OK"
"8i9ib","1","2","12","12","OK"
"8i9ic","4","9","85","116","OK"
"8i9id","2","3","21","40","OK"
"8i9ie","3","6","47","54","OK"
"8i9ig","4","9","88","164","OK"
"8i9ih","2","4","21","36","OK"
"8i9ii","5","10","131","248","Observation"
"8i9ij","3","6","60","60","OK"
"8i9ik","4","8","61","90","OK"
"8i9im","3","5","49","95","OK"
"8i9in","6","12","259","412","OK"
"8i9ip","1","1","1","2","OK"
"8i9j4","6","20","363","647","OK"
"8i9j6","24","90","2104","3957","Observation"
"8i9jf","1","1","1","1","OK"
"8i9jg","5","10","181","290","OK"
"8i9ji","2","4","6","6","OK"
"8i9jj","11","35","423","462","OK"
"8i9jr","1","1","1","1","OK"
"8i9kq","2","7","17","28","OK"
"8i9ky","1","1","1","1","OK"
"8i9nd","1","1","1","2","OK"
"8i9ng","1","2","5","6","OK"
"8i9np","5","6","21","25","OK"
"8i9os","1","1","1","1","OK"
"8i9ot","2","4","99","189","OK"
"8i9p1","1","1","2","2","OK"
"8i9p3","1","1","4","4","OK"
"8i9p4","1","2","2","2","OK"
"8i9p7","1","2","6","12","OK"
"8i9p8","1","2","3","4","OK"
"8i9pt","1","1","1","1","OK"
"8i9q6","1","1","2","3","OK"
"8i9ql","7","21","410","684","OK"
"8i9qu","2","3","11","12","OK"
"8i9s9","3","6","25","36","OK"
"8i9sm","1","2","4","4","OK"
"8i9t0","1","1","1","1","OK"
"8i9tt","1","2","6","10","OK"
"8i9u6","1","1","1","2","OK"
"8i9vn","5","12","73","107","OK"
"8i9ws","3","9","91","127","Fraud"
"8i9xb","1","2","11","11","OK"
"8i9z5","2","2","6","11","OK"
"8i9z6","2","2","2","3","OK"
"8i9z7","1","1","1","1","OK"
"8i9zb","2","2","7","7","OK"
"8i9zp","4","8","52","87","OK"
"8i9zy","1","1","2","4","OK"
"8ia0j","2","2","6","6","OK"
"8ia0n","1","1","4","6","OK"
"8ia11","2","2","4","5","OK"
"8ia16","3","4","18","26","OK"
"8ia19","1","1","2","2","OK"
"8ia1e","1","1","2","3","OK"
"8ia25","1","1","2","2","OK"
"8ia51","2","3","5","5","OK"
"8ia54","1","1","1","1","OK"
"8ia62","1","1","1","2","OK"
"8ia6z","1","2","7","9","OK"
"8ia7h","2","2","7","9","OK"
"8ia7p","1","2","8","10","OK"
"8ia7z","1","1","1","2","OK"
"8ia80","6","10","130","246","OK"
"8ia8k","1","1","1","1","OK"
"8ia8u","2","2","12","22","OK"
"8ia99","1","1","2","2","OK"
"8ia9b","2","2","8","10","OK"
"8ia9d","1","1","1","1","OK"
"8ia9m","2","4","21","36","OK"
"8ia9n","1","1","1","1","OK"
"8iaa6","1","1","1","1","OK"
"8iaar","2","2","3","4","OK"
"8iaay","2","3","12","15","OK"
"8iaaz","2","3","7","8","OK"
"8iab9","2","3","18","26","OK"
"8iabd","2","2","8","12","OK"
"8iabk","2","4","4","4","OK"
"8iabp","2","2","8","11","OK"
"8iac5","1","1","1","1","OK"
"8iac6","4","6","30","50","OK"
"8iact","2","4","4","5","OK"
"8iadk","2","3","17","24","OK"
"8iadn","1","1","1","1","OK"
"8iadr","44","129","1230","1845","Observation"
"8iadt","6","14","141","242","OK"
"8iae2","1","1","1","1","OK"
"8iae4","1","1","1","1","OK"
"8iaeq","1","1","1","1","OK"
"8iafg","2","4","10","12","OK"
"8iafi","3","5","30","56","OK"
"8iagk","4","5","13","18","OK"
"8iagn","1","1","1","1","OK"
"8iagp","3","3","3","4","OK"
"8iagv","2","2","5","7","OK"
"8iah0","2","4","4","5","OK"
"8iaim","1","1","1","1","OK"
"8iaj2","3","5","23","42","OK"
"8iajv","1","1","1","1","OK"
"8iak0","3","4","12","18","OK"
"8iaks","1","2","5","5","OK"
"8ial7","1","1","1","1","OK"
"8ialk","2","2","2","2","OK"
"8ialy","5","13","34","50","OK"
"8iam0","1","1","4","5","OK"
"8iam4","1","1","2","2","OK"
"8iamd","15","46","933","1581","Observation"
"8iaml","1","1","2","2","OK"
"8iaob","1","2","2","2","OK"
"8iaps","1","1","1","1","OK"
"8iaqk","1","1","1","1","OK"
"8iaqp","2","2","3","5","OK"
"8iaqy","1","1","2","2","OK"
"8iar6","1","1","2","2","OK"
"8iark","1","2","3","5","OK"
"8iaru","2","4","6","10","OK"
"8iasq","2","2","4","5","OK"
"8iasz","4","9","120","178","Observation"
"8iata","2","5","21","36","OK"
"8iatv","5","8","23","36","OK"
"8iau4","1","2","4","6","OK"
"8iau5","1","2","4","5","OK"
"8iau7","1","2","4","7","OK"
"8iauu","15","39","851","1513","OK"
"8iavq","11","35","342","630","OK"
"8iavx","4","9","41","48","OK"
"8iawe","1","1","1","1","OK"
"8iawh","2","2","4","6","OK"
"8iaxa","1","1","1","1","OK"
"8iaxj","33","121","2539","4706","Fraud"
"8iayy","1","1","1","1","OK"
"8iazm","3","6","51","95","OK"
"8ib0l","3","5","45","75","OK"
"8ib0m","1","1","1","1","OK"
"8ib12","2","2","5","6","OK"
"8ib14","2","3","3","3","OK"
"8ib16","3","5","20","38","OK"
"8ib1i","1","1","1","1","OK"
"8ib1j","1","1","1","1","OK"
"8ib1t","1","1","3","3","OK"
"8ib1v","1","1","1","1","OK"
"8ib1x","1","1","1","1","OK"
"8ib25","1","2","3","4","OK"
"8ib26","1","1","2","3","OK"
"8ib2d","1","1","1","1","OK"
"8ib2w","3","3","4","7","OK"
"8ib34","1","1","1","2","OK"
"8ib46","1","1","1","1","OK"
"8ib4v","1","1","2","2","OK"
"8ib4y","1","2","4","7","OK"
"8ib4z","3","5","44","82","OK"
"8ib56","6","14","210","336","OK"
"8ib5i","9","14","172","248","OK"
"8ib63","1","1","2","2","OK"
"8ib6f","1","2","3","4","OK"
"8ib6i","1","1","2","3","OK"
"8ib6x","3","6","39","52","OK"
"8ib7h","2","2","7","9","OK"
"8ib7i","1","1","1","1","OK"
"8ib9m","1","1","1","1","OK"
"8ib9o","2","3","3","3","OK"
"8ib9v","1","1","1","1","OK"
"8ibah","5","9","131","217","OK"
"8ibam","1","1","1","1","OK"
"8ibay","1","1","1","1","OK"
"8ibbr","2","3","9","10","OK"
"8ibbv","1","1","1","1","OK"
"8ibcb","1","1","1","1","OK"
"8ibcv","2","3","7","9","OK"
"8ibdg","3","3","18","30","OK"
"8ibdl","2","2","3","3","OK"
"8ibdm","16","31","325","519","OK"
"8iber","1","1","1","1","OK"
"8ibf5","1","1","1","1","OK"
"8ibfa","1","1","1","1","OK"
"8ibg2","2","2","3","5","OK"
"8ibg6","1","1","1","1","OK"
"8ibgj","1","1","2","3","OK"
"8ibgo","1","1","2","3","OK"
"8ibgx","1","2","7","10","OK"
"8ibhn","1","1","2","2","OK"
"8ibid","1","1","2","2","OK"
"8ibiw","2","2","4","5","OK"
"8ibjf","3","4","37","58","OK"
"8ibjo","2","4","14","26","OK"
"8ibke","1","1","1","1","OK"
"8ibkr","6","18","92","145","Fraud"
"8ibl1","1","1","1","1","OK"
"8ibmd","1","1","1","1","OK"
"8ibmq","1","1","1","1","OK"
"8ibmx","1","1","2","2","OK"
"8ibn2","1","1","1","1","OK"
"8ibnz","2","2","2","2","OK"
"8ibo7","1","1","1","1","OK"
"8ibop","1","1","2","3","OK"
"8ibp0","3","3","13","17","OK"
"8ibp7","1","1","1","1","OK"
"8ibp9","3","5","6","6","OK"
"8ibpi","1","1","1","1","OK"
"8ibr7","1","1","1","1","OK"
"8ibt9","1","2","4","7","OK"
"8ibtd","1","1","1","1","OK"
"8ibub","1","1","1","1","OK"
"8ibug","3","7","24","26","OK"
"8ibum","3","4","13","17","OK"
"8ibup","4","6","50","78","OK"
"8ibv4","7","15","281","456","OK"
"8ibw8","5","11","105","143","OK"
"8ibxb","2","3","11","20","OK"
"8ic07","2","3","8","10","OK"
"8ic0m","4","7","105","184","OK"
"8ic0y","2","2","7","12","OK"
"8ic1s","1","1","3","3","OK"
"8ic1t","3","3","14","18","OK"
"8ic1x","1","1","1","1","OK"
"8ic26","5","12","73","133","OK"
"8ic2e","1","2","2","2","OK"
"8ic2q","1","1","2","2","OK"
"8ic3a","1","2","2","4","OK"
"8ic3g","1","1","1","1","OK"
"8ic3o","2","2","9","14","OK"
"8ic3r","1","1","1","1","OK"
"8ic3w","1","1","1","1","OK"
"8ic46","2","2","5","5","OK"
"8ic4i","2","3","4","6","OK"
"8ic4v","5","10","75","128","OK"
"8ic50","1","1","1","1","OK"
"8ic51","1","1","2","3","OK"
"8ic55","1","1","1","1","OK"
"8ic56","11","26","270","416","OK"
"8ic59","1","1","1","1","OK"
"8ic5b","1","1","2","2","OK"
"8ic6b","2","4","7","12","OK"
"8ic6d","1","1","2","2","OK"
"8ic6r","1","1","1","1","OK"
"8ic78","1","1","1","1","OK"
"8ic7z","1","1","1","1","OK"
"8ic8g","1","1","1","2","OK"
"8ic9a","1","2","2","2","OK"
"8ic9l","2","2","4","4","OK"
"8ic9r","1","1","1","1","OK"
"8ica0","6","6","9","9","OK"
"8icam","1","1","2","4","OK"
"8icaw","1","3","5","7","OK"
"8icb3","1","1","2","2","OK"
"8icb9","1","1","1","1","OK"
"8icbb","2","3","5","7","OK"
"8iccd","2","3","13","25","OK"
"8iccn","2","3","12","18","OK"
"8icdb","2","4","31","48","OK"
"8icdj","1","1","1","1","OK"
"8ice8","4","7","82","145","OK"
"8icee","2","4","4","6","OK"
"8icef","2","2","7","9","OK"
"8icfc","1","1","1","1","OK"
"8icfe","18","65","840","1182","Observation"
"8icff","6","17","194","207","Observation"
"8icfm","1","1","1","1","OK"
"8icgh","1","1","1","2","OK"
"8ich8","1","1","1","2","OK"
"8ichd","4","7","39","49","OK"
"8ichj","1","1","4","4","OK"
"8ichk","4","7","43","76","OK"
"8ichs","1","1","1","1","OK"
"8ichw","1","1","2","3","OK"
"8icia","3","5","30","41","OK"
"8icim","1","1","4","5","OK"
"8icin","8","20","267","439","OK"
"8icix","1","1","1","1","OK"
"8icoz","1","1","2","2","OK"
"8icp7","3","5","30","51","OK"
"8icq7","2","3","6","9","OK"
"8ictc","1","1","3","4","OK"
"8ictf","1","1","1","1","OK"
"8ictz","3","4","19","31","OK"
"8icu9","2","3","6","8","OK"
"8icuy","2","3","14","26","OK"
"8icv3","1","1","1","1","OK"
"8icvc","4","8","12","12","OK"
"8icwe","1","1","2","2","OK"
"8icx6","1","1","1","1","OK"
"8icxc","1","1","3","3","OK"
"8icxd","1","1","1","1","OK"
"8icxf","2","3","4","5","OK"
"8icxl","2","2","7","9","OK"
"8icyy","1","1","2","2","OK"
"8icz2","3","9","22","40","OK"
"8iczh","3","7","53","84","Fraud"
"8id02","5","15","165","260","OK"
"8id03","5","6","29","49","OK"
"8id0y","1","1","2","3","OK"
"8id0z","2","2","6","7","OK"
"8id1a","2","2","3","3","OK"
"8id2f","1","1","1","1","OK"
"8id2s","1","2","2","2","OK"
"8id2w","1","2","2","3","OK"
"8id2z","1","2","5","6","OK"
"8id56","1","1","1","1","OK"
"8id57","4","6","48","69","OK"
"8id5b","1","2","2","2","OK"
"8id5p","3","7","48","79","Fraud"
"8id6y","4","8","84","152","OK"
"8id6z","2","2","7","8","OK"
"8id7o","2","5","12","22","OK"
"8id7z","1","1","1","1","OK"
"8id89","1","1","2","2","OK"
"8id8z","1","1","1","1","OK"
"8id9y","2","2","5","6","OK"
"8ida1","6","13","141","220","OK"
"8idam","1","1","1","1","OK"
"8idbx","1","2","8","12","OK"
"8idc4","1","1","2","3","OK"
"8iddj","2","4","9","11","OK"
"8iddv","1","1","1","1","OK"
"8iddw","1","2","3","4","OK"
"8ide1","1","2","2","3","OK"
"8ide5","1","1","1","1","OK"
"8idem","1","1","2","2","OK"
"8idf6","1","1","1","1","OK"
"8idfl","1","2","2","2","OK"
"8idg8","2","2","2","2","OK"
"8idgb","1","1","1","1","OK"
"8idh3","1","1","1","1","OK"
"8idhm","4","8","47","77","Fraud"
"8idhn","2","2","4","6","OK"
"8idhp","2","4","11","19","OK"
"8idhs","1","1","2","2","OK"
"8idht","1","1","1","1","OK"
"8idhw","2","2","2","2","OK"
"8idi0","1","1","1","1","OK"
"8idi1","2","2","4","4","OK"
"8idi4","1","1","1","1","OK"
"8idi5","1","1","3","4","OK"
"8idi7","2","2","5","7","OK"
"8idib","1","1","1","1","OK"
"8idit","3","4","41","61","Fraud"
"8idmr","1","1","2","3","OK"
"8idn9","2","2","2","2","OK"
"8idnv","1","1","1","1","OK"
"8idny","1","1","1","1","OK"
"8ido2","2","4","13","18","OK"
"8idoa","3","3","5","6","OK"
"8idob","2","2","2","2","OK"
"8idoc","2","2","2","2","OK"
"8idou","2","2","3","4","OK"
"8idp1","2","2","2","2","OK"
"8idp3","1","1","1","1","OK"
"8ie57","1","1","1","1","OK"
"8ie5k","2","2","2","2","OK"
"8ie7p","1","1","1","2","OK"
"8ie82","2","2","2","2","OK"
"8ie98","2","4","7","7","OK"
"8ie9s","1","1","1","2","OK"
"8iea1","2","2","2","3","OK"
"8ieaq","2","2","5","6","OK"
"8ieaz","4","4","13","19","OK"
"8ieb4","1","2","2","2","OK"
"8iebt","1","1","1","1","OK"
"8iebx","1","1","3","4","OK"
"8ief6","1","1","3","5","OK"
"8iefb","3","4","23","33","OK"
"8iefl","3","6","40","64","OK"
"8iefo","1","1","1","1","OK"
"8iefs","1","1","1","1","OK"
"8ieg2","2","2","9","11","OK"
"8iegi","1","1","1","1","OK"
"8ieh3","1","1","3","4","OK"
"8iehk","1","2","4","5","OK"
"8ieht","28","113","2501","4237","Observation"
"8iejt","1","1","1","1","OK"
"8iel9","3","5","37","57","OK"
"8ielc","1","1","2","4","OK"
"8iem5","3","9","89","111","Fraud"
"8iemj","1","1","1","1","OK"
"8ien9","1","1","4","7","OK"
"8ieo7","1","1","2","2","OK"
"8ieol","1","1","2","3","OK"
"8ieqn","1","1","2","3","OK"
"8iequ","1","1","1","1","OK"
"8ies6","2","3","3","4","OK"
"8ies8","3","4","20","34","OK"
"8ieso","1","1","1","1","OK"
"8iet9","16","50","893","1407","OK"
"8ietw","1","1","2","3","OK"
"8ieuh","1","1","1","1","OK"
"8iev9","1","1","1","1","OK"
"8ievj","1","2","12","12","OK"
"8ievt","3","3","4","5","OK"
"8ievz","5","15","82","136","Fraud"
"8iex1","7","7","19","19","OK"
"8iex9","6","12","199","332","OK"
"8iexi","1","1","3","4","OK"
"8iext","1","1","3","4","OK"
"8if13","4","9","13","13","OK"
"8if2b","1","1","2","2","OK"
"8if3m","2","3","5","6","OK"
"8if4w","1","1","1","1","OK"
"8if5c","1","1","1","1","OK"
"8if5p","2","3","25","25","OK"
"8if6n","1","1","1","1","OK"
"8if7b","1","1","1","1","OK"
"8if9o","18","61","792","1089","Fraud"
"8ifa1","37","150","3273","5159","Observation"
"8ifan","2","2","7","9","OK"
"8ifcw","5","8","61","110","Fraud"
"8ifem","1","1","1","1","OK"
"8iff5","2","2","4","4","OK"
"8iff6","1","1","1","1","OK"
"8iffk","3","5","26","39","OK"
"8ifg0","1","1","1","1","OK"
"8ifg9","1","1","3","3","OK"
"8ifgn","1","2","3","3","OK"
"8ifik","2","4","15","21","OK"
"8ifm5","1","1","1","1","OK"
"8ifma","3","4","16","23","OK"
"8ifmk","1","1","1","1","OK"
"8ifna","1","1","1","2","OK"
"8ifnd","1","1","1","1","OK"
"8ifog","3","7","13","19","OK"
"8ifov","1","2","5","7","OK"
"8ifqc","2","3","10","15","OK"
"8ifqi","7","17","188","314","Fraud"
"8ifqk","7","11","26","37","OK"
"8ifvn","1","1","1","1","OK"
"8ifwd","1","1","2","2","OK"
"8ifzw","1","1","2","2","OK"
"8ig0z","1","1","1","1","OK"
"8ig13","2","4","15","18","OK"
"8ig4x","1","1","2","2","OK"
"8ig5c","1","1","1","2","OK"
"8ig76","3","4","16","29","OK"
"8ig8i","3","4","6","11","OK"
"8igb7","1","1","6","8","OK"
"8igbs","1","1","3","4","OK"
"8igbt","1","1","3","4","OK"
"8igbu","1","2","3","4","OK"
"8igc1","3","4","6","6","OK"
"8igcb","1","2","3","3","OK"
"8igdb","1","1","1","2","OK"
"8igdp","1","1","1","1","OK"
"8igem","2","3","4","4","OK"
"8igew","1","1","1","2","OK"
"8igfs","2","2","10","10","OK"
"8igh8","1","1","2","3","OK"
"8igih","1","1","1","2","OK"
"8igj2","2","2","6","9","OK"
"8igji","1","3","7","7","OK"
"8igkk","1","1","1","1","OK"
"8igkp","1","1","5","5","OK"
"8igl1","3","4","6","9","OK"
"8igl7","2","2","2","2","OK"
"8iglk","3","6","10","10","OK"
"8igm1","1","1","1","1","OK"
"8igm8","3","4","8","8","OK"
"8igmr","2","2","6","7","OK"
"8ign1","1","1","1","1","OK"
"8ignc","1","2","2","2","OK"
"8igne","1","1","1","2","OK"
"8igo3","2","2","4","4","OK"
"8igo7","3","3","20","38","OK"
"8igox","1","2","3","4","OK"
"8igpd","3","3","4","4","OK"
"8igpr","1","1","1","2","OK"
"8igql","2","4","6","8","OK"
"8igqx","1","1","2","2","OK"
"8igr1","1","1","1","1","OK"
"8igsh","1","1","1","1","OK"
"8igsi","1","1","3","3","OK"
"8igts","1","1","1","2","OK"
"8igv1","2","2","9","9","OK"
"8igvd","1","2","2","2","OK"
"8igy3","2","2","4","4","OK"
"8igyy","6","10","132","249","Observation"
"8igz8","3","3","4","4","OK"
"8igzo","1","1","1","2","OK"
"8igzs","1","1","1","2","OK"
"8igzy","1","1","1","2","OK"
"8igzz","1","1","1","1","OK"
"8ih09","3","7","73","81","Fraud"
"8ih1h","2","2","5","5","OK"
"8ih1j","1","1","1","1","OK"
"8ih20","1","1","4","6","OK"
"8ih2n","2","4","10","17","OK"
"8ih3o","1","2","2","2","OK"
"8ih4k","1","2","3","3","OK"
"8ih6i","1","1","1","1","OK"
"8iha2","5","8","105","169","Observation"
"8ihab","1","1","3","3","OK"
"8ihac","1","1","1","1","OK"
"8ihaj","1","2","3","4","OK"
"8ihba","4","7","121","154","Observation"
"8ihbr","1","1","1","1","OK"
"8ihbx","10","25","468","757","OK"
"8ihc4","5","16","106","170","OK"
"8ihcj","1","1","1","1","OK"
"8ihck","1","1","4","6","OK"
"8ihcm","1","2","2","2","OK"
"8ihct","1","1","1","1","OK"
"8ihcu","1","1","2","4","OK"
"8ihd5","1","1","2","3","OK"
"8ihdv","2","3","7","8","OK"
"8ihe5","4","7","59","72","OK"
"8ihhk","1","1","1","1","OK"
"8ihij","1","1","2","2","OK"
"8ihik","2","4","15","18","OK"
"8ihk7","7","19","362","573","Observation"
"8ihkj","1","1","1","1","OK"
"8ihkt","2","3","26","35","OK"
"8ihl1","1","1","1","1","Fraud"
"8ihl9","2","4","38","54","OK"
"8ihlr","2","4","5","8","OK"
"8ihn7","1","2","8","10","OK"
"8ihna","3","4","16","26","OK"
"8ihnk","1","2","4","4","OK"
"8ihot","1","1","2","2","OK"
"8ihpi","190","842","12979","20936","OK"
"8ihqx","2","4","18","26","OK"
"8ihrz","1","2","6","7","OK"
"8ihs5","1","1","4","6","OK"
"8ihsd","4","10","17","22","OK"
"8ihsp","3","3","7","12","OK"
"8ihth","1","3","4","7","OK"
"8ihtk","1","1","1","1","OK"
"8ihtv","3","6","12","14","OK"
"8ihue","1","1","2","2","OK"
"8ihuk","1","1","2","2","OK"
"8ihup","4","5","33","49","OK"
"8ihuv","1","1","1","1","OK"
"8ihuy","1","1","2","2","OK"
"8ihv1","4","4","11","15","OK"
"8ihvb","1","1","1","1","OK"
"8ihwi","1","1","1","1","OK"
"8ihwm","1","2","2","2","OK"
"8ihxc","1","1","1","1","OK"
"8ihxl","1","1","1","1","OK"
"8ihxp","1","1","1","1","OK"
"8ihxy","1","1","1","1","OK"
"8ihy6","1","1","1","1","OK"
"8ihyb","1","1","2","2","OK"
"8ihyi","1","1","1","1","OK"
"8ihz5","1","1","3","3","OK"
"8ihzv","1","1","1","1","OK"
"8ihzw","1","1","2","3","OK"
"8ihzy","4","8","103","112","OK"
"8ii07","1","2","4","4","OK"
"8ii0g","3","6","19","34","OK"
"8ii0i","3","4","12","24","OK"
"8ii0k","9","22","24","24","OK"
"8ii11","5","14","50","87","OK"
"8ii14","2","3","4","6","OK"
"8ii1p","1","1","2","2","OK"
"8ii1r","3","6","47","66","OK"
"8ii26","3","5","56","86","OK"
"8ii2b","5","12","69","118","OK"
"8ii2l","1","1","2","2","OK"
"8ii2n","1","1","1","1","OK"
"8ii3a","3","6","26","40","OK"
"8ii4l","2","2","3","3","OK"
"8ii4n","1","1","1","1","OK"
"8ii4y","1","1","1","1","OK"
"8ii58","2","4","8","13","OK"
"8ii5a","1","3","5","6","OK"
"8ii5u","1","1","1","1","OK"
"8ii6o","2","2","2","4","OK"
"8ii7u","2","9","81","81","OK"
"8ii9a","3","3","34","49","OK"
"8iiai","1","1","1","1","OK"
"8iiby","1","1","1","2","OK"
"8iic8","2","2","2","2","OK"
"8iicn","1","1","1","1","OK"
"8iid3","4","8","101","128","OK"
"8iid4","25","81","1079","1474","Fraud"
"8iidh","3","4","6","7","OK"
"8iidk","23","45","246","270","OK"
"8iidm","6","14","175","313","OK"
