"partnerid","TimeatVariance1Min","TimeatVariance5Min","TimeatVariance3Hr","TimeatVariance6Hr","status"
"8i8fn","0.11","0.14","0.39","0.76","OK"
"8i8fq","0.15","0.25","8.09","30.79","OK"
"8i8ft","0.03","0.03","3.50","9.28","OK"
"8i8g3","0.00","0.00","0.00","0.00","OK"
"8i8go","0.27","1.80","74.62","273.14","Observation"
"8i8gu","0.00","0.00","0.00","0.00","OK"
"8i8gx","0.00","0.00","0.00","0.00","OK"
"8i8gz","0.00","0.00","0.00","0.00","OK"
"8i8h2","0.00","0.00","0.00","0.00","OK"
"8i8h7","0.32","1.03","162.56","487.41","Fraud"
"8i8hw","0.00","0.12","0.24","0.24","OK"
"8i8ih","0.00","0.00","0.00","0.00","OK"
"8i8is","0.09","0.42","41.09","125.19","OK"
"8i8iv","0.10","0.15","1.06","3.87","OK"
"8i8j2","0.02","0.06","1.95","6.02","OK"
"8i8jl","0.00","0.00","0.00","0.00","OK"
"8i8k3","0.00","0.00","0.48","0.48","OK"
"8i8kg","0.00","0.00","0.00","0.00","OK"
"8i8ku","0.00","0.00","0.14","0.64","OK"
"8i8le","0.00","0.06","0.84","1.92","OK"
"8i8lx","0.00","0.00","0.00","0.00","OK"
"8i8m6","0.12","0.59","116.40","332.02","OK"
"8i8mq","0.00","0.00","0.00","0.00","OK"
"8i8mr","0.00","0.00","0.00","0.00","OK"
"8i8n6","0.00","0.11","0.25","0.25","OK"
"8i8no","0.09","0.38","23.98","29.65","OK"
"8i8nq","0.00","0.00","0.00","0.00","OK"
"8i8nr","0.21","1.50","545.92","1236.06","OK"
"8i8oh","0.00","0.00","0.00","0.00","OK"
"8i8p1","0.00","0.13","2.56","2.94","OK"
"8i8pz","0.00","0.00","0.00","0.00","OK"
"8i8q4","0.17","0.31","18.21","21.63","OK"
"8i8qk","0.00","0.19","0.89","0.89","OK"
"8i8qn","0.00","0.00","0.00","0.00","OK"
"8i8rs","0.00","0.00","0.00","0.00","OK"
"8i8s9","0.00","0.00","0.00","0.00","OK"
"8i8t2","0.00","0.00","0.00","0.00","OK"
"8i8tt","0.02","0.17","22.47","55.39","Observation"
"8i8tw","0.00","0.00","0.00","0.25","OK"
"8i8u1","0.00","0.00","0.00","0.00","OK"
"8i8u7","0.00","0.00","0.00","0.00","OK"
"8i8u8","0.10","0.28","12.41","30.75","OK"
"8i8ub","0.04","0.14","3.02","4.89","OK"
"8i8ui","0.00","0.11","0.25","0.25","OK"
"8i8wd","0.00","0.14","0.69","0.69","OK"
"8i8xq","0.00","0.12","138.06","577.10","OK"
"8i8ye","1.71","16.29","8649.20","30781.30","OK"
"8i8yi","0.16","0.22","0.22","1.06","OK"
"8i8yn","0.13","0.29","2.56","5.33","OK"
"8i8yu","0.08","0.46","4.20","12.56","OK"
"8i8z4","0.07","0.34","13.95","42.86","OK"
"8i8zd","0.00","0.00","0.22","0.22","OK"
"8i8ze","0.03","0.28","9.15","18.72","OK"
"8i8zi","0.06","0.25","1.01","1.86","OK"
"8i903","0.06","0.43","12.06","21.25","OK"
"8i90i","0.00","0.00","0.00","0.00","OK"
"8i90k","0.35","2.93","998.40","3783.44","Fraud"
"8i90m","0.19","1.49","512.32","1617.29","OK"
"8i91i","2.38","27.47","17187.12","74120.59","OK"
"8i922","6.03","82.98","65523.50","270184.53","OK"
"8i92t","3.56","53.08","53067.62","210443.76","OK"
"8i92u","0.00","0.00","0.00","0.00","OK"
"8i930","0.12","0.91","221.68","644.53","Observation"
"8i932","0.00","0.00","0.19","0.19","OK"
"8i936","0.19","1.70","348.93","1118.85","OK"
"8i93o","0.00","0.13","2.91","3.84","OK"
"8i93q","0.09","0.50","126.60","428.38","OK"
"8i941","0.05","0.18","12.82","38.31","OK"
"8i949","0.12","0.85","101.88","269.78","OK"
"8i94e","0.00","0.00","0.00","0.00","OK"
"8i94n","0.00","0.00","0.00","0.00","OK"
"8i94y","0.05","0.13","4.85","12.24","OK"
"8i95z","0.01","0.09","3.54","13.17","OK"
"8i969","0.11","0.70","90.75","249.48","OK"
"8i96u","0.01","0.10","4.24","7.16","OK"
"8i96x","0.07","0.07","0.38","0.94","OK"
"8i98h","0.19","0.89","0.89","0.89","OK"
"8i99h","0.00","0.06","2.16","4.67","OK"
"8i9a2","0.00","0.00","0.00","0.00","OK"
"8i9at","0.00","0.19","0.25","0.44","OK"
"8i9aw","0.14","0.77","199.92","410.40","OK"
"8i9b4","0.00","0.00","0.16","0.25","OK"
"8i9bj","0.06","0.06","4.22","4.22","OK"
"8i9bm","0.17","1.12","229.84","396.09","OK"
"8i9bs","0.00","0.00","0.24","0.50","OK"
"8i9bw","0.12","0.12","0.60","0.85","OK"
"8i9bx","0.07","0.07","0.20","0.47","OK"
"8i9cn","0.04","0.23","5.61","17.87","OK"
"8i9co","0.03","0.13","1.28","1.69","OK"
"8i9cr","0.04","0.11","1.44","3.36","OK"
"8i9d0","0.19","0.19","0.19","0.19","OK"
"8i9d1","0.00","0.00","0.00","0.00","OK"
"8i9d5","0.04","0.08","3.75","8.07","OK"
"8i9da","0.24","2.09","309.25","560.45","OK"
"8i9db","0.00","0.00","0.00","0.00","OK"
"8i9dg","0.00","0.00","0.00","0.00","OK"
"8i9dp","0.00","0.00","0.00","0.00","OK"
"8i9dv","0.12","0.50","2.09","3.81","OK"
"8i9e1","0.00","0.00","0.00","0.00","OK"
"8i9e9","0.14","0.38","12.63","33.56","OK"
"8i9ed","0.00","0.00","0.00","0.00","OK"
"8i9eg","0.00","0.00","0.00","0.00","OK"
"8i9eq","0.00","0.00","0.00","0.00","OK"
"8i9f0","0.00","0.00","0.00","0.00","OK"
"8i9fl","0.00","0.00","0.19","0.22","OK"
"8i9fv","0.00","0.00","0.00","0.00","OK"
"8i9g2","0.02","0.06","2.57","5.74","OK"
"8i9gl","0.00","0.00","0.22","1.00","OK"
"8i9h8","0.00","0.00","0.00","0.00","OK"
"8i9hj","0.00","0.00","0.00","0.00","OK"
"8i9hm","0.04","0.16","5.17","10.21","OK"
"8i9hn","0.04","0.04","0.47","1.02","OK"
"8i9ht","0.21","1.48","468.43","1522.25","OK"
"8i9hu","0.47","4.86","2107.37","5393.29","OK"
"8i9hw","0.00","0.00","0.00","0.00","OK"
"8i9hx","0.51","6.21","2638.34","8530.13","OK"
"8i9hz","0.00","0.00","0.00","0.00","OK"
"8i9i1","0.63","6.05","4124.37","11774.84","OK"
"8i9i3","1.48","18.73","14422.12","47723.21","OK"
"8i9i4","0.04","0.35","24.19","98.67","OK"
"8i9i5","0.28","1.94","1134.90","3636.13","Observation"
"8i9i7","0.04","0.21","30.04","64.18","OK"
"8i9i9","0.11","0.73","110.25","0.00","OK"
"8i9ia","0.40","3.89","2623.24","9346.12","OK"
"8i9ib","0.00","0.17","18.64","20.19","OK"
"8i9ic","0.18","1.57","306.98","928.24","OK"
"8i9id","0.07","0.23","33.69","112.85","OK"
"8i9ie","0.19","1.42","260.19","156.25","OK"
"8i9ig","0.22","1.60","577.43","2035.46","OK"
"8i9ih","0.03","0.28","42.44","156.81","OK"
"8i9ii","0.37","3.08","1777.02","6761.30","Observation"
"8i9ij","0.28","1.83","0.00","0.00","OK"
"8i9ik","0.22","1.42","293.69","889.14","OK"
"8i9im","0.09","0.61","227.72","795.60","OK"
"8i9in","0.64","6.38","5256.99","17795.85","OK"
"8i9ip","0.00","0.00","0.00","0.19","OK"
"8i9j4","1.22","16.31","10302.83","29646.37","OK"
"8i9j6","18.58","395.05","419754.25","999999.99","Observation"
"8i9jf","0.00","0.00","0.00","0.00","OK"
"8i9jg","0.61","5.46","3451.22","9814.22","OK"
"8i9ji","0.05","0.66","2.69","2.73","OK"
"8i9jj","4.60","82.05","12421.72","18876.44","OK"
"8i9jr","0.00","0.00","0.00","0.00","OK"
"8i9kq","0.06","0.50","19.26","51.51","OK"
"8i9ky","0.00","0.00","0.00","0.00","OK"
"8i9nd","0.00","0.00","0.00","0.25","OK"
"8i9ng","0.00","0.07","1.94","3.22","OK"
"8i9np","0.26","0.60","30.03","50.31","OK"
"8i9os","0.00","0.00","0.00","0.00","OK"
"8i9ot","0.00","0.60","293.87","1792.59","OK"
"8i9p1","0.00","0.00","0.12","0.12","OK"
"8i9p3","0.00","0.00","1.10","1.10","OK"
"8i9p4","0.00","0.19","0.19","0.19","OK"
"8i9p7","0.00","0.03","2.46","9.44","OK"
"8i9p8","0.00","0.04","0.50","0.99","OK"
"8i9pt","0.00","0.00","0.00","0.00","OK"
"8i9q6","0.00","0.00","0.16","0.75","OK"
"8i9ql","1.31","15.47","10923.16","31533.87","OK"
"8i9qu","0.09","0.31","7.09","12.67","OK"
"8i9s9","0.12","0.64","43.67","120.39","OK"
"8i9sm","0.00","0.04","0.64","0.99","OK"
"8i9t0","0.00","0.00","0.00","0.00","OK"
"8i9tt","0.00","0.05","2.23","7.64","OK"
"8i9u6","0.00","0.00","0.00","0.19","OK"
"8i9vn","0.27","1.39","253.13","866.99","OK"
"8i9ws","0.22","1.97","744.91","2341.35","Fraud"
"8i9xb","0.00","0.05","5.76","6.58","OK"
"8i9z5","0.02","0.05","3.17","10.33","OK"
"8i9z6","0.12","0.12","0.22","0.64","OK"
"8i9z7","0.00","0.00","0.00","0.00","OK"
"8i9zb","0.02","0.11","2.10","3.23","OK"
"8i9zp","0.16","0.97","119.54","345.10","OK"
"8i9zy","0.00","0.00","0.17","1.10","OK"
"8ia0j","0.07","0.07","2.79","2.79","OK"
"8ia0n","0.00","0.00","1.60","2.50","OK"
"8ia11","0.04","0.08","0.74","1.51","OK"
"8ia16","0.04","0.18","12.06","39.51","OK"
"8ia19","0.00","0.00","0.19","0.19","OK"
"8ia1e","0.00","0.00","0.20","0.58","OK"
"8ia25","0.00","0.00","0.00","0.00","OK"
"8ia51","0.17","0.48","2.14","2.14","OK"
"8ia54","0.00","0.00","0.00","0.00","OK"
"8ia62","0.00","0.00","0.00","0.22","OK"
"8ia6z","0.00","0.11","2.47","7.09","OK"
"8ia7h","0.04","0.15","4.03","7.81","OK"
"8ia7p","0.00","0.07","2.80","5.58","OK"
"8ia7z","0.00","0.00","0.00","0.19","OK"
"8ia80","0.41","2.79","1693.50","6641.84","OK"
"8ia8k","0.00","0.00","0.00","0.00","OK"
"8ia8u","0.01","0.09","10.51","27.08","OK"
"8ia99","0.00","0.00","0.22","0.22","OK"
"8ia9b","0.05","0.12","7.67","11.80","OK"
"8ia9d","0.00","0.00","0.00","0.00","OK"
"8ia9m","0.04","0.21","22.06","61.64","OK"
"8ia9n","0.00","0.00","0.00","0.00","OK"
"8iaa6","0.00","0.00","0.00","0.00","OK"
"8iaar","0.05","0.05","0.34","1.17","OK"
"8iaay","0.05","0.17","7.98","14.52","OK"
"8iaaz","0.06","0.35","5.33","7.04","OK"
"8iab9","0.02","0.15","19.13","41.33","OK"
"8iabd","0.02","0.07","3.28","10.50","OK"
"8iabk","0.22","1.44","1.44","1.44","OK"
"8iabp","0.06","0.10","3.55","9.35","OK"
"8iac5","0.00","0.00","0.00","0.00","OK"
"8iac6","0.14","0.56","67.08","218.44","OK"
"8iact","0.09","0.48","1.10","2.69","OK"
"8iadk","0.04","0.24","35.69","90.56","OK"
"8iadn","0.00","0.00","0.00","0.00","OK"
"8iadr","8.42","128.59","61971.06","207132.24","Observation"
"8iadt","0.38","3.67","1107.56","4300.06","OK"
"8iae2","0.00","0.00","0.00","0.00","OK"
"8iae4","0.00","0.00","0.00","0.00","OK"
"8iaeq","0.00","0.00","0.00","0.00","OK"
"8iafg","0.03","0.27","6.42","12.41","OK"
"8iafi","0.09","0.58","95.80","387.73","OK"
"8iagk","0.21","0.50","10.86","26.60","OK"
"8iagn","0.00","0.00","0.00","0.00","OK"
"8iagp","0.38","0.38","0.69","1.14","OK"
"8iagv","0.06","0.06","1.75","3.65","OK"
"8iah0","0.07","0.69","0.89","1.61","OK"
"8iaim","0.00","0.00","0.00","0.00","OK"
"8iaj2","0.05","0.34","36.69","143.94","OK"
"8iajv","0.00","0.00","0.00","0.00","OK"
"8iak0","0.06","0.19","8.46","11.94","OK"
"8iaks","0.00","0.24","3.56","3.56","OK"
"8ial7","0.00","0.00","0.00","0.00","OK"
"8ialk","0.00","0.00","0.00","0.00","OK"
"8ialy","0.15","0.84","71.24","167.15","OK"
"8iam0","0.00","0.00","0.91","2.12","OK"
"8iam4","0.00","0.00","0.09","0.23","OK"
"8iamd","4.39","57.47","39564.76","136006.21","Observation"
"8iaml","0.00","0.00","0.16","0.16","OK"
"8iaob","0.00","0.00","0.00","0.00","OK"
"8iaps","0.00","0.00","0.00","0.00","OK"
"8iaqk","0.00","0.00","0.00","0.00","OK"
"8iaqp","0.04","0.08","0.74","1.73","OK"
"8iaqy","0.00","0.00","0.25","0.25","OK"
"8iar6","0.00","0.00","0.24","0.19","OK"
"8iark","0.00","0.05","0.47","1.36","OK"
"8iaru","0.08","0.51","3.75","9.96","OK"
"8iasq","0.07","0.07","0.91","2.22","OK"
"8iasz","0.24","2.28","915.26","2834.21","Observation"
"8iata","0.06","0.34","24.97","76.22","OK"
"8iatv","0.24","1.01","37.09","134.62","OK"
"8iau4","0.00","0.02","1.20","2.56","OK"
"8iau5","0.00","0.04","1.15","1.73","OK"
"8iau7","0.00","0.06","1.47","4.09","OK"
"8iauu","3.59","53.83","40009.92","150310.02","OK"
"8iavq","1.91","30.46","8372.07","20683.47","OK"
"8iavx","0.26","1.35","218.81","269.84","OK"
"8iawe","0.00","0.00","0.00","0.00","OK"
"8iawh","0.04","0.15","0.88","2.45","OK"
"8iaxa","0.00","0.00","0.00","0.00","OK"
"8iaxj","28.73","459.21","374597.67","999999.99","Fraud"
"8iayy","0.00","0.00","0.00","0.00","OK"
"8iazm","0.11","0.68","142.03","493.93","OK"
"8ib0l","0.08","0.54","111.41","326.64","OK"
"8ib0m","0.00","0.00","0.00","0.00","OK"
"8ib12","0.05","0.07","0.95","1.75","OK"
"8ib14","0.16","0.75","0.75","0.75","OK"
"8ib16","0.07","0.43","37.76","96.64","OK"
"8ib1i","0.00","0.00","0.00","0.00","OK"
"8ib1j","0.00","0.00","0.00","0.00","OK"
"8ib1t","0.00","0.00","0.41","0.73","OK"
"8ib1v","0.00","0.00","0.00","0.00","OK"
"8ib1x","0.00","0.00","0.00","0.00","OK"
"8ib25","0.00","0.04","0.44","1.44","OK"
"8ib26","0.00","0.00","0.09","0.48","OK"
"8ib2d","0.00","0.00","0.00","0.00","OK"
"8ib2w","0.15","0.21","1.00","2.44","OK"
"8ib34","0.00","0.00","0.00","0.25","OK"
"8ib46","0.00","0.00","0.00","0.00","OK"
"8ib4v","0.00","0.00","0.25","0.25","OK"
"8ib4y","0.00","0.10","1.43","5.81","OK"
"8ib4z","0.10","0.64","97.75","350.70","OK"
"8ib56","0.52","4.62","2442.24","8611.36","OK"
"8ib5i","0.41","3.81","1300.39","4103.41","OK"
"8ib63","0.00","0.00","0.22","0.22","OK"
"8ib6f","0.00","0.19","0.89","2.25","OK"
"8ib6i","0.00","0.00","0.16","0.75","OK"
"8ib6x","0.09","0.54","46.69","139.92","OK"
"8ib7h","0.09","0.15","4.35","7.01","OK"
"8ib7i","0.00","0.00","0.00","0.00","OK"
"8ib9m","0.00","0.00","0.00","0.00","OK"
"8ib9o","0.25","0.00","0.00","0.00","OK"
"8ib9v","0.00","0.00","0.00","0.00","OK"
"8ibah","0.34","2.46","760.13","3305.10","OK"
"8ibam","0.00","0.00","0.00","0.00","OK"
"8ibay","0.00","0.00","0.00","0.00","OK"
"8ibbr","0.04","0.13","3.35","4.33","OK"
"8ibbv","0.00","0.00","0.00","0.00","OK"
"8ibcb","0.00","0.00","0.00","0.00","OK"
"8ibcv","0.01","0.11","3.45","6.08","OK"
"8ibdg","0.06","0.27","21.67","58.39","OK"
"8ibdl","0.10","0.24","0.80","0.80","OK"
"8ibdm","0.86","7.58","3595.45","13237.36","OK"
"8iber","0.00","0.00","0.00","0.00","OK"
"8ibf5","0.00","0.00","0.00","0.00","OK"
"8ibfa","0.00","0.00","0.00","0.00","OK"
"8ibg2","0.05","0.05","0.52","1.58","OK"
"8ibg6","0.00","0.00","0.00","0.00","OK"
"8ibgj","0.00","0.00","0.11","0.58","OK"
"8ibgo","0.00","0.00","0.19","0.89","OK"
"8ibgx","0.00","0.04","2.42","6.07","OK"
"8ibhn","0.00","0.00","0.14","0.14","OK"
"8ibid","0.00","0.00","0.11","0.20","OK"
"8ibiw","0.11","0.20","1.19","2.00","OK"
"8ibjf","0.06","0.31","51.59","166.13","OK"
"8ibjo","0.04","0.24","15.63","44.42","OK"
"8ibke","0.00","0.00","0.00","0.00","OK"
"8ibkr","0.58","4.84","385.50","1099.16","Fraud"
"8ibl1","0.00","0.00","0.00","0.00","OK"
"8ibmd","0.00","0.00","0.00","0.00","OK"
"8ibmq","0.00","0.00","0.00","0.00","OK"
"8ibmx","0.00","0.00","0.24","0.24","OK"
"8ibn2","0.00","0.00","0.00","0.00","OK"
"8ibnz","0.00","0.00","0.00","0.00","OK"
"8ibo7","0.00","0.00","0.00","0.00","OK"
"8ibop","0.00","0.00","0.14","0.64","OK"
"8ibp0","0.14","0.18","14.22","37.92","OK"
"8ibp7","0.00","0.00","0.00","0.00","OK"
"8ibp9","0.35","1.25","3.19","3.96","OK"
"8ibpi","0.00","0.00","0.00","0.00","OK"
"8ibr7","0.00","0.00","0.00","0.00","OK"
"8ibt9","0.00","0.03","0.73","2.19","OK"
"8ibtd","0.00","0.00","0.00","0.00","OK"
"8ibub","0.00","0.00","0.00","0.00","OK"
"8ibug","0.12","0.70","23.17","33.17","OK"
"8ibum","0.12","0.48","11.81","27.78","OK"
"8ibup","0.15","0.80","130.63","406.86","OK"
"8ibv4","0.54","5.89","4457.54","16472.21","OK"
"8ibw8","0.34","1.78","461.68","1319.41","OK"
"8ibxb","0.03","0.14","8.69","24.41","OK"
"8ic07","0.04","0.22","5.07","9.44","OK"
"8ic0m","0.24","1.57","421.43","1798.77","OK"
"8ic0y","0.04","0.11","2.65","11.81","OK"
"8ic1s","0.00","0.00","0.64","0.62","OK"
"8ic1t","0.04","0.10","10.26","18.53","OK"
"8ic1x","0.00","0.00","0.00","0.00","OK"
"8ic26","0.19","1.24","222.46","886.64","OK"
"8ic2e","0.00","0.25","0.25","0.25","OK"
"8ic2q","0.00","0.00","0.25","0.25","OK"
"8ic3a","0.00","0.06","0.25","1.11","OK"
"8ic3g","0.00","0.00","0.00","0.00","OK"
"8ic3o","0.02","0.05","5.30","11.76","OK"
"8ic3r","0.00","0.00","0.00","0.00","OK"
"8ic3w","0.00","0.00","0.00","0.00","OK"
"8ic46","0.03","0.06","1.40","1.42","OK"
"8ic4i","0.08","0.28","1.54","3.14","OK"
"8ic4v","0.20","1.40","331.08","1249.94","OK"
"8ic50","0.00","0.00","0.00","0.00","OK"
"8ic51","0.00","0.00","0.25","0.67","OK"
"8ic55","0.00","0.00","0.00","0.00","OK"
"8ic56","0.75","7.27","3559.33","12216.07","OK"
"8ic59","0.00","0.00","0.00","0.00","OK"
"8ic5b","0.00","0.00","0.17","0.17","OK"
"8ic6b","0.03","0.19","2.80","8.74","OK"
"8ic6d","0.00","0.00","0.20","0.25","OK"
"8ic6r","0.00","0.00","0.00","0.00","OK"
"8ic78","0.00","0.00","0.00","0.00","OK"
"8ic7z","0.00","0.00","0.00","0.00","OK"
"8ic8g","0.00","0.00","0.00","0.16","OK"
"8ic9a","0.00","0.19","0.19","0.19","OK"
"8ic9l","0.04","0.04","0.75","1.50","OK"
"8ic9r","0.00","0.00","0.00","0.00","OK"
"8ica0","2.00","3.04","7.96","7.96","OK"
"8icam","0.00","0.00","0.24","1.11","OK"
"8icaw","0.00","0.11","1.92","4.26","OK"
"8icb3","0.00","0.00","0.22","0.00","OK"
"8icb9","0.00","0.00","0.00","0.00","OK"
"8icbb","0.04","0.21","1.30","4.62","OK"
"8iccd","0.03","0.14","8.12","34.02","OK"
"8iccn","0.01","0.08","8.05","27.75","OK"
"8icdb","0.09","0.33","57.72","207.55","OK"
"8icdj","0.00","0.00","0.00","0.00","OK"
"8ice8","0.17","1.15","351.26","1455.48","OK"
"8icee","0.08","0.42","0.81","1.84","OK"
"8icef","0.04","0.07","2.16","6.39","OK"
"8icfc","0.00","0.00","0.00","0.00","OK"
"8icfe","9.42","144.01","55182.04","140866.22","Observation"
"8icff","0.51","4.84","1614.92","3236.70","Observation"
"8icfm","0.00","0.00","0.00","0.00","OK"
"8icgh","0.00","0.00","0.00","0.00","OK"
"8ich8","0.00","0.00","0.00","0.00","OK"
"8ichd","0.09","0.47","61.89","147.48","OK"
"8ichj","0.00","0.00","1.44","1.50","OK"
"8ichk","0.16","0.86","110.72","420.33","OK"
"8ichs","0.00","0.00","0.00","0.00","OK"
"8ichw","0.00","0.00","0.17","0.81","OK"
"8icia","0.12","0.45","37.29","114.21","OK"
"8icim","0.00","0.00","0.98","2.14","OK"
"8icin","0.73","7.86","5678.28","20053.47","OK"
"8icix","0.00","0.00","0.00","0.00","OK"
"8icoz","0.00","0.00","0.25","0.25","OK"
"8icp7","0.11","0.46","48.42","175.63","OK"
"8icq7","0.12","0.31","4.14","11.69","OK"
"8ictc","0.00","0.00","0.56","1.06","OK"
"8ictf","0.00","0.00","0.00","0.00","OK"
"8ictz","0.09","0.25","15.64","51.24","OK"
"8icu9","0.08","0.41","2.41","4.20","OK"
"8icuy","0.02","0.15","14.80","53.75","OK"
"8icv3","0.00","0.00","0.00","0.00","OK"
"8icvc","0.81","2.44","10.04","12.20","OK"
"8icwe","0.00","0.00","0.12","0.24","OK"
"8icx6","0.00","0.00","0.00","0.00","OK"
"8icxc","0.00","0.00","0.49","0.56","OK"
"8icxd","0.00","0.00","0.00","0.00","OK"
"8icxf","0.22","0.64","1.50","1.00","OK"
"8icxl","0.03","0.07","2.14","4.39","OK"
"8icyy","0.00","0.00","0.22","0.25","OK"
"8icz2","0.09","0.64","27.53","50.02","OK"
"8iczh","0.12","0.75","106.41","425.48","Fraud"
"8id02","0.36","3.22","1304.33","4112.18","OK"
"8id03","0.13","0.42","50.84","163.69","OK"
"8id0y","0.00","0.00","0.10","0.53","OK"
"8id0z","0.02","0.04","1.50","2.15","OK"
"8id1a","0.11","0.20","0.58","0.69","OK"
"8id2f","0.00","0.00","0.00","0.00","OK"
"8id2s","0.00","0.00","0.00","0.00","OK"
"8id2w","0.00","0.09","0.23","0.53","OK"
"8id2z","0.00","0.03","1.65","4.45","OK"
"8id56","0.00","0.00","0.00","0.00","OK"
"8id57","0.13","0.70","117.42","306.90","OK"
"8id5b","0.00","0.25","0.25","0.25","OK"
"8id5p","0.12","0.87","81.29","309.36","Fraud"
"8id6y","0.24","1.44","372.35","1431.75","OK"
"8id6z","0.05","0.15","3.43","6.16","OK"
"8id7o","0.02","0.25","8.51","23.24","OK"
"8id7z","0.00","0.00","0.00","0.00","OK"
"8id89","0.00","0.00","0.22","0.22","OK"
"8id8z","0.00","0.00","0.00","0.00","OK"
"8id9y","0.03","0.06","1.60","1.69","OK"
"8ida1","0.37","2.79","754.11","2974.49","OK"
"8idam","0.00","0.00","0.00","0.00","OK"
"8idbx","0.00","0.07","5.06","11.79","OK"
"8idc4","0.00","0.00","0.17","0.81","OK"
"8iddj","0.25","0.56","3.96","7.80","OK"
"8iddv","0.00","0.00","0.00","0.00","OK"
"8iddw","0.00","0.07","0.67","1.11","OK"
"8ide1","0.00","0.10","0.19","0.56","OK"
"8ide5","0.00","0.00","0.00","0.00","OK"
"8idem","0.00","0.00","0.22","0.22","OK"
"8idf6","0.00","0.00","0.00","0.00","OK"
"8idfl","0.00","0.16","0.16","0.00","OK"
"8idg8","0.00","0.00","0.00","0.00","OK"
"8idgb","0.00","0.00","0.00","0.00","OK"
"8idh3","0.00","0.00","0.00","0.00","OK"
"8idhm","0.13","0.67","138.68","523.30","Fraud"
"8idhn","0.04","0.09","0.64","2.25","OK"
"8idhp","0.13","0.26","9.04","28.54","OK"
"8idhs","0.00","0.00","0.14","0.14","OK"
"8idht","0.00","0.00","0.00","0.00","OK"
"8idhw","0.00","0.00","0.00","0.00","OK"
"8idi0","0.00","0.00","0.00","0.00","OK"
"8idi1","0.12","0.12","0.75","1.22","OK"
"8idi4","0.00","0.00","0.00","0.00","OK"
"8idi5","0.00","0.00","0.53","1.36","OK"
"8idi7","0.06","0.06","1.82","3.44","OK"
"8idib","0.00","0.00","0.00","0.00","OK"
"8idit","0.12","0.40","68.03","221.36","Fraud"
"8idmr","0.00","0.00","0.25","0.67","OK"
"8idn9","0.10","0.10","0.10","0.10","OK"
"8idnv","0.00","0.00","0.00","0.00","OK"
"8idny","0.00","0.00","0.00","0.00","OK"
"8ido2","0.03","0.42","12.49","35.14","OK"
"8idoa","0.33","0.33","1.44","2.49","OK"
"8idob","0.25","0.25","0.25","0.25","OK"
"8idoc","0.19","0.19","0.22","0.22","OK"
"8idou","0.08","0.08","0.44","1.00","OK"
"8idp1","0.00","0.00","0.00","0.00","OK"
