"partnerid","CntrIdPercent","CntrSgPercent","CntrUsPercent","CntrThPercent","CntrUkPercent","CntrInPercent","status"
"8i8hw","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8ih","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8is","0.03","0.00","0.00","0.05","0.00","0.02","OK"
"8i8iv","0.08","0.00","0.00","0.30","0.00","0.03","OK"
"8i8j2","0.02","0.00","0.00","0.04","0.00","0.00","OK"
"8i8jl","0.33","0.00","0.00","0.00","0.00","0.00","OK"
"8i8k3","0.00","0.00","0.00","0.00","0.00","0.18","OK"
"8i8kg","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8ku","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8le","0.25","0.00","0.19","0.00","0.00","0.00","OK"
"8i8lx","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8m6","0.05","0.00","0.03","0.00","0.00","0.24","OK"
"8i8mq","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8mr","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8n6","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i8no","0.95","0.05","0.00","0.00","0.00","0.00","OK"
"8i8nq","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8nr","0.00","0.00","0.01","0.00","0.00","0.92","OK"
"8i8oh","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8p1","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8pz","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8q4","0.97","0.03","0.00","0.00","0.00","0.00","OK"
"8i8qk","0.00","0.00","0.20","0.00","0.00","0.60","OK"
"8i8qn","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8rs","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i8s9","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8t2","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8tt","0.00","0.00","0.71","0.01","0.02","0.08","Observation"
"8i8tw","0.00","0.00","0.00","0.00","0.00","0.33","OK"
"8i8u1","0.67","0.00","0.00","0.00","0.00","0.00","OK"
"8i8u7","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8u8","0.98","0.00","0.00","0.00","0.00","0.02","OK"
"8i8ub","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8ui","0.22","0.00","0.00","0.00","0.00","0.00","OK"
"8i8wd","0.00","0.00","0.86","0.00","0.00","0.14","OK"
"8i8xq","0.02","0.00","0.15","0.17","0.14","0.03","OK"
"8i8ye","0.02","0.00","0.04","0.01","0.00","0.62","OK"
"8i8yi","0.00","0.00","0.00","0.00","0.00","0.58","OK"
"8i8yn","0.02","0.00","0.02","0.00","0.00","0.48","OK"
"8i8yu","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8z4","0.00","0.00","0.01","0.00","0.00","0.74","OK"
"8i8zd","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i8ze","0.09","0.00","0.01","0.00","0.05","0.13","OK"
"8i8zi","0.24","0.00","0.24","0.00","0.00","0.06","OK"
"8i903","0.52","0.00","0.00","0.00","0.00","0.02","OK"
"8i90i","0.00","0.00","0.00","0.50","0.00","0.00","OK"
"8i90k","0.00","0.06","0.14","0.46","0.04","0.12","Fraud"
"8i90m","0.03","0.00","0.08","0.01","0.00","0.59","OK"
"8i91i","0.07","0.00","0.06","0.02","0.02","0.08","OK"
"8i922","0.07","0.00","0.03","0.01","0.01","0.05","OK"
"8i92t","0.01","0.00","0.08","0.01","0.03","0.03","OK"
"8i92u","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i930","0.00","0.00","0.05","0.81","0.01","0.01","Observation"
"8i932","0.00","0.00","0.00","0.00","0.00","0.80","OK"
"8i936","0.28","0.02","0.02","0.01","0.01","0.32","OK"
"8i93o","0.09","0.00","0.14","0.00","0.05","0.55","OK"
"8i93q","0.03","0.00","0.10","0.01","0.00","0.41","OK"
"8i941","0.04","0.00","0.00","0.01","0.01","0.54","OK"
"8i949","0.15","0.01","0.01","0.01","0.00","0.33","OK"
"8i94e","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i94n","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i94y","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i95z","0.07","0.00","0.01","0.01","0.02","0.30","OK"
"8i969","0.04","0.00","0.01","0.00","0.01","0.51","OK"
"8i96u","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i96x","0.07","0.00","0.00","0.07","0.00","0.50","OK"
"8i98h","0.00","0.00","0.00","0.00","0.00","0.80","OK"
"8i99h","0.00","0.00","0.11","0.00","0.00","0.44","OK"
"8i9a2","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9at","0.80","0.00","0.07","0.00","0.00","0.00","OK"
"8i9aw","0.95","0.00","0.02","0.00","0.00","0.00","OK"
"8i9b4","0.00","0.00","0.00","0.00","0.00","0.17","OK"
"8i9bj","0.88","0.00","0.00","0.00","0.06","0.00","OK"
"8i9bm","0.98","0.01","0.00","0.00","0.00","0.00","OK"
"8i9bs","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9bw","0.00","0.00","0.20","0.04","0.12","0.00","OK"
"8i9bx","0.00","0.00","0.79","0.00","0.07","0.00","OK"
"8i9cn","0.04","0.00","0.00","0.04","0.00","0.40","OK"
"8i9co","0.97","0.00","0.00","0.00","0.00","0.00","OK"
"8i9cr","0.00","0.00","0.00","0.00","0.18","0.00","OK"
"8i9d0","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9d1","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9d5","0.98","0.00","0.00","0.00","0.00","0.00","OK"
"8i9da","0.96","0.00","0.01","0.00","0.00","0.01","OK"
"8i9db","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9dg","0.00","0.00","0.00","0.00","0.00","0.33","OK"
"8i9dp","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9dv","0.33","0.12","0.00","0.00","0.18","0.24","OK"
"8i9e1","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9e9","0.57","0.07","0.07","0.02","0.00","0.00","OK"
"8i9ed","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9eg","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9eq","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8i9f0","0.00","0.00","0.00","0.00","0.00","0.25","OK"
"8i9fl","0.60","0.00","0.00","0.00","0.00","0.00","OK"
"8i9fv","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9g2","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9gl","0.25","0.00","0.00","0.00","0.00","0.25","OK"
"8i9h8","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9hj","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9hm","0.00","0.00","0.00","0.99","0.00","0.00","OK"
"8i9hn","0.00","0.00","0.00","0.93","0.00","0.00","OK"
"8i9ht","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9hu","0.00","0.00","0.00","0.00","0.94","0.00","OK"
"8i9hw","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9hx","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9hz","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9i1","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9i3","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9i4","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9i5","0.00","0.00","0.00","0.00","0.00","0.00","Observation"
"8i9i7","0.00","0.00","0.00","0.00","0.01","0.00","OK"
"8i9i9","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ia","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ib","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ic","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i9id","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ie","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ig","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ih","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ii","0.00","0.00","0.00","0.00","0.00","0.00","Observation"
"8i9ij","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ik","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9im","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9in","0.00","0.00","0.00","0.00","0.78","0.00","OK"
"8i9ip","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9j4","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9j6","0.00","0.00","0.00","0.00","0.00","1.00","Observation"
"8i9jf","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9jg","0.00","0.00","0.00","0.00","0.01","0.00","OK"
"8i9ji","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8i9jj","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9jr","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9kq","0.29","0.01","0.01","0.01","0.00","0.25","OK"
"8i9ky","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9nd","0.33","0.00","0.00","0.00","0.00","0.33","OK"
"8i9ng","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9np","0.88","0.00","0.01","0.00","0.00","0.05","OK"
"8i9os","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9ot","0.01","0.00","0.14","0.15","0.16","0.01","OK"
"8i9p1","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9p3","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9p4","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9p7","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9p8","0.00","0.00","0.00","0.04","0.00","0.00","OK"
"8i9pt","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9q6","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8i9ql","0.00","0.00","0.02","0.00","0.02","0.90","OK"
"8i9qu","0.05","0.02","0.00","0.03","0.00","0.79","OK"
"8i9s9","0.96","0.00","0.00","0.00","0.00","0.00","OK"
"8i9sm","0.17","0.00","0.04","0.00","0.00","0.17","OK"
"8i9t0","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9tt","0.42","0.00","0.05","0.00","0.00","0.18","OK"
"8i9u6","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9vn","0.01","0.00","0.01","0.00","0.00","0.52","OK"
"8i9ws","0.13","0.03","0.00","0.13","0.00","0.00","Fraud"
"8i9xb","0.95","0.00","0.00","0.00","0.00","0.00","OK"
"8i9z5","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9z6","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9z7","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9zb","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8i9zp","0.03","0.00","0.08","0.01","0.01","0.36","OK"
"8i9zy","0.00","0.00","0.18","0.00","0.00","0.36","OK"
"8ia0j","0.63","0.00","0.00","0.00","0.00","0.15","OK"
"8ia0n","0.92","0.00","0.00","0.00","0.00","0.00","OK"
"8ia11","0.44","0.00","0.00","0.00","0.00","0.04","OK"
"8ia16","0.86","0.01","0.01","0.00","0.00","0.02","OK"
"8ia19","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia1e","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia25","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia51","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia54","0.00","0.00","1.00","0.00","0.00","0.00","OK"
"8ia62","0.88","0.13","0.00","0.00","0.00","0.00","OK"
"8ia6z","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia7h","0.13","0.00","0.07","0.00","0.00","0.17","OK"
"8ia7p","0.04","0.00","0.00","0.02","0.00","0.02","OK"
"8ia7z","0.00","0.00","0.00","0.00","0.20","0.20","OK"
"8ia80","0.00","0.00","0.01","0.00","0.00","0.93","OK"
"8ia8k","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia8u","0.14","0.00","0.04","0.01","0.00","0.26","OK"
"8ia99","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ia9b","0.95","0.05","0.00","0.00","0.00","0.00","OK"
"8ia9d","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ia9m","0.34","0.01","0.01","0.00","0.00","0.12","OK"
"8ia9n","0.00","0.00","0.50","0.00","0.00","0.00","OK"
"8iaa6","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaar","0.48","0.00","0.05","0.00","0.00","0.10","OK"
"8iaay","0.28","0.00","0.05","0.00","0.01","0.43","OK"
"8iaaz","0.00","0.00","0.06","0.00","0.00","0.61","OK"
"8iab9","0.00","0.00","0.24","0.00","0.00","0.00","OK"
"8iabd","0.00","0.00","0.10","0.02","0.00","0.38","OK"
"8iabk","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iabp","0.00","0.00","0.00","0.10","0.08","0.02","OK"
"8iac5","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8iac6","0.00","0.00","0.01","0.00","0.01","0.01","OK"
"8iact","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iadk","0.02","0.00","0.00","0.02","0.00","0.02","OK"
"8iadn","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iadr","0.02","0.00","0.01","0.01","0.02","0.66","Observation"
"8iadt","0.00","0.01","0.01","0.05","0.01","0.01","OK"
"8iae2","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iae4","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaeq","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8iafg","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iafi","0.03","0.00","0.04","0.00","0.01","0.41","OK"
"8iagk","0.00","0.00","0.00","0.00","0.01","0.00","OK"
"8iagn","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iagp","0.00","0.00","0.00","0.00","0.00","0.21","OK"
"8iagv","0.19","0.00","0.11","0.00","0.00","0.14","OK"
"8iah0","0.07","0.00","0.00","0.00","0.00","0.13","OK"
"8iaim","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaj2","0.00","0.00","0.01","0.00","0.01","0.00","OK"
"8iajv","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8iak0","0.00","0.00","0.02","0.00","0.00","0.28","OK"
"8iaks","0.00","0.00","0.00","0.00","0.00","0.29","OK"
"8ial7","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ialk","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8ialy","0.00","0.00","0.01","0.00","0.00","0.00","OK"
"8iam0","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iam4","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iamd","0.00","0.00","0.24","0.01","0.02","0.00","Observation"
"8iaml","0.00","0.00","0.00","0.00","0.00","0.33","OK"
"8iaob","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaps","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaqk","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaqp","0.40","0.08","0.00","0.00","0.00","0.20","OK"
"8iaqy","0.33","0.33","0.00","0.00","0.00","0.00","OK"
"8iar6","0.00","0.00","0.00","0.00","0.00","0.71","OK"
"8iark","0.36","0.00","0.00","0.00","0.00","0.50","OK"
"8iaru","0.79","0.00","0.00","0.00","0.00","0.13","OK"
"8iasq","0.00","0.00","0.00","0.14","0.00","0.29","OK"
"8iasz","0.01","0.00","0.01","0.05","0.00","0.11","Observation"
"8iata","0.04","0.14","0.05","0.04","0.02","0.03","OK"
"8iatv","0.00","0.00","0.01","0.00","0.00","0.00","OK"
"8iau4","0.00","0.00","0.00","0.95","0.02","0.00","OK"
"8iau5","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8iau7","0.00","0.00","0.03","0.97","0.00","0.00","OK"
"8iauu","0.00","0.00","0.00","0.00","0.00","0.02","OK"
"8iavq","0.02","0.01","0.21","0.11","0.00","0.26","OK"
"8iavx","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iawe","0.00","0.00","0.00","0.00","0.00","0.50","OK"
"8iawh","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8iaxa","0.75","0.00","0.00","0.00","0.00","0.00","OK"
"8iaxj","0.01","0.00","0.02","0.00","0.01","0.04","Fraud"
"8iayy","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8iazm","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib0l","0.01","0.00","0.05","0.00","0.00","0.52","OK"
"8ib0m","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib12","0.38","0.00","0.12","0.00","0.00","0.10","OK"
"8ib14","0.00","0.00","0.00","0.00","0.00","0.83","OK"
"8ib16","0.01","0.00","0.01","0.00","0.00","0.77","OK"
"8ib1i","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib1j","0.00","0.00","0.00","0.00","0.00","0.50","OK"
"8ib1t","0.00","0.00","0.00","0.00","0.08","0.00","OK"
"8ib1v","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib1x","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib25","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8ib26","0.00","0.00","0.00","1.00","0.00","0.00","OK"
"8ib2d","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib2w","0.09","0.00","0.00","0.03","0.09","0.24","OK"
"8ib34","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib46","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib4v","0.67","0.00","0.00","0.00","0.00","0.00","OK"
"8ib4y","0.42","0.00","0.26","0.21","0.00","0.00","OK"
"8ib4z","0.01","0.00","0.18","0.01","0.02","0.67","OK"
"8ib56","0.78","0.00","0.00","0.00","0.00","0.01","OK"
"8ib5i","0.00","0.00","0.00","0.99","0.00","0.00","OK"
"8ib63","0.25","0.00","0.00","0.25","0.00","0.50","OK"
"8ib6f","0.00","0.00","0.00","0.00","0.00","0.40","OK"
"8ib6i","0.00","0.00","0.00","0.00","0.00","0.83","OK"
"8ib6x","0.45","0.00","0.06","0.01","0.01","0.08","OK"
"8ib7h","0.79","0.06","0.00","0.00","0.00","0.00","OK"
"8ib7i","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ib9m","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib9o","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ib9v","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibah","0.13","0.01","0.09","0.00","0.00","0.56","OK"
"8ibam","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ibay","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ibbr","0.05","0.00","0.00","0.00","0.02","0.33","OK"
"8ibbv","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibcb","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibcv","0.18","0.00","0.03","0.00","0.01","0.21","OK"
"8ibdg","0.01","0.00","0.00","0.03","0.00","0.42","OK"
"8ibdl","0.00","0.00","0.00","0.00","0.00","0.60","OK"
"8ibdm","0.04","0.00","0.06","0.02","0.01","0.47","OK"
"8iber","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ibf5","0.00","0.00","0.50","0.00","0.00","0.00","OK"
"8ibfa","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibg2","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibg6","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibgj","0.22","0.00","0.00","0.00","0.00","0.00","OK"
"8ibgo","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibgx","0.00","0.00","0.00","0.02","0.00","0.92","OK"
"8ibhn","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibid","0.11","0.00","0.00","0.00","0.00","0.44","OK"
"8ibiw","0.44","0.00","0.00","0.00","0.00","0.22","OK"
"8ibjf","0.28","0.02","0.02","0.00","0.00","0.19","OK"
"8ibjo","0.21","0.00","0.00","0.04","0.00","0.00","OK"
"8ibke","0.00","0.00","0.00","0.00","1.00","0.00","OK"
"8ibkr","0.82","0.00","0.05","0.00","0.02","0.00","Fraud"
"8ibl1","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibmd","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ibmq","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibmx","0.14","0.00","0.00","0.00","0.00","0.43","OK"
"8ibn2","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibnz","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibo7","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibop","0.00","0.00","0.14","0.00","0.14","0.43","OK"
"8ibp0","0.00","0.00","0.04","0.00","0.02","0.91","OK"
"8ibp7","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ibp9","0.00","0.00","0.00","0.00","0.00","0.94","OK"
"8ibpi","0.33","0.00","0.00","0.67","0.00","0.00","OK"
"8ibr7","0.00","0.00","0.00","0.00","0.00","0.50","OK"
"8ibt9","0.12","0.00","0.15","0.03","0.00","0.24","OK"
"8ibtd","0.00","0.00","0.00","0.00","0.00","0.50","OK"
"8ibub","0.50","0.00","0.00","0.00","0.00","0.00","OK"
"8ibug","0.95","0.00","0.00","0.00","0.00","0.00","OK"
"8ibum","0.17","0.00","0.00","0.08","0.00","0.45","OK"
"8ibup","0.07","0.00","0.02","0.02","0.01","0.42","OK"
"8ibv4","0.05","0.00","0.05","0.02","0.01","0.58","OK"
"8ibw8","0.00","0.00","0.05","0.00","0.00","0.90","OK"
"8ibxb","0.36","0.01","0.06","0.00","0.01","0.05","OK"
"8ic07","0.00","0.00","0.05","0.00","0.00","0.46","OK"
"8ic0m","0.26","0.02","0.03","0.00","0.00","0.38","OK"
"8ic0y","0.01","0.00","0.16","0.00","0.10","0.24","OK"
"8ic1s","0.00","0.00","0.63","0.00","0.06","0.00","OK"
"8ic1t","0.70","0.03","0.04","0.00","0.00","0.00","OK"
"8ic1x","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ic26","0.02","0.00","0.11","0.04","0.03","0.20","OK"
"8ic2e","0.00","0.00","0.00","0.00","0.00","1.00","OK"
"8ic2q","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ic3a","0.00","0.00","0.12","0.00","0.00","0.76","OK"
"8ic3g","1.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ic3o","0.00","0.00","0.03","0.00","0.00","0.09","OK"
"8ic3r","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ic3w","0.00","0.00","0.00","0.00","0.00","0.00","OK"
"8ic46","0.66","0.03","0.06","0.00","0.00","0.00","OK"
"8ic4i","0.88","0.00","0.00","0.04","0.04","0.00","OK"
"8ic4v","0.28","0.00","0.04","0.00","0.00","0.30","OK"
