"partnerid","AvgClickAtMorning","AvgClickAtAfternoon","AvgClickAtEvening","AvgClickAtNight","MaxClickAtMorning","MaxClickAtAfternoon","MaxClickAtEvening","MaxClickAtNight","SkewAtMorning","SkewAtAfternoon","SkewAtEvening","SkewAtNight","TimeatVarianceAtMorning","TimeatVarianceAtAfternoon","TimeatVarianceAtEvening","TimeatVarianceAtNight","status"
"8i7z7","4.50","6.67","6.67","10.33","7","13","7","13","0.00","0.49","-0.71","-0.65","6.25","21.56","0.22","9.56","OK"
"8i7zf",\N,\N,\N,"1.50",\N,\N,\N,"2",\N,\N,\N,"0.00","0.00",\N,\N,"0.25","OK"
"8i7zk","41.33","76.33","108.33","166.33","52","85","112","184","0.42","-0.14","-0.29","0.55","226.89","54.22","10.89","164.22","OK"
"8i7zl","45.00","91.67","108.33","284.67","51","131","159","332","0.32","0.46","0.20","-0.68","322.89","840.22","1550.22","3362.89","OK"
"8i804","1.00","3.00","3.33","2.67","1","5","6","3",\N,"0.00","0.24","-0.71","0.00","2.67","4.22","0.22","OK"
"8i806","43.00","58.00","74.00","106.67","47","88","80","122","0.47","0.55","-0.70","0.64","14.89","474.00","60.67","120.22","OK"
"8i80a","32.00","64.00","75.00","81.33","49","72","78","92","0.67","-0.69","-0.71","-0.61","144.67","98.67","18.00","137.56","OK"
"8i80j",\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i81d","1.00","1.00","3.00","5.00","1","1","3","5",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i81i","1.00","1.50","1.00","1.33","1","2","1","2",\N,"0.00",\N,"0.71","0.00","0.25","0.00","0.22","OK"
"8i828","149.33","188.33","182.00","619.33","190","252","196","770","0.70","0.53","-0.63","-0.48","1060.67","2148.22","248.00","22102.89","OK"
"8i82g","2.00","2.00","2.33","1.50","2","2","3","2",\N,\N,"0.71","0.00","0.00","0.00","0.22","0.25","OK"
"8i82r","1.00","1.33",\N,"1.00","1","2",\N,"1",\N,"0.71",\N,\N,"0.00","0.22",\N,"0.00","OK"
"8i82x",\N,\N,\N,"3.00",\N,\N,\N,"3",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i830",\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i833","1.50","5.50","2.67","6.67","2","9","5","15","0.00","0.00","0.53","0.58","0.22","12.25","2.89","36.22","OK"
"8i83a",\N,\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i83y",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i84n",\N,"1.00","3.50","2.67",\N,"1","4","4",\N,\N,"0.00","-0.38",\N,"0.00","0.25","1.56","OK"
"8i84o","1.33","1.50","3.50","3.00","2","2","4","4","0.71","0.00","0.00","0.00","0.22","0.25","0.25","0.67","OK"
"8i84w",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i85v","6.00","12.33","8.67","15.00","14","28","10","19","0.64","0.60","-0.38","-0.71","32.67","126.89","1.56","32.00","OK"
"8i86i","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i88w","3.00","4.67","3.33","6.33","5","8","6","7","0.00","-0.17","0.24","0.71","4.00","8.22","4.22","0.22","OK"
"8i89m","1.00",\N,"1.00","2.00","1",\N,"1","2",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8ar","2.00","1.50","1.50","2.00","2","2","2","3",\N,"0.00","0.00","0.00","0.00","0.25","0.25","0.67","OK"
"8i8bx","3.67","6.33","6.33","8.00","5","14","8","10","0.71","0.69","-0.53","-0.60","1.56","29.56","2.89","4.67","OK"
"8i8cj",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8do","1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00",\N,"OK"
"8i8e5","5.00","8.33","5.67","3.33","9","13","9","5","0.47","0.71","-0.17","-0.53","6.22","10.89","8.22","2.89","OK"
"8i8e7",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8ef",\N,"1.50","1.00","4.00",\N,"2","1","4",\N,"0.00",\N,\N,\N,"0.25","0.00","0.00","OK"
"8i8en","1.00","1.00","1.00",\N,"1","1","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00",\N,"OK"
"8i8fk","3.00","2.33","3.00","3.00","3","4","6","4",\N,"0.38","0.60","0.00","0.25","1.56","4.67","0.67","OK"
"8i8fm","17.67","8.67","15.67","48.00","26","13","21","51","-0.66","0.29","0.57","-0.67","74.67","10.89","14.89","12.67","Observation"
"8i8fn","2.00","2.00","2.50","3.67","2","3","3","5",\N,"0.00","0.00","0.71","0.00","0.67","0.25","0.89","OK"
"8i8fq","3.00","3.33","3.00","14.33","5","6","7","20","0.71","0.71","0.71","0.67","2.00","3.56","8.00","16.22","OK"
"8i8ft","1.00","1.50","1.50","7.00","1","2","2","10",\N,"0.00","0.00","0.00","0.22","0.25","0.25","6.00","OK"
"8i8g3",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i8go","14.00","40.33","46.67","13.00","18","48","54","20","0.71","0.56","0.63","0.69","12.67","30.89","27.56","24.67","Observation"
"8i8gu","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i8gx",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i8gz",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8h2","1.00",\N,\N,"1.00","1",\N,\N,"1",\N,\N,\N,\N,"0.00",\N,\N,"0.00","OK"
"8i8h7","13.67","44.67","48.67","19.67","33","61","81","29","0.61","-0.04","0.70","-0.24","184.89","181.56","524.22","67.56","Fraud"
"8i8hw","2.00","2.00",\N,"1.33","2","2",\N,"2",\N,\N,\N,"0.71","0.00","0.00",\N,"0.22","OK"
"8i8ih",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i8is","8.00","17.00","18.33","33.67","10","28","30","38","-0.60","0.00","-0.45","-0.45","4.22","80.67","128.22","17.56","OK"
"8i8iv","2.67","3.33","2.50","5.67","5","4","4","6","0.53","0.71","0.00","-0.71","2.89","0.22","2.25","0.22","OK"
"8i8j2","2.00","4.67","3.00","7.33","3","7","6","9","0.00","-0.24","0.60","-0.53","0.22","4.22","4.67","2.89","OK"
"8i8jl",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i8k3","1.00","2.00","1.00","1.33","1","3","1","2",\N,"0.00",\N,"0.71","0.00","1.00","0.00","0.22","OK"
"8i8kg",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i8ku",\N,"1.00","1.00","2.00",\N,"1","1","2",\N,\N,\N,\N,\N,"0.00","0.00","0.00","OK"
"8i8le","1.00","1.00","4.00","2.50","1","1","5","3",\N,\N,"0.00","0.00","0.00","0.00","1.00","0.25","OK"
"8i8lx",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8m6","47.00","39.00","35.67","75.33","59","59","40","103","0.68","0.70","0.29","0.64","72.67","200.67","10.89","390.89","OK"
"8i8mq","1.00","2.00","1.00",\N,"1","2","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00",\N,"OK"
"8i8mr",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i8n6","2.50","1.50",\N,"1.00","3","2",\N,"1","0.00","0.00",\N,\N,"0.67","0.25",\N,"0.00","OK"
"8i8no","4.00","7.50","2.33","8.00","10","12","3","13","0.71","0.00","0.71","0.38","18.00","20.25","0.22","14.00","OK"
"8i8nq",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i8nr","52.00","86.00","125.33","93.33","59","106","143","105","-0.68","0.19","0.55","-0.36","94.89","242.67","164.22","116.22","OK"
"8i8oh",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8p1","2.00","3.00","1.33","3.33","2","5","2","6",\N,"0.00","0.71","0.24","0.00","4.00","0.22","4.22","OK"
"8i8pz",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8q4",\N,"2.50","2.00","9.33",\N,"4","2","13",\N,"0.00",\N,"-0.68",\N,"2.25","0.00","20.22","OK"
"8i8qk","1.00","3.00","1.00",\N,"1","3","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00",\N,"OK"
"8i8qn",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8rs",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8s9",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8t2",\N,\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8tt","24.00","7.67","10.00","13.00","31","17","17","14","-0.24","0.66","0.69","0.00","66.89","44.22","24.67","0.67","Observation"
"8i8tw",\N,\N,"1.00","2.00",\N,\N,"1","2",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8u1","1.00",\N,"1.00","1.00","1",\N,"1","1",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8u7",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8u8","3.00","8.33","5.00","5.67","4","21","5","7","0.00","0.68",\N,"0.71","0.67","80.89","0.00","0.89","OK"
"8i8ub","3.00","1.50","1.00","5.33","5","2","1","8","0.00","0.00",\N,"0.24","4.00","0.25","0.00","4.22","OK"
"8i8ui","1.00",\N,"1.33","2.00","1",\N,"2","2",\N,\N,"0.71",\N,"0.00",\N,"0.22","0.00","OK"
"8i8wd","2.00","1.00","1.00","3.00","2","1","1","3",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i8xq","44.33","59.00","56.67","42.67","47","105","88","46","-0.38","0.69","0.67","0.38","14.00","1064.00","496.89","6.22","OK"
"8i8ye","219.67","323.00","424.33","601.33","280","391","496","716","0.68","0.54","-0.34","0.42","1878.00","2442.67","4336.22","7256.89","OK"
"8i8yi",\N,"1.33","2.50","1.50",\N,"2","4","2",\N,"0.71","0.00","0.00",\N,"0.22","2.25","0.25","OK"
"8i8yn","1.67","6.00","4.67","3.00","3","10","7","5","0.71","0.00","0.53","0.00","0.67","10.67","2.89","2.67","OK"
"8i8yu","9.00","5.00","2.00","3.67","14","5","2","5","0.00",\N,\N,"-0.71","25.00","0.00","0.00","3.56","OK"
"8i8z4","10.33","21.00","22.67","22.00","14","22","26","27","0.63","0.00","0.38","0.38","5.56","0.67","6.22","14.00","OK"
"8i8zd","1.00","1.00",\N,"2.00","1","1",\N,"2",\N,\N,\N,\N,"0.00","0.00",\N,"0.00","OK"
"8i8ze","8.67","7.33","10.67","16.00","12","12","14","18","-0.67","-0.49","0.71","0.71","29.56","21.56","5.56","2.00","OK"
"8i8zi","1.67","5.00","1.50","2.00","3","5","2","3","0.71",\N,"0.00","0.00","0.89","0.00","0.25","1.00","OK"
"8i903","1.00","10.00","2.50","7.33","1","12","3","14",\N,"0.00","0.00","0.38","0.00","4.00","0.25","24.89","OK"
"8i90i",\N,\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i90k","173.00","197.00","236.67","163.33","227","214","273","219","0.68","0.34","0.40","0.65","1808.22","164.67","733.56","1577.56","Fraud"
"8i90m","43.33","68.67","79.67","123.33","54","78","91","175","0.57","-0.63","-0.58","0.70","128.00","110.22","144.89","1336.22","OK"
"8i91i","590.00","611.67","673.33","1153.33","632","755","713","1259","0.67","0.63","0.69","0.71","2174.89","10538.89","790.89","5582.89","OK"
"8i922","977.33","1011.33","1209.33","2063.00","1122","1213","1262","2206","0.11","0.36","-0.71","-0.59","29306.89","22938.89","5339.56","23762.00","OK"
"8i92t","665.33","611.67","1015.33","1005.67","973","899","1300","1805","-0.12","0.46","-0.63","0.05","116621.56","44832.89","103350.22","414722.89","OK"
"8i92u","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i930","27.00","54.33","56.67","48.67","51","69","66","83","0.08","-0.66","0.34","-0.17","489.56","300.22","49.56","869.56","Observation"
"8i932",\N,"1.00","1.00","1.50",\N,"1","1","2",\N,\N,\N,"0.00",\N,"0.00","0.00","0.25","OK"
"8i936","41.33","43.67","50.33","113.33","49","55","64","129","-0.70","0.45","0.57","0.04","172.67","70.22","97.56","160.22","OK"
"8i93o","3.00","4.00","2.00","6.50","3","4","2","8",\N,\N,\N,"0.00","0.00","0.00","0.00","2.25","OK"
"8i93q","16.67","30.33","49.00","51.67","22","44","85","60","0.71","0.70","0.52","0.58","4.67","93.56","690.67","36.22","OK"
"8i941","6.67","11.67","17.33","16.33","10","13","22","25","0.38","-0.38","-0.24","0.71","4.22","1.56","16.89","37.56","OK"
"8i949","28.67","41.67","55.67","57.67","37","49","62","70","0.15","0.17","0.20","0.41","12.67","32.89","24.22","84.22","OK"
"8i94e",\N,\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i94n",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i94y","8.67","6.33","5.33","4.00","13","9","8","6","0.29","-0.71","-0.38","-0.60","6.22","14.22","6.22","4.67","OK"
"8i95z","5.67","8.33","11.33","7.00","7","12","18","9","-0.71","0.17","0.62","-0.71","2.89","8.22","22.89","8.00","OK"
"8i969","19.33","34.67","32.00","54.67","24","40","37","64","-0.49","-0.70","0.38","-0.38","1.56","46.89","14.00","76.22","OK"
"8i96u","3.33","6.67","8.33","5.00","4","9","11","7","-0.71","0.53","0.24","-0.60","0.89","2.89","4.22","4.67","OK"
"8i96x",\N,"1.33","2.00","3.00",\N,"2","3","4",\N,"0.71","0.00","0.00",\N,"0.22","1.00","1.00","OK"
"8i98h","1.00",\N,"3.00","1.00","1",\N,"3","1",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i99h","2.00","1.67","1.00","3.33","2","2","1","8",\N,"-0.71",\N,"0.71","0.00","0.22","0.00","10.89","OK"
"8i9a2",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9at","2.00","1.50","2.00","2.00","2","2","2","3",\N,"0.00",\N,"0.00","0.00","0.25","0.00","0.67","OK"
"8i9aw","33.00","49.00","54.33","73.67","43","58","61","78","0.38","-0.56","-0.17","-0.14","37.56","88.67","32.89","13.56","OK"
"8i9b4",\N,"1.50","1.50",\N,\N,"2","2",\N,\N,"0.00","0.00",\N,\N,"0.25","0.25",\N,"OK"
"8i9bj","2.00","2.50","1.50","3.00","2","4","2","5",\N,"0.00","0.00","0.00","0.00","2.25","0.25","4.00","OK"
"8i9bm","22.00","31.67","14.33","33.67","50","63","17","44","0.66","0.29","0.24","0.48","354.89","571.56","4.22","57.56","OK"
"8i9bs","2.00","1.00",\N,"1.50","3","1",\N,"2","0.00",\N,\N,"0.00","0.25","0.00",\N,"0.25","OK"
"8i9bw","2.67","2.00","2.50","3.00","4","2","3","3","0.71",\N,"0.00",\N,"0.89","0.00","0.25","0.00","OK"
"8i9bx","4.00","2.00","1.00","1.67","4","3","1","2",\N,"0.00",\N,"-0.71","2.25","1.00","0.00","0.22","OK"
"8i9cn","1.50","5.00","11.00","5.67","2","6","18","8","0.00","-0.71","0.53","-0.24","0.22","2.00","26.00","4.22","OK"
"8i9co","2.00","3.67","2.33","3.00","2","5","3","5",\N,"-0.71","-0.71","0.71","0.00","3.56","0.89","2.00","OK"
"8i9cr","3.00","6.00","2.67","2.50","4","6","5","4","-0.71",\N,"0.53","0.00","2.89","0.00","2.89","2.25","OK"
"8i9d0",\N,\N,"1.50","2.00",\N,\N,"2","2",\N,\N,"0.00",\N,\N,\N,"0.25","0.00","OK"
"8i9d1",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i9d5","2.00","4.00","3.33","7.67","3","6","5","11","0.00","0.71","-0.53","-0.17","1.00","2.00","2.89","8.22","OK"
"8i9da","8.33","13.00","5.67","54.00","20","14","7","80","0.70","0.00","-0.38","-0.07","64.22","1.00","1.56","468.67","OK"
"8i9db",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9dg","1.00","1.00",\N,"1.00","1","1",\N,"1",\N,\N,\N,\N,"0.00","0.00",\N,"0.00","OK"
"8i9dp","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9dv","2.33","4.50","2.33","3.33","3","5","5","4","-0.71","0.00","0.71","-0.71","0.89","0.25","3.56","0.89","OK"
"8i9e1",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9e9","10.00","15.00","15.33","15.00","12","25","17","19","0.00","0.38","-0.71","-0.38","6.22","56.00","5.56","14.00","OK"
"8i9ed","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9eg",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i9eq","1.00","1.00","1.00",\N,"1","1","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00",\N,"OK"
"8i9f0","1.00","1.00","1.00","1.00","1","1","1","1",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i9fl","2.00","2.00",\N,"1.00","2","2",\N,"1",\N,\N,\N,\N,"0.25","0.00",\N,"0.00","OK"
"8i9fv",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9g2","4.00","7.00","4.00","3.00","7","7","7","6","0.60",\N,"0.60","0.60","4.67","0.00","4.67","4.67","OK"
"8i9gl",\N,\N,"1.00","3.00",\N,\N,"1","3",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i9h8",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i9hj","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9hm","6.00","11.67","10.33","8.00","9","13","11","9","-0.47","0.71","0.71","0.00","4.22","0.89","0.22","0.67","OK"
"8i9hn","1.33","2.67","3.67","2.00","2","4","5","2","0.71","0.71","0.71",\N,"0.22","0.89","0.89","0.00","OK"
"8i9ht","11.67","40.67","69.00","23.67","18","107","111","55","0.68","0.70","-0.61","0.69","24.67","2208.22","2114.67","493.56","OK"
"8i9hu","61.00","22.33","47.50","103.00","178","49","84","205","0.71","0.38","0.00","0.00","10464.89","398.22","1332.25","10404.00","OK"
"8i9hw",\N,\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9hx","29.67","6.67","25.67","136.67","82","14","61","359","0.71","0.63","0.68","0.70","5341.56","27.56","630.22","24764.22","OK"
"8i9hz","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9i1","121.00","249.67","276.33","262.67","202","286","318","446","0.35","-0.36","0.71","-0.04","8032.89","1128.22","868.22","22949.56","OK"
"8i9i3","135.00","410.67","399.00","272.33","252","793","545","443","0.13","0.39","0.20","-0.34","8971.56","81526.89","12900.67","24486.22","OK"
"8i9i4",\N,\N,\N,"9.00",\N,\N,\N,"23",\N,\N,\N,"0.69",\N,\N,\N,"98.67","OK"
"8i9i5","36.00","42.67","90.67","48.00","105","122","164","137","0.71","0.71","-0.26","0.71","3068.22","3146.89","4224.89","3962.00","Observation"
"8i9i7","3.50","9.00","9.00","17.67","6","15","12","33","0.00","0.32","-0.47","0.21","6.22","20.67","8.67","141.56","OK"
"8i9i9",\N,\N,\N,"37.00",\N,\N,\N,"37",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9ia","16.00","63.50","246.50","79.00","16","99","280","79",\N,"0.00","0.00",\N,"0.00","1260.25","1122.25","0.00","OK"
"8i9ib","2.00","2.00","1.00","12.00","2","2","1","12",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i9ic","21.33","22.00","18.00","67.50","47","46","24","119","0.63","0.70","0.00","0.00","434.00","288.67","24.00","2652.25","OK"
"8i9id","14.00","20.00","17.33","12.50","16","39","26","16","0.00","0.10","0.29","0.00","4.00","228.67","43.56","12.25","OK"
"8i9ie","28.00",\N,\N,"55.00","28",\N,\N,"55",\N,\N,\N,\N,"0.00",\N,\N,"0.00","OK"
"8i9ig","53.00","94.67","87.67","51.00","81","134","153","111","0.41","0.68","0.70","0.52","533.56","779.56","2136.89","1912.67","OK"
"8i9ih","1.50","10.00","20.33","18.50","2","19","34","34","0.00","0.00","-0.09","0.00","4.00","54.00","130.89","240.25","OK"
"8i9ii","201.00","55.00","181.33","165.33","250","59","187","230","-0.68","-0.60","-0.20","-0.71","5244.22","18.67","24.22","7856.89","Observation"
"8i9ij",\N,\N,\N,"60.00",\N,\N,\N,"60",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9ik","28.33","46.33","43.00","35.33","47","68","83","80","-0.38","-0.69","0.70","0.55","304.89","738.89","802.67","1051.56","OK"
"8i9im","34.67","35.67","53.67","50.67","61","54","73","98","-0.15","-0.29","0.70","-0.01","900.67","272.22","187.56","1504.22","OK"
"8i9in","68.50","69.00","189.00","197.00","135","191","303","392","0.00","0.70","-0.65","0.00","7320.67","7466.00","17420.67","38025.00","OK"
"8i9ip","1.00",\N,"1.00","2.00","1",\N,"1","2",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i9j4","111.33","71.00","77.00","305.33","231","137","113","681","0.16","0.14","-0.70","0.43","23014.89","2700.67","2184.00","77566.89","OK"
"8i9j6","763.33","1776.67","2331.33","1282.33","1736","3941","3948","1587","0.66","0.66","0.59","0.06","488580.22","999999.99","999999.99","59853.56","Observation"
"8i9jf","1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00",\N,"OK"
"8i9jg","75.00","58.00",\N,"325.00","75","58",\N,"325",\N,\N,\N,\N,"0.00","0.00",\N,"0.00","OK"
"8i9ji","1.33","4.50","2.50","1.00","2","7","3","1","0.71","0.00","0.00",\N,"0.22","6.25","0.25","0.00","OK"
"8i9jj","1.33","5.00","16.00","154.33","2","5","27","461","0.71",\N,"0.00","0.71","0.22","0.00","121.00","47022.22","OK"
"8i9jr",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,"0.00","0.00",\N,"0.00","OK"
"8i9kq","11.33","7.33","17.00","20.00","16","8","21","28","-0.63","-0.71","-0.69","0.24","24.67","0.89","24.67","38.00","OK"
"8i9ky","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9nd",\N,"1.00",\N,"2.00",\N,"1",\N,"2",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i9ng","3.00","3.50","1.33",\N,"3","6","2",\N,\N,"0.00","0.71",\N,"0.00","6.25","0.22",\N,"OK"
"8i9np","4.67","6.67","4.00","17.33","8","8","7","24","-0.17","-0.38","0.60","-0.53","8.67","1.56","4.67","46.22","OK"
"8i9os","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9ot","146.00","166.67","167.33","160.67","163","181","187","169","-0.58","0.22","-0.23","-0.26","412.67","122.89","297.56","54.89","OK"
"8i9p1",\N,"1.00","1.00","1.50",\N,"1","1","2",\N,\N,\N,"0.00","0.00","0.00","0.00","0.25","OK"
"8i9p3","1.33","1.50","1.00","1.00","2","2","1","1","0.71","0.00",\N,\N,"0.22","0.25","0.00","0.00","OK"
"8i9p4",\N,"2.00","1.00","1.00",\N,"2","1","1",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
