"partnerid","AvgClickAtMorning","AvgClickAtAfternoon","AvgClickAtEvening","AvgClickAtNight","MaxClickAtMorning","MaxClickAtAfternoon","MaxClickAtEvening","MaxClickAtNight","SkewAtMorning","SkewAtAfternoon","SkewAtEvening","SkewAtNight","TimeatVarianceAtMorning","TimeatVarianceAtAfternoon","TimeatVarianceAtEvening","TimeatVarianceAtNight","status"
"8i7xd","9.00","15.00","176.00","16.33","15","23","272","19","0.71","0.00","-0.69","-0.65","16.22","42.67","14368.67","9.56","Observation"
"8i7z7","2.00","6.33","6.67","3.00","2","9","13","5",\N,"0.24","0.68","0.71","0.00","4.22","20.22","2.00","OK"
"8i7zf",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i7zk","23.00","41.67","41.33","82.00","29","61","46","86","-0.67","0.26","-0.63","0.47","50.00","219.56","27.56","8.67","OK"
"8i7zl","38.67","68.67","104.33","132.00","53","71","122","169","0.70","-0.24","-0.68","0.69","67.56","4.22","464.22","688.67","OK"
"8i804","1.00","5.67","2.50","2.00","1","6","3","3",\N,"-0.71","0.00","0.00","0.00","0.22","0.25","0.67","OK"
"8i806","111.33","130.33","201.00","177.33","117","145","238","226","0.67","-0.38","0.55","-0.50","156.22","188.22","722.00","2360.22","OK"
"8i80a","49.00","69.00","96.67","101.33","58","81","109","107","0.60","0.71","0.55","-0.43","16.67","72.00","80.22","29.56","OK"
"8i81d","2.00","1.00","1.00","1.50","2","1","1","2",\N,\N,\N,"0.00","0.00","0.00","0.00","0.25","OK"
"8i81i",\N,"3.00","1.00","1.00",\N,"3","1","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00","OK"
"8i828","135.67","236.33","164.67","486.00","221","296","220","511","0.70","0.17","0.40","-0.69","4214.89","2180.22","1701.56","974.00","OK"
"8i82g",\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i82r","2.00","4.50",\N,"3.50","2","6",\N,"6",\N,"0.00",\N,"0.00","0.00","2.25",\N,"6.25","OK"
"8i833","1.00","3.00","1.50","2.67","1","6","2","5",\N,"0.60","0.00","0.53","0.89","4.67","0.25","2.89","OK"
"8i83a",\N,"1.00","3.00",\N,\N,"1","3",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i83y",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i84n",\N,"4.00","3.50","1.67",\N,"8","4","3",\N,"0.47","0.00","0.71",\N,"8.67","0.25","0.89","OK"
"8i84o","1.00","2.67","3.33","4.00","1","6","6","6",\N,"0.71","0.24","-0.60","0.22","5.56","4.22","4.67","OK"
"8i84w",\N,\N,"1.00","2.00",\N,\N,"1","2",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i85b",\N,\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i85h",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i85o",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i85v","5.00","13.00","5.67","8.33","9","18","10","10","0.71","0.67","0.65","-0.53","8.00","12.67","9.56","2.89","OK"
"8i88a",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i88w","2.67","3.67","3.33","5.00","5","5","6","8","0.53","-0.38","0.24","0.00","2.89","1.56","4.22","6.00","OK"
"8i89m",\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i89q",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8ar","1.00","1.00","1.00","1.00","1","1","1","1",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i8as","15.33","18.00","3.67","16.33","19","24","5","19","-0.68","-0.47","-0.71","-0.71","24.67","34.67","3.56","14.22","OK"
"8i8az",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,"0.00",\N,\N,"0.00","OK"
"8i8bx","6.33","9.00","5.67","13.67","11","16","9","14","0.71","0.53","0.71","-0.71","18.00","26.00","5.56","0.22","OK"
"8i8do",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i8e5","8.33","8.00","7.33","3.00","13","9","8","4","0.71","0.00","0.71","0.00","11.56","0.67","0.22","0.67","OK"
"8i8ef","1.00",\N,"1.00","1.00","1",\N,"1","1",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8en",\N,\N,"3.00","1.00",\N,\N,"3","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i8f4",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i8f5",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8f7","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i8fk","5.67","18.33","26.33","17.67","6","25","31","21","-0.71","-0.17","0.53","-0.67","0.22","32.89","11.56","16.22","OK"
"8i8fm","59.33","58.67","60.00","100.00","79","84","69","106","-0.06","0.70","-0.69","0.00","302.00","321.56","128.67","24.00","Fraud"
"8i8fn","12.33","12.00","13.33","12.00","15","15","17","16","-0.38","0.00","-0.57","0.47","4.67","6.00","14.89","8.67","OK"
"8i8fq","6.67","19.00","26.00","34.00","9","24","29","43","0.53","0.00","-0.47","0.42","12.67","16.67","8.67","44.67","OK"
"8i8ft","9.33","2.50","4.67","16.33","14","3","6","21","0.14","0.00","0.71","0.53","4.67","0.25","0.89","11.56","OK"
"8i8g3","1.00","1.00","1.50","1.33","1","1","2","2",\N,\N,"0.00","0.71","0.00","0.00","0.25","0.22","OK"
"8i8go","26.33","42.67","50.67","37.67","33","49","60","54","-0.17","0.49","0.71","0.61","42.67","21.56","43.56","137.56","Observation"
"8i8gu","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i8gx",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8gz",\N,\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i8h2","1.00","2.50","1.33","1.00","1","3","2","1",\N,"0.00","0.71",\N,"0.00","0.25","0.22","0.00","OK"
"8i8h7","2.67","13.00","12.00","2.33","4","21","15","3","-0.38","0.24","0.60","0.71","1.56","38.00","4.67","0.22","OK"
"8i8hw",\N,"3.00",\N,\N,\N,"3",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i8i9","1.00",\N,"2.00","1.00","1",\N,"2","1",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8is","20.00","37.33","23.67","47.33","25","49","33","58","0.00","0.22","0.71","0.42","36.22","81.56","43.56","62.89","Observation"
"8i8iv","3.67","2.67","4.33","3.67","5","4","9","6","-0.38","0.71","0.71","0.53","1.56","0.89","10.89","2.89","OK"
"8i8j2","2.00","3.33","1.50","4.00","2","5","2","4",\N,"0.38","0.00",\N,"0.00","1.56","0.25","0.00","OK"
"8i8ji",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8k3","1.00","2.50","1.50","2.00","1","4","2","2",\N,"0.00","0.00",\N,"0.00","2.25","0.25","0.00","OK"
"8i8k4",\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i8kf",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8kg",\N,"1.33","1.00","2.00",\N,"2","1","2",\N,"0.71",\N,\N,\N,"0.22","0.00","0.00","OK"
"8i8ku",\N,"1.50","1.00","2.00",\N,"2","1","3",\N,"0.00",\N,"0.00",\N,"0.25","0.00","0.67","OK"
"8i8le","1.50","1.00","4.00","5.33","2","1","6","7","0.00",\N,"0.71","-0.53","0.25","0.00","2.00","2.89","OK"
"8i8m6","4.33","3.67","4.33","7.67","5","6","7","8","0.71","0.53","-0.38","-0.71","0.89","2.89","6.22","0.22","OK"
"8i8n6","1.67","1.33",\N,\N,"3","2",\N,\N,"0.71","0.71",\N,\N,"0.89","0.22",\N,\N,"OK"
"8i8no","2.33","5.67","5.33","6.00","3","11","9","9","-0.71","0.57","0.63","0.00","0.89","14.89","6.89","6.00","OK"
"8i8nq",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8nr","1.00","7.67","5.67","7.33","1","13","9","9",\N,"0.57","-0.53","-0.53","0.22","14.89","11.56","2.89","OK"
"8i8p1","1.00","2.33","1.00","1.50","1","4","1","2",\N,"0.38",\N,"0.00","0.00","1.56","0.00","0.25","OK"
"8i8pz","1.00","1.00","1.00",\N,"1","1","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00",\N,"OK"
"8i8q4","5.00","12.50","4.33","5.00","6","17","7","9","0.00","0.00","0.24","0.47","0.25","20.25","4.22","8.67","OK"
"8i8s8","112.00","146.50","186.50","43.33","128","200","275","89","0.00","0.00","0.00","0.14","1600.00","2862.25","7832.25","1296.22","OK"
"8i8t2",\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i8tt","13.33","6.00","6.00","14.67","18","11","10","20","0.14","0.00","0.00","0.24","16.89","16.67","10.67","16.89","OK"
"8i8tu",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i8u1","1.00","1.00",\N,"1.50","1","1",\N,"2",\N,\N,\N,"0.00","0.00","0.00",\N,"0.25","OK"
"8i8u8","1.67","5.67","4.33","2.67","3","8","7","3","0.71","-0.71","0.71","-0.71","2.00","10.89","3.56","0.22","OK"
"8i8ub","9.67","22.00","5.67","12.67","14","36","7","14","-0.14","0.41","-0.38","-0.71","14.00","108.67","1.56","3.56","OK"
"8i8ui","1.00",\N,"2.00","1.00","1",\N,"2","1",\N,\N,\N,\N,"0.00",\N,"0.00","0.00","OK"
"8i8wd",\N,"1.00","1.50",\N,\N,"1","2",\N,\N,\N,"0.00",\N,\N,"0.00","0.25",\N,"OK"
"8i8x2","8.00","15.33","17.67","24.67","10","21","22","27","-0.60","-0.20","-0.62","0.53","4.67","24.22","22.89","2.89","OK"
"8i8xn",\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i8xq","83.00","83.67","86.67","80.00","91","94","91","84","0.64","0.62","0.65","0.00","43.56","54.89","9.56","10.67","OK"
"8i8ye","189.67","324.33","369.00","569.00","195","346","424","666","-0.38","-0.06","0.71","0.50","138.89","322.89","1512.67","5042.00","OK"
"8i8yi",\N,"1.00","1.50","3.00",\N,"1","2","5",\N,\N,"0.00","0.00",\N,"0.00","0.25","4.00","OK"
"8i8yn","3.50","4.00","2.33","3.33","6","10","4","5","0.00","0.71","0.38","0.38","2.25","18.00","1.56","1.56","OK"
"8i8yu","2.33","2.33","4.67","1.33","4","3","10","2","0.38","0.71","0.71","0.71","1.56","0.22","14.22","0.22","OK"
"8i8z4","112.00","281.33","325.67","245.00","127","332","368","293","-0.67","0.09","0.39","-0.21","272.89","1636.22","1000.22","1752.00","OK"
"8i8zd","10.00","13.00","14.00","42.00","10","13","22","42",\N,\N,"0.00",\N,"0.00","0.00","64.00","0.00","OK"
"8i8ze","13.00","15.00","26.00","43.00","16","18","29","66","-0.47","0.60","0.60","0.66","33.56","4.67","4.67","268.67","OK"
"8i8zi","1.67",\N,"2.33","3.00","3",\N,"3","3","0.71",\N,"0.71",\N,"0.67",\N,"0.22","0.00","OK"
"8i903","2.33","4.00","5.00","3.67","3","5","7","5","0.71","0.00","0.00","0.71","0.22","0.67","2.67","0.89","OK"
"8i90k","316.33","463.67","680.33","302.67","430","653","815","356","0.70","0.56","-0.53","0.62","7084.67","18787.56","18990.22","1464.89","Fraud"
"8i91i","490.33","606.67","633.00","1050.33","539","612","746","1242","0.54","0.24","0.66","0.66","708.22","16.89","6488.67","18648.22","OK"
"8i922","861.33","911.67","1144.67","1950.67","984","1005","1174","2189","-0.16","0.69","0.04","-0.19","19550.89","4379.56","560.89","42514.89","OK"
"8i92s","1.00",\N,\N,"2.00","1",\N,\N,"2",\N,\N,\N,\N,"0.00",\N,\N,"0.00","OK"
"8i92t","487.00","371.67","612.33","829.67","519","393","702","912","0.69","0.71","0.54","-0.28","122.89","227.56","4248.22","5442.89","OK"
"8i92u",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i930","52.00","76.67","72.33","71.00","66","93","83","80","0.71","0.70","0.71","0.21","70.22","133.56","56.89","48.67","Observation"
"8i936","59.67","76.33","91.00","139.67","67","89","103","168","0.17","-0.71","-0.38","-0.35","4.22","296.22","126.00","681.56","OK"
"8i93q","10.33","12.67","12.33","18.67","13","16","20","23","-0.65","0.71","0.69","-0.14","17.56","5.56","29.56","13.56","OK"
"8i941","9.00","19.33","17.00","17.33","13","20","22","21","0.00","0.71","-0.32","-0.71","6.22","0.22","20.67","26.89","OK"
"8i949","28.67","43.00","40.33","46.67","33","50","49","62","0.65","0.53","-0.62","-0.04","2.67","26.00","91.56","160.22","OK"
"8i94e","1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00",\N,"OK"
"8i94y","1.00","1.00","1.00","5.00","1","1","1","5",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i95z","3.50","5.00","7.00","4.00","5","6","12","8","0.00","0.00","0.67","0.71","1.00","0.67","12.67","8.00","OK"
"8i969","18.67","30.33","25.33","53.33","31","47","33","73","-0.30","-0.26","-0.34","0.03","216.22","219.56","49.56","253.56","OK"
"8i96u","1.67","4.33","34.00","3.67","3","7","44","6","0.71","0.24","0.00","0.53","0.89","4.22","66.67","2.89","OK"
"8i96x","1.00","1.50","4.00","3.00","1","2","6","6",\N,"0.00","0.00","0.60","0.00","0.25","4.00","4.67","OK"
"8i98h",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i99h","2.50","1.00","1.00","2.33","4","1","1","3","0.00",\N,\N,"0.71","1.56","0.00","0.00","0.22","OK"
"8i9at","1.00","2.00","1.00","2.33","1","3","1","4",\N,"0.00",\N,"0.38","0.00","1.00","0.00","1.56","OK"
"8i9aw","6.00","30.00","26.67","49.00","9","39","34","53","0.00","0.60","-0.46","0.71","8.67","42.00","50.89","8.00","OK"
"8i9b4",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i9bj","4.33","3.00","2.33","5.33","7","4","3","7","-0.38","0.00","0.71","0.38","10.89","1.00","0.22","1.56","OK"
"8i9bm","20.00","76.33","22.33","21.00","30","159","27","33","-0.44","0.38","0.53","0.32","101.56","3833.56","11.56","82.67","Observation"
"8i9bx","3.00","2.00","1.00","2.00","4","3","1","3","0.00","0.00",\N,"0.00","1.56","1.00","0.00","0.67","OK"
"8i9cn","4.33","2.00","5.33","2.33","6","3","10","4","0.38","0.00","0.71","0.38","1.56","0.67","10.89","1.56","OK"
"8i9co",\N,"3.67","1.67","2.50",\N,"5","3","3",\N,"0.71","0.71","0.00",\N,"0.89","0.89","0.25","OK"
"8i9cr","2.00","1.00",\N,"5.00","2","1",\N,"8",\N,\N,\N,"0.60","2.25","0.00",\N,"4.67","OK"
"8i9d0",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i9d1",\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i9d5","2.00","3.33","1.67","1.33","2","6","2","2",\N,"0.24","-0.71","0.71","0.00","4.22","0.22","0.22","OK"
"8i9da","5.00","30.33","14.00","37.67","6","41","17","39","-0.71","-0.61","0.00","-0.38","0.67","137.56","6.00","1.56","OK"
"8i9db","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9dg","1.50",\N,\N,"2.50","2",\N,\N,"3","0.00",\N,\N,"0.00","0.25",\N,\N,"0.25","OK"
"8i9dp",\N,\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9dv","2.00","2.00","3.00","2.33","2","2","6","4",\N,\N,"0.60","0.38","0.00","0.00","4.67","1.56","OK"
"8i9e9","11.33","14.33","13.00","7.00","12","19","15","9","0.71","0.14","-0.60","-0.60","0.22","13.56","4.67","4.67","OK"
"8i9f0",\N,"1.00","2.00","1.00",\N,"1","3","1",\N,\N,"0.00",\N,\N,"0.00","1.00","0.00","OK"
"8i9fl",\N,\N,"4.00","1.00",\N,\N,"4","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i9g2","2.50","3.67","3.33","6.00","4","6","5","11","0.00","0.53","-0.53","0.38","2.00","2.89","2.89","14.00","OK"
"8i9g5",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i9gl",\N,\N,"3.00","1.00",\N,\N,"3","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i9h8",\N,\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00","OK"
"8i9hm","6.00","10.00","9.00","3.67","11","17","12","5","0.00","0.53","0.60","0.71","16.89","26.00","4.67","0.89","OK"
"8i9hn","1.33","2.00","2.00","1.50","2","2","3","2","0.71",\N,"0.00","0.00","0.22","0.00","1.00","0.25","OK"
"8i9hp","1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,\N,"OK"
"8i9ht","1.00","2.00","1.00","2.00","1","2","1","2",\N,\N,\N,\N,"0.00","0.00","0.00","0.00","OK"
"8i9hu","17.00","8.33","7.33","251.67","25","11","13","453","-0.69","-0.65","0.67","-0.34","882.00","9.56","16.22","34091.56","OK"
"8i9hw","1.00",\N,"2.00","21.33","1",\N,"2","60",\N,\N,\N,"0.70","4.00",\N,"0.00","748.22","OK"
"8i9hx","3.33","4.00","17.00","21.00","5","5","32","36","-0.53","-0.71","0.00","-0.12","9.56","2.00","150.00","160.67","OK"
"8i9hz",\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i9i1","23.67","28.00","49.67","63.67","49","45","67","127","0.49","0.62","-0.64","0.20","1005.56","148.67","390.89","2422.22","OK"
"8i9i3","172.00","268.67","264.33","457.00","204","339","313","582","-0.69","0.26","-0.13","-0.48","2846.00","2906.89","1706.89","15232.67","OK"
"8i9i4","2.00","3.50","8.00","46.33","2","6","8","100",\N,"0.00",\N,"0.50","0.25","6.25","0.00","1544.22","OK"
"8i9i5","6.00","14.33","10.00","13.33","10","35","20","34","0.00","0.67","0.38","0.71","14.00","216.22","56.00","213.56","OK"
"8i9i6","38.50",\N,\N,"46.50","71",\N,\N,"86","0.00",\N,\N,"0.00","1369.00",\N,\N,"1560.25","Observation"
"8i9i7","3.50","8.67","19.33","18.67","6","22","36","49","0.00","0.68","-0.07","0.71","43.56","89.56","192.89","460.22","OK"
"8i9i9",\N,\N,\N,"44.33",\N,\N,\N,"89",\N,\N,\N,"0.31",\N,\N,\N,"1147.56","OK"
"8i9ia","4.00","11.67","24.00","5.67","5","14","32","8","0.00","-0.63","0.24","-0.24","4.00","6.89","38.00","4.22","OK"
"8i9ib",\N,"1.00",\N,"1.50",\N,"1",\N,"2",\N,\N,\N,"0.00",\N,"0.00",\N,"0.25","OK"
"8i9ic","125.33","198.67","134.33","224.67","201","470","388","336","-0.36","0.71","0.71","-0.64","5416.67","36816.89","32173.56","15958.22","OK"
"8i9id","8.00","9.33","14.67","29.00","12","20","27","65","0.00","0.57","0.65","0.69","20.67","59.56","77.56","650.67","OK"
"8i9ie",\N,\N,"168.33","3.00",\N,\N,"189","4",\N,\N,"-0.41","0.00",\N,\N,"384.22","0.67","OK"
"8i9ig","9.00","20.00","11.00","17.67","12","27","27","21","0.00","0.00","0.64","-0.53","12.67","49.00","130.67","11.56","OK"
"8i9ih","5.33","9.00","17.67","27.33","8","10","24","60","0.24","0.00","0.49","0.48","24.89","0.67","21.56","576.22","OK"
"8i9ii","82.00","21.33","71.00","58.00","140","25","84","111","0.51","0.63","0.29","0.65","2246.22","6.89","98.00","1432.67","OK"
"8i9ij",\N,"19.00","156.00","188.67",\N,"19","156","263",\N,\N,\N,"-0.70",\N,"0.00","0.00","9100.22","OK"
"8i9ik","44.00","124.67","142.67","101.67","63","158","162","113","-0.09","0.69","-0.55","0.45","258.00","558.22","402.89","70.22","OK"
"8i9im","4.00","1.67","11.00","16.00","6","2","17","31","0.71","-0.71","0.00","0.60","8.22","0.22","24.00","116.67","OK"
"8i9in","53.00","126.67","289.67","61.33","92","157","460","76","-0.45","-0.37","0.69","-0.38","1442.89","797.56","14594.89","188.22","OK"
"8i9j4","3.33","6.67","7.67","9.00","6","8","13","10","0.24","-0.38","0.24","0.00","5.56","1.56","16.89","0.67","OK"
"8i9j6","146.67","213.33","158.00","405.00","265","288","181","985","0.54","0.71","-0.61","0.68","10174.89","2788.22","632.67","169550.00","OK"
"8i9jf","3.00","3.33","3.33","5.00","4","5","6","9","0.00","0.38","0.24","0.47","1.00","1.56","4.22","8.67","OK"
"8i9jg","6.00","1.00",\N,"11.00","6","1",\N,"20",\N,\N,\N,"0.42","16.00","0.00",\N,"44.67","OK"
"8i9ji","20.00","3.00","3.00","6.00","20","5","3","9",\N,"0.00",\N,"0.00","100.00","2.67","0.00","6.00","OK"
"8i9jj","46.67","127.33","78.33","148.33","76","244","123","225","-0.46","0.05","0.51","-0.69","1086.89","8822.22","1064.22","9211.56","OK"
"8i9k1",\N,\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00","OK"
"8i9kq","38.33","38.00","50.33","56.67","45","45","56","78","0.09","0.00","-0.71","0.70","10.89","32.67","64.22","228.22","OK"
"8i9me",\N,"1.67","1.00",\N,\N,"3","1",\N,\N,"0.71",\N,\N,\N,"0.89","0.00",\N,"OK"
"8i9mo",\N,"1.00","1.00",\N,\N,"1","1",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i9mv",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i9nd",\N,"3.00","3.00",\N,\N,"3","3",\N,\N,\N,\N,\N,\N,"0.00","0.00",\N,"OK"
"8i9ng","1.00","3.00","1.00","1.00","1","4","1","1",\N,"0.00",\N,\N,"0.00","1.00","0.00","0.00","OK"
"8i9no",\N,\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i9np","1.67","7.33","8.67","10.33","2","9","12","14","-0.71","-0.53","0.71","0.17","0.00","2.89","5.56","8.22","OK"
"8i9oh",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
"8i9ot","146.67","146.00","146.00","147.00","149","152","152","151","-0.63","0.32","0.00","0.47","8.67","20.67","24.00","8.67","OK"
"8i9oz",\N,\N,"2.00",\N,\N,\N,"2",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,"OK"
"8i9p1",\N,"1.00",\N,"2.00",\N,"1",\N,"2",\N,\N,\N,\N,"0.00","0.00",\N,"0.00","OK"
"8i9p3","1.00",\N,\N,"3.00","1",\N,\N,"3",\N,\N,\N,\N,"0.00",\N,\N,"0.00","OK"
"8i9p4",\N,"1.00",\N,"1.00",\N,"1",\N,"1",\N,\N,\N,\N,\N,"0.00",\N,"0.00","OK"
"8i9p7","1.50","2.67","3.33","6.33","2","4","5","15","0.00","-0.38","0.38","0.65","0.67","1.56","1.56","38.22","OK"
"8i9p8","2.50","4.00","3.00","12.67","4","4","3","26","0.00",\N,\N,"0.24","0.25","0.00","0.00","105.56","OK"
"8i9pt",\N,"1.00","1.00","1.00",\N,"1","1","1",\N,\N,\N,\N,\N,"0.00","0.00","0.00","OK"
"8i9ql","226.00","369.33","408.67","331.33","243","423","659","449","-0.61","-0.70","0.64","0.61","329.56","5140.22","31994.89","7150.89","OK"
"8i9qu","5.67","10.67","20.67","11.00","9","14","26","13","-0.53","0.38","-0.56","0.71","11.56","6.22","30.89","2.00","OK"
"8i9s9","17.00","20.00","38.67","17.00","28","30","43","23","0.63","-0.17","-0.71","-0.47","82.89","74.00","37.56","34.67","OK"
"8i9sm",\N,"1.50","1.67","3.00",\N,"2","3","3",\N,"0.00","0.71",\N,\N,"0.25","0.89","0.00","OK"
"8i9t0",\N,"1.00",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,"0.00",\N,\N,"OK"
