partnerid,status,avg_spiky_ReAgCnIpCi,std_spiky_ReAgCnIpCi,night_avg_spiky_ReAgCnIpCi,night_std_spiky_ReAgCnIpCi,morning_avg_spiky_ReAgCnIpCi,morning_std_spiky_ReAgCnIpCi,afternoon_avg_spiky_ReAgCnIpCi,afternoon_std_spiky_ReAgCnIpCi,evening_avg_spiky_ReAgCnIpCi,evening_std_spiky_ReAgCnIpCi,avg_spiky_ReAgCnIp,std_spiky_ReAgCnIp,avg_spiky_ReAgCn,std_spiky_ReAgCn,avg_spiky_iplong,std_spiky_iplong,avg_spiky_agent,std_spiky_agent,night_avg_spiky_agent,night_std_spiky_agent,morning_avg_spiky_agent,morning_std_spiky_agent,afternoon_avg_spiky_agent,afternoon_std_spiky_agent,evening_avg_spiky_agent,evening_std_spiky_agent,avg_spiky_cid,std_spiky_cid,avg_spiky_cntr,std_spiky_cntr,avg_spiky_referer,std_spiky_referer,night_avg_spiky_referer,night_std_spiky_referer,morning_avg_spiky_referer,morning_std_spiky_referer,afternoon_avg_spiky_referer,afternoon_std_spiky_referer,evening_avg_spiky_referer,evening_std_spiky_referer,category_es,category_mc,category_ad,category_co,category_se,category_mg,category_pp,category_in,category_gd,category_ow,total_clicks,distinct_iplong,distinct_agent,distinct_cid,distinct_cntr,distinct_referer,night_click_percent,morning_click_percent,afternoon_click_percent,evening_click_percent,night_referer_percent,morning_referer_percent,afternoon_referer_percent,evening_referer_percent,night_agent_percent,morning_agent_percent,afternoon_agent_percent,evening_agent_percent,avg_total_clicks,std_total_clicks,avg_distinct_iplong,std_distinct_iplong,avg_distinct_agent,std_distinct_agent,avg_distinct_cid,std_distinct_cid,avg_distinct_cntr,std_distinct_cntr,avg_distinct_referer,std_distinct_referer,avg_null_agent,std_null_agent,avg_null_referer,std_null_referer,night_avg_null_referer,night_std_null_referer,morning_avg_null_referer,morning_std_null_referer,afternoon_avg_null_referer,afternoon_std_null_referer,evening_avg_null_referer,evening_std_null_referer,first_15_minute_percent,second_15_minute_percent,third_15_minute_percent,last_15_minute_percent,brand_MAUI_percent,brand_Nokia_percent,brand_Generic_percent,brand_Apple_percent,brand_Blackberry_percent,brand_Samsung_percent,brand_SonyEricsson_percent,brand_LG_percent,brand_other_percent,avg_per_hour_density,std_per_hour_density,cntr_az_percent,cntr_id_percent,cntr_in_percent,cntr_us_percent,cntr_ng_percent,cntr_tr_percent,cntr_ru_percent,cntr_th_percent,cntr_sg_percent,cntr_uk_percent,cntr_other_percent
8i7wi,0,1.39,2.62,1.35,2.57,1.5,2.56,1.37,2.52,1.42,2.8,1.42,2.64,1.45,2.67,1.16,0.52,1.98,1.67,2.13,1.95,1.62,1.08,2.04,1.72,2,1.58,7.15,17.57,12.41,22.63,1.78,3.04,1.86,3.21,1.79,2.8,1.77,2.91,1.7,3.09,1,0,0,0,0,0,0,0,0,0,1502,1083,157,107,22,402,0.3,0.15,0.27,0.27,0.45,0.22,0.38,0.39,0.59,0.46,0.56,0.55,500.67,25.25,383.33,21.51,99.67,6.18,52,1.41,13.67,1.7,181,8.64,1,0,137.67,14.01,36.33,4.19,25,2.94,37.33,4.92,39,7.48,0.26,0.22,0.26,0.25,0.02,0,0.05,0,0,0,0,0,0.06,23.67,0.47,0,0,0.86,0.01,0,0.01,0,0,0,0,0
8i7wr,0,1.33,2.69,1.4,3.56,1.21,1.02,1.22,1.34,1.33,2.04,1.34,2.7,1.38,2.74,1.27,0.82,2.54,3.24,3.39,4.57,1.81,1.56,2.1,1.91,2.19,2.25,3.79,4.9,42.25,37.85,1.51,2.89,1.68,3.93,1.26,1.05,1.35,1.45,1.47,2.16,0,0,1,0,0,0,0,0,0,0,1352,914,117,53,4,532,0.48,0.11,0.18,0.23,0.54,0.19,0.25,0.33,0.69,0.35,0.47,0.5,450.67,33.07,314.67,19.67,68.33,6.34,34.67,1.25,2.67,0.47,219.67,8.73,0,0,117.33,29.51,63.67,20.55,10.67,0.47,16,5.66,27,10.42,0.27,0.23,0.23,0.26,0.01,0.02,0.09,0,0.02,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0.99
8i7wv,0,5,4.37,3.13,2.8,3.5,2.57,9.5,4.5,4.77,4.32,5.16,4.35,5.32,4.33,1.32,0.79,2.58,2.69,1.67,1.74,2.63,2.55,3.17,3.32,2.7,2.54,1.2,0.54,6.35,4.39,5.32,4.33,3.57,2.77,3.5,2.57,9.5,4.5,5.17,4.28,0,0,1,0,0,0,0,0,0,0,165,61,24,47,3,6,0.15,0.13,0.35,0.38,0.17,0,0,0.83,0.42,0.13,0.38,0.63,55,20.4,31,5.35,11,2.94,26,3.27,1.67,0.94,2.33,1.25,0,0,52,19.03,7.67,2.62,7,4.97,19,11.34,18.33,6.24,0.21,0.27,0.23,0.29,0.58,0.04,0.01,0,0.01,0,0.01,0,0.01,18,1.63,0,0.99,0.01,0,0,0,0,0,0.01,0,0
8i7xd,0,1.31,2.06,2.32,5.14,1.37,0.93,1.82,2.38,1.15,1.29,1.36,2.1,1.69,2.4,1.22,0.54,1.81,1.62,1.81,1.84,1.37,1.13,1.55,1.75,1.91,1.59,2.75,2.79,10.29,20.88,4.29,9.14,4.46,6.7,2.6,1.85,2.82,2.85,4.9,11.17,0,0,0,1,0,0,0,0,0,0,360,229,96,67,7,36,0.16,0.07,0.09,0.68,0.14,0.11,0.11,0.92,0.27,0.17,0.14,0.8,120,74.74,86,51.02,44.67,24.53,31,17.96,4.33,1.7,16.33,8.18,0,0,33.33,21.7,12,11.31,3.33,3.3,6.67,5.44,11.33,11.15,0.23,0.28,0.28,0.22,0.18,0.01,0.06,0,0.01,0,0,0,0.04,11,2.45,0,0.94,0,0.02,0,0,0,0,0.02,0,0
8i7yy,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0.33,0,0.67,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.67,0,0,0.33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8i7z7,0,2.05,1.93,1.82,2.38,2.25,0.83,1.67,1.18,3.33,1.7,2.11,1.94,2.11,1.94,1.08,0.32,1.45,0.85,1.41,0.78,1.29,0.7,1.25,0.43,2,1.26,1.38,0.87,4.21,3.91,2.35,1.98,2.58,2.66,2.25,0.83,1.67,1.18,3.33,1.7,0,0,0,1,0,0,0,0,0,0,80,55,32,25,3,9,0.39,0.11,0.25,0.25,0.56,0.11,0.67,0.11,0.56,0.19,0.34,0.16,26.67,9.81,21.67,7.76,13.33,4.11,13.33,2.87,1.67,0.47,5,1.63,0,0,19.33,7.13,6,2.16,4,3,4.33,2.05,6.33,0.94,0.34,0.24,0.21,0.21,0.39,0.04,0.04,0,0.01,0.01,0.01,0.01,0.03,12,2.45,0,0.96,0,0,0,0,0,0,0,0,0.01
8i7zf,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,3,2,3,1,0,0,0,1,0,0,0,1,0,0,0,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0.33,0,0,0,0,0.33,0,0,1.5,0.5,0,0.67,0,0,0,0,0,0,0,0,0.33
8i7zk,0,1.35,2.6,1.4,3.32,1.32,1.33,1.26,1.48,1.37,2.44,1.38,2.63,1.43,2.68,1.25,0.76,2.29,2.4,2.79,3.29,1.61,1.08,1.92,1.5,2.32,2.04,2.21,2.24,21.8,28.73,1.85,3.19,2.08,4.2,1.51,1.47,1.66,1.88,1.85,2.96,0,1,0,0,0,0,0,0,0,0,1177,802,114,131,10,352,0.42,0.11,0.19,0.28,0.5,0.16,0.28,0.36,0.66,0.36,0.52,0.5,392.33,19.22,278.33,23.61,68.33,4.64,64,4.55,5.67,1.25,145.67,15.37,0,0,110,10.98,49.33,3.77,12,0.82,17.33,1.7,31.33,9.67,0.24,0.24,0.26,0.26,0.01,0,0.08,0,0.03,0,0,0.01,0,24,0,0,0,0,0,0,0,0,0,0,0.02,0.01
8i7zl,0,1.27,2.44,1.27,2.88,1.36,1.67,1.29,1.93,1.24,1.71,1.3,2.47,1.61,2.87,1.3,0.97,3.16,4.47,4.38,6.48,1.93,1.54,2.52,2.26,2.52,2.24,3.93,6.43,51.26,50.62,2.55,5.53,3.31,7.84,1.88,2.41,2.24,3.33,1.9,2.64,0,0,1,0,0,0,0,0,0,0,1589,1067,109,69,6,335,0.54,0.08,0.17,0.2,0.52,0.15,0.24,0.36,0.72,0.35,0.44,0.47,529.67,96.86,366,44.64,64.33,2.49,43.67,2.36,3,0.82,139.67,14.08,0,0,119,24.59,60.33,14.06,13.33,2.62,22.33,7.04,23,11.34,0.25,0.26,0.23,0.26,0.02,0,0.07,0,0.03,0,0,0,0,23.67,0.47,0,0,0,0,0,0,0,0,0,0,0
8i804,0,1.17,0.62,1.14,0.35,1,0,1.5,1.12,1,0,1.22,0.66,1.22,0.66,1.22,0.66,1.22,0.66,1.14,0.35,1,0,1.5,1.12,1.11,0.31,1.22,0.66,1.33,0.78,1.87,0.96,2,0.71,1,0,2.25,1.3,1.67,0.75,0,1,0,0,0,0,0,0,0,0,28,22,18,13,13,1,0.29,0.04,0.32,0.36,1,1,1,1,0.39,0.06,0.33,0.39,9.33,3.4,7.33,0.94,7,0.82,7,1.41,6.33,0.47,1,0,0,0,3.5,1.5,1,0,0,0,4,0,1,0,0.29,0.43,0.07,0.21,0,0.04,0,0,0.04,0.04,0,0,0,6.33,1.25,0,0,0.07,0,0,0,0,0,0,0,0.04
8i806,0,1.39,2.21,1.37,2.52,1.26,1.18,1.43,1.97,1.49,2.4,1.45,2.27,1.51,2.31,1.17,0.58,1.48,1.29,1.56,1.45,1.3,0.78,1.45,1.11,1.52,1.45,1.74,1.95,5.18,7.6,5.28,5.49,7.11,7.98,4.03,2.8,4.35,3.83,5.16,4.53,0,0,1,0,0,0,0,0,0,0,845,496,212,148,36,17,0.38,0.15,0.21,0.26,0.65,0.53,0.59,0.65,0.59,0.36,0.35,0.5,281.67,24.39,196,25.31,115.33,5.44,74.67,9.57,20,4.9,11.33,0.94,0,0,84.67,6.94,29.67,9.74,11,2.16,19,7.12,25,2.45,0.23,0.22,0.28,0.27,0.13,0,0.02,0,0,0,0,0,0,24,0,0,0.54,0.14,0.02,0,0.04,0,0,0,0,0
8i80a,0,1.49,2.44,1.44,2.45,1.33,1.44,1.43,1.96,1.69,3.16,1.52,2.46,1.55,2.49,1.17,0.52,1.39,0.88,1.33,0.8,1.28,0.64,1.39,0.84,1.53,1.07,1.38,1.05,3.54,7.62,2.81,3.88,3.25,4.92,1.81,1.82,2.74,2.95,3.17,4.41,0,1,0,0,0,0,0,0,0,0,757,558,210,203,60,79,0.32,0.13,0.25,0.3,0.56,0.39,0.46,0.47,0.6,0.28,0.42,0.46,252.33,24.69,201,19.03,109.67,9.39,110.33,7.41,35.33,3.3,42.67,1.7,0,0,86,5.1,24.67,1.7,10,5.72,20,2.94,31.33,5.56,0.25,0.27,0.27,0.21,0.08,0.01,0.01,0,0.01,0,0,0,0,23.67,0.47,0,0.02,0.63,0.01,0.06,0.01,0,0.01,0,0.02,0
8i80j,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,2,1,0,0,0,0.5,0.5,0,0,0,0,0,0,1,1,2,0,2,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
8i81d,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.08,0.27,1.25,0.43,1,0,1,0,1,0,1.08,0.27,1.17,0.37,1.08,0.27,1,0,1,0,1,0,1.2,0.4,0,1,0,0,0,0,0,0,0,0,14,14,12,13,2,11,0.36,0.07,0.14,0.43,0.45,0.09,0.09,0.36,0.33,0.08,0.17,0.42,4.67,0.94,4.67,0.94,4,0.82,4.33,0.47,1.33,0.47,3.67,0.94,0,0,1,0,0,0,0,0,1,0,1,0,0.21,0.36,0.21,0.21,0.07,0.07,0.07,0,0,0.07,0.07,0,0,3.67,0.94,0,0,0.93,0.07,0,0,0,0,0,0,0
8i81i,0,1.11,0.31,1.33,0.47,1,0,1,0,1,0,1.11,0.31,1.11,0.31,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.11,0.31,1.33,0.47,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10,10,7,8,4,2,0.4,0.1,0.3,0.2,0.5,0,0.5,0.5,0.29,0.14,0.43,0.29,3.33,0.94,3.33,0.94,3.33,0.94,3.33,0.94,2.33,0.47,1.33,0.47,0,0,2,0.82,1,0,1,0,1,0,1,0,0.3,0.4,0.1,0.2,0.2,0.1,0,0,0,0,0,0,0.1,3.33,0.94,0,0,0.4,0,0.4,0,0,0,0.1,0,0.1
8i828,0,1.63,8.51,1.63,10.68,1.61,4.24,1.53,4.54,1.76,5.53,1.74,8.79,1.94,9.29,1.74,1.59,3.03,5.07,4.1,6.94,2.27,2.96,2.22,2.89,2.47,3.32,3.22,9.85,21.22,68.89,5.44,16.27,9.02,26.02,3.73,6.69,3.6,7.09,3.77,8.12,0,0,0,1,0,0,0,0,0,0,3417,982,257,268,23,99,0.54,0.13,0.17,0.16,0.75,0.49,0.53,0.55,0.83,0.41,0.49,0.44,1139,76.96,407.33,35.71,169.67,1.7,144.67,10.21,15,2.45,64.33,2.49,1,0,435,40.77,235,64.29,56.33,9.67,65.33,23.21,78.33,10.21,0.26,0.26,0.25,0.24,0.15,0,0.04,0,0,0,0,0,0,24,0,0,0.81,0,0.01,0,0,0,0,0.09,0,0
8i82g,0,1,0,1,0,1,0,1,0,1,0,1.08,0.27,1.08,0.27,1.08,0.27,1.08,0.27,1,0,2,0,1,0,1,0,1,0,1.17,0.37,1.08,0.27,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,14,13,11,13,5,12,0.21,0.14,0.14,0.5,0.25,0.08,0.08,0.58,0.27,0.09,0.18,0.64,4.67,0.47,4.33,0.47,4,0,4.33,0.47,2.33,0.47,4,0.82,0,0,1,0,0,0,0,0,1,0,0,0,0.21,0.29,0.29,0.21,0,0.21,0,0,0,0.07,0.07,0.07,0,4,0.82,0,0,0.71,0,0,0.07,0,0,0,0,0.07
8i82r,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,5,4,2,2,0.17,0.17,0.67,0,0.5,0.5,0,0,0.2,0.2,0.6,0,2,0.82,2,0.82,2,0.82,2,0.82,1.67,0.47,0.67,0.47,0,0,1.33,0.47,0,0,0,0,1.33,0.47,0,0,1,0,0,0,0,0.17,0.17,0,0,0,0,0.17,0.33,2,0.82,0,0.5,0,0,0,0,0,0,0,0,0.5
8i82x,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,3,0,3,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.67,0,0.33,0,0.33,0,0,0,0,0,0,0.33,3,0,0,0,0.67,0,0,0,0,0,0,0,0
8i830,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
8i833,0,1,0,1,0,1,0,1,0,1,0,1.02,0.15,1.02,0.15,1.02,0.15,1.11,0.31,1.18,0.38,1,0,1.1,0.3,1,0,1.05,0.22,1.91,1.16,1.08,0.27,1.11,0.31,1,0,1.1,0.3,1,0,0,1,0,0,0,0,0,0,0,0,42,41,22,28,3,23,0.48,0.07,0.26,0.19,0.52,0.09,0.35,0.22,0.64,0.14,0.27,0.27,14,10.8,13.67,10.34,9.33,5.56,11,6.68,2,0.82,8.67,5.44,0,0,1.67,0.94,1,0,1,0,0,0,1.5,0.5,0.26,0.29,0.29,0.17,0,0.05,0,0,0,0.26,0,0,0.02,9,4.9,0,0.02,0,0,0,0,0,0,0,0,0.1
8i83a,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0
